id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
3025,Alexander Troshechkin,Khimki,90,90,90,90,90,90,-,90,90,90,88,79,71,89,90,90,46,90,90,83,-,43,-,1669
5538,Vyacheslav Karavayev,Zenit St. Petersburg,90,90,90,90,89,90,90,90,90,90,90,90,90,90,46,-,-,-,-,90,87,90,90,1662
2968,Magomed Ozdoev,Zenit St. Petersburg,90,90,90,15,72,88,90,90,90,90,20,70,90,90,-,-,83,63,90,90,90,83,80,1654
7023,Dennis Hadzikadunic,FC Rostov,90,90,90,90,90,90,90,-,46,90,90,90,77,-,-,90,90,90,90,90,90,-,90,1653
7447,Yaroslav Rakitskiy,Zenit St. Petersburg,90,80,-,90,88,90,-,-,81,90,90,90,82,90,90,-,69,90,90,90,86,83,87,1646
6797,Filip Uremovic,Rubin Kazan,90,90,90,90,87,90,-,36,90,90,90,90,71,90,-,-,-,90,90,90,90,90,90,1634
2785,Timofey Margasov,PFC Sochi,90,90,90,90,90,90,90,50,-,90,90,90,90,90,90,79,90,90,80,68,-,-,-,1627
2946,Bernard Berisha,FK Akhmat,82,85,83,43,62,88,90,78,75,-,90,80,78,73,77,90,73,90,83,82,46,77,-,1625
2990,Ibrahim Tsallagov,PFC Sochi,90,90,85,90,90,90,90,79,-,-,10,89,-,12,90,90,90,90,90,90,90,90,86,1621
5483,Eric Bicfalvi,Ural,90,90,90,90,90,90,90,90,-,-,90,90,90,90,90,90,90,-,-,90,-,90,90,1620
2808,Sergey Pesjakov,FC Rostov,90,90,90,-,90,90,90,-,-,90,90,90,90,90,90,-,-,90,90,90,90,90,90,1620
2896,Mario Fernandes,CSKA Moscow,90,90,90,90,90,90,90,90,90,90,-,62,90,-,-,-,90,90,90,90,90,25,90,1617
7158,Zoran Nizic,FK Akhmat,90,66,-,-,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,-,90,90,-,1596
7453,Khvicha Kvaratskhelia,Rubin Kazan,73,90,90,90,90,90,41,90,90,90,28,90,86,90,-,-,22,80,-,90,90,86,90,1586
5442,Ivan Oblyakov,CSKA Moscow,84,90,90,84,90,81,90,90,90,90,90,90,27,90,90,85,34,90,-,-,-,40,69,1584
7521,Konstantin Maradishvili,CSKA Moscow,84,90,60,90,90,68,90,62,-,90,90,28,90,90,90,90,87,-,-,87,90,90,21,1577
5526,Dmitrii Skopintcev,Dinamo Moscow,90,90,90,90,77,90,90,90,71,87,90,90,79,90,90,27,-,-,-,-,90,90,58,1569
2745,Dmitry Zhivoglyadov,Lokomotiv Moscow,90,90,90,-,-,-,90,90,90,90,90,90,90,69,90,90,90,90,90,4,32,23,90,1568
6586,Andrey Egorychev,Ural,77,74,90,90,85,90,90,-,79,90,62,90,90,90,-,-,47,89,90,-,66,81,90,1560
2771,Christian Noboa,PFC Sochi,90,90,90,90,90,90,90,90,90,90,80,-,-,-,-,48,87,90,85,85,90,-,90,1555
237,Robert Bauer,Arsenal Tula,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,-,-,-,-,90,90,90,-,1530
3181,Ilya Pomazun,Ural,-,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,-,-,-,1530
2900,Alexey Nikitin,FC Ufa,90,90,90,90,90,90,-,-,90,-,90,90,90,90,90,90,90,90,90,90,-,-,-,1530
5497,Vladimir Iljin,FK Akhmat,63,67,39,87,90,90,69,56,84,90,-,74,77,90,78,85,42,71,-,48,44,77,90,1511
3071,Mikhail Kerzhakov,Zenit St. Petersburg,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,-,-,53,-,-,-,1493
7679,Kaio,FC Krasnodar,90,90,90,55,-,90,-,90,90,69,90,90,90,90,-,90,90,-,-,90,90,90,17,1491
5495,Jimmy Tabidze,FC Ufa,90,-,-,-,-,-,55,90,90,90,90,90,90,90,90,90,90,90,-,85,90,90,90,1490
2790,Aleksandr Martynovich,FC Krasnodar,90,90,90,90,90,90,-,90,90,90,-,90,-,90,90,90,90,90,90,42,-,-,-,1482
5458,Timur Zhamaletdinov,FC Ufa,-,78,86,67,31,90,90,84,-,90,90,1,2,79,90,76,70,90,88,90,90,76,1,1459
7633,Rafal Augustyniak,Ural,90,90,90,90,64,11,19,-,-,-,-,10,90,90,90,90,90,90,90,90,90,90,90,1454
3021,Aleksei Kozlov,FC Rostov,90,87,79,90,90,90,90,-,90,83,75,90,90,-,-,-,3,1,42,90,90,90,90,1450
2828,Sergey Parshivlyuk,Dinamo Moscow,77,90,90,90,90,82,90,-,90,90,-,76,90,81,-,-,82,90,90,90,-,54,7,1449
6910,Igor Diveev,CSKA Moscow,90,90,90,90,90,90,-,-,-,-,90,90,90,90,90,90,90,-,90,-,-,90,90,1440
6793,Daniil Lesovoy,Dinamo Moscow,-,-,-,90,-,-,-,90,90,90,80,86,90,90,90,86,78,56,90,78,81,90,83,1438
5479,Ilya Zhigulev,FC Rotor Volgograd,25,90,81,78,28,68,-,-,-,67,66,90,90,90,90,-,90,90,90,42,82,89,90,1436
2593,Bojan Jokic,FC Ufa,90,73,35,-,-,-,90,90,90,90,90,90,90,90,90,-,-,12,49,90,90,90,90,1429
2057,Ezequiel Ponce,Spartak Moscow,34,90,78,63,-,-,58,89,37,90,90,70,68,82,90,90,90,90,90,90,19,13,-,1421
8361,Denis Makarov,Rubin Kazan,27,23,15,28,44,67,90,90,72,22,90,-,18,34,90,90,90,88,90,89,90,90,73,1410
2929,Yuri Gazinskiy,FC Krasnodar,90,80,86,90,46,63,-,-,39,76,-,90,80,55,79,90,-,66,68,90,69,77,74,1408
8616,Oleg Kozhemyakin,FC Rotor Volgograd,90,90,90,90,8,41,-,-,3,-,-,90,90,90,90,-,90,90,90,90,90,90,90,1402
3053,Vladimir Rykov,Ural,-,90,90,90,90,90,90,-,50,90,90,90,-,90,90,90,90,-,-,90,90,-,-,1400
7672,Cedric Gogoua,FC Rotor Volgograd,90,90,76,-,90,90,-,-,90,90,90,59,-,90,90,90,-,90,90,-,90,-,90,1395
5890,Pavel Karasev,FC Tambov,12,90,90,53,30,90,80,47,43,44,90,90,90,90,90,86,90,90,90,-,-,-,-,1385
6024,Ismael,FK Akhmat,27,40,89,66,62,90,89,78,62,-,-,90,90,-,22,90,72,90,90,42,69,31,90,1379
6598,Igor Kalinin,Ural,90,90,90,90,23,-,-,-,90,90,90,-,-,-,90,90,-,90,90,90,90,90,90,1373
7304,Danil Stepanov,FC Rotor Volgograd,90,90,90,90,90,90,-,-,-,90,90,90,-,90,90,90,90,90,90,-,-,-,17,1367
7121,Djorde Despotovic,Rubin Kazan,27,23,30,28,84,90,90,90,85,90,90,90,72,-,-,25,-,90,-,90,90,83,90,1357
5459,Konstantin Kuchaev,CSKA Moscow,83,90,84,20,79,81,85,62,79,90,90,68,71,82,-,-,56,-,-,43,71,50,69,1353
2705,Vedran Corluka,Lokomotiv Moscow,90,90,90,90,49,90,90,90,90,34,-,90,-,-,47,-,90,90,-,90,-,90,50,1350
8681,Josip Condric,FC Rotor Volgograd,-,-,-,-,-,-,-,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1350
2774,Sardar Azmoun,Zenit St. Petersburg,73,87,90,90,90,75,77,67,80,18,67,-,-,-,-,28,82,18,89,82,90,78,66,1347
5899,Anton Zabolotny,PFC Sochi,3,32,51,89,46,90,-,11,83,90,80,90,90,90,85,90,-,32,42,81,83,-,86,1344
6890,Danijel Miskic,Ural,-,16,78,85,90,90,60,90,40,90,78,90,-,7,90,88,47,90,90,42,-,82,-,1343
2915,Georgy Schennikov,CSKA Moscow,90,90,90,90,90,90,90,90,90,-,-,-,-,-,66,85,87,90,90,47,-,65,-,1340
5394,Valeriu Ciuperca,FC Tambov,90,90,90,53,60,90,57,90,90,90,90,90,-,90,90,90,-,-,90,-,-,-,-,1340
8362,Ilya Samoshnikov,Rubin Kazan,47,90,90,13,6,-,-,-,10,90,90,90,90,-,85,90,-,90,90,90,90,90,90,1331
8626,Nikola Moro,Dinamo Moscow,-,-,19,31,12,90,30,90,78,90,90,-,-,19,89,90,90,90,90,77,90,70,90,1325
3067,Artur Yusupov,PFC Sochi,-,-,-,-,-,-,13,88,90,90,90,63,90,90,90,-,90,85,90,81,86,90,90,1316
7123,Evgeny Kharin,FK Akhmat,27,66,51,47,28,49,21,34,62,63,83,81,47,34,90,47,90,59,72,42,90,60,72,1315
7656,Ivan Miladinovic,PFC Sochi,90,67,16,1,18,63,-,-,25,90,43,90,90,90,90,90,-,-,90,90,90,90,90,1313
3196,Kamil Mullin,FC Rotor Volgograd,72,90,90,90,90,90,-,-,-,76,90,77,65,1,74,76,54,42,69,42,21,2,90,1301
6417,Daniil Kulikov,Lokomotiv Moscow,1,-,-,-,41,90,87,1,90,56,90,77,90,70,90,90,-,42,90,87,70,67,65,1294
