id,name,team,1,2,3,4,5,6,7,8,9,10,11,total
7452,Dmitri Rybchinsky,Lokomotiv Moscow,0.5532,0.2638,0.0,0.0,0.0223,0.0,0.1206,0.0,0.0,0.3153,0.0,1.2752
5538,Vyacheslav Karavayev,Zenit St. Petersburg,0.0188,0.0,0.0377,0.0659,0.0,0.0,0.1897,0.0,0.0,0.3947,0.5552,1.262
5458,Timur Zhamaletdinov,FC Ufa,-,0.0,0.0259,0.0755,0.0643,0.4312,0.2523,0.1477,-,0.2497,0.0,1.2466
7648,Tonny Vilhena,FC Krasnodar,-,-,-,0.1093,0.053,0.0621,-,0.4971,0.0,0.4731,0.035,1.2296
7479,Kristoffer Olsson,FC Krasnodar,0.0158,0.0826,0.0128,0.0,0.0467,0.1007,-,0.1882,0.0327,-,0.7331,1.2126
6611,Vyacheslav Grulev,Dinamo Moscow,0.0,-,-,0.0,-,0.0676,0.0,0.3483,0.1767,0.4932,0.1256,1.2114
2974,Vladimir Dyadyun,Khimki,0.1425,0.0485,0.0559,-,-,-,0.0,0.0,0.3128,0.5126,0.1241,1.1964
3015,Nikolay Komlichenko,Dinamo Moscow,0.2658,0.0561,0.1164,0.1075,0.0,0.0,0.0,-,0.3164,0.2204,0.1022,1.1848
6793,Daniil Lesovoy,Dinamo Moscow,-,-,-,0.5284,-,-,-,0.0903,0.0506,0.4492,0.0414,1.1599
6797,Filip Uremovic,Rubin Kazan,0.0,0.0862,0.382,0.0,0.2583,0.0,-,0.0,0.4095,0.0,0.0,1.136
4247,Maximilian Philipp,Dinamo Moscow,0.1896,0.6244,0.0646,0.0,0.0,0.0,0.2351,-,-,-,-,1.1137
5461,Odise Roshi,FK Akhmat,-,0.0138,0.9077,0.0432,0.0,0.1459,-,-,-,-,0.0,1.1106
2832,Brian Idowu,Khimki,0.0,0.0982,0.0,0.0,-,0.0099,0.3195,0.0466,0.0,0.0235,0.6061,1.1038
3131,Zelimkhan Bakaev,Spartak Moscow,0.0268,0.0,0.2771,0.1825,0.5567,0.0,0.0,0.0,0.0398,0.0144,-,1.0973
4605,Anton Miranchuk,Lokomotiv Moscow,-,0.0,0.0,0.0204,0.1275,0.0392,0.0639,0.2445,0.0,0.3069,0.2762,1.0786
8634,Hwang In-Beom,Rubin Kazan,-,-,-,0.0,0.0562,0.0,0.0967,-,0.1378,0.3156,0.4602,1.0665
963,Eder,Lokomotiv Moscow,-,-,0.0,0.4769,0.163,0.094,0.0,0.113,0.1696,0.038,0.0,1.0545
2450,Wanderson,FC Krasnodar,0.2423,0.1429,0.1732,-,0.0602,0.2471,-,0.1825,-,-,-,1.0482
8359,Oliver Abildgaard,Rubin Kazan,0.0774,0.0168,0.0247,0.0116,0.0099,0.2937,0.0,0.4063,0.1278,0.0665,0.0099,1.0446
3025,Alexander Troshechkin,Khimki,0.0442,0.4913,0.1139,0.0272,0.0,0.1778,-,0.0292,0.0,0.0618,0.0698,1.0152
5924,Sebastián Driussi,Zenit St. Petersburg,0.7814,0.0,0.0772,0.0,0.1306,-,-,-,-,-,0.0,0.9892
7656,Ivan Miladinovic,PFC Sochi,0.039,0.0,0.5351,0.0166,0.0,0.0428,-,-,0.0,0.0,0.3535,0.987
960,Clinton N'Jie,Dinamo Moscow,0.1246,0.1562,0.1119,0.039,-,0.1103,0.0766,0.2062,0.0,0.0734,0.0629,0.9611
