id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,total
5483,Eric Bicfalvi,Ural,0.5845,0.3979,0.572,0.6987,0.0,0.2239,0.6623,0.1986,-,-,0.2897,0.2892,0.726,0.626,0.0918,0.187,0.6468,-,-,0.4352,-,6.6296
7283,Daniil Utkin,FC Krasnodar,1.3971,0.4318,0.7342,0.7346,0.5907,0.2006,-,0.5742,0.6635,0.4741,0.0922,0.1468,0.1388,0.088,0.3203,0.0,-,-,-,-,0.0254,6.6123
8359,Oliver Abildgaard,Rubin Kazan,0.1659,0.1909,0.1934,0.0538,0.3322,1.1682,0.2415,0.4639,0.5185,0.3632,0.0153,-,0.6108,0.0816,0.0334,0.1202,0.1978,1.1078,0.3215,0.3735,-,6.5534
8360,Darko Jevtic,Rubin Kazan,0.02,0.159,0.1897,0.6318,0.2193,0.4568,0.0912,0.6896,-,0.4547,-,0.6135,1.817,-,0.024,0.2733,0.0129,0.7634,0.0262,0.0,0.1086,6.551
2834,Giorgi Jikia,Spartak Moscow,0.1674,0.0977,0.7706,0.5421,0.1977,0.4326,0.0393,0.126,0.0588,0.0736,-,0.0,0.662,0.8831,0.0182,0.2603,1.7696,0.0389,0.0,0.0558,0.3277,6.5214
7680,Andrey Mostovoy,Zenit St. Petersburg,0.0,0.068,-,0.6309,0.0798,0.295,1.1358,0.5645,0.3332,0.8148,0.0475,0.0,1.3001,0.0298,0.0604,0.0431,0.8064,-,-,0.1492,0.0,6.3585
8694,Chidera Ejuke,CSKA Moscow,-,-,-,-,-,0.018,0.3428,1.0416,0.2257,0.0,0.0,0.8553,0.2068,0.3171,0.0496,0.7605,1.2938,0.5332,0.3372,0.0639,0.2701,6.3156
4605,Anton Miranchuk,Lokomotiv Moscow,-,0.0,0.4653,0.0668,0.6987,0.1653,0.2053,0.9184,1.104,0.657,0.2007,0.1048,0.1412,0.0602,0.6979,-,0.2058,0.3007,0.2037,-,-,6.1958
5536,Daniil Fomin,Dinamo Moscow,0.1742,0.8302,0.0,0.1089,0.0211,0.1592,0.0785,0.1055,0.3446,0.4108,0.0,0.3191,1.2113,0.0764,0.1445,0.0489,1.012,0.0786,0.1321,0.1098,0.7065,6.0722
7521,Konstantin Maradishvili,CSKA Moscow,0.6254,0.1129,0.3842,0.2705,0.1415,0.6088,0.1081,0.2014,-,0.4215,0.3535,0.0,0.3759,0.1148,0.0127,0.7891,1.1879,-,-,0.0897,0.2585,6.0564
3131,Zelimkhan Bakaev,Spartak Moscow,0.7722,0.0975,0.0,0.6821,0.488,0.4326,0.3505,0.126,0.0847,0.4219,-,0.0559,0.0963,0.0246,0.0,0.1328,1.9886,0.0999,0.0153,0.0393,0.058,5.9662
7476,Nail Umiarov,Spartak Moscow,0.0,0.1474,0.7385,0.814,0.5109,0.4326,0.3698,0.1377,0.0156,-,0.0322,0.0141,0.0,0.0473,-,0.3652,1.1301,0.0389,-,-,1.1452,5.9395
8599,Ilya Kukharchuk,Khimki,0.0127,-,-,-,0.2489,-,-,-,0.3589,0.5105,0.3997,0.1686,0.0393,0.814,0.5167,-,1.0363,0.1657,0.8855,0.7769,-,5.9337
2925,Fedor Smolov,Lokomotiv Moscow,0.625,0.336,1.0595,0.5414,-,0.0921,0.1414,0.7463,1.2359,-,0.163,0.0294,0.0663,0.3557,-,-,-,-,-,-,0.5378,5.9298
5940,Sergey Terekhov,PFC Sochi,0.0,0.0176,0.2337,0.2087,1.0534,0.0789,0.0,0.1039,0.0311,-,0.2369,0.1694,0.3523,0.5257,0.4611,0.0,-,0.5099,1.0953,0.6519,0.0806,5.8104
5477,Cristian Ramírez,FC Krasnodar,0.5238,0.3454,0.6645,0.5509,0.4332,0.8363,-,0.5516,0.2149,0.1312,0.1239,0.0346,0.0174,-,0.4662,0.0576,0.2273,0.5647,-,-,-,5.7435
7448,Wilmar Barrios,Zenit St. Petersburg,0.0,0.1101,0.0733,0.7633,0.0225,-,0.2126,0.4188,0.3537,0.1334,0.2899,0.4098,-,0.1599,0.3326,1.5455,-,0.0754,0.4564,0.1913,0.1389,5.6874
5924,Sebastián Driussi,Zenit St. Petersburg,1.4477,0.31,0.2501,1.2853,0.1306,-,-,-,-,-,0.3401,0.4098,-,-,-,0.714,0.4506,0.1426,0.174,-,-,5.6548
6797,Filip Uremovic,Rubin Kazan,0.1261,0.319,0.0891,0.0158,0.3236,0.128,-,0.116,1.2647,0.4137,0.4755,0.4396,0.6553,0.2574,-,-,-,0.6894,0.1973,0.0856,0.0,5.5961
5497,Vladimir Iljin,FK Akhmat,0.0,0.049,1.0576,0.1251,1.0728,0.0656,0.2827,0.3639,0.4037,0.0269,-,0.7492,0.1333,0.1833,0.4833,0.3448,0.0,0.1237,-,0.0794,0.0,5.5443
3067,Artur Yusupov,PFC Sochi,-,-,-,-,-,-,0.026,0.0463,0.0948,0.111,0.5617,0.0,0.1829,0.4549,0.8502,-,0.8202,0.4701,0.7269,1.0879,0.08,5.5129
7447,Yaroslav Rakitskiy,Zenit St. Petersburg,0.1953,0.0733,-,1.352,0.0184,0.0247,-,-,0.2217,0.2297,0.2514,0.7219,0.5672,0.1332,0.2155,-,0.6349,0.0754,0.4112,0.1699,0.1519,5.4476
5397,Alexander Sobolev,Spartak Moscow,0.7497,0.3586,0.904,0.0,0.4555,0.4326,0.1125,0.0,0.0773,0.0,-,-,0.1068,1.171,-,-,-,-,-,0.1497,0.844,5.3617
2854,Daler Kuzyaev,Zenit St. Petersburg,-,-,-,-,-,-,-,-,-,-,0.3671,0.0,0.696,0.2122,0.3575,0.8568,0.8642,0.0367,0.0652,0.8438,1.0166,5.3161
2828,Sergey Parshivlyuk,Dinamo Moscow,0.1742,0.7755,0.1967,0.6408,0.0692,0.1009,0.1069,-,0.3917,0.2206,-,0.0559,0.1635,0.7202,-,-,0.4762,0.6718,0.2029,0.1373,-,5.1043
2869,Reziuan Mirzov,Khimki,-,-,-,-,-,-,-,-,-,0.5747,1.2289,1.0579,0.0812,0.2429,-,0.1695,0.7832,-,-,0.7871,0.0347,4.9601
2832,Brian Idowu,Khimki,0.0758,0.1512,0.0885,0.1345,-,0.0653,0.5302,0.0,0.4157,0.6315,0.8181,0.8854,0.0568,0.0395,0.0,0.0981,0.6961,0.0711,-,0.1414,0.0347,4.9339
2745,Dmitry Zhivoglyadov,Lokomotiv Moscow,0.4497,0.5724,1.4591,-,-,-,0.0521,0.2945,0.5415,0.318,0.1303,0.3304,0.0973,0.3902,0.0749,0.0144,0.0654,0.1392,0.0,0.0,0.0,4.9294
541,Victor Moses,Spartak Moscow,-,-,-,-,-,-,-,-,-,-,0.3839,0.4011,0.6515,0.5283,0.0304,0.4172,0.0634,1.2339,0.0759,0.0719,1.0711,4.9286
8634,Hwang In-Beom,Rubin Kazan,-,-,-,0.0942,0.5587,0.9546,0.1943,-,0.9392,0.4327,0.4816,0.165,0.295,0.1429,-,0.018,0.0733,0.361,0.2102,-,-,4.9207
602,Dejan Lovren,Zenit St. Petersburg,0.0149,0.1536,0.477,1.7152,0.0092,0.0247,0.1308,0.3415,0.0944,0.2245,0.0892,0.0,0.0508,0.0,0.2373,-,-,0.0754,0.1295,1.0564,0.0954,4.9198
7196,Roman Evgeniev,Dinamo Moscow,0.2616,0.1125,0.1119,0.5148,0.0586,0.2705,0.0511,0.2695,0.1706,0.2455,0.0432,-,0.2421,1.2971,0.0784,0.1111,0.1508,0.6166,0.0,-,0.3115,4.9174
5926,Magomed-Shapi Suleymanov,FC Krasnodar,0.2281,0.1273,0.0,0.0713,0.0163,0.0,-,0.5546,0.2432,0.1116,0.2334,0.0437,0.0776,0.0251,0.4126,0.0555,0.3676,0.4163,0.0982,1.1665,0.6089,4.8578
6774,Aleksey Sutormin,Zenit St. Petersburg,-,-,-,0.0292,0.0519,0.0,0.084,0.0158,0.383,0.0,0.0,0.0382,0.0135,0.2504,0.1957,0.2632,1.7257,1.1103,0.4287,0.1091,0.0669,4.7656
2822,George Melkadze,FK Akhmat,-,-,-,0.1783,0.8613,0.1284,0.0183,0.0,0.3454,0.0628,0.5613,0.0,0.3764,0.092,0.5152,0.2395,0.0843,-,0.4066,0.2495,0.6078,4.7271
2789,Denys Kulakov,Ural,0.498,0.356,0.1009,0.0471,0.0124,0.3328,0.0427,0.0604,0.0337,0.0,0.12,0.1851,0.7425,0.5274,0.0459,0.1254,0.2729,0.0293,0.1148,0.9382,0.129,4.7145
5458,Timur Zhamaletdinov,FC Ufa,-,0.0294,0.0554,0.0755,0.0126,0.4586,0.2842,0.0316,-,0.3036,0.0,0.0,0.0718,0.0619,1.4657,0.3777,0.0,0.6042,0.0892,0.4596,0.214,4.595
