id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total
5394,Valeriu Ciuperca,FC Tambov,0.0,0.0,0.4133,0.0,0.0,0.0,0.0,0.0127,0.0,1.1547,0.0816,0.0988,-,0.0546,0.0745,0.7543,-,-,2.6445
5536,Daniil Fomin,Dinamo Moscow,0.0403,0.1221,0.0,0.1089,0.0,0.0372,0.0189,0.0,0.1699,0.0201,0.0,0.1075,0.192,0.7543,0.0831,0.0901,0.7851,-,2.5295
8928,Flamarion Junior,FC Rotor Volgograd,-,-,-,-,-,-,-,-,0.4673,0.0289,0.4377,1.2623,0.0,0.0101,0.0,0.1936,0.0801,-,2.48
7453,Khvicha Kvaratskhelia,Rubin Kazan,0.0451,0.08,0.0906,0.2165,0.6482,0.1183,0.0,0.1668,0.1968,0.4628,0.0,0.4062,0.0,0.0153,-,-,0.0092,-,2.4558
9068,Komnen Andric,FC Ufa,-,-,-,-,-,-,-,-,-,-,-,0.0,0.1845,0.7543,0.5273,0.8499,0.1154,-,2.4314
3131,Zelimkhan Bakaev,Spartak Moscow,0.0268,0.0,0.2771,0.1825,1.311,0.0,0.0,0.0,0.0398,0.0144,-,0.0559,0.0,0.0246,0.0,0.1328,0.2177,-,2.2826
7652,Zuriko Davitashvili,FC Rotor Volgograd,-,-,-,0.0,0.652,0.0611,-,-,-,-,0.863,0.0,0.1617,0.139,0.0613,0.1873,0.1539,-,2.2793
5458,Timur Zhamaletdinov,FC Ufa,-,0.0,0.0259,0.0755,0.0643,0.4312,0.2523,0.1477,-,0.2497,0.0,0.0,0.0718,0.0356,0.6142,0.3087,0.0,-,2.2769
3015,Nikolay Komlichenko,Dinamo Moscow,0.2658,0.0561,0.1164,0.1075,0.0,0.0,0.0,-,0.3164,0.2204,0.1022,0.0403,0.9116,-,0.0125,0.0961,0.0,-,2.2453
2894,Vladislav Ignatjev,Lokomotiv Moscow,0.0999,-,-,0.0,0.0,0.0,0.0,-,0.4687,0.149,-,-,-,0.0,0.0974,0.0338,1.3892,-,2.238
3262,Malcom,Zenit St. Petersburg,0.201,0.2173,0.1996,0.6415,0.1951,0.0639,0.2894,0.064,0.0462,0.0913,-,-,-,-,0.0,0.0712,0.1571,-,2.2376
