id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,total
5461,Odise Roshi,FK Akhmat,-,0.0,0.3477,0.0417,0.0,0.0,-,-,-,-,0.0,-,0.3894
6774,Aleksey Sutormin,Zenit St. Petersburg,-,-,-,0.0292,0.0519,0.0,0.0371,0.0158,0.2535,0.0,0.0,0.0,0.3875
3011,Vitaly Gudiev,FK Akhmat,-,-,-,-,-,-,-,0.0,0.0155,0.0,0.3713,-,0.3868
5495,Jimmy Tabidze,FC Ufa,0.1115,-,-,-,-,-,0.0,0.0533,0.1133,0.0214,0.0186,0.0675,0.3856
3023,Andrey Eshchenko,Spartak Moscow,-,0.0,-,0.0,0.102,0.0164,-,0.0,0.019,0.1334,0.0,0.1146,0.3854
6331,Alexander Lomovitskiy,Khimki,-,0.0,0.0269,0.0701,0.0,0.0501,0.0949,0.0,0.1331,-,-,-,0.3751
2854,Daler Kuzyaev,Zenit St. Petersburg,-,-,-,-,-,-,-,-,-,-,0.3671,0.0,0.3671
6792,Georgi Kostadinov,Arsenal Tula,0.0,-,0.0574,0.0,-,0.0,0.0855,0.0,0.0967,0.1234,-,-,0.363
3014,Stefan Strandberg,Ural,-,-,-,-,-,-,0.1168,0.0765,0.0,-,0.1678,0.0,0.3611
7449,Leon Musaev,Zenit St. Petersburg,0.0533,-,-,-,-,-,-,-,0.3012,-,-,-,0.3545
6890,Danijel Miskic,Ural,-,0.0312,0.1114,0.0,0.0524,0.0137,0.0,0.074,0.0,0.0683,0.0,0.0,0.351
2775,Dmitriy Poloz,FC Rostov,-,-,-,0.2816,0.0,0.0,0.0,-,0.0,0.0,0.0424,0.0208,0.3448
5417,Mohamed Konate,Khimki,0.0408,0.0,0.1391,0.0927,0.0,0.0,-,-,0.0,0.0,0.0145,0.0546,0.3417
6802,Nikita Chicherin,FC Tambov,0.111,0.2185,0.0,0.0108,0.0,0.0,-,-,0.0,-,-,-,0.3403
2895,Arseni Logashov,Khimki,-,-,-,-,-,-,-,-,-,-,0.3323,-,0.3323
6580,Danil Glebov,FC Rostov,0.0,-,0.0,0.1583,0.0807,0.0195,0.0117,-,0.0,-,0.0,0.0561,0.3263
3190,Anton Kilin,FC Tambov,0.0,0.2466,0.0,0.0716,0.0,0.0,-,-,0.0,-,0.0,0.0,0.3182
2908,Dmitri Sysuev,FC Ufa,-,-,-,-,-,-,-,0.0,0.0994,0.2153,0.0,0.0,0.3147
7681,Danila Prokhin,Zenit St. Petersburg,-,0.0,0.0,-,-,-,-,-,0.3128,-,-,-,0.3128
8340,Islambek Kuat,Khimki,-,-,-,-,-,-,0.1871,0.0,0.1247,0.0,-,-,0.3118
8603,Andrei Murnin,Khimki,-,0.0,-,-,0.2296,0.0678,0.0,-,-,-,-,-,0.2974
