team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
CSKA Moscow,0.811,0.5001,0.7787,0.4485,0.6545,0.7322,0.4549,0.6091,0.473,0.7713,0.6499,0.2811,0.5655,0.7459,0.2441,0.6357,0.2912,0.6565,0.8574,0.6422,0.1473,0.1703,0.8725,0.0605,0.4775,0.0093,0.7883,0.6934,0.7034,0.8881,16.6134
FC Rostov,0.7313,0.688,0.1004,0.399,0.2007,0.4498,0.0396,0.643,0.6017,0.2761,0.3587,0.6076,0.7812,0.7785,0.2108,0.7,0.4409,0.945,0.7727,0.6797,0.5977,0.8521,0.2096,0.8725,0.1801,0.6312,0.7538,0.2076,0.5617,0.2631,15.5341
FC Krasnodar,0.8516,0.6677,0.4468,0.1558,0.1037,0.9181,0.6358,0.2826,0.8069,0.656,0.7089,0.6084,0.6706,0.9,0.2015,0.3177,0.3504,0.3775,0.2576,0.8614,0.5178,0.2884,0.488,0.471,0.5038,0.7141,0.1948,0.7452,0.174,0.2088,15.0849
Lokomotiv Moscow,0.3038,0.5741,0.2429,0.2676,0.1515,0.4854,0.8862,0.6619,0.4989,0.5469,0.5029,0.3277,0.5492,0.8191,0.9178,0.5923,0.8143,0.581,0.2015,0.4867,0.8814,0.648,0.713,0.1601,0.3501,0.2967,0.6121,0.4439,0.1792,0.2854,14.9816
Zenit St. Petersburg,0.8521,0.6776,0.0441,0.3498,0.9339,0.6126,0.6409,0.1975,0.2029,0.6844,0.6367,0.5854,0.0981,0.1333,0.341,0.5359,0.8128,0.7307,0.3579,0.7412,0.5454,0.4376,0.1774,0.4688,0.4641,0.8652,0.2967,0.2061,0.6151,0.5731,14.8183
Amkar,0.6638,0.7504,0.6151,0.5963,0.1953,0.6032,0.7991,0.7497,0.1561,0.8603,0.1335,0.7193,0.0937,0.4456,0.8608,0.0978,0.5305,0.7064,0.3655,0.8043,0.806,0.2414,0.774,0.0528,0.1385,0.4393,0.3268,0.4218,0.6466,0.1351,14.729
FC Ufa,0.2525,0.3066,0.5804,0.3224,0.7298,0.6805,0.1202,0.2593,0.4915,0.6824,0.8798,0.4283,0.0557,0.8212,0.7847,0.3137,0.6207,0.0401,0.2658,0.3201,0.3108,0.0129,0.3242,0.3271,0.7731,0.8438,0.1421,0.5708,0.5531,0.7126,13.5262
FK Akhmat,0.7423,0.0459,0.6882,0.6247,0.8107,0.1111,0.1609,0.4306,0.1298,0.5111,0.5589,0.2094,0.1827,0.9819,0.7809,0.7889,0.7939,0.534,0.495,0.1621,0.2051,0.1851,0.2417,0.2037,0.5943,0.6302,0.5614,0.5655,0.3367,0.0677,13.3344
FC Orenburg,0.4168,0.3856,0.9575,0.7226,0.1891,0.5236,0.4348,0.6193,0.0791,0.1319,0.101,0.6472,0.2194,0.5166,0.0736,0.1371,0.7167,0.459,0.6483,0.5395,0.196,0.4295,0.914,0.7332,0.1485,0.0358,0.5468,0.1076,0.6651,0.5746,12.8698
Spartak Moscow,0.409,0.8051,0.4055,0.4865,0.2624,0.5548,0.1662,0.3098,0.0033,0.3437,0.6235,0.1255,0.749,0.9552,0.4835,0.0147,0.3663,0.1815,0.6337,0.6968,0.1467,0.1328,0.1596,0.0799,0.7719,0.0934,0.6556,0.4566,0.5305,0.0124,11.6154
Rubin Kazan,0.706,0.1522,0.635,0.315,0.7098,0.7868,0.0162,0.4367,0.651,0.2097,0.14,0.3485,0.0036,0.718,0.298,0.7894,0.1969,0.1503,0.6097,0.4497,0.3588,0.2312,0.4761,0.3219,0.0426,0.0353,0.592,0.1342,0.0742,0.2601,10.8489
Anzhi Makhachkala,0.2529,0.0432,0.1854,0.0812,0.104,0.7345,0.5724,0.1307,0.5241,0.1763,0.4516,0.5201,0.0268,0.7265,0.0168,0.402,0.371,0.8282,0.173,0.5836,0.0607,0.24,0.5773,0.6964,0.2086,0.5897,0.5862,0.6888,0.1591,0.1248,10.8359
Arsenal Tula,0.0801,0.3854,0.547,0.5986,0.1643,0.0439,0.6483,0.4966,0.0661,0.3499,0.1228,0.4628,0.0675,0.3059,0.1979,0.3959,0.8506,0.0709,0.7837,0.016,0.8586,0.0481,0.0277,0.3891,0.5878,0.5749,0.3403,0.0127,0.5449,0.6923,10.7306
Krylya Sovetov Samara,0.1269,0.0446,0.5063,0.1065,0.211,0.4616,0.3266,0.7932,0.6325,0.0583,0.1038,0.4808,0.2631,0.1097,0.6009,0.4867,0.4055,0.1017,0.2076,0.1578,0.4686,0.1513,0.0817,0.4584,0.3186,0.4405,0.3425,0.1956,0.7817,0.3821,9.8061
Ural,0.4332,0.4985,0.4522,0.2787,0.5463,0.0236,0.8075,0.5108,0.2573,0.0682,0.7788,0.0296,0.1101,0.3189,0.4373,0.7334,0.0357,0.8037,0.1287,0.1967,0.099,0.1844,0.7837,0.0045,0.3865,0.0994,0.1076,0.2231,0.1268,0.1937,9.6579
Tom Tomsk,0.0783,0.0178,0.6302,0.1442,0.514,0.7199,0.6922,0.204,0.4676,0.0363,0.3672,0.2313,0.4473,0.7414,0.1462,0.1076,0.3425,0.2892,0.0475,0.6056,0.3913,0.0044,0.2653,0.1048,0.0017,0.1292,0.0635,0.1403,0.0151,0.0104,7.9563
