team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
Manchester City,0.7414,0.4682,0.6467,0.4766,0.3934,0.4648,0.3148,0.3811,0.8595,0.228,0.7017,0.904,0.5188,0.0995,0.6037,0.0851,0.4942,0.8309,0.7066,0.8369,0.0773,0.2203,0.3353,0.3019,0.885,0.4053,0.8927,0.1358,0.8859,0.8488,0.3723,0.2142,0.6201,0.7328,0.7895,0.5206,0.2558,0.5878,19.8373
Tottenham,0.4861,0.3993,0.4996,0.2655,0.854,0.4486,0.8176,0.836,0.4837,0.3545,0.2685,0.0529,0.3911,0.3382,0.6905,0.4105,0.7208,0.0012,0.8496,0.5448,0.6624,0.4833,0.7417,0.2301,0.3606,0.2162,0.5853,0.8267,0.8666,0.217,0.2294,0.1726,0.0014,0.1889,0.1816,0.0285,0.4188,0.2414,16.3655
Liverpool,0.0282,0.4105,0.6008,0.0161,0.7004,0.0017,0.7483,0.7833,0.0286,0.9445,0.2695,0.5211,0.4417,0.3642,0.0726,0.2242,0.5297,0.5459,0.2567,0.7571,0.361,0.3601,0.4376,0.5373,0.7427,0.0175,0.3544,0.7055,0.7701,0.348,0.6805,0.0577,0.4011,0.5264,0.0849,0.336,0.4295,0.9595,16.3549
Chelsea,0.5444,0.4752,0.7138,0.119,0.1245,0.5369,0.2528,0.1704,0.1092,0.6194,0.4013,0.4968,0.175,0.9593,0.5549,0.6446,0.5826,0.5173,0.7001,0.6238,0.7178,0.2538,0.1845,0.3771,0.167,0.054,0.5046,0.2147,0.3547,0.2759,0.1477,0.7305,0.2232,0.7946,0.5923,0.6437,0.3768,0.0194,15.9536
Manchester United,0.4959,0.723,0.4638,0.1504,0.2686,0.4232,0.7781,0.0979,0.1557,0.2232,0.1216,0.2654,0.5373,0.1375,0.0014,0.0664,0.4274,0.1776,0.132,0.3162,0.376,0.2496,0.1702,0.5555,0.1056,0.8754,0.456,0.1137,0.4549,0.4175,0.8672,0.0101,0.3694,0.2302,0.4743,0.3082,0.4232,0.4827,12.9023
Leicester,0.0465,0.8821,0.0165,0.3333,0.4843,0.1091,0.1836,0.8538,0.5629,0.5534,0.2489,0.0248,0.4368,0.0399,0.4399,0.2939,0.2383,0.0672,0.0308,0.1641,0.0429,0.7926,0.5291,0.4461,0.1403,0.4805,0.0305,0.8446,0.117,0.6848,0.0927,0.7465,0.2483,0.4091,0.0158,0.1692,0.1039,0.0719,11.9759
Arsenal,0.1179,0.4815,0.0095,0.53,0.436,0.3978,0.6706,0.0815,0.3545,0.3601,0.035,0.5445,0.659,0.6078,0.016,0.2199,0.6523,0.7464,0.0731,0.2761,0.124,0.0144,0.4068,0.5891,0.0466,0.1469,0.0418,0.0711,0.1616,0.0951,0.703,0.0365,0.3581,0.522,0.1046,0.8,0.0491,0.2324,11.7726
Southampton,0.6341,0.1287,0.1625,0.5381,0.0668,0.1888,0.0045,0.366,0.5696,0.1051,0.8692,0.0872,0.8597,0.1626,0.2984,0.5314,0.0484,0.2619,0.2835,0.0088,0.0919,0.174,0.0962,0.2166,0.1719,0.3438,0.0552,0.0254,0.6741,0.1414,0.1565,0.0994,0.5044,0.5839,0.2979,0.6487,0.671,0.4349,11.5625
Crystal Palace,0.0502,0.0242,0.322,0.6275,0.2769,0.0002,0.009,0.51,0.7584,0.4194,0.3259,0.0784,0.5181,0.6113,0.135,0.3381,0.1561,0.4494,0.5254,0.1121,0.3009,0.6287,0.3562,0.0028,0.1649,0.2623,0.1385,0.124,0.2289,0.006,0.798,0.1075,0.0309,0.021,0.5389,0.3044,0.4309,0.8022,11.4946
Burnley,0.206,0.5017,0.0543,0.1222,0.045,0.7249,0.383,0.3355,0.0055,0.5874,0.4416,0.6429,0.0812,0.2479,0.1389,0.376,0.349,0.1018,0.0094,0.1159,0.9517,0.0329,0.1032,0.4039,0.0275,0.0543,0.414,0.5024,0.1153,0.4526,0.6658,0.2066,0.088,0.1119,0.693,0.6785,0.0029,0.194,11.1686
West Bromwich Albion,0.6766,0.1966,0.3316,0.6639,0.7614,0.0321,0.1031,0.3239,0.0325,0.0108,0.7644,0.1197,0.0632,0.2655,0.4055,0.3421,0.0603,0.34,0.0944,0.6415,0.3794,0.3079,0.5724,0.3101,0.039,0.3206,0.0594,0.2685,0.2538,0.1001,0.4942,0.0671,0.4697,0.5144,0.127,0.1399,0.3446,0.0283,11.0255
Everton,0.7532,0.2934,0.2762,0.0658,0.0104,0.6711,0.667,0.2882,0.0078,0.1585,0.0341,0.0584,0.0936,0.1799,0.7925,0.1109,0.5561,0.3601,0.0668,0.2796,0.2094,0.1934,0.0013,0.2154,0.0143,0.0126,0.0905,0.5328,0.0574,0.7186,0.3101,0.0866,0.2929,0.2551,0.607,0.5385,0.5017,0.2483,10.6095
Huddersfield,0.3435,0.328,0.3994,0.0244,0.1451,0.6498,0.1748,0.0203,0.4035,0.0471,0.6736,0.1918,0.0132,0.0011,0.3876,0.7537,0.0927,0.5447,0.1111,0.2684,0.2356,0.1636,0.3322,0.3412,0.0566,0.0507,0.6184,0.1454,0.124,1.0,0.0094,0.0323,0.1602,0.7247,0.3313,0.4421,0.0791,0.0057,10.4263
Newcastle United,0.0493,0.7598,0.5077,0.1223,0.4782,0.5868,0.1176,0.082,0.5548,0.2715,0.2328,0.0345,0.077,0.3889,0.0128,0.6334,0.024,0.104,0.0298,0.1155,0.5036,0.1309,0.3572,0.0289,0.2079,0.0122,0.1334,0.2299,0.1612,0.5705,0.7333,0.1383,0.1923,0.3255,0.4603,0.0061,0.4052,0.3111,10.0905
Watford,0.0053,0.3656,0.3637,0.7091,0.0007,0.0242,0.054,0.3131,0.1101,0.413,0.0218,0.1232,0.391,0.1521,0.3574,0.6031,0.2488,0.0008,0.2015,0.1329,0.1685,0.0298,0.356,0.1043,0.4644,0.5316,0.0926,0.4359,0.2802,0.0344,0.1027,0.0432,0.1522,0.3174,0.8299,0.1048,0.5124,0.5845,9.7362
