id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
4280,Davie Selke,Hertha Berlin,-,-,-,-,-,-,-,0,1,1,3,2,2,5,0,3,4,1,1,0,2,1,2,0,1,0,0,1,4,4,1,1,6,0,46
3834,Ishak Belfodil,Werder Bremen,-,-,0,2,0,4,1,1,3,3,0,0,0,-,-,2,4,2,0,2,1,-,1,1,2,2,6,3,2,3,0,-,-,-,45
335,Leon Goretzka,Schalke 04,1,2,2,3,3,0,5,4,1,-,-,-,2,1,-,-,-,-,0,2,1,1,1,1,-,1,0,1,2,1,2,2,3,3,45
1819,Kevin-Prince Boateng,Eintracht Frankfurt,2,1,4,5,0,1,1,1,2,0,3,1,1,1,2,0,1,2,4,2,0,0,3,-,1,2,2,0,1,0,-,-,1,0,44
186,Karim Bellarabi,Bayer Leverkusen,6,7,2,5,2,-,0,-,0,-,-,0,0,0,0,6,3,0,-,-,3,1,-,0,3,-,1,-,-,0,2,2,0,1,44
6142,Tim Kleindienst,Freiburg,2,-,3,0,-,-,-,-,-,-,-,-,-,0,5,7,2,-,0,0,2,3,0,0,-,2,0,1,3,1,3,3,5,2,44
4247,Maximilian Philipp,Borussia Dortmund,2,5,3,5,0,4,0,2,6,-,-,3,-,0,-,-,-,-,-,-,-,-,-,-,0,2,1,0,4,0,1,3,3,-,44
125,Maximilian Eggestein,Werder Bremen,2,0,0,2,0,0,0,-,1,1,3,2,2,2,1,1,3,1,0,2,1,1,0,4,1,2,4,0,1,0,0,5,1,1,44
82,Nadiem Amiri,Hoffenheim,2,1,0,0,3,0,-,0,-,5,5,2,2,1,0,-,3,-,1,0,2,2,0,-,1,0,1,-,1,4,0,4,4,0,44
261,Julian Brandt,Bayer Leverkusen,3,1,0,2,2,0,1,1,1,2,0,1,1,1,1,0,1,1,2,1,0,0,1,1,1,1,2,3,2,2,1,1,1,5,43
224,Thomas Müller,Bayern Munich,1,1,3,2,3,2,0,1,0,-,-,-,-,4,0,3,1,1,3,0,1,2,2,0,3,1,0,3,0,3,2,-,1,0,43
301,Zlatko Junuzovic,Werder Bremen,-,-,-,-,-,-,1,5,1,2,1,1,-,2,2,2,-,2,3,2,2,1,-,2,-,0,1,3,2,2,1,2,1,1,42
412,André Hahn,Hamburger SV,0,3,3,6,3,3,5,3,2,1,0,0,-,0,0,-,2,2,6,0,-,1,1,1,0,-,-,0,-,-,-,-,-,-,42
5247,Naby Keita,RasenBallsport Leipzig,1,1,6,1,-,-,-,0,2,0,1,1,2,2,-,1,4,1,-,0,2,2,0,-,2,4,1,1,2,0,1,2,-,2,42
3603,Corentin Tolisso,Bayern Munich,4,2,4,-,1,2,2,1,2,0,-,0,2,2,0,0,1,0,-,0,4,-,3,-,2,0,-,-,3,3,-,1,1,2,42
426,Daniel Ginczek,VfB Stuttgart,-,-,-,-,-,0,2,1,-,2,2,0,-,-,-,-,-,0,3,1,3,2,4,7,0,4,1,4,0,2,1,0,0,3,42
2235,Bruma,RasenBallsport Leipzig,0,2,1,0,4,-,3,1,-,1,0,0,-,0,1,1,4,4,2,1,1,2,-,2,1,0,2,1,3,-,2,0,-,2,41
6144,Sébastien Haller,Eintracht Frankfurt,3,3,0,2,2,1,3,1,4,1,1,0,0,0,1,-,1,6,2,0,0,1,1,0,1,0,-,-,2,2,0,1,0,2,41
1275,Robin Quaison,Mainz 05,2,1,0,3,-,-,-,0,-,-,-,-,0,-,3,0,2,2,5,2,2,1,4,3,1,1,2,0,3,2,1,-,-,1,41
43,Danny Latza,Mainz 05,3,2,1,0,3,0,1,3,1,0,-,1,3,4,1,0,2,-,1,0,2,0,2,3,0,1,0,2,2,2,1,-,-,-,41
4271,Janik Haberer,Freiburg,0,0,0,0,3,1,2,0,3,1,1,1,2,5,3,2,1,0,1,0,3,-,2,1,0,1,1,1,0,0,2,1,2,1,41
2249,James Rodríguez,Bayern Munich,-,-,0,-,2,1,-,-,0,6,1,0,0,6,0,2,4,3,1,-,3,0,-,-,-,-,0,3,1,1,3,-,2,2,41
269,Dominik Kohr,Bayer Leverkusen,3,2,3,2,4,0,0,0,-,0,1,2,1,-,3,1,2,2,-,1,3,3,2,1,-,0,-,2,-,0,1,0,1,0,40
144,Milos Jojic,FC Cologne,2,2,-,0,2,1,3,3,2,1,1,2,1,0,0,1,1,2,3,4,4,1,0,-,3,-,-,-,-,-,-,-,0,1,40
307,Suat Serdar,Mainz 05,-,-,1,1,2,1,-,2,-,2,4,1,0,1,0,5,-,-,3,0,1,0,0,1,2,4,2,2,2,1,1,-,-,-,39
5224,Bobby Wood,Hamburger SV,2,2,0,-,0,3,4,1,0,0,-,0,3,2,-,-,-,3,0,1,4,1,4,0,-,-,1,-,-,-,2,2,2,2,39
3962,Anastasios Donis,VfB Stuttgart,2,-,2,2,0,4,3,10,-,-,-,-,-,1,3,1,-,1,1,2,2,-,-,-,-,-,-,-,-,-,3,0,0,1,38
5250,Yussuf Poulsen,RasenBallsport Leipzig,0,-,0,0,0,2,5,2,3,1,3,-,2,0,2,0,0,0,1,0,-,4,1,0,1,1,5,2,0,0,-,2,0,1,38
