fpl_id,first_name,second_name,web_name,position,team,start_cost,now_cost,fbref_id,understat_id
1,Bernd,Leno,Leno,G,Arsenal,5.0,5.0,2628fd2b,181
2,Rúnar Alex,Rúnarsson,Rúnarsson,G,Arsenal,4.0,4.0,8fa8f8d2,6875
3,Willian,Borges Da Silva,Willian,M,Arsenal,6.5,6.5,8b9ebd03,700
4,Pierre-Emerick,Aubameyang,Aubameyang,F,Arsenal,10.0,10.0,d5dd5f1f,318
5,Cédric,Soares,Cédric,D,Arsenal,4.5,4.5,839c14e1,847
6,Alexandre,Lacazette,Lacazette,F,Arsenal,8.5,8.5,9dbb75ca,3277
7,Granit,Xhaka,Xhaka,M,Arsenal,5.0,5.0,e61b8aee,204
8,Pablo,Marí,Marí,D,Arsenal,4.5,4.5,aa54ec6f,8380
9,Héctor,Bellerín,Bellerín,D,Arsenal,5.0,5.0,f874dd44,492
10,Calum,Chambers,Chambers,D,Arsenal,4.5,4.5,dc6f5bdd,508
11,Sead,Kolasinac,Kolasinac,D,Arsenal,4.5,4.5,3935e52e,342
12,Mohamed Naser,El Sayed Elneny,Elneny,M,Arsenal,4.5,4.5,47a34c4f,496
13,Ainsley,Maitland-Niles,Maitland-Niles,M,Arsenal,5.5,5.5,e3a5814e,1750
14,Rob,Holding,Holding,D,Arsenal,4.5,4.5,d79a8c87,1749
15,Thomas,Partey,Partey,M,Arsenal,5.0,5.0,529f49ab,2328
16,Kieran,Tierney,Tierney,D,Arsenal,5.0,5.0,fce2302c,8089
17,Nicolas,Pépé,Pépé,M,Arsenal,7.5,7.5,57e3f0c7,5656
18,Lucas,Torreira,Torreira,M,Arsenal,4.5,4.5,52611641,1227
19,Joseph,Willock,Willock,M,Arsenal,6.0,6.0,a3b03921,6630
20,Edward,Nketiah,Nketiah,F,Arsenal,5.5,5.5,a53649b7,6482
21,Emile,Smith Rowe,Smith Rowe,M,Arsenal,5.5,5.5,17695062,7230
22,Bukayo,Saka,Saka,M,Arsenal,6.5,6.5,bc7dc64d,7322
23,Gabriel,Magalhães,Gabriel,D,Arsenal,5.0,5.0,67ac5bb8,5613
24,Konstantinos,Mavropanos,Mavropanos,D,Arsenal,4.5,4.5,00963611,6722
25,Mattéo,Guendouzi,Guendouzi,M,Arsenal,4.5,4.5,5ea8ef20,5759
26,Gabriel Teodoro,Martinelli Silva,Martinelli,M,Arsenal,5.5,5.5,48a5a5d6,7752
27,William,Saliba,Saliba,D,Arsenal,4.5,4.5,972aeb2a,6888
28,Jed,Steer,Steer,G,Aston Villa,4.0,4.0,a8a3d139,4475
29,Conor,Hourihane,Hourihane,M,Aston Villa,5.0,5.0,fcab00a0,7721
30,Emiliano,Martínez,Martínez,G,Aston Villa,5.5,5.5,7956236f,4401
31,Björn,Engels,Engels,D,Aston Villa,4.5,4.5,4fdf1fd9,7152
32,Bertrand,Traoré,Traoré,M,Aston Villa,6.0,6.0,c47541e0,695
33,Jack,Grealish,Grealish,M,Aston Villa,8.0,8.0,b0b4fd3e,675
34,Morgan,Sanson,Sanson,M,Aston Villa,5.0,5.0,6e7f1353,3696
35,John,McGinn,McGinn,M,Aston Villa,6.0,6.0,90f91999,7723
36,Kortney,Hause,Hause,D,Aston Villa,4.5,4.5,bf8fad51,6859
37,Mahmoud Ahmed,Ibrahim Hassan,Trézéguet,M,Aston Villa,5.5,5.5,3ae14ed1,7722
