team,pos,fpl_first_name,fpl_last_name,fpl_web_name,start_cost,now_cost,FPL_ID,Understat_ID
Fulham,G,Fabricio,Agosto Ramírez,Fabri,4,4.0,171,2587
Fulham,M,Kevin,McDonald,McDonald,5,4.7,172,6836
Fulham,D,Maxime,Le Marchand,Le Marchand,4.5,4.1,173,3304
Fulham,M,Stefan,Johansen,Johansen,5,4.7,174,6838
Fulham,M,Tom,Cairney,Cairney,5.5,5.2,175,6835
Fulham,D,Tim,Ream,Ream,4.5,4.2,176,7184
Fulham,M,Anthony,Knockaert,Knockaert,5.5,5.0,177,4497
Fulham,D,Michael,Hector,Hector,4.5,4.2,178,5274
Fulham,D,Cyrus,Christie,Christie,4.5,4.2,179,6833
Fulham,M,Neeskens,Kebano,Kebano,5,4.7,180,6840
Fulham,F,Bobby,Decordova-Reid,Decordova-Reid,5.5,5.3,181,6827
Fulham,D,Joe,Bryan,Bryan,5,4.6,182,6834
Fulham,G,Marcus,Bettinelli,Bettinelli,4.5,4.3,183,7076
Fulham,F,Aleksandar,Mitrović,Mitrović,6,5.5,184,773
Fulham,D,Alfie,Mawson,Mawson,4.5,4.3,185,1727
Fulham,G,Marek,Rodák,Rodák,4.5,4.3,186,8704
Fulham,M,Ivan Ricardo,Neves Abreu Cavaleiro,Cavaleiro,5.5,5.3,187,3683
Fulham,M,Josh,Onomah,Onomah,5,4.6,188,661
Fulham,M,Jean Michaël,Seri,Seri,5,4.6,189,3312
Fulham,M,Aboubakar,Kamara,Kamara,5,4.8,190,4866
Fulham,M,André-Frank,Zambo Anguissa,Anguissa,4.5,4.5,191,6434
Fulham,D,Zeze Steven,Sessegnon,Sessegnon,4.5,4.3,192,-1
Leeds,M,Pablo,Hernández Domínguez,Hernández,6,5.7,193,2164
Leeds,G,Francisco,Casilla Cortés,Casilla,4.5,4.2,194,2259
Leeds,D,Liam,Cooper,Cooper,4.5,4.3,195,8816
Leeds,D,Barry,Douglas,Douglas,4,3.8,196,-1
Leeds,D,Luke,Ayling,Ayling,4.5,4.4,197,8716
Leeds,M,Mateusz,Klich,Klich,5.5,5.3,198,4381
Leeds,M,Adam,Forshaw,Forshaw,5,4.8,199,1711
Leeds,D,Stuart,Dallas,Dallas,4.5,4.8,200,8718
Leeds,D,Ezgjan,Alioski,Alioski,4.5,4.4,201,8722
Leeds,F,Patrick,Bamford,Bamford,5.5,6.6,202,822
Leeds,M,Jack,Harrison,Harrison,5.5,5.4,203,8720
Leeds,M,Kalvin,Phillips,Phillips,5,4.9,204,8719
Leeds,M,Hélder Wander,Sousa de Azevedo e Costa,Costa,5.5,5.1,205,3428
Leeds,M,Tyler,Roberts,Roberts,5,4.7,206,1014
Leeds,M,Jay-Roy,Grot,Grot,5,4.7,207,-1
Leeds,G,Kamil,Miazek,Miazek,4,4.0,208,-1
Leeds,M,Ian Carlo,Poveda-Ocampo,Poveda-Ocampo,4.5,4.3,209,8723
Leeds,M,Jamie,Shackleton,Shackleton,5,4.8,210,8721
Leeds,D,Pascal,Struijk,Struijk,4,3.9,211,8717
Leeds,M,Jordan,Stevens,Stevens,4.5,4.3,212,-1
Leeds,G,Illan,Meslier,Meslier,4.5,4.7,213,8715
Leeds,D,Leif,Davis,Davis,4,3.9,214,8919
Leeds,D,Oliver,Casey,Casey,4,3.9,215,-1
Leicester,D,Wes,Morgan,Morgan,4.5,4.4,216,748
Leicester,G,Kasper,Schmeichel,Schmeichel,5.5,5.5,217,745
Leicester,D,Christian,Fuchs,Fuchs,4.5,4.5,218,749
Leicester,D,Jonny,Evans,Evans,5.5,5.5,219,807
Leicester,M,Adrien,Silva,Silva,4.5,4.4,220,6464
Leicester,M,Marc,Albrighton,Albrighton,5.5,5.2,221,753
Leicester,M,Matty,James,James,4.5,4.3,222,4441
Leicester,G,Danny,Ward,Ward,4.5,4.3,223,473
Leicester,F,Jamie,Vardy,Vardy,10,10.0,224,755
Leicester,M,Dennis,Praet,Praet,5.5,5.2,225,1234
Leicester,D,Ricardo Domingos,Barbosa Pereira,Pereira,6,5.9,226,3303
Leicester,D,Daniel,Amartey,Amartey,4,3.9,227,759
Leicester,M,Youri,Tielemans,Tielemans,6.5,6.4,228,5956
Leicester,M,Ayoze,Pérez,Pérez,6.5,6.0,229,770
