team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
Atletico Madrid,0.0291,0.126,0.461,0.6302,0.0883,0.6845,0.6441,0.1445,0.3968,0.4875,0.6509,0.1781,0.2778,0.075,0.7521,0.553,0.3383,0.33,0.344,0.3657,0.6213,0.7176,0.6544,0.8194,0.2733,0.4245,0.4335,0.324,0.1231,0.3123,0.0589,0.4874,0.3919,0.4714,0.5767,0.3079,0.1809,0.3477,15.0831
Barcelona,0.8557,0.5025,0.4348,0.3035,0.3415,0.3591,0.4576,0.7044,0.5183,0.3864,0.6943,0.2307,0.0343,0.0729,0.441,0.753,0.2226,0.468,0.4455,0.7236,0.2757,0.3282,0.7119,0.5913,0.436,0.1213,0.8505,0.5303,0.3328,0.0086,0.5082,0.0439,0.0024,0.0483,0.1005,0.2824,0.0049,0.4102,14.5371
Getafe,0.3049,0.1785,0.0876,0.5582,0.4338,0.2859,0.0449,0.0615,0.434,0.2824,0.4146,0.516,0.1864,0.5285,0.2174,0.6721,0.1131,0.1778,0.6773,0.1218,0.1235,0.9031,0.3185,0.9207,0.2571,0.7148,0.0789,0.4079,0.6441,0.3854,0.1472,0.5515,0.329,0.663,0.0544,0.0959,0.3517,0.3548,13.5982
Eibar,0.3587,0.1761,0.0203,0.7835,0.027,0.2698,0.0207,0.5797,0.1645,0.3246,0.0015,0.4449,0.6561,0.76,0.7578,0.2485,0.6994,0.2153,0.1228,0.197,0.1062,0.0809,0.895,0.0321,0.1443,0.5909,0.2243,0.1032,0.093,0.4261,0.0567,0.8854,0.6044,0.5104,0.462,0.1396,0.5758,0.1545,12.913
Athletic Club,0.7078,0.2638,0.7257,0.3798,0.058,0.0491,0.0258,0.1218,0.4067,0.0291,0.2546,0.1111,0.072,0.1109,0.2645,0.6131,0.22,0.7887,0.5724,0.0007,0.6046,0.003,0.694,0.3762,0.1179,0.8191,0.0505,0.1816,0.0104,0.6062,0.5431,0.1927,0.2281,0.1307,0.1046,0.8324,0.7041,0.2898,12.2646
Real Betis,0.2305,0.7661,0.1637,0.6792,0.0191,0.673,0.082,0.1022,0.5018,0.4442,0.402,0.0251,0.1541,0.0468,0.3737,0.3099,0.0143,0.2379,0.0865,0.0486,0.0266,0.1199,0.2272,0.1167,0.381,0.6641,0.2874,0.4268,0.8342,0.0271,0.5687,0.6228,0.979,0.2064,0.5417,0.3054,0.0712,0.2025,11.9694
Real Madrid,0.1165,0.2947,0.3327,0.681,0.2387,0.4476,0.7514,0.3242,0.6878,0.0314,0.8755,0.416,0.5393,0.0713,0.6752,0.0056,0.0515,0.3665,0.0776,0.1709,0.203,0.3159,0.048,0.1185,0.5283,0.4331,0.2323,0.2023,0.122,0.3709,0.203,0.2609,0.3236,0.0511,0.2187,0.0469,0.8106,0.1975,11.842
Valencia,0.7955,0.0135,0.5154,0.2693,0.4001,0.1896,0.0365,0.0392,0.4032,0.5212,0.1994,0.2756,0.3582,0.3581,0.2133,0.4313,0.2581,0.1146,0.0269,0.0087,0.0166,0.54,0.8246,0.2438,0.5014,0.0654,0.684,0.3154,0.2486,0.3581,0.2997,0.0743,0.5702,0.4089,0.1707,0.1054,0.5387,0.0976,11.4911
Real Sociedad,0.1018,0.884,0.2694,0.0256,0.075,0.0247,0.0792,0.5621,0.4289,0.0537,0.7553,0.2107,0.0596,0.0121,0.0265,0.3554,0.7326,0.2538,0.2172,0.1044,0.0177,0.8015,0.0001,0.4982,0.0662,0.6945,0.6639,0.0134,0.4137,0.5727,0.5179,0.4267,0.619,0.294,0.1785,0.0938,0.1412,0.2135,11.4585
Girona,0.3914,0.713,0.0769,0.2152,0.6142,0.2158,0.0226,0.244,0.0603,0.1383,0.4579,0.2108,0.2605,0.0764,0.6967,0.7625,0.0285,0.1039,0.8636,0.1903,0.4122,0.696,0.01,0.5137,0.022,0.6494,0.5721,0.4408,0.0071,0.0576,0.0064,0.1971,0.3622,0.313,0.0127,0.1173,0.3485,0.1803,11.2612
Leganes,0.1981,0.2213,0.6675,0.6752,0.188,0.3187,0.566,0.2254,0.3817,0.1027,0.0347,0.0227,0.1382,0.3351,0.373,0.3915,0.4367,0.0523,0.0745,0.1524,0.2677,0.1799,0.1338,0.0633,0.8744,0.0349,0.5295,0.2374,0.6272,0.9197,0.0135,0.4009,0.2013,0.3384,0.079,0.179,0.0176,0.0925,10.7457
Deportivo La Coruna,0.0124,0.0409,0.0739,0.0072,0.8019,0.0153,0.1607,0.5575,0.0916,0.569,0.5971,0.0169,0.137,0.1384,0.8854,0.0,0.1206,0.1837,0.5316,0.0218,0.3114,0.0177,0.3205,0.5439,0.6785,0.0078,0.5324,0.2055,0.7249,0.1279,0.4801,0.4499,0.1367,0.4554,0.0073,0.3187,0.0111,0.0314,10.324
Villarreal,0.1475,0.025,0.3864,0.6056,0.3292,0.0058,0.5337,0.126,0.4238,0.168,0.5377,0.3309,0.0669,0.2412,0.0019,0.3756,0.0873,0.1058,0.0561,0.1636,0.3948,0.5767,0.36,0.1727,0.0612,0.3163,0.7305,0.2811,0.1655,0.1125,0.0031,0.073,0.8086,0.1266,0.5505,0.0078,0.0422,0.295,9.7961
Espanyol,0.0059,0.16,0.0004,0.3845,0.0779,0.2048,0.0238,0.3557,0.2139,0.6728,0.3283,0.1761,0.3351,0.0664,0.0946,0.1151,0.4023,0.258,0.2281,0.1229,0.4148,0.4776,0.0314,0.2173,0.0702,0.2509,0.0431,0.3416,0.4427,0.5692,0.0824,0.4859,0.7421,0.1036,0.0793,0.6639,0.0661,0.3799,9.6886
Alaves,0.0929,0.0286,0.0228,0.02,0.0869,0.0337,0.3055,0.3491,0.4201,0.1837,0.4598,0.0012,0.2335,0.6485,0.7481,0.262,0.7346,0.0293,0.4157,0.121,0.0192,0.2383,0.1008,0.8199,0.0106,0.7392,0.0783,0.1249,0.0381,0.5144,0.2229,0.2251,0.0774,0.6986,0.0187,0.1161,0.2973,0.0537,9.5905
Sevilla,0.2637,0.18,0.3751,0.0636,0.6783,0.1313,0.6414,0.2938,0.1358,0.1918,0.0927,0.046,0.0655,0.5044,0.0087,0.2789,0.0793,0.1185,0.532,0.2662,0.3978,0.1303,0.0888,0.1822,0.0125,0.7371,0.5818,0.2714,0.1048,0.1725,0.0474,0.2344,0.1065,0.1076,0.4956,0.0274,0.1926,0.2101,9.0478
Celta Vigo,0.0583,0.1554,0.5727,0.4723,0.428,0.2751,0.1965,0.1219,0.1939,0.0302,0.2325,0.1851,0.2854,0.0071,0.1322,0.4485,0.111,0.1019,0.1028,0.0553,0.1366,0.2274,0.7743,0.1275,0.1242,0.2035,0.4272,0.1312,0.5571,0.0455,0.0967,0.1052,0.0389,0.0435,0.0007,0.3976,0.099,0.7625,8.4647
Levante,0.6237,0.4234,0.0016,0.0915,0.5544,0.0626,0.0229,0.0394,0.3859,0.1661,0.119,0.35,0.0244,0.4027,0.0606,0.0513,0.7495,0.0696,0.7107,0.003,0.2167,0.2518,0.0035,0.0418,0.0597,0.0428,0.2968,0.1482,0.0804,0.3555,0.1591,0.2842,0.5637,0.1246,0.3651,0.2105,0.0652,0.0006,8.1825
Malaga,0.1438,0.0773,0.1007,0.1577,0.0038,0.0653,0.0308,0.0523,0.0482,0.2903,0.2336,0.1751,0.0028,0.5748,0.1347,0.0244,0.051,0.7336,0.1635,0.1605,0.4607,0.7325,0.5571,0.1619,0.5055,0.3491,0.2834,0.0584,0.1621,0.6813,0.0369,0.0449,0.1734,0.2133,0.0951,0.1128,0.0008,0.1181,7.9715
Las Palmas,0.1858,0.5848,0.3469,0.2834,0.1727,0.0987,0.0002,0.1464,0.0099,0.0672,0.0507,0.3191,0.0937,0.6957,0.008,0.0333,0.0255,0.068,0.003,0.0845,0.0023,0.3404,0.4919,0.0089,0.1487,0.2894,0.1614,0.0132,0.2327,0.0011,0.101,0.0185,0.2221,0.1506,0.0501,0.221,0.2495,0.1378,6.1181
