team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
Paris Saint Germain,0.3837,0.3111,0.15,0.7339,0.2017,0.7349,0.1117,0.3597,0.8122,1.0,0.2116,0.8295,0.4969,0.3665,0.7362,0.5446,0.5632,0.3391,0.8999,0.6754,0.4296,0.5545,0.7288,0.7037,0.3509,0.887,0.3783,0.5325,0.7866,0.1514,0.5365,0.5477,0.7052,0.3091,0.2127,0.9013,0.7279,0.0819,19.9874
Monaco,0.449,0.7177,0.2703,0.4106,0.8071,0.0412,0.0716,0.7047,0.2027,0.1487,0.7326,0.7148,0.2828,0.4425,0.2026,0.7236,0.4733,0.0772,0.0737,0.1188,0.8134,0.1302,0.2106,0.2411,0.6851,0.5003,0.7236,0.6027,0.3875,0.7727,0.1168,0.0183,0.4621,0.3121,0.5721,0.5296,0.689,0.0413,15.474
Nantes,0.7365,0.5469,0.0647,0.1336,0.7131,0.8233,0.0587,0.4226,0.4705,0.4181,0.1005,0.1285,0.101,0.7042,0.0029,0.1875,0.4145,0.2094,0.3895,0.6266,0.0921,0.4815,0.6453,0.2816,0.1272,0.6666,0.0431,0.0302,0.2103,0.8561,0.4075,0.358,0.4138,0.3867,0.8707,0.0236,0.2696,0.005,13.4215
Marseille,0.7689,0.2566,0.6042,0.0134,0.3195,0.0511,0.2457,0.0566,0.325,0.151,0.853,0.0866,0.9333,0.0449,0.3634,0.4345,0.5174,0.3896,0.0446,0.0591,0.1109,0.4141,0.567,0.3901,0.0295,0.7935,0.011,0.2768,0.2799,0.4428,0.6422,0.3899,0.3033,0.4429,0.1301,0.0091,0.0903,0.8873,12.7291
Angers,0.374,0.0672,0.6074,0.3012,0.4688,0.5696,0.2417,0.7076,0.2192,0.5991,0.2137,0.749,0.1326,0.2421,0.0654,0.4778,0.0612,0.2984,0.1926,0.2448,0.1779,0.8384,0.0254,0.5003,0.2592,0.457,0.5901,0.1353,0.1264,0.101,0.0243,0.0757,0.3962,0.1993,0.5433,0.3233,0.2732,0.5853,12.465
Toulouse,0.6818,0.4277,0.3845,0.6283,0.2031,0.4511,0.2842,0.1298,0.7362,0.5019,0.0573,0.2139,0.1756,0.2297,0.7078,0.1918,0.1528,0.6566,0.1231,0.4344,0.0358,0.0082,0.6402,0.638,0.2015,0.2319,0.5176,0.0047,0.197,0.2298,0.2941,0.2632,0.051,0.3059,0.034,0.2252,0.5319,0.5196,12.3012
Lyon,0.6759,0.6195,0.0511,0.1385,0.4224,0.5595,0.1552,0.2817,0.0914,0.1876,0.2556,0.4446,0.5883,0.0352,0.3622,0.3929,0.2176,0.4388,0.067,0.2649,0.0762,0.1607,0.7194,0.2063,0.7042,0.6707,0.295,0.3255,0.1695,0.3475,0.5748,0.0764,-,0.1396,0.183,0.7508,0.2445,0.0452,11.9392
Rennes,0.44,0.194,0.3093,0.3947,0.1014,0.1045,0.1005,0.6607,0.4568,0.3428,0.4307,0.0293,0.7143,0.1221,0.0212,0.6169,0.3384,0.2222,0.0373,0.4272,0.2028,0.1438,0.2257,0.2311,0.3582,0.4456,0.7831,0.0832,0.2016,0.8237,0.0303,0.2227,0.3496,0.3167,0.3811,0.6951,0.3502,0.0279,11.9367
Bordeaux,0.1714,0.146,0.4648,0.3204,0.1844,0.63,0.673,0.0513,0.1169,0.2072,0.4543,0.7028,0.1519,0.414,0.3245,0.074,0.0087,0.0655,0.2386,0.6039,0.7205,0.2525,0.1515,0.5215,0.2558,0.3874,0.204,0.1205,0.4734,0.1534,0.0919,0.4569,0.6523,0.3724,0.1602,0.0197,0.1936,0.4567,11.6478
Saint-Etienne,0.2294,0.1039,0.6647,0.0629,0.2157,0.0397,0.363,0.1313,0.5443,0.8071,0.2251,0.4905,0.2552,0.059,0.221,0.2414,0.1814,0.0826,0.8471,0.1382,0.3021,0.4918,0.1885,0.1662,0.8346,0.18,0.4122,0.7207,0.144,0.3792,0.5452,0.0587,0.5422,0.4251,0.0234,0.0001,0.0117,0.0867,11.4159
