team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
Atletico Madrid,0.9671,0.8234,0.4507,0.5939,0.2315,0.7849,0.3292,0.7303,0.2782,0.7766,0.039,0.0541,0.1675,0.3849,0.0138,0.5837,0.5059,0.6418,0.4506,0.2157,0.4645,0.1894,0.1388,0.0952,0.211,0.7211,0.5668,0.5936,0.4167,0.6938,0.2117,0.8857,0.3867,0.3012,0.5804,0.7461,0.6042,0.3496,17.1793
Barcelona,0.7704,0.4927,0.7361,0.2358,0.7388,0.514,0.1577,0.749,0.3884,0.9554,0.1812,0.4817,0.3374,0.2135,0.8607,0.5725,0.6888,0.6559,0.4545,0.2216,0.4586,0.3577,0.3647,0.4452,0.0308,0.4283,0.1779,0.2888,0.557,0.4515,0.2031,0.1969,0.0192,0.9057,0.5306,0.2502,0.527,0.3278,16.9271
Espanyol,0.0353,0.6362,0.7336,0.2052,0.326,0.4638,0.4377,0.2951,0.0529,0.4685,0.8556,0.5522,0.8113,0.547,0.5457,0.0164,0.5808,0.0359,0.7425,0.2561,0.1751,0.3559,0.2382,0.8714,0.4205,0.1092,0.218,0.3834,0.1625,0.0341,0.7001,0.5708,0.3753,0.5684,0.096,0.137,0.6046,0.5085,15.1268
Sevilla,0.1886,0.5485,0.4817,0.4293,0.6254,0.0053,0.2171,0.4147,0.4237,0.6058,0.0604,0.6631,0.6081,0.0873,0.4713,0.5272,0.6383,0.0438,0.5302,0.05,0.3164,0.399,0.7235,0.5636,0.5891,0.0092,0.3879,0.0446,0.7602,0.3029,0.5796,0.4506,0.5122,0.1638,0.0717,0.3329,0.0744,0.7781,14.6795
Athletic Club,0.0619,0.0449,0.4794,0.1222,0.3732,0.4699,0.2006,0.4712,0.003,0.7047,0.7482,0.8377,0.3062,0.2675,0.4406,0.1185,0.4046,0.1419,0.5495,0.198,0.1718,0.5181,0.1901,0.5709,0.0532,0.4148,0.511,0.0563,0.5726,0.6513,0.1059,0.4704,0.7734,0.2298,0.7887,0.7146,0.5529,0.0133,14.3028
Real Madrid,0.7578,0.7822,0.1905,0.3869,0.1906,0.0314,0.6293,0.377,0.1807,0.1924,0.7532,0.2854,0.1016,0.1096,0.4293,0.6258,0.6276,0.6587,0.7743,0.3358,0.9306,0.4001,0.2408,0.0507,0.2321,0.617,0.0732,0.2324,0.0832,0.2692,0.5871,0.0876,0.1738,0.283,0.403,0.372,0.3464,0.2944,14.0967
Alaves,0.0024,0.7515,0.2288,0.4994,0.1264,0.4096,0.0442,0.6506,0.116,0.0133,0.6136,0.1493,0.1127,0.5994,0.6042,0.5543,0.2661,0.203,0.6312,0.719,0.2528,0.0186,0.1434,0.4751,0.4572,0.5748,0.1676,0.6498,0.1637,0.5056,0.2121,0.1583,0.3493,0.8457,0.5267,0.311,0.1049,0.5031,13.7147
Villarreal,0.2682,0.8482,0.276,0.3089,0.2442,0.0782,0.692,0.7637,0.5703,0.1612,0.7426,0.0535,0.1428,0.4845,0.4582,0.2781,0.3283,0.5831,0.166,0.7201,0.0963,0.6351,0.3519,0.0094,0.0495,0.2876,0.5952,0.1719,0.0623,0.4565,0.4238,0.1825,0.3958,0.237,0.2863,0.0088,0.9223,0.1863,13.5266
Real Sociedad,0.0245,0.7013,0.931,0.12,0.3032,0.0942,0.3722,0.1629,0.4166,0.8213,0.5346,0.8156,0.4929,0.0276,0.0831,0.4931,0.0403,0.3766,0.4913,0.2957,0.3286,0.7419,0.3145,0.1271,0.4908,0.2556,0.0644,0.0474,0.665,0.0198,0.6594,0.0025,0.7324,0.0334,0.4827,0.3086,0.2662,0.1433,13.2816
Deportivo La Coruna,0.694,0.5416,0.7827,0.6188,0.2784,0.0635,0.7866,0.0006,0.0686,0.1968,0.0112,0.0455,0.1465,0.5544,0.2835,0.646,0.1563,0.8624,0.5868,0.1343,0.0213,0.1301,0.4544,0.6818,0.3329,0.518,0.1749,0.3082,0.1411,0.6537,0.0147,0.7485,0.3758,0.0014,0.1543,0.2619,0.1284,0.3073,12.8672
Eibar,0.088,0.0698,0.0102,0.2421,0.6147,0.9161,0.1318,0.1552,0.3361,0.0901,0.1066,0.4977,0.6829,0.18,0.7561,0.3384,0.2262,0.6129,0.05,0.3393,0.3488,0.4985,0.1056,0.8699,0.0608,0.0661,0.1027,0.7886,0.2694,0.3828,0.506,0.7271,0.6256,0.1483,0.3685,0.225,0.2559,0.001,12.7948
Leganes,0.4881,0.4794,0.0762,0.0122,0.0866,0.1913,0.4375,0.0238,0.015,0.1286,0.0072,0.844,0.2181,0.7383,0.255,0.4006,0.1977,0.7209,0.2811,0.2343,0.0289,0.8376,0.0214,0.265,0.0374,0.9471,0.1026,0.6721,0.1424,0.0346,0.0959,0.5305,0.433,0.8885,0.2513,0.5402,0.1524,0.1885,12.0053
Real Betis,0.0064,0.5432,0.101,0.0481,0.4573,0.444,0.2203,0.002,0.3399,0.4256,0.1967,0.6926,0.0305,0.13,0.5595,0.3576,0.7006,0.3084,0.4051,0.263,0.7361,0.0975,0.0196,0.3361,0.5165,0.1266,0.3235,0.4796,0.6269,0.1469,0.0363,0.6377,0.4691,0.0303,0.0093,0.0831,0.8508,0.2229,11.9806
Malaga,0.3142,0.6263,0.029,0.2259,0.0343,0.4485,0.5033,0.1606,0.2541,0.1034,0.1868,0.2214,0.0278,0.569,0.2801,0.0005,0.0756,0.327,0.0836,0.4275,0.8894,0.1727,0.5537,0.0658,0.2118,0.1102,0.4534,0.4321,0.2791,0.4292,0.2645,0.2569,0.1859,0.9113,0.1444,0.5123,0.0773,0.0207,10.8696
Valencia,0.14,0.0702,0.0801,0.1992,0.7666,0.1338,0.0074,0.6019,0.061,0.1726,0.5483,0.4979,0.8007,0.4164,0.0232,0.1122,0.2334,0.2748,0.3781,0.1513,0.1642,0.2435,0.3586,0.2161,0.9606,0.1386,0.2888,0.0033,0.1076,0.0802,0.4731,0.4398,0.2544,0.082,0.0348,0.3925,0.16,0.3777,10.4449
Celta Vigo,0.3776,0.0714,0.0397,0.7678,0.2308,0.569,0.0331,0.0687,0.4608,0.0515,0.1206,0.3812,0.39,0.052,0.026,0.0902,0.4442,0.5576,0.1975,0.4488,0.0238,0.6103,0.0429,0.6162,0.0161,0.3843,0.3993,0.3475,0.0746,0.5813,0.3717,0.2004,0.0432,0.0734,0.0336,0.1819,0.0044,0.1938,9.5772
Las Palmas,0.2486,0.6432,0.0009,0.4716,0.0147,0.0271,0.1986,0.7161,0.0885,0.229,0.2979,0.5409,0.054,0.2951,0.15,0.405,0.4438,0.0055,0.7105,0.2993,0.5683,0.2011,0.0175,0.3696,0.0134,0.1792,0.0904,0.7064,0.0861,0.0775,0.3131,0.0073,0.6058,0.0143,0.0256,0.1752,0.1532,0.1266,9.5709
Sporting Gijon,0.5064,0.2349,0.6039,0.0249,0.1321,0.0015,0.2346,0.2854,0.569,0.2512,0.1039,0.0647,0.018,0.2122,0.2273,0.0018,0.0346,0.0269,0.2691,0.0533,0.0072,0.6485,0.0012,0.2101,0.0294,0.0912,0.0568,0.2315,0.3662,0.5605,0.0949,0.1266,0.4012,0.1028,0.0059,0.735,0.5825,0.0808,8.188
Osasuna,0.4192,0.3494,0.0087,0.4897,0.1696,0.0113,0.187,0.4296,0.2175,0.1743,0.0971,0.1493,0.1571,0.2773,0.0158,0.2548,0.1149,0.0226,0.2534,0.0713,0.3129,0.0378,0.1972,0.0604,0.0416,0.1706,0.3245,0.0453,0.1938,0.5155,0.1879,0.0142,0.0563,0.0054,0.125,0.0016,0.3981,0.059,6.617
Granada,0.106,0.0251,0.2164,0.1102,0.0421,0.1388,0.7831,0.0105,0.7742,0.1163,0.0652,0.1512,0.0778,0.0729,0.0267,0.0641,0.0016,0.2674,0.4221,0.0344,0.4309,0.0025,0.773,0.1143,0.1944,0.0673,0.1433,0.0152,0.0187,0.1366,0.0545,0.101,0.0112,0.2292,0.0591,0.0012,0.052,0.3304,6.2409
