team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
Borussia Dortmund,0.2974,0.3173,0.1796,0.2252,0.2793,0.2936,0.5933,0.0026,0.275,0.2119,0.0053,0.0531,0.4567,0.9002,0.7878,0.0132,0.1048,0.0455,0.3763,0.4924,0.2785,0.9746,0.8009,0.4068,0.023,0.6983,0.5664,0.4211,0.1635,0.8958,0.6709,0.0647,0.3331,0.0033,12.2114
RasenBallsport Leipzig,0.4375,0.3348,0.0987,0.1411,0.5277,0.0235,0.0916,0.1102,0.0717,0.3704,0.5987,0.3362,0.1574,0.196,0.7586,0.0991,0.4589,0.299,0.1795,0.3242,0.3045,0.8102,0.7314,0.2487,0.541,0.7047,0.7141,0.0965,0.3934,0.2235,0.1433,0.5345,0.0017,0.8478,11.9101
Bayern Munich,0.1074,0.2956,0.4143,0.0926,0.3082,0.7503,0.4415,0.0317,0.0465,0.016,0.4099,0.6354,0.1911,0.1263,0.57,0.0769,0.3627,0.3314,0.6597,0.7096,0.0968,0.0702,0.0474,0.5197,0.256,0.5544,0.3004,0.526,0.4333,0.4303,0.2286,0.7541,0.1155,0.4442,11.354
Wolfsburg,0.4746,0.346,0.5969,0.4754,0.4401,0.2119,0.591,0.1235,0.4375,0.0476,0.2567,0.402,0.1386,0.6402,0.5537,0.0175,0.1534,0.1585,0.0998,0.1973,0.4722,0.0116,0.3748,0.2936,0.2994,0.0477,0.2741,0.1475,0.0507,0.6518,0.0623,0.1216,0.4924,0.0137,9.6756
Bayer Leverkusen,0.0341,0.2691,0.6197,0.0097,0.8798,0.7559,0.0329,0.0188,0.5934,0.051,0.5511,0.1775,0.0759,0.2796,0.083,0.1636,0.0444,0.1543,0.4588,0.0304,0.3804,0.0755,0.4512,0.3015,0.1824,0.3715,0.0683,0.0225,0.4641,0.0362,0.1003,0.5568,0.0212,0.6934,9.0083
Borussia M.Gladbach,0.4292,0.1159,0.0089,0.4153,0.2249,0.2071,0.2024,0.156,0.3142,0.0668,0.0961,0.0996,0.1337,0.1148,0.3672,0.5907,0.3214,0.0846,0.3713,0.2367,0.4097,0.0792,0.2663,0.2473,0.2174,0.3806,0.0032,0.3969,0.4519,0.1569,0.1032,0.372,0.4747,0.2918,8.4079
FC Cologne,0.339,0.0564,0.4011,0.1651,0.0191,0.0513,0.0724,0.5313,0.121,0.0395,0.0944,0.031,0.0287,0.0969,0.7917,0.2585,0.7904,0.1313,0.0087,0.5917,0.0199,0.6276,0.4981,0.5432,0.2205,0.0738,0.6301,0.2253,0.0217,0.0421,0.5688,0.0669,0.2003,0.012,8.3698
Augsburg,0.0142,0.3273,0.0139,0.3963,0.1235,0.2883,0.0015,0.018,0.3472,0.6919,0.1535,0.3733,0.3123,0.6436,0.1202,0.4193,0.0036,0.0019,0.2456,0.4883,0.071,0.3112,0.2523,0.0146,0.0045,0.0666,0.4367,0.237,0.0212,0.3971,0.1863,0.015,0.6928,0.0886,7.7786
Eintracht Frankfurt,0.497,0.0934,0.4458,0.1432,0.041,0.4422,0.062,0.1695,0.0785,0.2851,0.4291,0.195,0.0681,0.089,0.2795,0.0681,0.1123,0.3008,0.1893,0.7781,0.2795,0.1068,0.2842,0.025,0.0164,0.0107,0.4131,0.0601,0.671,0.0175,0.5026,0.1461,0.1963,0.1729,7.6692
Hoffenheim,0.0964,0.4162,0.3765,0.1305,0.3594,0.0244,0.1293,0.3675,0.032,0.5993,0.5099,0.0834,0.3805,0.0063,0.032,0.1667,0.0728,0.0872,0.3745,0.0062,0.0435,0.0053,0.0338,0.0023,0.2908,0.1593,0.3082,0.0434,0.3141,0.0328,0.2316,0.6063,0.2844,0.8788,7.4856
Union Berlin,0.003,0.1674,0.0385,0.0305,0.1711,0.032,0.1185,0.5574,0.0261,0.6455,0.0804,0.3315,0.2362,0.4462,0.169,0.3722,0.296,0.2288,0.0266,0.0081,0.2316,0.1586,0.0212,0.0714,0.1011,0.1255,0.0434,0.5308,0.061,0.8424,0.1825,0.6663,0.0377,0.3595,7.418
Schalke 04,0.1877,0.0943,0.4226,0.1777,0.3434,0.2063,0.2926,0.2641,0.7006,0.1022,0.0413,0.0737,0.0941,0.0202,0.3184,0.02,0.0185,0.3855,0.0032,0.6496,0.5612,0.1483,0.0205,0.2549,0.2901,0.1694,0.1393,0.0806,0.6955,0.0481,0.3909,0.0306,0.0196,0.0994,7.3644
Werder Bremen,0.3085,0.2933,0.1164,0.0525,0.1185,0.1361,0.0047,0.6971,0.0174,0.3925,0.0731,0.4731,0.0251,0.151,0.0001,0.0688,0.2639,0.3363,0.2756,0.2493,0.0365,0.0238,0.2048,0.3914,0.0191,0.4748,0.691,0.4066,0.103,0.1031,0.0669,0.2188,0.0226,0.3611,7.1768
Hertha Berlin,0.0293,0.1327,0.2323,0.2504,0.0845,0.5709,0.1562,0.3625,0.0092,0.1345,0.0414,0.104,0.161,0.0331,0.4129,0.2265,0.518,0.017,0.283,0.2823,0.0117,0.3808,0.0225,0.1688,0.1225,0.0294,0.7538,0.5258,0.2285,0.0813,0.0138,0.1345,0.4838,0.0233,7.0222
Freiburg,0.4448,0.0984,0.0627,0.3176,0.3448,0.0818,0.4168,0.1389,0.0242,0.0893,0.2863,0.0029,0.0001,0.1392,0.3633,0.0028,0.1003,0.1602,0.0768,0.0026,0.0993,0.4669,0.3646,0.1414,0.3931,0.1158,0.6188,0.0033,0.6618,0.0375,0.0339,0.1196,0.0514,0.5105,6.7717
