id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,total
3300,Christopher Nkunku,RasenBallsport Leipzig,0.0403,0.0699,0.1732,0.5404,0.3289,0.0,0.1367,0.0,0.3768,0.5734,-,-,-,-,-,0.0,0.6085,0.0196,0.2559,0.321,1.0996,0.0932,4.6374
5221,Leon Bailey,Bayer Leverkusen,-,0.0,0.0,0.0663,0.497,0.24,0.4792,0.2867,0.0216,0.4656,0.4872,0.123,0.0,0.0612,0.1084,0.126,0.1008,0.0799,0.0307,0.841,0.554,0.0,4.5686
8292,Dani Olmo,RasenBallsport Leipzig,0.2011,0.0279,0.2492,0.1654,0.1382,0.0606,0.0373,0.1513,0.1172,0.0,0.26,0.0,0.1286,0.5467,0.3954,0.1145,0.0513,0.0919,0.4429,0.4746,0.8942,0.0187,4.567
155,Max Kruse,Union Berlin,0.0,0.0,0.6049,0.0,0.0585,0.8304,0.7773,1.3911,0.8534,0.0434,-,-,-,-,-,-,-,-,-,-,-,-,4.559
6345,Jadon Sancho,Borussia Dortmund,0.1343,0.1267,-,0.0911,0.0326,0.3474,0.0169,-,0.0677,0.1726,0.3624,0.4646,0.2525,0.6812,0.3899,0.0407,0.1558,0.1877,0.3225,0.2036,0.3543,0.1182,4.5227
7422,Christoph Baumgartner,Hoffenheim,0.0,0.1249,0.0,0.1555,0.0717,0.0,0.2017,0.2723,0.1209,0.1396,0.6463,0.0854,0.6946,0.0,0.026,-,0.064,0.5824,0.2426,0.0,0.0946,0.9592,4.4817
6484,Renato Steffen,Wolfsburg,0.0,0.0,-,0.0,0.7682,0.0,0.1658,0.473,0.1864,0.5271,-,-,0.1222,0.1411,0.1949,0.0743,0.0232,0.158,0.0,0.2519,0.0171,1.273,4.3762
1040,Angelino,RasenBallsport Leipzig,0.3025,0.0743,0.7185,0.829,0.1004,0.0274,0.0626,0.1066,1.0379,0.0,-,0.0,0.4037,0.0835,0.1488,0.0975,0.0,0.0353,0.1155,0.152,0.0,0.0,4.2955
158,Bas Dost,Eintracht Frankfurt,0.0901,0.1921,1.0832,0.0593,0.0,0.3156,1.0859,0.0,0.7073,0.0,0.7576,-,0.0,-,-,-,-,-,-,-,-,-,4.2911
5248,Marcel Sabitzer,RasenBallsport Leipzig,-,-,-,-,0.777,0.0637,0.7793,0.0,0.3892,0.0189,0.8607,0.0221,0.0,0.1598,0.0,0.0854,0.0382,0.23,0.117,0.4477,0.0314,0.0751,4.0955
48,Jhon Córdoba,Hertha Berlin,0.7238,0.0686,0.4468,0.2118,0.5212,0.2281,0.0486,-,-,-,-,-,-,0.5837,0.1962,0.0,0.3843,0.5607,-,-,-,-,3.9738
5250,Yussuf Poulsen,RasenBallsport Leipzig,0.7111,0.0,-,0.4897,0.1907,0.1473,0.076,0.3709,-,0.0,0.5123,0.4148,0.035,0.0,0.0216,0.0,0.0565,-,0.6597,0.1155,0.0636,0.0601,3.9248
306,Florian Niederlechner,Augsburg,0.0208,0.0717,0.7538,0.3938,0.038,-,0.1482,0.0,0.0,0.2143,0.0826,-,0.1721,0.2973,0.0615,0.0324,0.0497,0.7498,0.0,0.072,0.0,0.6341,3.7921
993,Serge Gnabry,Bayern Munich,0.8704,0.0221,0.4431,0.0,-,0.1225,0.1155,0.0203,0.0721,0.0167,0.0554,0.1106,0.1063,0.2003,-,0.1135,0.1553,0.6521,0.5631,0.1122,-,-,3.7515
5249,Emil Forsberg,RasenBallsport Leipzig,1.2037,0.0898,0.0747,0.0155,0.1856,0.0781,0.114,0.0,0.0,0.5648,0.0154,0.0,0.1083,0.9593,0.0,0.0,0.3179,0.0,-,-,-,-,3.7271
1277,Roland Sallai,Freiburg,0.7001,0.0231,0.0,0.1043,0.0775,0.0,0.1669,0.2411,-,0.3602,0.0,0.7184,0.2221,0.0,0.66,0.0821,0.335,-,-,-,-,0.0318,3.7226
373,Mats Hummels,Borussia Dortmund,0.0,0.3482,0.8766,0.0,0.1783,0.7466,0.0,0.0,0.5151,0.4281,0.1216,0.0795,0.0,0.0,0.0,0.0,0.0,0.1285,0.036,0.0,0.1672,0.0,3.6257
8792,Fabian Klos,Arminia Bielefeld,0.1016,0.0274,0.5003,0.4345,0.0,0.0,0.0422,0.0,0.4138,0.3479,0.0,0.0894,0.1052,0.0,0.1693,0.022,1.0765,0.0741,0.0452,0.0,0.04,-,3.4894
262,Leonardo Bittencourt,Werder Bremen,0.0508,0.0,0.2064,0.4276,0.1353,0.0129,0.9667,0.1303,0.6767,0.0401,0.0955,0.0097,-,0.1324,-,-,0.0672,0.3318,0.1334,0.0,0.0,-,3.4168
7090,Krzysztof Piatek,Hertha Berlin,0.0341,0.0,0.0,0.0,0.0,0.0,0.7615,0.0,0.0,0.2212,0.0711,0.0822,0.2066,0.3153,0.1757,0.1576,0.7578,0.0601,0.164,0.3881,0.0,0.0,3.3953
5222,Joel Pohjanpalo,Union Berlin,-,-,0.5201,0.0,0.7811,1.1581,0.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.3289,0.4322,0.1641,3.3845
6556,Moussa Diaby,Bayer Leverkusen,0.0941,0.1634,0.3634,0.0395,0.6332,0.0342,0.1118,0.0301,0.0,0.1795,0.0432,0.0306,0.1861,0.0,0.0402,0.0894,0.9573,0.0331,0.0,0.1985,0.0246,0.097,3.3492
6522,Cedric Teuchert,Union Berlin,0.1942,0.0721,-,-,-,0.6897,0.5622,0.0488,-,0.0,0.0531,0.0781,0.2377,0.0,0.0,0.9385,0.0,0.0,0.115,0.318,0.0,-,3.3074
8397,Florian Wirtz,Bayer Leverkusen,0.0931,0.5064,0.0,-,0.381,0.0,0.0232,0.0,0.057,0.0998,0.5977,0.5546,0.0,0.0,-,-,0.1086,0.0355,0.3101,0.5334,0.0,0.0,3.3004
7295,Joshua Sargent,Werder Bremen,0.0416,0.7454,0.0,0.0675,0.0,0.4714,0.0907,0.9962,-,0.0,0.033,0.0,0.4543,0.0959,0.0,0.1104,0.0466,0.016,0.106,0.0,0.0,-,3.275
3310,Alassane Pléa,Borussia M.Gladbach,0.0,0.3724,0.2474,-,0.1062,0.4565,0.0,-,0.7256,0.1581,0.0,0.0,-,0.0,-,0.0644,0.1004,0.382,0.0655,0.0,0.283,0.2263,3.1878
6098,Niclas Füllkrug,Werder Bremen,0.138,1.9677,0.0129,1.002,0.0,-,-,-,-,-,-,-,-,0.0,0.0,-,-,-,-,-,0.0,-,3.1206
320,Jonas Hofmann,Borussia M.Gladbach,0.3535,0.0366,0.2534,0.8327,0.7578,0.0,0.0,-,-,-,-,-,-,0.0748,0.7077,0.0319,0.0,0.0265,0.0,0.0,0.0,0.0426,3.1175
7880,Sebastian Andersson,FC Cologne,1.0988,0.2473,0.0789,0.1027,1.1546,0.035,0.2703,0.0727,-,0.0,-,0.0,-,-,-,-,-,-,-,-,-,-,3.0603
316,Gonzalo Castro,VfB Stuttgart,0.5063,0.0,0.062,0.0188,0.0,0.0498,0.4883,0.1025,0.0404,0.1131,-,0.8968,0.0,0.0,0.4535,0.0794,-,0.0981,0.0,-,-,0.1016,3.0106
7883,Marcus Ingvartsen,Union Berlin,0.2023,0.0428,0.4573,0.0,0.0981,-,-,0.4445,0.0,0.0,0.043,-,-,0.0,0.0256,0.0,0.1078,0.8116,0.1257,0.0738,0.4302,0.1116,2.9743
5992,Marcus Thuram,Borussia M.Gladbach,0.0,0.1141,0.2836,0.0494,0.2708,0.0,0.5371,0.0,1.0633,0.0,0.0481,0.0081,0.1209,-,-,-,-,0.1168,0.35,0.0,-,0.0,2.9622
8809,Mateo Klimowicz,VfB Stuttgart,0.2946,0.7149,0.0931,0.0,-,0.3628,0.0721,0.0,0.0639,-,0.6366,0.0696,0.0549,0.0,0.3327,0.0,0.0684,0.0738,-,0.0962,0.0,0.0,2.9336
337,Leroy Sané,Bayern Munich,0.4449,0.4602,-,-,0.0347,0.0,0.1187,0.0,0.0476,0.0,0.1806,0.0605,0.0,0.7601,0.0737,0.3713,0.0,0.0907,0.0185,0.105,0.0894,0.0554,2.9113
9160,Matthew Hoppe,Schalke 04,-,-,-,-,-,-,-,-,0.0931,0.0731,-,0.0,-,0.0542,1.5798,0.0599,0.3727,0.0,0.2887,0.0754,0.0,0.2925,2.8894
335,Leon Goretzka,Bayern Munich,0.4681,0.027,0.0175,0.0479,0.5279,-,0.3517,0.0,0.0504,0.0,0.0,-,-,0.0,0.0486,0.5763,0.1532,0.3971,-,-,-,0.1847,2.8504
7289,Amin Younes,Eintracht Frankfurt,-,-,-,0.1899,0.0,0.0446,0.0,-,-,-,0.0,0.1176,0.4327,0.7396,0.0,0.0805,0.1072,0.2096,0.1189,0.0,0.0582,0.6187,2.7175
7108,Jonathan Burkardt,Mainz 05,0.0204,0.0,0.0,0.0968,0.0,0.0996,0.4771,-,0.055,0.045,0.0,0.0,-,0.2776,0.8927,0.1465,0.1699,0.0,0.0671,0.0,0.0,0.3242,2.6719
64,Filip Kostic,Eintracht Frankfurt,0.0,0.0,-,-,-,-,0.0303,0.0398,0.0461,0.0797,0.5959,0.0,0.8312,0.156,0.0892,0.0,0.0213,0.4278,0.0821,0.0528,0.0352,0.1059,2.5933
3455,Raphael Guerreiro,Borussia Dortmund,-,0.175,0.0,0.0631,0.1098,0.3635,0.0,0.7736,-,-,0.025,0.1502,0.0,0.0,0.1668,0.0196,0.0,0.2268,0.0164,0.0,0.0,0.4808,2.5706
5273,Kerem Demirbay,Bayer Leverkusen,0.0,0.0194,0.0494,0.0,-,0.0311,-,0.0,0.1887,-,-,0.0156,0.0,0.0,0.0923,0.1335,0.0481,0.0,0.0194,1.3615,0.579,0.0253,2.5633
3603,Corentin Tolisso,Bayern Munich,0.5514,0.0,0.37,0.0606,-,-,0.0958,-,0.0,-,0.0,0.0,0.0,1.0615,-,0.0147,0.0,-,-,0.0,0.4007,-,2.5547
6096,Sergio Córdova,Arminia Bielefeld,0.1499,0.0,0.0583,-,0.0524,0.0,0.0,-,-,0.0,0.0,0.0764,0.358,0.604,0.0987,0.0761,0.4338,0.037,0.5134,0.0844,0.0,-,2.5424
140,Yannick Gerhardt,Wolfsburg,0.0,0.0199,0.1378,0.019,0.0,0.0807,0.0,-,-,-,-,-,0.4101,0.2372,0.8521,0.0,0.0,0.0,0.5772,0.0,0.2074,0.0,2.5414
6357,Marco Richter,Augsburg,-,-,-,0.0,0.0,-,0.0,0.0,0.0625,0.2498,0.7505,0.1541,0.31,0.1364,0.6734,-,0.0838,0.0349,0.0359,0.0,0.0,0.0,2.4913
157,Daniel Caligiuri,Augsburg,0.0263,0.486,0.0444,0.0229,0.1669,0.0,0.0,0.1054,0.0218,0.2197,0.019,0.0,0.0235,0.0593,0.0761,0.065,0.0994,0.0,0.0737,0.1085,0.7578,0.1114,2.4871
5257,Willi Orban,RasenBallsport Leipzig,-,-,0.2511,0.0,0.5827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1105,0.1171,0.0,0.9718,-,0.0,0.0,0.0408,0.0208,0.378,2.4728
8791,Ritsu Doan,Arminia Bielefeld,0.0175,0.0,0.0351,0.2414,0.0277,0.0,0.0648,0.0,0.7625,0.1568,0.0,0.1698,0.0464,0.0488,0.1672,0.3472,0.3052,0.05,0.0201,0.0,0.0,-,2.4605
5353,Josip Brekalo,Wolfsburg,0.2392,0.1702,0.1084,0.3306,-,0.041,0.4003,0.3284,0.1895,0.0178,0.078,0.1443,0.2301,0.013,0.041,0.0,0.0,0.0977,0.0,0.0225,-,0.0,2.452
412,André Hahn,Augsburg,0.4778,0.0,0.0181,0.0,0.0,1.0233,0.0072,0.0,0.1102,-,-,-,-,0.0,0.0,0.1228,0.0,0.2082,0.183,0.1517,0.1219,0.0,2.4242
2655,Alfred Finnbogason,Augsburg,0.0,0.2023,0.3754,-,-,0.0,0.0,0.3623,-,-,0.0,0.0,0.6953,-,-,0.0208,0.7577,0.0,-,-,-,-,2.4138
226,Kingsley Coman,Bayern Munich,-,0.0174,-,0.1199,0.127,-,0.1354,0.4012,0.1705,0.0839,0.1085,0.1182,0.0,-,0.0427,0.128,0.0656,0.0307,0.1732,0.2305,0.0744,0.3801,2.4072
3347,Ellyes Skhiri,FC Cologne,0.0396,0.0,0.0481,0.0,0.0502,0.0,-,0.6726,1.333,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.1283,0.0846,0.0,0.0,0.0,2.3703
5659,Nordi Mukiele,RasenBallsport Leipzig,0.0,0.0183,0.7853,0.0829,0.0,-,0.1367,-,0.0,0.0,0.0,0.0,0.1638,-,-,0.5355,0.0,0.08,0.0,0.4841,0.0,0.0802,2.3668
6496,Ermedin Demirovic,Freiburg,-,0.0,-,0.0,0.0,0.0,-,0.0,0.0205,0.2483,0.0,0.0662,0.0712,0.1112,0.5827,0.0564,0.1639,0.7598,0.0675,0.0543,0.0,0.1289,2.3309
2631,Karim Onisiwo,Mainz 05,0.0317,0.1212,0.0634,0.0,-,0.6255,0.0,0.3105,0.0,0.0541,0.1706,0.0103,0.0214,0.0,0.0875,0.0163,0.0734,0.1241,0.0624,0.1984,0.2688,0.0495,2.2891
1275,Robin Quaison,Mainz 05,0.0,0.5706,0.0,0.0,0.2071,0.1146,0.0,0.0315,0.6571,0.0414,0.2145,0.0,0.1157,0.229,0.0363,0.0148,0.0,0.0374,0.0138,-,-,-,2.2838
88,Mark Uth,Schalke 04,0.0,0.0797,0.1387,-,-,0.0097,0.5073,0.0289,0.0866,0.1007,0.0644,-,-,0.4302,0.0,0.0,0.149,0.5323,0.0428,0.0173,-,-,2.1876
212,Nico Elvedi,Borussia M.Gladbach,0.0,0.0,0.0,0.4037,0.0,0.0,0.0161,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.3285,1.3948,0.0,-,0.0,0.0,2.1431
5240,Ondrej Duda,FC Cologne,0.1016,0.0604,0.0,0.6254,0.082,0.0,0.0102,0.0227,0.0,0.4605,0.0422,-,0.0067,0.0454,0.0,0.0343,0.056,0.0422,0.1574,0.3018,0.0,0.0939,2.1427
5989,Moussa Niakhate,Mainz 05,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.1537,0.0169,1.1696,0.0,0.7576,0.0,0.0,2.0978
2693,Marius Wolf,FC Cologne,-,-,0.046,0.0141,0.0105,0.0306,0.0365,0.0,0.1122,0.0,0.081,0.0296,0.0,0.167,0.1278,0.1279,0.0926,0.557,0.6265,-,0.0266,0.0,2.0859
9133,Youssoufa Moukoko,Borussia Dortmund,-,-,-,-,-,-,-,0.0,0.3212,0.0781,0.06,0.5575,0.7191,-,-,0.0576,0.0,0.0245,-,0.264,0.0,0.0,2.082
300,Daniel Didavi,VfB Stuttgart,0.1373,0.6642,0.0,0.0,0.0892,-,0.0,0.1415,-,-,-,0.0,0.0,-,0.4312,0.0335,0.1344,0.4338,-,-,0.0,-,2.0651
420,Patrick Herrmann,Borussia M.Gladbach,0.0451,0.068,0.0766,0.0,0.5055,0.0706,0.0,0.0979,0.0858,0.6197,0.2995,-,0.0,0.1964,0.0,0.0,0.0,0.0,0.0,0.0,-,-,2.0651
8855,Bartosz Bialek,Wolfsburg,-,-,-,-,-,0.0,-,0.0,0.582,-,0.5463,0.4131,0.1426,0.0,-,-,0.3702,0.0,0.0,0.0,-,0.0,2.0542
7109,Leandro Barreiro Martins,Mainz 05,0.0,0.0178,-,-,0.0,-,0.0,0.1825,0.0,0.0,-,0.4951,0.0,0.0258,0.0163,0.0,0.0,0.4754,-,0.0177,0.7042,0.0773,2.0121
9076,Philipp Förster,VfB Stuttgart,-,-,-,-,-,0.0,-,0.0,0.4895,0.079,0.515,0.0773,-,0.0,0.612,-,0.0787,-,0.0,0.0,0.0,0.1541,2.0056
7059,Benito Raman,Schalke 04,0.0453,0.11,-,0.0384,0.0,0.0815,0.0,0.1601,0.3724,0.2155,0.5425,0.0894,0.0851,-,0.0,0.0317,0.1919,0.029,-,0.0,0.0,0.0,1.9928
8146,Ismail Jakobs,FC Cologne,-,-,-,0.6023,0.7851,0.1643,0.0,0.0304,0.0802,0.0422,0.0328,0.0582,-,-,0.0,0.0,-,0.0,0.0215,0.0628,-,0.0702,1.95
223,Joshua Kimmich,Bayern Munich,0.558,0.0586,0.0,-,0.0654,0.0724,0.0,-,-,-,-,-,0.0,0.6369,0.0711,0.0484,0.0482,0.1721,0.1129,0.0,0.0,0.0648,1.9088
261,Julian Brandt,Borussia Dortmund,0.0,0.0,0.1331,0.0,0.0,0.3547,0.0,0.0,0.0,0.1143,0.0,0.0,0.0,-,0.0,0.1751,0.7065,0.0,0.3887,0.0196,0.0,0.0,1.892
7501,Amadou Haidara,RasenBallsport Leipzig,0.474,0.0,0.1477,-,-,0.0174,0.0,0.083,0.0861,0.0,0.025,0.0,0.1185,0.6997,0.0227,0.0933,0.0157,0.0,0.0,0.0,0.092,0.0,1.8751
6708,Bote Baku,Wolfsburg,-,-,0.0,0.2969,0.0,0.0543,0.0,0.0987,0.039,0.0598,0.0335,0.0671,0.0308,0.0851,0.0,0.0,0.0819,0.3945,0.0,0.3673,0.1152,0.0917,1.8158
7786,Rafael Czichos,FC Cologne,0.0,0.7435,0.0,0.0,0.0,0.0,0.0,0.1237,0.0,-,-,-,-,0.0,0.0,0.0,0.5221,-,0.0566,0.0,0.3697,0.0,1.8156
4280,Davie Selke,Werder Bremen,0.1394,0.0,0.0,0.0,-,-,-,-,0.0,0.0937,-,-,-,0.7227,0.0,0.0,0.0645,0.7577,-,0.0,-,-,1.778
5235,Aymen Barkok,Eintracht Frankfurt,0.0192,0.3481,0.0,0.0318,0.0,0.0,0.0,0.1295,-,0.3801,0.0,0.6589,0.0,0.0,0.0,0.1768,0.0,-,0.0243,-,-,0.0,1.7687
5654,Baptiste Santamaria,Freiburg,-,0.152,0.0295,0.0189,0.0,0.0263,0.0,0.01,0.0,0.0658,0.1165,0.0433,0.0318,0.8879,0.0728,0.0,-,-,0.2185,0.0,0.0462,0.0,1.7195
3431,Almamy Touré,Eintracht Frankfurt,-,0.0102,0.3573,0.0928,0.2745,0.0,0.0,-,-,-,-,-,-,0.0,0.0,0.0,0.2022,0.0,0.0,0.0,0.0,0.7749,1.7119
6963,Justin Kluivert,RasenBallsport Leipzig,-,-,-,0.0,0.0341,-,-,0.0,-,0.3879,0.7277,0.0,-,-,-,0.5571,-,0.0,0.0,-,-,0.0,1.7068
7810,Ruben Vargas,Augsburg,0.4852,-,0.0296,0.0,0.1025,0.5115,0.0778,0.0,0.1059,0.0314,0.0102,0.0615,0.0,0.0,0.1378,0.0,0.0,-,0.0,0.0,0.0269,0.12,1.7003
7058,Kevin Stöger,Mainz 05,-,-,-,-,-,0.0,-,-,0.0,0.8999,0.0,0.2132,0.0,0.0,0.0,0.0,-,0.0442,0.0,-,0.5092,0.0226,1.6891
137,Anthony Modeste,FC Cologne,-,-,-,0.0571,0.0,-,-,-,-,-,0.4059,0.0148,-,0.051,0.0,0.0,-,1.1559,-,-,-,-,1.6847
290,Mijat Gacinovic,Hoffenheim,0.0,0.0,0.0,0.4648,0.0,0.0417,0.2292,0.0,0.0,0.0,0.0,0.0,-,-,0.44,0.0,0.0,0.0208,0.0,0.0198,0.4673,-,1.6836
