id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,total
5240,Ondrej Duda,FC Cologne,0,0,0,0,0,0,0,1,0,0,1,-,0,0,0,0,0,0,0,2
8205,Jan Thielmann,FC Cologne,1,0,0,-,-,1,0,0,0,0,0,0,0,0,0,-,0,0,0,2
307,Suat Serdar,Schalke 04,0,-,0,-,-,-,-,0,0,0,1,0,0,0,0,0,1,0,-,2
140,Yannick Gerhardt,Wolfsburg,0,0,0,0,0,0,0,-,-,-,-,-,0,0,0,2,0,0,0,2
4247,Maximilian Philipp,Wolfsburg,-,-,-,0,0,1,1,0,0,0,0,0,-,-,-,0,0,-,-,2
335,Leon Goretzka,Bayern Munich,0,0,0,1,0,-,0,1,0,0,0,-,-,0,0,0,0,0,-,2
419,Maximilian Mittelstädt,Hertha Berlin,1,0,1,0,0,0,-,0,-,0,-,0,0,0,0,0,0,0,0,2
5250,Yussuf Poulsen,RasenBallsport Leipzig,0,1,-,0,0,0,0,0,-,0,1,0,0,0,0,0,0,-,0,2
1040,Angelino,RasenBallsport Leipzig,0,0,0,0,0,0,0,1,0,1,-,0,0,0,0,0,0,0,0,2
194,Admir Mehmedi,Wolfsburg,0,0,0,0,1,0,0,0,1,-,-,-,-,0,-,-,0,-,0,2
6475,Lucas Höler,Freiburg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4250,Nicolas Höfler,Freiburg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-,0,0,2
81,Jonathan Schmid,Freiburg,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-,-,-,0,0,2
7295,Joshua Sargent,Werder Bremen,0,1,0,0,0,0,0,1,-,0,0,0,0,0,0,0,0,0,0,2
7107,Jean-Paul Boëtius,Mainz 05,0,0,0,0,0,0,0,1,1,0,0,-,0,0,0,0,0,-,0,2
4243,Christian Günter,Freiburg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
8260,Erling Haaland,Borussia Dortmund,0,0,1,1,0,-,0,0,0,-,-,-,-,0,0,0,0,0,0,2
6170,André Silva,Eintracht Frankfurt,0,0,1,0,0,0,0,0,0,0,-,1,0,0,0,0,0,0,0,2
2624,Djibril Sow,Eintracht Frankfurt,-,0,-,-,0,-,0,0,0,0,0,0,0,1,0,0,1,0,0,2
8824,Jude Bellingham,Borussia Dortmund,1,0,0,0,-,0,0,1,-,0,0,0,0,-,-,0,0,0,0,2
6837,Ryan Sessegnon,Hoffenheim,-,-,-,0,0,0,0,0,1,0,1,0,0,0,-,-,-,-,-,2
956,Andrej Kramaric,Hoffenheim,0,0,0,-,-,-,-,1,0,1,0,0,0,0,0,0,0,0,0,2
8791,Ritsu Doan,Arminia Bielefeld,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
7074,Nicolás González,VfB Stuttgart,-,-,-,0,0,0,1,0,-,-,0,0,0,0,1,0,-,0,0,2
604,Emre Can,Borussia Dortmund,0,0,0,0,-,-,-,1,0,0,0,0,0,1,0,0,-,0,-,2
158,Bas Dost,Eintracht Frankfurt,1,0,1,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,2
7900,Sargis Adamyan,Hoffenheim,-,-,-,-,0,1,0,-,-,-,-,-,1,0,0,0,0,0,-,2
421,Lars Bender,Bayer Leverkusen,0,1,-,0,0,1,0,0,0,0,0,-,-,-,0,-,0,0,-,2
420,Patrick Herrmann,Borussia M.Gladbach,0,0,0,0,0,1,1,0,0,0,0,-,0,0,0,0,0,0,0,2
6708,Bote Baku,Wolfsburg,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
290,Mijat Gacinovic,Hoffenheim,1,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,1,0,2
125,Maximilian Eggestein,Werder Bremen,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
8792,Fabian Klos,Arminia Bielefeld,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
7815,Christian Groß,Werder Bremen,-,0,0,0,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,1
9069,Romano Schmid,Werder Bremen,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1,0,0,0,1
7783,Xaver Schlager,Wolfsburg,0,0,0,0,0,0,0,0,0,0,1,0,-,0,0,0,0,0,0,1
7439,Tahith Chong,Werder Bremen,0,0,0,-,0,0,0,0,0,0,0,-,1,0,0,-,-,-,-,1
2640,Erik Durm,Eintracht Frankfurt,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,1,-,0,-,1
88,Mark Uth,Schalke 04,0,0,0,-,-,0,0,0,1,0,0,-,-,0,0,0,0,0,0,1
1277,Roland Sallai,Freiburg,1,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,-,1
7431,Jean-Manuel Mbom,Werder Bremen,-,0,1,0,0,0,0,0,0,-,0,0,-,0,0,0,0,0,0,1
