id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,total
157,Daniel Caligiuri,Augsburg,1,1,1,1,2,0,0,4,1,3,1,0,1,1,2,1,-,20
2693,Marius Wolf,FC Cologne,-,-,1,1,1,1,1,0,1,0,1,2,0,4,4,3,-,20
7059,Benito Raman,Schalke 04,1,3,-,1,0,1,0,3,3,2,2,2,1,-,0,1,-,20
5249,Emil Forsberg,RasenBallsport Leipzig,5,1,1,1,2,1,2,0,0,1,1,0,2,3,0,0,-,20
5992,Marcus Thuram,Borussia M.Gladbach,0,2,1,1,2,0,3,0,4,0,2,1,4,-,-,-,-,20
6531,Alexander Sørloth,RasenBallsport Leipzig,-,0,0,0,3,5,1,2,3,0,0,0,3,1,2,-,-,20
316,Gonzalo Castro,VfB Stuttgart,2,0,1,1,0,2,3,1,1,2,-,2,0,0,4,1,-,20
3455,Raphael Guerreiro,Borussia Dortmund,-,2,0,1,3,2,0,4,-,-,1,3,0,0,3,1,0,20
7107,Jean-Paul Boëtius,Mainz 05,0,2,0,2,4,1,1,4,1,3,0,-,0,0,0,0,1,19
7501,Amadou Haidara,RasenBallsport Leipzig,1,0,3,-,-,1,0,1,1,0,1,0,2,6,1,2,-,19
5248,Marcel Sabitzer,RasenBallsport Leipzig,-,-,-,-,2,1,2,0,2,1,4,2,0,4,0,1,-,19
2645,Marcel Hartel,Arminia Bielefeld,0,1,1,1,2,3,2,0,0,2,0,3,0,1,1,1,-,18
420,Patrick Herrmann,Borussia M.Gladbach,1,2,1,0,4,1,0,2,1,2,2,-,0,2,0,0,0,18
7051,Gonçalo Paciência,Schalke 04,2,2,0,1,1,1,6,5,-,-,-,-,-,-,-,-,-,18
6088,Orel Mangala,VfB Stuttgart,2,2,1,0,1,2,1,0,2,1,1,-,1,1,1,2,-,18
7814,Taiwo Awoniyi,Union Berlin,-,1,-,1,0,2,0,1,2,1,2,2,2,3,1,0,-,18
8792,Fabian Klos,Arminia Bielefeld,2,1,2,1,0,0,1,0,4,1,0,1,1,0,3,1,-,18
3743,Lucas Tousart,Hertha Berlin,1,3,0,2,1,2,-,-,-,0,0,2,-,4,0,2,1,18
8397,Florian Wirtz,Bayer Leverkusen,1,2,0,-,1,0,1,0,1,3,4,2,0,0,-,-,3,18
6522,Cedric Teuchert,Union Berlin,1,1,-,-,-,1,1,1,-,0,1,2,5,0,0,4,-,17
7877,Robert Andrich,Union Berlin,1,1,0,2,3,0,1,0,3,0,-,-,-,2,3,1,-,17
335,Leon Goretzka,Bayern Munich,2,1,1,1,4,-,2,0,1,0,0,-,-,0,1,4,-,17
5240,Ondrej Duda,FC Cologne,2,1,0,2,2,0,1,1,0,1,2,-,1,2,0,1,-,16
3300,Christopher Nkunku,RasenBallsport Leipzig,1,1,2,1,5,0,2,0,1,3,-,-,-,-,-,0,-,16
7108,Jonathan Burkardt,Mainz 05,1,0,0,1,0,1,1,-,1,1,0,0,-,3,3,2,2,16
7810,Ruben Vargas,Augsburg,1,-,1,0,1,3,1,0,2,1,1,2,0,0,3,0,-,16
261,Julian Brandt,Borussia Dortmund,0,0,2,0,0,3,0,0,0,2,0,0,0,-,0,3,5,15
6145,Daichi Kamada,Eintracht Frankfurt,2,0,1,2,1,2,1,3,1,1,0,0,-,1,0,0,-,15
320,Jonas Hofmann,Borussia M.Gladbach,3,1,1,3,1,0,0,-,-,-,-,-,-,2,3,1,0,15
27,Vladimir Darida,Hertha Berlin,0,0,1,1,1,0,0,3,1,2,1,-,2,2,0,0,1,15
5273,Kerem Demirbay,Bayer Leverkusen,0,1,2,0,-,1,-,0,5,-,-,1,0,0,2,2,1,15
158,Bas Dost,Eintracht Frankfurt,2,2,3,1,0,2,2,0,2,0,1,-,0,-,-,-,-,15
6271,Ihlas Bebou,Hoffenheim,1,1,0,0,-,-,0,0,4,1,1,0,0,3,1,2,1,15
370,Marvin Friedrich,Union Berlin,0,0,1,2,2,0,0,1,1,1,2,3,1,0,0,1,-,15
307,Suat Serdar,Schalke 04,0,-,1,-,-,-,-,0,1,2,3,2,1,4,1,0,-,15
373,Mats Hummels,Borussia Dortmund,0,2,1,0,1,3,0,0,3,1,2,1,0,0,0,0,0,14
8808,Wataru Endo,VfB Stuttgart,1,2,0,1,2,1,0,2,2,0,1,0,0,0,0,2,-,14
412,André Hahn,Augsburg,2,0,1,0,0,4,1,0,4,-,-,-,-,0,0,2,-,14
6445,Elvis Rexhbecaj,FC Cologne,0,1,3,0,1,-,1,2,0,1,3,0,1,1,0,0,-,14
140,Yannick Gerhardt,Wolfsburg,0,1,2,1,0,2,0,-,-,-,-,-,2,2,4,0,0,14
4247,Maximilian Philipp,Wolfsburg,-,-,-,0,3,0,0,0,0,1,1,6,-,-,-,1,2,14
155,Max Kruse,Union Berlin,0,0,2,0,1,2,2,3,3,1,-,-,-,-,-,-,-,14
125,Maximilian Eggestein,Werder Bremen,2,0,0,0,1,1,0,1,0,1,0,0,3,2,0,3,0,14
