id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,total
7868,Diadie Samassékou,Hoffenheim,0.5977,0.3147,-,0.5662,0.1654,0.557,0.3581,0.1272,0.5563,0.1716,0.0199,0.0,-,0.0419,0.1571,0.1086,0.0538,0.2604,1.1572,5.2131
7876,Christopher Lenz,Union Berlin,0.7645,0.1172,0.6049,0.0903,0.0562,1.0495,0.7498,0.1076,0.0532,0.0434,0.5086,0.0244,0.0,0.0651,0.1838,0.1196,0.0612,0.5409,-,5.1402
5230,Thomas Delaney,Borussia Dortmund,0.463,-,0.0917,1.018,0.3308,0.5826,1.1722,-,-,-,-,-,-,0.0,0.0,-,0.694,-,0.7009,5.0532
261,Julian Brandt,Borussia Dortmund,0.0,0.4065,0.4823,0.1839,0.2937,0.1599,0.4193,0.9485,0.4792,0.0708,0.0,0.5808,0.024,-,0.0806,0.0603,0.2127,0.1703,0.465,5.0378
5680,Thomas Meunier,Borussia Dortmund,0.0395,0.0757,0.2837,0.1368,0.233,0.4077,0.7492,0.9077,0.4792,-,-,-,0.4785,0.3299,0.6458,0.1468,0.1218,-,-,5.0353
6484,Renato Steffen,Wolfsburg,0.0996,0.0201,-,0.0,0.2955,0.089,0.0166,1.6522,0.1238,0.571,-,-,0.1362,0.0,0.8567,0.4353,0.0,0.0,0.6749,4.9709
75,Niklas Süle,Bayern Munich,0.3732,-,0.0,1.2024,-,0.0651,-,-,0.0879,0.4645,-,0.6687,0.5349,0.6615,0.1054,-,-,0.8029,0.0,4.9665
326,Pascal Stenzel,VfB Stuttgart,-,0.7681,-,0.2759,0.402,0.1864,0.1919,0.1558,-,0.0691,0.0,0.311,0.2245,0.0,0.9852,0.2218,0.6524,0.4338,-,4.8779
5254,Marcel Halstenberg,RasenBallsport Leipzig,0.7455,-,0.6776,0.7173,-,-,-,-,0.1235,-,0.096,0.4148,0.5427,0.2776,0.4035,0.0,0.7519,0.1121,0.0,4.8625
8317,Edmond Tapsoba,Bayer Leverkusen,0.0,0.0,0.1299,0.11,0.6723,0.1863,0.3731,-,-,0.0,0.6083,0.4728,0.0362,0.5153,0.2252,0.1583,0.732,0.194,0.3455,4.7592
337,Leroy Sané,Bayern Munich,1.0813,0.0447,-,-,0.0,0.0,0.0958,0.0,0.0,0.4276,0.5588,0.1182,0.4294,1.1924,0.0,0.0898,0.0,0.6732,0.0479,4.7591
282,Makoto Hasebe,Eintracht Frankfurt,0.2448,0.0,0.9179,0.0,0.0,0.5428,0.7829,-,-,-,-,0.0126,0.1289,0.7782,0.1658,0.2023,0.3709,0.2951,0.2931,4.7353
161,Robin Knoche,Union Berlin,0.791,0.1912,0.7498,0.1282,0.1016,0.3187,0.2562,0.4445,0.0,0.0434,0.0,0.0,0.0,0.72,0.1823,0.1139,0.0291,0.4869,0.146,4.7028
370,Marvin Friedrich,Union Berlin,0.5182,0.0,0.2427,0.1065,0.1134,1.2187,0.301,0.3369,0.0,0.0434,0.0671,0.0647,0.0,0.0651,0.2966,0.4542,0.0466,0.5908,0.146,4.6119
315,Matthias Ginter,Borussia M.Gladbach,0.0613,0.1019,0.1621,0.0,0.7076,0.0641,0.4595,0.4697,0.4057,0.6892,0.2939,0.0785,0.5601,0.2412,0.0456,0.0728,0.0468,0.0,0.0,4.46
188,Kevin Kampl,RasenBallsport Leipzig,0.318,0.0,0.8328,-,0.6695,0.1767,0.2343,0.1894,0.3806,0.0,0.6032,0.0,0.1128,0.4006,-,0.0,0.4455,-,0.085,4.4484
7352,Tyler Adams,RasenBallsport Leipzig,0.7142,0.0,-,0.5564,-,-,0.0,0.1324,0.2004,1.0666,0.0189,0.0,0.5103,0.2261,0.866,-,0.0,0.054,0.0592,4.4045
604,Emre Can,Borussia Dortmund,0.0662,0.1702,0.1657,0.1809,-,-,-,0.6863,0.8104,0.1525,0.0981,0.5808,0.3696,0.0,0.7625,0.1875,-,0.1696,-,4.4003
6145,Daichi Kamada,Eintracht Frankfurt,0.1429,0.2342,0.1682,0.1093,0.0,0.5131,0.8854,0.0,0.0235,0.0,0.0955,0.0,-,0.8473,0.2099,0.0,0.4654,0.6166,0.0217,4.333
4243,Christian Günter,Freiburg,0.1225,0.0,0.0099,0.1948,0.0243,0.3124,0.0327,0.2949,0.096,0.46,0.1165,0.6013,0.085,0.0,0.6288,0.1305,0.1505,0.9923,0.0,4.2524
106,Waldemar Anton,VfB Stuttgart,0.4816,0.7149,0.0,-,-,-,0.0208,0.2479,0.1589,0.0,0.1133,0.4052,0.0,0.0,0.5384,0.363,0.6144,0.5083,0.0691,4.2358
7813,Jeremiah St. Juste,Mainz 05,0.0,0.1763,0.0,0.0968,0.4885,0.6545,0.5977,0.5005,1.0142,0.1634,0.291,0.0,0.0,0.0827,0.1057,-,-,0.0,0.0,4.1713
283,David Abraham,Eintracht Frankfurt,0.1703,0.0,0.1594,0.0453,-,0.9481,1.0859,0.0,0.0461,0.0,0.0282,0.8019,-,0.2943,0.1863,0.2641,-,-,-,4.0299
5257,Willi Orban,RasenBallsport Leipzig,-,-,0.5772,0.0552,0.4912,0.0274,0.1026,0.0981,1.1049,0.0,0.2817,0.0,0.5668,0.1609,0.3723,0.0,-,0.1029,0.0,3.9412
6708,Bote Baku,Wolfsburg,-,-,0.0,0.1532,0.2955,0.0709,0.034,0.336,0.0772,0.6142,0.4942,0.0898,0.1426,0.1614,0.0,0.4735,0.3895,0.0487,0.5533,3.934
7107,Jean-Paul Boëtius,Mainz 05,0.0,0.6944,0.0634,0.0968,0.2333,0.2354,0.6843,0.7819,0.0188,0.0,0.6115,-,0.0,0.21,0.1057,0.0769,0.0,-,0.0448,3.8572
5659,Nordi Mukiele,RasenBallsport Leipzig,0.0,0.0743,0.6314,0.1654,0.3294,-,0.1175,-,0.386,1.0244,0.0943,0.0,0.5237,-,-,0.0,0.4607,0.0,0.0252,3.8323
42,Julian Baumgartlinger,Bayer Leverkusen,0.0,-,0.0,0.0842,0.635,0.5686,0.3409,0.3732,0.0,0.6771,0.0,0.5195,0.1295,0.0612,0.0407,0.3854,-,0.0,-,3.8153
5248,Marcel Sabitzer,RasenBallsport Leipzig,-,-,-,-,0.0945,0.1118,0.1137,0.2831,0.0,0.3879,0.5563,0.0,0.1058,0.7154,0.0216,0.5571,0.4687,0.2348,0.0853,3.736
159,Koen Casteels,Wolfsburg,0.0,-,0.0159,0.0348,0.0351,0.0965,0.0641,0.5097,0.396,0.5655,0.1329,0.4428,0.1362,0.1739,0.0,0.4353,0.0,0.0,0.685,3.7237
1275,Robin Quaison,Mainz 05,0.0,0.1464,0.0,0.0,1.0682,0.0,0.0,1.5115,0.3747,0.11,0.0239,0.0,0.0,0.1212,0.2687,0.0769,0.0,0.0,0.0202,3.7217
2276,Lucas Hernández,Bayern Munich,0.6599,-,0.0406,0.7024,0.2708,-,0.3901,0.0167,0.4023,-,-,0.7869,0.1055,-,-,-,0.3419,0.0,-,3.7171
7877,Robert Andrich,Union Berlin,0.4775,0.1657,0.6349,0.1445,0.0453,0.9,0.3024,0.0,0.0,0.0,-,-,-,0.0651,0.1668,0.0271,0.0466,0.4869,0.2029,3.6657
217,Manuel Neuer,Bayern Munich,0.1699,0.027,0.0,0.5438,0.4758,0.0,0.0,0.0323,0.071,0.0369,0.0,0.0,0.1204,1.1619,0.1222,0.7296,0.0596,0.0,0.0676,3.618
187,Christoph Kramer,Borussia M.Gladbach,0.4049,0.1515,0.1406,0.0,0.0284,0.0,0.0,0.5862,0.1074,0.7008,-,0.0,0.0444,0.7705,0.0456,0.4429,0.1843,0.0,0.0,3.6075
7783,Xaver Schlager,Wolfsburg,0.1686,0.0,0.0,0.1393,0.0,0.0952,0.0638,0.2823,0.3982,0.1564,0.3613,0.0282,-,0.1798,0.428,0.0,0.0,0.2247,1.0259,3.5517
226,Kingsley Coman,Bayern Munich,-,0.3375,-,0.5697,0.5498,-,0.0,0.0,0.0668,0.0369,0.2066,0.6938,0.0685,-,0.0342,0.5014,0.3434,0.0659,0.0723,3.5468
3300,Christopher Nkunku,RasenBallsport Leipzig,0.0,0.0,0.7931,0.1102,0.2241,0.0908,0.1659,0.2408,0.4083,0.5648,-,-,-,-,-,0.6546,0.0992,0.08,0.0892,3.521
3339,Jérôme Roussillon,Wolfsburg,0.1485,0.0,0.1391,0.2813,0.2955,0.0895,0.0641,1.1677,0.1477,0.5476,0.016,0.6019,-,-,-,-,-,-,-,3.4989
5353,Josip Brekalo,Wolfsburg,0.0343,0.1238,0.1268,0.142,-,0.0543,0.1017,1.1346,0.1541,0.5624,0.1663,0.0,0.156,0.4608,0.1445,0.0,0.0193,0.0782,0.0,3.4591
125,Maximilian Eggestein,Werder Bremen,0.0888,0.0233,0.0869,0.4066,0.0,0.1831,0.2091,0.6901,0.022,0.1346,0.0458,0.0561,0.6036,0.092,0.0,0.4725,0.1156,0.1116,0.1155,3.4572
5266,Vincenzo Grifo,Freiburg,0.1567,0.0,0.0099,0.2356,0.0243,0.2929,0.0,0.2742,0.1585,0.1069,0.0862,0.1395,0.7095,0.12,0.0,0.1736,0.0,0.9012,0.0675,3.4565
7080,Matheus Cunha,Hertha Berlin,1.1401,0.4889,0.0,0.0,0.0551,0.0989,0.0,0.1878,0.0,0.0434,-,0.0,0.0814,0.6412,-,0.0367,0.1646,0.4409,0.057,3.436
5249,Emil Forsberg,RasenBallsport Leipzig,0.3619,0.0,0.6024,0.1381,0.1593,0.0664,0.0291,0.0,0.3655,0.0325,0.0189,0.0,0.385,0.3404,0.0158,0.5355,0.3063,0.054,-,3.4111
4250,Nicolas Höfler,Freiburg,0.4233,0.0,0.0,0.3053,0.0608,0.2929,0.0675,0.0728,0.0915,0.2046,0.4833,0.1215,0.1977,0.0,0.095,0.0564,-,0.7846,0.1249,3.3821
90,Sebastian Rudy,Hoffenheim,-,-,-,0.0,0.0521,0.7405,1.0139,-,0.0,0.1396,0.0,0.0,0.2188,0.0,-,0.2974,0.0799,0.0401,0.7769,3.3592
2611,Philipp Lienhart,Freiburg,0.0,0.0203,0.0099,0.2717,0.0386,0.7304,0.0,0.2556,0.1137,0.1567,0.1165,0.0783,0.1869,0.1112,0.6288,0.0775,0.4198,0.0,0.0675,3.2834
5654,Baptiste Santamaria,Freiburg,-,0.0203,0.0099,0.1097,0.1414,1.0303,0.1186,0.1918,0.1762,0.2416,0.0865,0.1271,0.8964,0.0,0.095,0.0,-,-,0.0,3.2448
8397,Florian Wirtz,Bayer Leverkusen,0.0,0.0,0.1163,-,0.0,0.5623,0.6333,0.0,0.0359,0.6445,0.0714,0.4728,0.2122,0.0612,-,-,0.3156,0.0651,0.0367,3.2273
7899,Daley Sinkgraven,Bayer Leverkusen,0.0269,0.0904,0.0,0.11,0.5362,0.1142,-,0.3826,0.0359,1.3062,0.0,0.0,0.0362,-,0.1084,0.2545,0.0402,0.1298,0.0224,3.1939
7831,Stefan Lainer,Borussia M.Gladbach,0.0451,0.0496,0.1621,0.0,0.0884,0.0,0.0541,0.7563,0.0,0.9442,0.0773,0.0785,0.0468,0.3412,0.0619,0.3902,0.0967,0.0,0.0,3.1924
7875,Christopher Trimmel,Union Berlin,0.4775,0.0,0.6002,0.0,0.1298,-,0.2562,0.4445,0.1125,0.0137,0.043,0.0221,0.0,0.0278,0.143,0.4333,-,0.4869,-,3.1905
7501,Amadou Haidara,RasenBallsport Leipzig,0.2883,0.0279,0.4154,-,-,0.0,0.0291,0.3271,0.0237,0.4692,0.2126,0.0,0.1409,0.1007,0.3496,0.633,0.0,0.1459,0.0,3.1634
