id,name,team,1,2,3,4,5,6,7,8,9,10,11,total
5659,Nordi Mukiele,RasenBallsport Leipzig,0.0,0.0183,0.7853,0.0829,0.0,-,0.1367,-,0.0,0.0,-,1.0232
7059,Benito Raman,Schalke 04,0.0453,0.11,-,0.0384,0.0,0.0815,0.0,0.1601,0.3724,0.2155,-,1.0232
7090,Krzysztof Piatek,Hertha Berlin,0.0341,0.0,0.0,0.0,0.0,0.0,0.7615,0.0,0.0,0.2212,-,1.0168
7065,Florian Neuhaus,Borussia M.Gladbach,0.0161,0.0065,0.2634,0.5277,0.0,0.0,0.0,0.0818,0.0948,0.0234,-,1.0137
6345,Jadon Sancho,Borussia Dortmund,0.1343,0.1267,-,0.0911,0.0326,0.3474,0.0169,-,0.0677,0.1726,-,0.9893
29,Vedad Ibisevic,Schalke 04,-,0.9891,0.0,0.0,-,-,0.0,-,-,-,-,0.9891
8171,Hannes Wolf,Borussia M.Gladbach,0.0,0.0593,0.0,0.0,0.0,0.0881,0.512,0.2196,0.1074,0.0,-,0.9864
7074,Nicolás González,VfB Stuttgart,-,-,-,0.0,0.0234,0.1885,0.5888,0.1645,-,-,-,0.9652
88,Mark Uth,Schalke 04,0.0,0.0797,0.1387,-,-,0.0097,0.5073,0.0289,0.0866,0.1007,-,0.9516
2655,Alfred Finnbogason,Augsburg,0.0,0.2023,0.3754,-,-,0.0,0.0,0.3623,-,-,-,0.94
8813,Tanguy Coulibaly,VfB Stuttgart,-,0.0,0.0,0.0,0.3171,0.028,0.0833,0.1214,0.3718,0.0,-,0.9216
5235,Aymen Barkok,Eintracht Frankfurt,0.0192,0.3481,0.0,0.0318,0.0,0.0,0.0,0.1295,-,0.3801,0.0,0.9087
4291,Marc-Oliver Kempf,VfB Stuttgart,0.094,0.329,0.0,0.4037,0.0,0.0,0.0218,0.0594,0.0,0.0,-,0.9079
7058,Kevin Stöger,Mainz 05,-,-,-,-,-,0.0,-,-,0.0,0.8999,-,0.8999
2668,Martin Hinteregger,Eintracht Frankfurt,0.5488,0.0088,0.1099,0.0088,0.0,0.0,0.0882,0.1345,0.0,0.0,0.0,0.899
116,Florian Grillitsch,Hoffenheim,-,0.0,0.0,0.0,-,0.0672,0.1314,0.0,0.0,0.6724,-,0.871
7786,Rafael Czichos,FC Cologne,0.0,0.7435,0.0,0.0,0.0,0.0,0.0,0.1237,0.0,-,-,0.8672
443,Peter Pekarík,Hertha Berlin,0.4758,0.0,0.0,0.0,0.0,0.0492,0.0,0.0,0.0,0.3104,-,0.8354
5257,Willi Orban,RasenBallsport Leipzig,-,-,0.2511,0.0,0.5827,0.0,0.0,0.0,0.0,0.0,-,0.8338
8205,Jan Thielmann,FC Cologne,0.1137,0.0225,0.0193,-,-,0.0469,0.0,0.0,0.1515,0.4693,-,0.8232
6100,Felix Uduokhai,Augsburg,0.0689,0.6759,0.0,0.0,0.0,0.0687,0.0,0.0,0.0,0.0,-,0.8135
206,Oscar Wendt,Borussia M.Gladbach,0.0,0.0,-,0.0,0.0358,0.0,-,0.034,0.2618,0.4815,-,0.8131
7501,Amadou Haidara,RasenBallsport Leipzig,0.474,0.0,0.1477,-,-,0.0174,0.0,0.083,0.0861,0.0,-,0.8082
7877,Robert Andrich,Union Berlin,0.0131,0.0198,0.0,0.052,0.0876,0.0,0.0687,0.0,0.5649,0.0,-,0.8061
153,Maximilian Arnold,Wolfsburg,0.0,0.0214,0.0442,0.0311,0.4142,-,0.0166,0.0386,0.0266,0.0715,0.1377,0.8019
7108,Jonathan Burkardt,Mainz 05,0.0204,0.0,0.0,0.0968,0.0,0.0996,0.4771,-,0.055,0.045,-,0.7939
64,Filip Kostic,Eintracht Frankfurt,0.0,0.0,-,-,-,-,0.0303,0.0398,0.0461,0.0797,0.5959,0.7918
421,Lars Bender,Bayer Leverkusen,0.0,0.0117,-,0.0,0.0,0.0,0.0,0.0,0.7038,0.0526,-,0.7681
7376,Ozan Kabak,Schalke 04,0.0,0.0,-,-,-,-,0.7212,-,0.0,0.0425,-,0.7637
223,Joshua Kimmich,Bayern Munich,0.558,0.0586,0.0,-,0.0654,0.0724,0.0,-,-,-,-,0.7544
7882,Sheraldo Becker,Union Berlin,0.0359,0.3081,0.0,0.0124,0.1041,-,0.2502,0.0,0.0434,0.0,-,0.7541
7900,Sargis Adamyan,Hoffenheim,-,-,-,-,0.0,0.0961,0.6549,-,-,-,-,0.751
339,Eric Maxim Choupo-Moting,Bayern Munich,-,-,-,0.0,0.0,0.0403,-,0.7029,-,-,-,0.7432
290,Mijat Gacinovic,Hoffenheim,0.0,0.0,0.0,0.4648,0.0,0.0417,0.2292,0.0,0.0,0.0,-,0.7357
3431,Almamy Touré,Eintracht Frankfurt,-,0.0102,0.3573,0.0928,0.2745,0.0,0.0,-,-,-,-,0.7348
22,John Brooks,Wolfsburg,0.5189,0.0,0.1572,0.0,0.0,0.0,0.0,0.0,0.0526,0.0,0.0,0.7287
320,Jonas Hofmann,Borussia M.Gladbach,0.3535,0.0366,0.2534,0.0749,0.0,0.0,0.0,-,-,-,-,0.7184
2276,Lucas Hernández,Bayern Munich,0.0,-,0.0,0.0208,0.6885,-,0.0,0.0,0.0,-,-,0.7093
6490,Manuel Akanji,Borussia Dortmund,0.0,0.0,0.0,-,0.2635,0.439,0.0,0.0,0.0,-,-,0.7025
4468,Dedryck Boyata,Hertha Berlin,0.2007,0.0,0.0,0.0141,0.0,0.4764,0.0,0.0,0.0,0.0,-,0.6912
7876,Christopher Lenz,Union Berlin,0.0282,0.0457,0.0119,0.4845,0.0271,0.0352,0.0,0.0,0.0228,0.0137,-,0.6691
6326,Ibrahima Konaté,RasenBallsport Leipzig,-,-,-,-,0.0,-,0.6434,0.0,0.0,0.0,-,0.6434
2611,Philipp Lienhart,Freiburg,0.0,0.0293,0.0,0.1467,0.0,0.0,0.0,0.0,0.0,0.4665,-,0.6425
283,David Abraham,Eintracht Frankfurt,0.067,0.0144,0.0,0.0833,-,0.0344,0.437,0.0,0.0,0.0,0.0,0.6361
188,Kevin Kampl,RasenBallsport Leipzig,0.0471,0.4823,0.0257,-,0.0352,0.0,0.0322,0.0,0.0,0.0,-,0.6225
2645,Marcel Hartel,Arminia Bielefeld,0.0,0.0155,0.0149,0.153,0.1001,0.178,0.0856,0.0,0.0,0.0673,-,0.6144
261,Julian Brandt,Borussia Dortmund,0.0,0.0,0.1331,0.0,0.0,0.3547,0.0,0.0,0.0,0.1143,-,0.6021
6708,Bote Baku,Wolfsburg,-,-,0.0,0.2969,0.0,0.0543,0.0,0.0987,0.039,0.0598,0.0335,0.5822
176,Sven Schipplock,Arminia Bielefeld,0.0374,0.0,0.0175,0.0247,0.4081,0.0,0.0,0.0,0.0,0.0934,-,0.5811
7879,Marius Bülter,Union Berlin,0.4855,0.0,0.0,0.0407,0.0,0.0,-,-,0.0535,0.0,-,0.5797
8378,Malick Thiaw,Schalke 04,-,-,-,-,0.0,0.5169,-,0.0478,0.0,0.0085,-,0.5732
9076,Philipp Förster,VfB Stuttgart,-,-,-,-,-,0.0,-,0.0,0.4895,0.079,-,0.5685
125,Maximilian Eggestein,Werder Bremen,0.0245,0.0,0.0,0.0,0.0761,0.0179,0.0,0.416,0.0,0.0292,-,0.5637
418,Niklas Stark,Hertha Berlin,0.0,0.239,0.0,0.0,0.0,0.0713,0.0651,0.1878,0.0,0.0,-,0.5632
8845,Hee-Chan Hwang,RasenBallsport Leipzig,0.0,0.4419,-,0.0753,-,0.039,0.0,-,-,-,-,0.5562
6088,Orel Mangala,VfB Stuttgart,0.1479,0.0917,0.0241,0.0,0.0615,0.0548,0.0119,0.0,0.1184,0.0326,-,0.5429
3834,Ishak Belfodil,Hoffenheim,0.0,-,0.0,0.148,-,0.0276,0.3654,-,-,-,-,0.541
315,Matthias Ginter,Borussia M.Gladbach,0.0,0.1784,0.0,0.0,0.34,0.0,0.0,0.0,0.0175,0.0,-,0.5359
186,Karim Bellarabi,Bayer Leverkusen,0.0,0.048,0.3083,0.0,0.0,0.0,0.0,0.0,-,0.1717,-,0.528
7813,Jeremiah St. Juste,Mainz 05,0.0513,0.0562,0.0,0.0,0.0545,0.0216,0.0336,0.0441,0.1907,0.0648,-,0.5168
7485,Nico Schlotterbeck,Union Berlin,-,0.0748,0.4387,-,-,-,-,-,-,-,-,0.5135
5248,Marcel Sabitzer,RasenBallsport Leipzig,-,-,-,-,0.0192,0.0637,0.0216,0.0,0.3892,0.0189,-,0.5126
2663,Felix Passlack,Borussia Dortmund,0.0596,-,0.3906,0.0324,0.0,0.0278,-,-,0.0,-,-,0.5104
5680,Thomas Meunier,Borussia Dortmund,0.0,0.1386,0.0727,0.0304,0.095,0.1317,0.0,0.0419,0.0,-,-,0.5103
82,Nadiem Amiri,Bayer Leverkusen,0.0,0.0,0.0,0.0947,0.0381,0.1257,0.0519,0.0,-,0.1814,-,0.4918
3059,Axel Witsel,Borussia Dortmund,0.0212,0.0263,0.1921,0.0,0.0,0.0,0.0655,0.0,0.1429,0.0417,-,0.4897
8799,Joakim Nilsson,Arminia Bielefeld,-,-,-,-,-,0.0,-,-,0.4773,0.0,-,0.4773
7401,Keven Schlotterbeck,Freiburg,-,-,0.0,-,-,-,-,-,0.0,0.474,-,0.474
7791,Sebastiaan Bornauw,FC Cologne,0.0,0.2415,0.0,0.0,0.1014,0.0,0.0749,-,0.0,0.0535,-,0.4713
8824,Jude Bellingham,Borussia Dortmund,0.0,0.0938,0.0186,0.0,-,0.1539,0.0653,0.1341,-,0.0,-,0.4657
8874,Jóan Símun Edmundsson,Arminia Bielefeld,-,0.0411,0.3555,0.0,0.0,0.0689,-,-,-,-,-,0.4655
8853,Maxence Lacroix,Wolfsburg,0.0,-,0.0438,0.0,0.1775,0.0,0.0,0.0411,0.0,0.0665,0.127,0.4559
8808,Wataru Endo,VfB Stuttgart,0.0132,0.1477,0.0,0.0649,0.103,0.0335,0.0,0.0324,0.0609,0.0,-,0.4556
118,Levin Öztunali,Mainz 05,0.0,0.0525,-,0.0451,0.3324,0.0,0.0,0.0251,0.0,-,-,0.4551
8806,Roberto Massimo,VfB Stuttgart,0.1166,0.3353,0.0,-,0.0,-,-,-,0.0,0.0,-,0.4519
3339,Jérôme Roussillon,Wolfsburg,0.0,0.0,0.0207,0.0,0.0,0.0284,0.2024,0.0128,0.0,0.0185,0.1663,0.4491
213,Thorgan Hazard,Borussia Dortmund,0.0,-,-,-,0.0,0.0986,0.0866,-,0.261,-,-,0.4462
74,Pavel Kaderábek,Hoffenheim,0.4065,0.0,0.0256,-,-,-,-,-,-,-,-,0.4321
8951,Keita Endo,Union Berlin,-,-,0.0,0.0,0.0,-,0.4239,-,-,-,-,0.4239
6963,Justin Kluivert,RasenBallsport Leipzig,-,-,-,0.0,0.0341,-,-,0.0,-,0.3879,-,0.422
212,Nico Elvedi,Borussia M.Gladbach,0.0,0.0,0.0,0.4037,0.0,0.0,0.0161,0.0,-,-,-,0.4198
8789,Manuel Prietl,Arminia Bielefeld,0.0371,0.0,0.0,0.0064,0.0189,0.0,0.0,0.0,0.0,0.3553,-,0.4177
7867,Robert Skov,Hoffenheim,-,0.0822,0.0497,0.0,0.1624,0.0,-,-,0.1193,0.0,-,0.4136
7522,Nassim Boujellab,Schalke 04,-,0.3763,-,-,-,-,-,-,0.0,0.0347,-,0.411
81,Jonathan Schmid,Freiburg,0.0,0.1216,0.048,0.0847,0.0,0.0,0.0,0.0593,0.0354,0.0509,-,0.3999
9133,Youssoufa Moukoko,Borussia Dortmund,-,-,-,-,-,-,-,0.0,0.3212,0.0781,-,0.3993
201,Tony Jantschke,Borussia M.Gladbach,-,-,-,0.0,0.0,-,-,-,0.3938,-,-,0.3938
3743,Lucas Tousart,Hertha Berlin,0.0359,0.0786,0.0,0.1179,0.1013,0.056,-,-,-,0.0,-,0.3897
8801,Sebastian Griesbeck,Union Berlin,0.0,0.0,0.0,-,0.0,0.3187,0.0,0.0,0.0,0.064,-,0.3827
4243,Christian Günter,Freiburg,0.0,0.1246,0.0,0.0612,0.0382,0.0,0.0,0.0508,0.0,0.0932,-,0.368
7831,Stefan Lainer,Borussia M.Gladbach,0.0162,0.0,0.0129,0.0,0.2864,0.0,0.0108,0.0,0.0,0.0161,-,0.3424
5251,Rani Khedira,Augsburg,0.0,0.0,0.0242,0.0,0.0,-,0.0124,0.302,0.0,-,-,0.3386
8117,Nick Woltemade,Werder Bremen,0.0591,-,-,0.1009,-,-,-,-,0.0,0.1691,-,0.3291
7439,Tahith Chong,Werder Bremen,0.0,0.0,0.101,-,0.0,0.02,0.1065,0.0,0.0,0.1013,-,0.3288
4247,Maximilian Philipp,Wolfsburg,-,-,-,0.0,0.1826,0.0,0.0,0.0,0.0,0.072,0.0672,0.3218
6083,Ludwig Augustinsson,Werder Bremen,0.0,0.1437,0.0258,0.0,-,-,-,0.0,0.1499,0.0,-,0.3194
370,Marvin Friedrich,Union Berlin,0.0,0.0,0.0385,0.0362,0.1295,0.0,0.0,0.0191,0.0335,0.0616,-,0.3184
6357,Marco Richter,Augsburg,-,-,-,0.0,0.0,-,0.0,0.0,0.0625,0.2498,-,0.3123
5242,Stefan Ilsanker,Eintracht Frankfurt,0.0202,0.0131,0.0,0.0126,0.0,0.0636,0.1278,0.0,0.0749,0.0,0.0,0.3122
27,Vladimir Darida,Hertha Berlin,0.0,0.0,0.016,0.0492,0.0173,0.0,0.0,0.1453,0.0113,0.0639,-,0.303
90,Sebastian Rudy,Hoffenheim,-,-,-,0.0843,0.0228,0.0946,0.0,-,0.0,0.1008,-,0.3025
5654,Baptiste Santamaria,Freiburg,-,0.152,0.0295,0.0189,0.0,0.0263,0.0,0.01,0.0,0.0658,-,0.3025
4340,Grischa Prömel,Union Berlin,0.0106,0.1094,0.0,0.1154,-,-,-,0.0652,0.0,0.0,-,0.3006
8796,Christian Gebauer,Arminia Bielefeld,0.0,-,-,0.2981,-,-,-,-,-,-,-,0.2981
5273,Kerem Demirbay,Bayer Leverkusen,0.0,0.0194,0.0494,0.0,-,0.0311,-,0.0,0.1887,-,-,0.2886
604,Emre Can,Borussia Dortmund,0.0,0.0812,0.0899,0.0,-,-,-,0.0,0.0785,0.0382,-,0.2878
7267,Woo-Yeong Jeong,Freiburg,0.1225,0.0,0.0,0.0669,0.0,0.0,0.0973,-,-,-,-,0.2867
7075,Borna Sosa,VfB Stuttgart,-,0.0154,0.0623,-,-,0.0505,0.0,0.0718,0.0245,0.0587,-,0.2832
7784,Joao Victor,Wolfsburg,0.0396,0.1037,-,-,0.0808,0.0,0.0475,0.0,0.0,-,-,0.2716
194,Admir Mehmedi,Wolfsburg,0.0343,0.0,0.1263,0.1106,0.0,0.0,0.0,0.0,0.0,-,-,0.2712
6496,Ermedin Demirovic,Freiburg,-,0.0,-,0.0,0.0,0.0,-,0.0,0.0205,0.2483,-,0.2688
6096,Sergio Córdova,Arminia Bielefeld,0.1499,0.0,0.0583,-,0.0524,0.0,0.0,-,-,0.0,-,0.2606
140,Yannick Gerhardt,Wolfsburg,0.0,0.0199,0.1378,0.019,0.0,0.0807,0.0,-,-,-,-,0.2574
96,Salif Sané,Schalke 04,-,0.0154,0.0,0.0533,0.0,0.047,0.1344,-,-,-,-,0.2501
451,Matija Nastasic,Schalke 04,-,-,0.0,0.0378,0.1132,0.0,0.0597,0.0394,0.0,-,-,0.2501
2693,Marius Wolf,FC Cologne,-,-,0.046,0.0141,0.0105,0.0306,0.0365,0.0,0.1122,0.0,-,0.2499
7431,Jean-Manuel Mbom,Werder Bremen,-,0.0509,0.0,0.0305,0.0,0.0555,0.1115,0.0,0.0,-,-,0.2484
5243,Dayotchanculle Upamecano,RasenBallsport Leipzig,0.0,0.0,0.0,0.1181,0.1028,0.0,-,0.0,0.0,0.0199,-,0.2408
