id,name,team,1,2,3,4,5,6,7,8,9,10,11,total
262,Leonardo Bittencourt,Werder Bremen,1,2,1,1,0,1,1,0,1,0,-,8
6271,Ihlas Bebou,Hoffenheim,0,3,1,0,-,-,1,0,0,3,-,8
7075,Borna Sosa,VfB Stuttgart,-,1,0,-,-,2,3,0,1,1,-,8
8824,Jude Bellingham,Borussia Dortmund,1,0,2,0,-,2,1,1,-,1,-,8
64,Filip Kostic,Eintracht Frankfurt,4,0,-,-,-,-,0,1,3,0,0,8
6170,André Silva,Eintracht Frankfurt,0,0,1,1,1,1,2,1,1,0,-,8
6445,Elvis Rexhbecaj,FC Cologne,1,1,1,1,1,-,0,1,0,1,-,7
1277,Roland Sallai,Freiburg,1,0,1,2,0,0,1,2,-,0,-,7
7783,Xaver Schlager,Wolfsburg,1,0,1,0,2,0,1,0,1,0,1,7
4250,Nicolas Höfler,Freiburg,0,2,0,1,0,0,0,1,1,2,-,7
409,Philipp Klement,VfB Stuttgart,3,0,2,-,0,2,-,0,-,0,-,7
8809,Mateo Klimowicz,VfB Stuttgart,1,0,0,1,-,2,1,0,2,-,-,7
3431,Almamy Touré,Eintracht Frankfurt,-,2,1,0,1,1,2,-,-,-,-,7
7883,Marcus Ingvartsen,Union Berlin,0,1,2,1,2,-,-,0,0,1,-,7
3310,Alassane Pléa,Borussia M.Gladbach,1,1,1,-,1,0,0,-,3,0,-,7
8171,Hannes Wolf,Borussia M.Gladbach,2,0,1,0,2,0,0,1,1,0,-,7
8808,Wataru Endo,VfB Stuttgart,1,0,0,0,0,3,0,2,0,1,-,7
5680,Thomas Meunier,Borussia Dortmund,0,1,0,1,2,2,1,0,0,-,-,7
421,Lars Bender,Bayer Leverkusen,0,3,-,1,0,1,0,0,1,1,-,7
7810,Ruben Vargas,Augsburg,0,-,0,1,2,1,0,2,0,1,-,7
956,Andrej Kramaric,Hoffenheim,0,1,0,-,-,-,-,3,2,1,-,7
2276,Lucas Hernández,Bayern Munich,0,-,1,3,1,-,2,0,0,-,-,7
7867,Robert Skov,Hoffenheim,-,1,2,1,1,2,-,-,0,0,-,7
5294,Salih Özcan,FC Cologne,2,0,-,0,0,0,0,0,3,1,-,6
79,Tobias Strobl,Augsburg,0,0,0,0,0,2,1,1,1,1,-,6
7880,Sebastian Andersson,FC Cologne,2,1,0,1,0,0,1,1,-,0,-,6
116,Florian Grillitsch,Hoffenheim,-,0,1,0,-,2,1,1,1,0,-,6
335,Leon Goretzka,Bayern Munich,0,1,1,1,1,-,0,1,1,0,-,6
7877,Robert Andrich,Union Berlin,0,1,0,2,1,1,0,0,0,1,-,6
393,Douglas Costa,Bayern Munich,-,-,-,0,3,0,-,2,0,1,-,6
7784,Joao Victor,Wolfsburg,2,1,-,-,1,0,1,0,1,-,-,6
373,Mats Hummels,Borussia Dortmund,0,1,1,1,0,2,0,0,1,0,-,6
7109,Leandro Barreiro Martins,Mainz 05,0,0,-,-,0,-,0,5,1,0,-,6
5254,Marcel Halstenberg,RasenBallsport Leipzig,0,-,4,1,-,-,-,-,1,-,-,6
8792,Fabian Klos,Arminia Bielefeld,0,0,1,1,0,0,1,0,2,1,-,6
118,Levin Öztunali,Mainz 05,0,0,-,0,3,2,0,1,0,-,-,6
6088,Orel Mangala,VfB Stuttgart,1,0,2,0,0,0,0,2,0,1,-,6
186,Karim Bellarabi,Bayer Leverkusen,1,2,2,0,0,0,1,0,-,0,-,6
8065,Iago,Augsburg,1,1,2,-,0,0,0,0,2,-,-,6
