id,name,team,1,2,3,total
4250,Nicolas Höfler,Freiburg,0.4233,0.0203,0.0099,0.4535
7051,Gonçalo Paciência,Schalke 04,0.0744,0.3776,0.0,0.452
6083,Ludwig Augustinsson,Werder Bremen,0.1275,0.1437,0.1776,0.4488
6490,Manuel Akanji,Borussia Dortmund,0.0395,0.0598,0.3484,0.4477
7197,Fredrik Jensen,Augsburg,0.0255,0.0,0.405,0.4305
7024,Kasim Nuhu,Hoffenheim,0.4286,-,-,0.4286
6445,Elvis Rexhbecaj,FC Cologne,0.13,0.2622,0.0359,0.4281
285,Bastian Oczipka,Schalke 04,0.0,0.3869,0.0397,0.4266
8418,Jamal Musiala,Bayern Munich,0.1076,0.027,0.2848,0.4194
38,Daniel Brosinski,Mainz 05,0.0511,0.2501,0.1134,0.4146
84,Ermin Bicakcic,Hoffenheim,0.4133,0.0,-,0.4133
5288,Gregor Kobel,VfB Stuttgart,0.3887,0.0244,0.0,0.4131
6338,Lucas Alario,Bayer Leverkusen,0.12,-,0.2887,0.4087
6085,Marcin Kaminski,VfB Stuttgart,0.3987,-,-,0.3987
8874,Jóan Símun Edmundsson,Arminia Bielefeld,-,0.0411,0.3555,0.3966
153,Maximilian Arnold,Wolfsburg,0.1485,0.1343,0.1125,0.3953
7997,Julian Ryerson,Union Berlin,-,0.0,0.3923,0.3923
81,Jonathan Schmid,Freiburg,0.3477,0.0203,0.0099,0.3779
6096,Sergio Córdova,Arminia Bielefeld,0.2835,0.0,0.0934,0.3769
7784,Joao Victor,Wolfsburg,0.2295,0.145,-,0.3745
75,Niklas Süle,Bayern Munich,0.3732,-,0.0,0.3732
4468,Dedryck Boyata,Hertha Berlin,0.1984,0.1737,0.0,0.3721
116,Florian Grillitsch,Hoffenheim,-,0.0,0.3718,0.3718
454,Charles Aránguiz,Bayer Leverkusen,0.12,0.1066,0.1299,0.3565
7522,Nassim Boujellab,Schalke 04,-,0.355,-,0.355
4243,Christian Günter,Freiburg,0.1225,0.2118,0.0099,0.3442
7791,Sebastiaan Bornauw,FC Cologne,0.1452,0.1736,0.0226,0.3414
8853,Maxence Lacroix,Wolfsburg,0.1757,-,0.1642,0.3399
226,Kingsley Coman,Bayern Munich,-,0.3375,-,0.3375
8813,Tanguy Coulibaly,VfB Stuttgart,-,0.3353,0.0,0.3353
283,David Abraham,Eintracht Frankfurt,0.1703,0.0,0.1594,0.3297
7783,Xaver Schlager,Wolfsburg,0.212,0.0,0.1166,0.3286
205,Mahmoud Dahoud,Borussia Dortmund,-,0.3274,-,0.3274
7814,Taiwo Awoniyi,Union Berlin,-,0.3176,-,0.3176
8044,Joshua Zirkzee,Bayern Munich,0.0,0.3153,-,0.3153
421,Lars Bender,Bayer Leverkusen,0.12,0.1943,-,0.3143
2631,Karim Onisiwo,Mainz 05,0.0317,0.1523,0.1134,0.2974
150,Josuha Guilavogui,Wolfsburg,-,0.0124,0.2836,0.296
7431,Jean-Manuel Mbom,Werder Bremen,-,0.1416,0.1518,0.2934
5329,Stefan Posch,Hoffenheim,-,0.017,0.271,0.288
241,Mathew Leckie,Hertha Berlin,0.2824,-,-,0.2824
22,John Brooks,Wolfsburg,0.0343,0.0,0.2481,0.2824
125,Maximilian Eggestein,Werder Bremen,0.1271,0.0233,0.1268,0.2772
8790,Cebio Soukou,Arminia Bielefeld,0.1336,0.0156,0.1274,0.2766
7831,Stefan Lainer,Borussia M.Gladbach,0.0613,0.0496,0.1621,0.273
7785,Kingsley Ehizibue,FC Cologne,0.1726,0.099,0.0,0.2716
7786,Rafael Czichos,FC Cologne,0.0944,0.1731,0.0,0.2675
6522,Cedric Teuchert,Union Berlin,0.1942,0.0721,-,0.2663
8213,Paulo Otávio,Wolfsburg,0.0,0.0781,0.1829,0.261
420,Patrick Herrmann,Borussia M.Gladbach,0.0451,0.0496,0.1618,0.2565
8794,Cédric Brunner,Arminia Bielefeld,0.2069,0.0155,0.0288,0.2512
