id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,total
6496,Ermedin Demirovic,Freiburg,-,0,-,0,0,0,-,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,4
5706,Dodi Lukebakio,Hertha Berlin,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-,0,0,0,0,0,1,0,0,4
8140,Munas Dabbur,Hoffenheim,0,1,0,0,0,1,0,-,0,-,-,0,0,0,-,0,0,0,0,0,1,1,0,0,0,0,4
2611,Philipp Lienhart,Freiburg,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
7810,Ruben Vargas,Augsburg,1,-,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-,0,0,0,0,-,0,1,0,4
1040,Angelino,RasenBallsport Leipzig,0,0,1,1,0,0,1,0,1,0,-,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,4
5257,Willi Orban,RasenBallsport Leipzig,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-,0,0,1,0,1,0,-,0,0,4
370,Marvin Friedrich,Union Berlin,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8791,Ritsu Doan,Arminia Bielefeld,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4
8397,Florian Wirtz,Bayer Leverkusen,0,0,0,-,0,0,0,0,0,0,1,1,0,0,-,-,1,0,0,1,0,0,0,-,0,0,4
335,Leon Goretzka,Bayern Munich,1,0,0,0,0,-,0,0,0,0,0,-,-,0,1,0,0,0,-,-,-,0,0,1,1,0,4
337,Leroy Sané,Bayern Munich,1,0,-,-,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
5992,Marcus Thuram,Borussia M.Gladbach,0,1,0,0,0,0,0,0,1,0,0,0,0,-,-,-,-,1,0,0,-,0,1,0,0,0,4
262,Leonardo Bittencourt,Werder Bremen,0,0,1,0,0,0,1,0,1,0,0,0,-,0,-,-,0,1,0,0,0,0,0,0,0,0,4
3347,Ellyes Skhiri,FC Cologne,0,0,0,0,0,0,-,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
7877,Robert Andrich,Union Berlin,0,0,0,0,1,0,1,0,1,0,-,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,4
5240,Ondrej Duda,FC Cologne,0,0,0,1,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
6145,Daichi Kamada,Eintracht Frankfurt,0,0,1,0,0,0,0,0,0,1,0,0,-,0,0,0,0,0,0,0,0,1,0,-,1,0,4
158,Bas Dost,Eintracht Frankfurt,0,1,1,0,0,0,0,0,1,0,1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,4
64,Filip Kostic,Eintracht Frankfurt,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,4
