id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,total
4243,Christian Günter,Freiburg,0.1225,0.1801,0.0,0.2166,0.1116,0.0254,0.229,0.0896,0.031,0.248,0.1119,0.0354,0.7413,0.0456,0.6142,0.0781,0.0848,0.189,0.0937,0.0,0.0924,0.0,3.3402
8807,Silas Wamangituka,VfB Stuttgart,0.1486,0.7149,0.0293,0.0,0.0,0.0,0.0,0.0161,0.9474,0.0,0.2555,0.0442,0.0,0.0,0.612,0.0303,-,0.4547,0.0,0.0825,0.0,0.0,3.3355
5221,Leon Bailey,Bayer Leverkusen,-,0.0,0.0,0.2148,0.6562,0.1616,0.1098,0.0865,0.0578,0.0605,0.0714,0.5571,0.0,0.0,0.0603,0.1903,0.4242,0.0331,0.0,0.5189,0.064,0.0503,3.3168
208,Lars Stindl,Borussia M.Gladbach,0.0,0.4213,0.3601,0.0494,0.3946,0.0,0.0541,0.0739,0.0,0.2981,0.0,0.0,0.1083,0.0653,0.6458,0.4137,0.0,0.0,0.1117,0.0517,0.017,0.1396,3.2046
5249,Emil Forsberg,RasenBallsport Leipzig,0.6256,0.4823,0.0,0.0,0.0,0.0,0.0216,0.2728,0.3892,0.5409,0.036,0.0,0.0796,0.1461,0.0,0.5562,0.0,0.054,-,-,-,-,3.2043
7080,Matheus Cunha,Hertha Berlin,0.0528,0.0,0.4256,0.2224,0.0249,0.4571,0.81,0.0,0.0,0.1558,-,0.0809,0.0,0.3007,-,0.1274,0.0204,0.0977,0.1656,0.1389,0.0367,0.0693,3.1862
7052,Wout Weghorst,Wolfsburg,0.0396,0.0,0.0488,0.0236,0.0,0.0702,0.0,0.4116,0.1359,0.2254,0.0,0.4345,0.5179,0.0,0.5744,0.0,0.0,0.0,0.0,0.4267,0.1743,0.037,3.1199
8191,Giovanni Reyna,Borussia Dortmund,0.0448,0.228,0.5555,0.0,0.0,0.0,0.5573,0.0,0.3446,0.0857,0.134,0.6679,0.0,0.1229,0.0,-,0.0,0.0539,0.0636,0.1773,0.0665,0.0,3.102
6708,Bote Baku,Wolfsburg,-,-,0.0,0.4705,0.4227,0.0327,0.0,0.2143,0.0,0.0,0.6402,0.0647,0.1054,0.0,0.041,0.0446,0.0424,0.0,0.7283,0.1866,0.0723,0.0202,3.0859
5235,Aymen Barkok,Eintracht Frankfurt,0.5803,0.0,0.107,0.0,0.0,0.039,0.8606,0.456,-,0.0207,0.0,0.3395,0.2909,0.0,0.0,0.2743,0.0572,-,0.0602,-,-,0.0,3.0857
8824,Jude Bellingham,Borussia Dortmund,0.081,0.0,0.586,0.0,-,0.4668,0.1392,0.3473,-,0.0475,0.0,0.0,0.0,-,-,0.0,0.633,0.0,0.0,0.0,0.0,0.7836,3.0844
7882,Sheraldo Becker,Union Berlin,0.0406,0.0,0.6049,0.0,0.7055,-,0.3916,0.0488,0.1227,0.0,0.36,0.0667,0.0,0.5969,0.143,0.0,-,0.0,-,-,-,-,3.0807
227,Robert Lewandowski,Bayern Munich,0.2165,0.0,0.0175,0.9451,0.0,-,0.1187,0.1061,0.0,0.0,0.0875,0.0,0.0,0.8377,0.0,0.0902,0.1226,0.4148,0.0676,0.0,0.0,0.0551,3.0794
27,Vladimir Darida,Hertha Berlin,0.4503,0.0,0.0,0.0,0.1956,0.0,0.1169,0.0,0.1359,0.0,0.0613,-,0.2245,1.064,0.0791,0.1008,0.0,0.0425,0.0,0.5949,-,-,3.0658
6496,Ermedin Demirovic,Freiburg,-,0.0,-,0.0,0.0,0.0,-,0.0,0.1275,0.4519,0.3339,0.1081,0.3087,0.2947,1.0896,0.0,0.335,0.0,0.0,0.0,0.0,0.0,3.0494
8792,Fabian Klos,Arminia Bielefeld,0.0,0.0,0.0151,0.1213,0.0,0.0,0.049,0.0,0.4675,0.3385,0.0,0.0372,0.0,0.604,0.0148,0.1414,0.4057,0.1076,0.623,0.021,0.0,-,2.9461
6484,Renato Steffen,Wolfsburg,0.0709,0.0,-,0.0,0.0,0.0,0.4088,0.0953,0.0,0.4934,-,-,0.2059,0.211,0.0,0.0,0.0,0.3162,0.3789,0.5622,0.1117,0.0667,2.921
82,Nadiem Amiri,Bayer Leverkusen,0.1379,0.0,0.0,0.0,0.2472,0.0,0.562,0.0301,-,0.6321,0.2088,0.5034,0.0414,0.0778,0.0402,0.1985,0.0593,0.0964,-,-,0.0448,-,2.8799
153,Maximilian Arnold,Wolfsburg,0.0,0.0,0.2264,0.1595,0.6847,-,0.2024,0.0657,0.0132,0.0,0.1401,0.0687,-,0.1411,0.3558,-,0.3871,0.0,0.0,0.0962,0.0819,0.1772,2.8
7422,Christoph Baumgartner,Hoffenheim,0.4065,0.0943,0.0994,0.0,0.0,0.0,0.289,0.0257,0.3163,0.4078,0.0,0.1638,0.0,0.051,0.0232,-,0.0774,0.139,0.3103,0.0,0.3344,0.0,2.7381
158,Bas Dost,Eintracht Frankfurt,1.2795,0.0,0.9902,0.2442,0.0,0.0,0.0568,0.0,0.0235,0.0,0.0282,-,0.0,-,-,-,-,-,-,-,-,-,2.6224
7295,Joshua Sargent,Werder Bremen,0.0097,0.7666,0.0725,0.1239,0.0,0.0555,0.1339,0.4901,-,0.0,0.3905,0.0,0.0,0.0379,0.0,0.0607,0.3225,0.1116,0.0328,0.0,0.0,-,2.6082
140,Yannick Gerhardt,Wolfsburg,0.0,0.0,0.0,0.0,0.0,0.068,0.0,-,-,-,-,-,0.0,0.0,0.1226,0.6909,0.0,0.1202,0.685,0.2959,0.0,0.601,2.5836
155,Max Kruse,Union Berlin,0.0,0.0721,0.0,0.0211,0.2582,1.6665,0.3189,0.0,0.0581,0.064,-,-,-,-,-,-,-,-,-,-,-,-,2.4589
8791,Ritsu Doan,Arminia Bielefeld,0.1283,0.0155,0.0149,0.3386,0.3816,0.0,0.0,0.0,0.0164,0.4823,0.0895,0.3093,0.3214,0.0,0.0293,0.0,0.0,0.0148,0.2611,0.0,0.0076,-,2.4106
157,Daniel Caligiuri,Augsburg,0.0689,0.6759,0.0,0.0,0.1025,0.2453,0.048,0.302,0.0791,0.0831,0.0,0.1433,0.2463,0.1078,0.1252,0.0567,0.0732,0.0349,0.0,0.0,0.0,0.0,2.3922
6083,Ludwig Augustinsson,Werder Bremen,0.1459,0.4145,0.0129,0.6128,-,-,-,0.0,0.0123,0.1017,0.0271,0.0379,0.3989,0.0162,0.4707,-,-,-,0.0464,0.0944,-,-,2.3917
5353,Josip Brekalo,Wolfsburg,0.0,0.0,0.1395,0.058,-,0.0965,0.0137,0.7398,0.1624,0.5137,0.0,0.0414,0.4433,0.0434,0.0,0.0353,0.0213,0.0782,0.0,0.0,-,0.0,2.3865
300,Daniel Didavi,VfB Stuttgart,0.2363,0.0836,0.0,0.4459,0.103,-,0.0208,0.1334,-,-,-,0.3996,0.2245,-,0.1368,0.0,0.4231,0.1389,-,-,0.0,-,2.3459
7875,Christopher Trimmel,Union Berlin,0.0,0.1172,0.396,0.0151,0.0311,-,0.0923,0.0191,0.2885,0.0434,0.3632,0.1901,0.113,0.0825,0.0157,0.1571,-,0.1823,-,0.1415,0.0,0.0928,2.3409
956,Andrej Kramaric,Hoffenheim,0.0,0.0822,0.0,-,-,-,-,0.176,0.1501,0.363,0.4602,0.0,0.0,0.0144,0.1332,0.227,0.0,0.0,0.6027,0.1194,-,0.0,2.3282
90,Sebastian Rudy,Hoffenheim,-,-,-,0.0721,0.0804,0.1089,0.3498,-,0.0,0.2525,0.0435,0.4573,0.0,0.0,-,0.0176,0.1246,0.0,0.1216,0.0812,0.475,0.1,2.2845
5240,Ondrej Duda,FC Cologne,0.0233,0.0,0.0,0.0,0.0105,0.2007,0.0,0.8652,0.1122,0.0535,0.2049,-,0.0,0.1841,0.0,0.0,0.2952,0.1222,0.1077,0.0729,0.0,0.0125,2.2649
