id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,total
7014,Arkadiusz Reca,Crotone,-,0,0,2,2,1,0,0,0,0,2,1,1,3,1,2,1,16
1433,Federico Chiesa,Juventus,-,-,3,-,1,-,0,2,1,3,1,0,0,3,1,1,-,16
1943,Gervinho,Parma Calcio 1913,-,0,2,3,1,1,0,0,0,1,2,3,0,-,-,-,3,16
6672,Riccardo Sottil,Cagliari,0,1,2,2,3,1,2,1,1,3,0,0,0,0,0,0,0,16
4941,Hans Hateboer,Atalanta,1,1,1,-,0,1,0,-,3,2,2,1,1,2,0,1,-,16
1592,João Pedro,Cagliari,2,0,1,1,3,0,2,1,1,1,0,1,2,1,0,0,0,16
1209,Ciro Immobile,Lazio,2,1,1,-,1,0,-,3,0,1,1,0,2,1,1,0,2,16
448,Ivan Perisic,Inter,1,1,2,3,2,3,0,0,1,1,0,-,0,0,0,1,0,15
6160,Riccardo Orsolini,Bologna,0,0,0,1,2,4,1,1,0,-,-,-,-,1,3,1,1,15
6176,Adam Marusic,Lazio,4,0,0,0,0,-,1,0,2,0,1,1,1,1,1,2,1,15
8297,Alexis Saelemaekers,AC Milan,1,0,2,2,0,1,3,2,3,1,-,0,0,0,-,-,-,15
8913,Emmanuel Gyasi,Spezia,1,1,0,0,1,0,1,0,4,1,0,1,0,3,0,1,1,15
687,Pedro,Roma,0,1,1,1,2,0,2,4,1,1,-,0,1,1,-,-,-,15
1493,Andrea Petagna,Napoli,0,-,1,0,0,0,1,0,2,0,2,2,1,3,3,0,-,15
1537,Sasa Lukic,Torino,1,0,3,0,2,2,0,-,-,0,0,1,1,0,1,4,0,15
1253,Edin Dzeko,Roma,-,2,1,1,1,2,-,-,0,1,0,0,1,1,2,0,3,15
7193,Rafael Leão,AC Milan,-,1,0,1,2,1,1,-,-,-,2,1,1,0,1,2,1,14
1543,Sergej Milinkovic-Savic,Lazio,1,2,1,0,-,0,3,-,-,1,0,2,0,2,1,0,1,14
1226,Karol Linetty,Torino,2,0,0,2,0,1,0,1,0,0,0,1,1,2,1,2,1,14
1852,Ante Rebic,AC Milan,4,1,-,-,-,0,2,1,0,1,1,0,-,2,2,-,-,14
1574,Davide Calabria,AC Milan,1,0,2,0,0,1,2,0,0,1,5,0,0,0,0,2,0,14
677,Jordan Veretout,Roma,1,0,0,0,0,1,2,2,0,-,3,0,0,2,1,0,1,13
6253,Gianluca Scamacca,Genoa,-,-,0,-,3,2,2,2,1,1,0,0,0,0,1,1,-,13
1567,Bruno Peres,Roma,-,0,-,1,0,2,3,0,-,-,-,1,0,2,3,1,0,13
1121,Giacomo Bonaventura,Fiorentina,1,1,4,2,1,1,0,-,0,1,0,0,1,0,0,0,1,13
1809,Joaquín Correa,Lazio,0,-,0,1,3,0,3,0,2,-,1,3,-,0,-,-,-,13
8926,Milos Vulic,Crotone,-,0,1,0,1,1,1,4,0,0,0,-,1,1,0,1,2,13
5360,Weston McKennie,Juventus,1,0,-,-,1,0,0,-,0,3,2,2,2,1,0,1,-,13
1569,Valerio Verre,Sampdoria,2,0,0,3,0,0,0,-,0,-,2,3,0,2,0,-,0,12
8859,Mikkel Damsgaard,Sampdoria,0,-,1,0,1,2,1,1,1,2,0,0,2,0,0,1,0,12
952,Gastón Ramírez,Sampdoria,1,1,3,0,1,1,1,0,0,-,0,0,0,3,-,-,1,12
1430,Milan Badelj,Genoa,3,0,1,0,0,0,1,1,0,-,-,-,-,3,1,1,1,12
