id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
1517,Antonio Candreva,Sampdoria,-,0,0,0,-,0,0,0,1,0,0,-,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,5
1233,Filip Djuricic,Sassuolo,0,1,0,1,1,-,-,0,0,0,0,0,0,-,-,0,0,1,0,0,0,0,0,0,0,1,0,-,5
1210,Keita,Sampdoria,-,-,-,0,0,0,-,-,-,-,-,-,-,1,-,1,0,0,1,0,1,1,0,0,0,0,-,0,5
7193,Rafael Leão,AC Milan,-,0,2,0,0,0,0,-,-,-,0,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,-,5
1543,Sergej Milinkovic-Savic,Lazio,0,0,1,0,-,1,0,-,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-,5
498,Alexis Sánchez,Inter,0,0,0,0,-,-,0,1,1,0,0,-,-,-,-,0,-,0,0,0,0,0,0,1,2,0,0,-,5
1852,Ante Rebic,AC Milan,0,0,-,-,-,0,0,0,0,0,0,0,-,1,0,-,-,-,0,1,2,-,0,1,0,-,0,-,5
1170,Gianluca Caprari,Benevento,0,2,0,1,0,0,-,-,0,0,0,0,0,1,0,0,-,0,0,0,1,0,0,0,-,0,0,0,5
1426,Josip Ilicic,Atalanta,-,-,-,0,0,0,-,0,0,-,-,1,0,0,0,1,0,0,1,0,1,0,-,0,1,0,0,0,5
1642,Simone Zaza,Torino,0,0,-,-,-,-,-,1,0,0,0,-,-,0,-,-,0,0,2,0,0,0,0,0,0,2,0,-,5
7909,Gaetano Castrovilli,Fiorentina,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,1,0,0,-,-,0,5
8913,Emmanuel Gyasi,Spezia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4
2547,Theo Hernández,AC Milan,0,0,1,0,0,0,0,0,0,0,2,-,0,1,-,0,0,-,0,0,0,0,0,0,0,-,0,0,4
5360,Weston McKennie,Juventus,0,0,-,-,0,0,0,-,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,-,4
6160,Riccardo Orsolini,Bologna,0,0,0,1,0,0,0,1,0,-,-,-,-,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4
687,Pedro,Roma,0,0,1,1,0,1,0,0,0,0,-,0,0,0,-,-,-,0,-,-,-,1,0,0,0,0,0,0,4
1324,Federico Dimarco,Verona,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,-,0,-,0,1,0,4
1115,Goran Pandev,Genoa,1,0,0,0,0,0,0,0,0,-,0,-,0,0,-,-,-,0,0,0,2,0,0,0,0,-,1,-,4
6253,Gianluca Scamacca,Genoa,-,-,0,-,1,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,-,0,0,-,0,0,2,4
1471,Lorenzo Pellegrini,Roma,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,-,0,0,0,0,0,0,0,4
6159,Gianluca Mancini,Roma,0,0,0,0,0,0,0,0,0,-,-,0,0,1,0,0,1,0,-,1,0,0,0,0,0,1,0,0,4
1146,Jakub Jankto,Sampdoria,0,0,-,0,1,1,0,0,0,0,1,0,1,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,4
6960,Bremer,Torino,0,0,-,0,1,0,0,0,0,-,-,0,0,0,0,1,0,0,-,0,1,0,1,-,0,0,0,-,4
1493,Andrea Petagna,Napoli,0,-,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,-,-,-,-,-,-,-,4
7375,Roberto Piccoli,Spezia,-,-,0,0,0,-,-,-,0,0,0,-,1,0,0,-,0,0,1,-,-,-,0,-,-,-,1,1,4
1491,Alejandro Gomez,Atalanta,1,2,1,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
1134,Mario Pasalic,Atalanta,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,2,0,4
1136,Gianluca Lapadula,Benevento,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-,0,0,4
1943,Gervinho,Parma Calcio 1913,-,0,0,0,0,2,0,0,2,0,0,0,0,-,-,-,0,0,0,0,0,0,-,-,-,0,-,-,4
1223,Milan Skriniar,Inter,-,0,0,-,-,-,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-,3
6691,Dejan Kulusevski,Juventus,1,0,0,1,0,0,0,0,0,0,-,1,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,3
