id,name,team,1,2,3,4,total
1509,Davide Santon,Roma,0.0,0.4904,0.4412,0.4894,1.421
1430,Milan Badelj,Genoa,1.3654,0.0142,0.0397,-,1.4193
1609,Antonio Mirante,Roma,0.068,0.4608,0.0644,0.8199,1.4131
7413,Ibañez,Roma,0.3483,0.6267,0.3309,0.1016,1.4075
257,Jeremy Toljan,Sassuolo,0.7297,0.5713,0.0927,-,1.3937
1580,Mattia Destro,Genoa,1.3618,0.0173,-,-,1.3791
7939,Morten Thorsby,Sampdoria,0.0456,0.1193,0.7269,0.4846,1.3764
1170,Gianluca Caprari,Benevento,0.3417,0.4168,0.0927,0.5083,1.3595
1431,Sebastien De Maio,Udinese,0.1079,0.6607,0.3662,0.2197,1.3545
4348,Tolgay Arslan,Udinese,0.2795,-,0.8668,0.2009,1.3472
8034,Georgios Kyriakopoulos,Sassuolo,0.2062,0.1837,0.0,0.9539,1.3438
6806,Rodrigo Becão,Udinese,0.1142,0.7076,0.3662,0.1468,1.3348
6182,Pasquale Schiattarella,Benevento,0.2387,0.6176,0.1197,0.3554,1.3314
1484,Rafael Toloi,Atalanta,0.887,0.3637,-,0.0752,1.3259
475,Lucas Leiva,Lazio,0.2162,0.125,0.8588,0.1193,1.3193
8913,Emmanuel Gyasi,Spezia,0.8071,0.3967,0.0339,0.0762,1.3139
1324,Federico Dimarco,Verona,0.391,0.4228,0.4219,0.0584,1.2941
6208,Antonin Barak,Verona,0.0122,1.2021,0.0793,-,1.2936
5996,Adrien Tameze,Verona,0.6701,0.3525,0.0533,0.2121,1.288
6974,Mattias Svanberg,Bologna,0.0738,-,0.8384,0.3739,1.2861
1943,Gervinho,Parma Calcio 1913,-,0.7638,0.273,0.2449,1.2817
1433,Federico Chiesa,Juventus,-,-,1.2779,-,1.2779
1285,Gianluigi Buffon,Juventus,-,-,1.2779,-,1.2779
2244,Danilo,Juventus,0.3032,0.5643,0.3982,-,1.2657
8922,Thomas Ouwejan,Udinese,0.0892,0.0601,0.7683,0.2986,1.2162
4937,Miha Zajc,Genoa,1.1334,0.0734,-,-,1.2068
6021,Lukas Lerager,Genoa,1.1104,0.0858,-,-,1.1962
7927,Sofyan Amrabat,Fiorentina,-,0.788,0.2498,0.1474,1.1852
1204,Patric,Lazio,0.1999,0.4732,0.3924,0.1155,1.181
7947,Ruslan Malinovskiy,Atalanta,0.1696,0.4674,0.4708,0.0539,1.1617
1115,Goran Pandev,Genoa,0.9724,0.0,0.1815,-,1.1539
1178,Davide Zappacosta,Genoa,1.0496,0.0923,-,-,1.1419
1741,Zlatan Ibrahimovic,AC Milan,0.7094,-,-,0.4288,1.1382
1592,João Pedro,Cagliari,0.7605,0.0178,0.3384,0.009,1.1257
1375,Elseid Hysaj,Napoli,0.3915,0.4732,0.2491,-,1.1138
7938,Tommaso Augello,Sampdoria,0.0926,0.0815,0.0386,0.8999,1.1126
631,Ashley Young,Inter,0.1775,0.9345,0.0,-,1.112
1505,Samir Handanovic,Inter,0.3444,0.6375,0.0349,0.0871,1.1039
2447,Fabián,Napoli,0.4223,0.4322,0.2377,-,1.0922
4939,Alessandro Bastoni,Inter,0.712,-,0.3789,-,1.0909
6108,Rodrigo Bentancur,Juventus,0.0815,0.5643,0.4335,-,1.0793
1089,Juan Cuadrado,Juventus,0.4307,0.5855,0.0512,-,1.0674
1723,Roberto Pereyra,Udinese,-,-,0.7684,0.2856,1.054
1604,Artur Ionita,Benevento,0.1737,0.3162,0.0,0.5603,1.0502
1997,Andrea Favilli,Verona,-,0.6827,0.1121,0.2494,1.0442
1306,Vincent Laurini,Parma Calcio 1913,-,0.3488,0.6743,0.0169,1.04
411,Albin Ekdal,Sampdoria,0.1382,0.0709,0.3819,0.4442,1.0352
1642,Simone Zaza,Torino,0.4931,0.5338,-,-,1.0269
5509,Hernani,Parma Calcio 1913,0.1055,0.4528,0.1757,0.2899,1.0239
1272,Ilija Nestorovski,Udinese,0.0201,1.0013,0.0,-,1.0214
1114,Davide Biraschi,Genoa,1.018,0.0,-,-,1.018
777,Emmanuel Rivière,Crotone,1.0175,-,-,-,1.0175
1030,Fernando Forestieri,Udinese,0.0,1.0146,0.0,0.0,1.0146
3387,Nicolas N'Koulou,Torino,0.4089,0.3675,0.2351,-,1.0115
1376,Kalidou Koulibaly,Napoli,0.2716,0.5202,0.2193,-,1.0111
189,Hakan Calhanoglu,AC Milan,0.1942,0.1433,0.2435,0.4074,0.9884
8838,Junior Messias,Crotone,0.439,0.0806,0.3038,0.1628,0.9862
1168,Bryan Cristante,Roma,0.1376,-,0.0,0.8475,0.9851
1474,Alfred Duncan,Fiorentina,0.9413,-,0.0413,-,0.9826
1223,Milan Skriniar,Inter,-,0.7571,0.2186,-,0.9757
8475,Bosko Sutalo,Atalanta,0.8568,-,0.1179,-,0.9747
7218,Cristian Romero,Atalanta,-,0.0,0.7151,0.2593,0.9744
1972,Gaetano Letizia,Benevento,0.122,0.3556,0.1392,0.3554,0.9722
8909,Juan Ramos,Spezia,0.544,0.4273,-,-,0.9713
1492,Jasmin Kurtic,Parma Calcio 1913,-,-,0.7781,0.1886,0.9667
6159,Gianluca Mancini,Roma,0.069,0.0371,0.354,0.5041,0.9642
1523,Danilo D'Ambrosio,Inter,0.3298,-,0.0,0.6286,0.9584
3739,Soualiho Meité,Torino,0.4089,0.3579,0.1879,-,0.9547
6324,Marash Kumbulla,Roma,-,0.498,0.3624,0.0923,0.9527
1238,Luca Cigarini,Crotone,0.4932,0.0433,0.2302,0.1786,0.9453
1809,Joaquín Correa,Lazio,0.1605,-,0.6386,0.144,0.9431
1574,Davide Calabria,AC Milan,0.1536,0.1152,0.2376,0.4288,0.9352
1501,Marco Sportiello,Atalanta,0.2311,0.0995,0.5972,0.0,0.9278
7003,Mehdi Bourabia,Sassuolo,0.2041,0.5333,0.0,0.156,0.8934
1099,Tomás Rincón,Torino,0.4089,0.3159,0.1627,-,0.8875
1226,Karol Linetty,Torino,0.4089,0.3675,0.108,-,0.8844
2019,Federico Bonazzoli,Sampdoria,0.1634,0.7207,-,-,0.8841
8035,Samuel Di Carmine,Verona,0.7603,0.1225,-,-,0.8828
1463,Francesco Acerbi,Lazio,0.069,0.3687,0.3924,0.0474,0.8775
3989,Salvatore Molina,Crotone,0.3934,0.0174,0.3836,0.0818,0.8762
8859,Mikkel Damsgaard,Sampdoria,0.0,-,0.2341,0.6399,0.874
1362,Simy,Crotone,0.4566,0.0174,0.3141,0.0844,0.8725
4907,Bartosz Bereszynski,Sampdoria,0.163,0.0,0.3374,0.3708,0.8712
1221,Jacopo Sala,Spezia,0.8028,-,0.0,0.0458,0.8486
6981,Ismael Bennacer,AC Milan,0.7131,0.0,0.1222,0.0,0.8353
1542,Stefan Radu,Lazio,0.6063,0.2265,0.0,-,0.8328
3,Luca Caldirola,Benevento,0.122,0.3162,0.0294,0.3554,0.823
1305,Lukasz Skorupski,Bologna,0.0,0.4288,0.394,0.0,0.8228
8522,Matteo Lovato,Verona,0.4102,0.0,0.3568,0.0552,0.8222
542,Pedro Obiang,Sassuolo,0.3597,0.2243,0.1417,0.092,0.8177
1486,Mattia Caldara,Atalanta,0.8081,-,-,-,0.8081
2547,Theo Hernández,AC Milan,0.2208,0.1319,0.4291,0.0214,0.8032
8857,Gabriele Zappa,Cagliari,0.6732,0.0,0.0263,0.0909,0.7904
1576,Giorgio Chiellini,Juventus,0.2043,0.5855,-,-,0.7898
3925,Gabriele Moncini,Benevento,0.7516,0.0269,0.0,-,0.7785
5091,Alex Berenguer,Torino,0.4089,0.3675,-,-,0.7764
1569,Valerio Verre,Sampdoria,0.106,0.0,0.2709,0.3958,0.7727
8870,Sam Lammers,Atalanta,0.0,0.0,0.429,0.3402,0.7692
4733,José Luis Palomino,Atalanta,0.0292,0.0995,0.6391,0.0,0.7678
6160,Riccardo Orsolini,Bologna,0.0497,0.3081,0.2905,0.1104,0.7587
1311,Rade Krunic,AC Milan,0.0,0.0288,0.3933,0.334,0.7561
1186,Andrea Belotti,Torino,0.0,0.5238,0.2281,-,0.7519
4903,Mamadou Coulibaly,Udinese,0.2334,0.5169,0.0,-,0.7503
504,Aaron Ramsey,Juventus,0.6747,0.0584,-,-,0.7331
845,Maya Yoshida,Sampdoria,0.0398,-,0.2721,0.4208,0.7327
6960,Bremer,Torino,0.4089,0.3159,-,-,0.7248
7937,Julian Chabot,Spezia,0.0,0.4273,0.0,0.2844,0.7117
8942,Aaron Hickey,Bologna,-,0.3481,0.0589,0.2912,0.6982
1800,Kamil Glik,Benevento,0.0116,0.3265,0.0,0.3554,0.6935
1517,Antonio Candreva,Sampdoria,-,0.0,0.684,0.0,0.684
1370,Federico Ceccherini,Fiorentina,0.5512,0.0,0.1315,-,0.6827
3842,Claudio Terzi,Spezia,-,0.4273,-,0.2549,0.6822
2043,Kastriot Dermaku,Parma Calcio 1913,-,0.0,0.6743,-,0.6743
7500,Giacomo Raspadori,Sassuolo,-,-,-,0.669,0.669
1605,Diego Farias,Spezia,0.5647,0.0,-,0.0951,0.6598
1577,Marko Pjaca,Genoa,0.6295,0.0244,-,-,0.6539
