id,name,team,1,2,3,4,5,6,7,total
6362,Rick Karsdorp,Roma,0.0,-,-,-,0.0464,0.0574,0.1003,0.2041
1207,Marco Parolo,Lazio,0.0,-,0.1748,0.0264,0.0,0.0,-,0.2012
1376,Kalidou Koulibaly,Napoli,0.0,0.0,0.06,0.0356,0.1029,0.0,-,0.1985
6156,Andreas Cornelius,Parma Calcio 1913,0.0345,-,0.0618,-,0.1007,0.0,-,0.197
4918,Patrick Cutrone,Fiorentina,0.1083,0.0,0.0766,0.0,0.0,0.0,0.0,0.1849
8911,Matteo Ricci,Spezia,0.0581,0.0,0.0163,0.0276,-,0.0566,0.0244,0.183
3259,Adam Ounas,Cagliari,-,-,-,0.0,0.0164,0.0,0.1623,0.1787
3544,Jeremie Boga,Sassuolo,-,-,-,-,0.1489,0.0248,0.0,0.1737
3340,Bryan Dabo,Benevento,0.0505,0.0,0.0,0.0261,0.0,0.0969,0.0,0.1735
1140,Danilo,Bologna,0.0,0.0,0.0696,0.0,0.0769,0.0256,0.0,0.1721
1178,Davide Zappacosta,Genoa,0.0772,0.0923,-,-,-,-,-,0.1695
1386,Piotr Zielinski,Napoli,0.0,0.119,-,-,0.0,0.0499,-,0.1689
7937,Julian Chabot,Spezia,0.0,0.0,0.0,0.0,0.0905,0.0782,0.0,0.1687
257,Jeremy Toljan,Sassuolo,0.0687,0.0,0.0927,-,-,-,-,0.1614
6517,Charalampos Lykogiannis,Cagliari,0.0338,0.0332,0.0,0.0,0.0736,0.0,0.0185,0.1591
6303,Marvin Zeegelaar,Udinese,0.1571,0.0,-,-,-,-,0.0,0.1571
8916,Simone Bastoni,Spezia,-,-,-,0.014,0.0227,0.0399,0.0798,0.1564
1431,Sebastien De Maio,Udinese,0.0299,0.0,0.0,0.0486,0.0776,0.0,-,0.1561
1488,Remo Freuler,Atalanta,0.0,0.0,0.1223,-,-,0.0303,0.0,0.1526
7413,Ibañez,Roma,0.0,0.0,0.0,0.0492,0.0144,0.0,0.0873,0.1509
3739,Soualiho Meité,Torino,0.0,0.0,0.0676,0.0301,0.0129,0.0392,0.0,0.1498
9065,Nahuel Estévez,Spezia,-,-,-,-,0.0794,0.0143,0.0556,0.1493
8029,Lisandro Magallán,Crotone,0.0533,0.0,0.0954,0.0,0.0,0.0,0.0,0.1487
6978,Giovanni Di Lorenzo,Napoli,0.0566,0.0636,0.0111,0.0,0.0163,0.0,-,0.1476
8926,Milos Vulic,Crotone,-,0.0,0.0745,0.0191,0.0,0.0275,0.0149,0.136
329,Franck Ribéry,Fiorentina,0.0746,0.0,-,0.0,-,0.0,0.0609,0.1355
1463,Francesco Acerbi,Lazio,0.0,0.0,0.0,0.0502,0.0834,0.0,0.0,0.1336
1541,Stefan de Vrij,Inter,-,0.0,0.0234,0.0,-,0.1099,0.0,0.1333
1465,Stefano Sensi,Inter,0.0633,0.0173,0.051,-,-,-,-,0.1316
1406,Marco Sau,Benevento,0.0,-,0.0,0.0,0.0527,-,0.0755,0.1282
8922,Thomas Ouwejan,Udinese,0.0172,0.0167,0.0186,0.0602,0.0138,0.0,-,0.1265
1375,Elseid Hysaj,Napoli,0.0,0.0,0.0663,-,0.0,0.0597,-,0.126
1972,Gaetano Letizia,Benevento,0.0251,0.0394,0.0465,0.0,0.0148,0.0,0.0,0.1258
1390,Marko Rog,Cagliari,0.0,0.0533,0.0,0.0178,0.0336,0.0207,0.0,0.1254
6312,Rogerio,Sassuolo,0.0779,-,-,-,0.0,0.0472,0.0,0.1251
1800,Kamil Glik,Benevento,0.0,0.0847,0.0,0.0,0.0241,0.0143,0.0,0.1231
1484,Rafael Toloi,Atalanta,0.0,0.0163,-,0.0262,0.0,0.0797,0.0,0.1222
1370,Federico Ceccherini,Verona,-,-,-,0.0699,0.0,0.0,0.0509,0.1208
4937,Miha Zajc,Genoa,0.0466,0.0734,-,0.0,0.0,0.0,0.0,0.12
6182,Pasquale Schiattarella,Benevento,0.0,0.0,0.1197,0.0,0.0,0.0,0.0,0.1197
6021,Lukas Lerager,Genoa,0.0,0.0858,-,-,0.0,0.0,0.0337,0.1195
922,Andreas Pereira,Lazio,-,-,-,-,0.0,0.1183,0.0,0.1183
2042,Lubomir Tupta,Verona,0.0916,-,0.0266,-,-,-,-,0.1182
4895,Andrea Pinamonti,Inter,-,-,-,-,0.1135,0.0,-,0.1135
1461,Pol Lirola,Fiorentina,0.0,0.0,-,0.1127,0.0,0.0,0.0,0.1127
6997,Ignacio Pussetto,Udinese,-,-,-,0.1103,0.0,0.0,0.0,0.1103
8910,Paolo Bartolomei,Spezia,0.0,0.0,0.0,-,0.0,0.1077,-,0.1077
621,Aleksandar Kolarov,Inter,0.0281,0.0,-,0.0,0.033,0.0459,-,0.107
591,Gerard Deulofeu,Udinese,-,-,-,0.0,0.0252,0.0818,0.0,0.107
6181,Luca Mora,Spezia,0.0999,-,0.0,-,-,-,0.0,0.0999
411,Albin Ekdal,Sampdoria,0.0654,0.0,0.0,0.034,0.0,0.0,0.0,0.0994
631,Ashley Young,Inter,0.0,0.053,0.0,-,-,0.0,0.0446,0.0976
7014,Arkadiusz Reca,Crotone,-,0.0,0.0383,0.0111,0.0,0.0478,0.0,0.0972
7609,Carles Pérez,Roma,-,-,0.0,0.0923,-,0.0,-,0.0923
1634,Alessandro Deiola,Spezia,0.0139,0.0771,-,0.0,-,-,-,0.091
1643,Luca Marrone,Crotone,0.0,0.0,0.0906,0.0,-,0.0,0.0,0.0906
6212,Mattia Bani,Genoa,-,-,0.0,0.0,-,0.0865,0.0,0.0865
1624,Fabio Depaoli,Sampdoria,0.0502,0.0349,-,-,0.0,-,-,0.0851
8165,Lucien Agoume,Spezia,-,-,-,-,0.0848,-,0.0,0.0848
1574,Davide Calabria,AC Milan,0.0,0.0,0.0,0.0,0.0,0.0,0.0848,0.0848
7092,Koray Günter,Verona,0.0,0.0,0.0846,-,-,0.0,-,0.0846
6989,Simone Iacoponi,Parma Calcio 1913,0.0,0.0,-,0.081,0.0,0.0,-,0.081
1382,José Callejón,Fiorentina,-,-,-,0.0375,0.0434,0.0,-,0.0809
542,Pedro Obiang,Sassuolo,0.02,0.0,0.0,0.0589,-,0.0,0.0,0.0789
1341,Ivan Radovanovic,Genoa,0.0,0.0,0.0563,0.0,0.0222,-,0.0,0.0785
8856,Razvan Marin,Cagliari,0.0,0.0,0.052,0.0149,0.0,0.0,0.0114,0.0783
7938,Tommaso Augello,Sampdoria,0.0,0.0,0.023,0.0276,0.0,0.0275,0.0,0.0781
8819,Mergim Vojvoda,Torino,0.0,0.0,0.0,0.0761,0.0,0.0,0.0,0.0761
4903,Mamadou Coulibaly,Udinese,0.0755,0.0,0.0,-,-,-,-,0.0755
1476,Cristian Dell'Orco,Spezia,0.0,-,-,0.0,0.0751,0.0,0.0,0.0751
7923,Pawel Dawidowicz,Verona,-,0.0729,-,-,-,0.0,0.0,0.0729
1206,Danilo Cataldi,Lazio,0.0,0.0,-,0.0,-,0.0,0.0718,0.0718
7929,Alan Empereur,Verona,0.0,-,-,0.0,0.0705,0.0,-,0.0705
5246,Diego Demme,Napoli,0.0691,-,0.0,0.0,-,-,-,0.0691
1852,Ante Rebic,AC Milan,0.0,0.0,-,-,-,0.0508,0.014,0.0648
4917,Niccolò Zanellato,Crotone,0.0637,0.0,-,-,-,0.0,-,0.0637
1272,Ilija Nestorovski,Udinese,0.0201,0.0432,0.0,-,-,-,-,0.0633
2303,Samu Castillejo,AC Milan,0.0,0.0,-,0.0617,0.0,-,-,0.0617
6159,Gianluca Mancini,Roma,0.0233,0.0,0.0,0.0,0.0382,0.0,0.0,0.0615
8857,Gabriele Zappa,Cagliari,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.061
7927,Sofyan Amrabat,Fiorentina,-,0.0,0.0,0.0,0.0,0.0,0.0595,0.0595
4912,Paolo Faragò,Cagliari,0.0588,0.0,0.0,-,0.0,0.0,-,0.0588
4768,Wylan Cyprien,Parma Calcio 1913,-,-,-,0.0,0.0583,0.0,-,0.0583
9019,Lucas Martínez Quarta,Fiorentina,-,-,-,-,0.0,0.0573,-,0.0573
2711,Aleksey Miranchuk,Atalanta,-,-,-,-,-,-,0.0568,0.0568
6986,Hamed Junior Traore,Sassuolo,-,0.0,0.0,0.0559,0.0,0.0,0.0,0.0559
1133,Cristian Zapata,Genoa,0.0,-,0.0,0.0,0.0558,0.0,-,0.0558
7003,Mehdi Bourabia,Sassuolo,0.0544,0.0,0.0,0.0,0.0,0.0,-,0.0544
1274,Andrea Rispoli,Crotone,0.0,0.0,0.0,0.0,0.0538,0.0,0.0,0.0538
1927,Berat Gjimshiti,Atalanta,-,0.0,0.0,0.0,0.051,0.0,0.0,0.051
2005,Jacopo Dezi,Parma Calcio 1913,0.0495,0.0,-,-,-,-,-,0.0495
7950,Mert Müldür,Sassuolo,0.0309,0.0,0.0,0.0,0.0,0.0,0.0183,0.0492
7218,Cristian Romero,Atalanta,-,0.0,0.0477,0.0,-,0.0,0.0,0.0477
2264,Diego Godín,Cagliari,-,-,0.0465,0.0,0.0,0.0,0.0,0.0465
7097,Ronaldo Vieira,Verona,-,-,-,0.046,0.0,-,-,0.046
1509,Davide Santon,Roma,0.0,0.0,0.0355,0.0101,-,-,-,0.0456
4943,Emanuel Vignato,Bologna,0.0,-,0.0297,-,0.0152,0.0,0.0,0.0449
1281,Giuseppe Pezzella,Parma Calcio 1913,0.0,-,0.0,0.0129,0.0311,0.0,0.0,0.044
1383,Manolo Gabbiadini,Sampdoria,-,0.043,-,-,-,-,-,0.043
