id,name,team,1,2,total
8010,Kevin Agudelo,Spezia,0,-,0
7937,Julian Chabot,Spezia,0,-,0
6181,Luca Mora,Spezia,0,-,0
2053,Martin Erlic,Spezia,0,-,0
1634,Alessandro Deiola,Spezia,0,-,0
1605,Diego Farias,Spezia,0,-,0
1476,Cristian Dell'Orco,Spezia,0,-,0
1221,Jacopo Sala,Spezia,0,-,0
6201,Andrej Galabinov,Spezia,0,-,0
8132,Andrea Adorante,Parma Calcio 1913,-,0,0
6993,Mattia Sprocati,Parma Calcio 1913,-,0,0
6989,Simone Iacoponi,Parma Calcio 1913,0,0,0
1800,Kamil Glik,Benevento,0,-,0
1617,Roberto Insigne,Benevento,0,-,0
1604,Artur Ionita,Benevento,0,-,0
1102,Giovanni Simeone,Cagliari,0,0,0
8842,Augustus Kargbo,Crotone,0,-,0
8841,Tomislav Gomelt,Crotone,0,-,0
8840,Denis Dragus,Crotone,0,0,0
8839,Eduardo Henrique,Crotone,0,0,0
8838,Junior Messias,Crotone,0,0,0
8837,Vladimir Golemic,Crotone,0,0,0
8029,Lisandro Magallán,Crotone,0,0,0
7014,Arkadiusz Reca,Crotone,-,0,0
4917,Niccolò Zanellato,Crotone,0,0,0
3997,Antonio Mazzotta,Crotone,0,-,0
1643,Luca Marrone,Crotone,0,0,0
1362,Simy,Crotone,0,0,0
646,Christian Eriksen,Inter,0,-,0
1274,Andrea Rispoli,Crotone,0,0,0
1241,Pedro Pereira,Crotone,-,0,0
1238,Luca Cigarini,Crotone,0,0,0
777,Emmanuel Rivière,Crotone,0,-,0
8926,Milos Vulic,Crotone,-,0,0
265,Ragnar Klavan,Cagliari,0,0,0
1334,Perparim Hetemaj,Benevento,0,-,0
1104,Leonardo Pavoletti,Cagliari,-,0,0
1136,Gianluca Lapadula,Benevento,0,-,0
1972,Gaetano Letizia,Benevento,0,-,0
3,Luca Caldirola,Benevento,0,-,0
8857,Gabriele Zappa,Cagliari,0,0,0
8856,Razvan Marin,Cagliari,0,0,0
8030,Sebastian Walukiewicz,Cagliari,0,0,0
7953,Nahitan Nández,Cagliari,0,0,0
7951,Alessandro Tripaldelli,Cagliari,0,0,0
7417,Christian Oliva,Cagliari,0,-,0
7405,Kiril Despodov,Cagliari,-,0,0
6672,Riccardo Sottil,Cagliari,0,0,0
6517,Charalampos Lykogiannis,Cagliari,0,0,0
6277,Fabrizio Caligara,Cagliari,0,0,0
4912,Paolo Faragò,Cagliari,0,0,0
3927,Alessio Cragno,Cagliari,0,0,0
1397,Fabio Pisacane,Cagliari,0,-,0
1390,Marko Rog,Cagliari,0,0,0
1251,Radja Nainggolan,Inter,0,-,0
1997,Andrea Favilli,Verona,-,0,0
631,Ashley Young,Inter,0,-,0
6974,Mattias Svanberg,Bologna,0,-,0
6971,Mitchell Dijks,Bologna,0,-,0
6512,Musa Barrow,Bologna,0,0,0
6160,Riccardo Orsolini,Bologna,0,0,0
4943,Emanuel Vignato,Bologna,0,-,0
1826,Nicola Sansone,Bologna,0,0,0
1305,Lukasz Skorupski,Bologna,0,0,0
1193,Lorenzo De Silvestri,Bologna,0,0,0
1140,Danilo,Bologna,0,0,0
1117,Andrea Poli,Bologna,-,0,0
7934,Andreas Skov Olsen,Bologna,0,0,0
1518,Rodrigo Palacio,Bologna,0,0,0
3209,Jean-Daniel Akpa-Akpro,Lazio,0,-,0
2437,Gonzalo Escalante,Lazio,0,-,0
2116,Felipe Caicedo,Lazio,0,-,0
1809,Joaquín Correa,Lazio,0,-,0
1543,Sergej Milinkovic-Savic,Lazio,0,-,0
1542,Stefan Radu,Lazio,0,-,0
6972,Federico Santander,Bologna,0,0,0
7931,Takehiro Tomiyasu,Bologna,0,0,0
621,Aleksandar Kolarov,Inter,0,-,0
7932,Stefano Denswil,Bologna,-,0,0
7416,Merih Demiral,Juventus,0,-,0
6942,Arthur,Juventus,-,0,0
6108,Rodrigo Bentancur,Juventus,0,0,0
5360,Weston McKennie,Juventus,0,0,0
5028,Gianluca Frabotta,Juventus,0,0,0
3291,Adrien Rabiot,Juventus,0,0,0
