id,name,team,1,2,3,4,5,6,total
1956,Mohamed Fares,Lazio,-,-,0.0944,0.0,0.6074,0.0216,0.7234
1375,Elseid Hysaj,Napoli,0.0,0.1641,0.0,-,0.5544,-,0.7185
8030,Sebastian Walukiewicz,Cagliari,0.0,0.0,0.0,0.7122,0.0,0.0,0.7122
7909,Gaetano Castrovilli,Fiorentina,0.0,0.0,0.149,0.0,0.5573,0.0,0.7063
6672,Riccardo Sottil,Cagliari,0.0,0.0308,0.1505,0.0373,0.137,0.3496,0.7052
8034,Georgios Kyriakopoulos,Sassuolo,0.0988,0.1071,0.0,0.472,0.0203,0.0,0.6982
1852,Ante Rebic,AC Milan,0.6466,0.0464,-,-,-,0.0,0.693
1281,Giuseppe Pezzella,Parma Calcio 1913,0.0345,-,0.0,0.5422,0.1007,0.0,0.6774
6253,Gianluca Scamacca,Genoa,-,-,0.0,-,0.676,-,0.676
1826,Nicola Sansone,Bologna,0.1183,0.4242,0.0,0.0,0.1319,-,0.6744
2019,Federico Bonazzoli,Sampdoria,0.0502,0.6192,-,-,-,-,0.6694
1146,Jakub Jankto,Sampdoria,0.0456,0.0349,-,0.0,0.5823,0.0,0.6628
7014,Arkadiusz Reca,Crotone,-,0.0,0.0,0.1316,0.4143,0.1123,0.6582
8297,Alexis Saelemaekers,AC Milan,0.1045,0.0,0.3652,0.0968,0.0,0.0883,0.6548
1511,Marcelo Brozovic,Inter,0.1412,0.0,0.0,0.2789,0.1058,0.1272,0.6531
6160,Riccardo Orsolini,Bologna,0.0,0.0,0.0,0.0371,0.098,0.5155,0.6506
1294,Paulo Dybala,Juventus,-,-,-,0.5903,0.0499,-,0.6402
1543,Sergej Milinkovic-Savic,Lazio,0.0798,0.4771,0.08,0.0,-,0.0,0.6369
1406,Marco Sau,Benevento,0.0251,-,0.5835,0.0227,0.0,-,0.6313
1522,Andrea Ranocchia,Inter,-,-,-,-,0.6086,0.018,0.6266
4733,José Luis Palomino,Atalanta,0.0,0.0,0.5824,0.0346,0.0,0.0,0.617
7938,Tommaso Augello,Sampdoria,0.0124,0.0815,0.0386,0.4208,0.0448,0.0,0.5981
8819,Mergim Vojvoda,Torino,0.0,0.136,0.0259,0.4311,0.0,-,0.593
6242,Johan Mojica,Atalanta,0.0,0.0,0.0,0.0767,0.0,0.5064,0.5831
1030,Fernando Forestieri,Udinese,0.0,0.4253,0.0,0.0,0.1574,0.0,0.5827
6974,Mattias Svanberg,Bologna,0.0738,-,0.4335,0.0482,0.0,0.0268,0.5823
1942,Martín Cáceres,Fiorentina,0.5613,0.0,0.0,0.0,0.0,0.0,0.5613
1272,Ilija Nestorovski,Udinese,0.0,0.5592,0.0,-,-,-,0.5592
687,Pedro,Roma,0.0,0.0425,0.0306,0.3777,0.1074,0.0,0.5582
1165,Gastón Brugman,Parma Calcio 1913,0.0175,0.3195,0.0216,0.081,0.1173,0.0,0.5569
6180,Manuel Lazzari,Lazio,0.0835,0.286,0.1346,-,0.048,-,0.5521
8913,Emmanuel Gyasi,Spezia,0.0581,0.3967,0.0,0.0,0.0848,0.0,0.5396
6312,Rogerio,Sassuolo,0.0,-,-,-,0.0,0.5389,0.5389
498,Alexis Sánchez,Inter,0.3763,0.1022,0.0,0.0597,-,-,0.5382
1972,Gaetano Letizia,Benevento,0.0852,0.0744,0.0,0.0,0.0,0.3726,0.5322
8857,Gabriele Zappa,Cagliari,0.0,0.0,0.0,0.0,0.1241,0.3989,0.523
1763,Stefano Okaka,Udinese,0.1796,0.0717,0.0,0.0198,0.2505,0.0,0.5216
6980,Francesco Caputo,Sassuolo,0.0493,0.1217,0.0,0.3504,0.0,-,0.5214
3259,Adam Ounas,Cagliari,-,-,-,0.0,0.099,0.4161,0.5151
1226,Karol Linetty,Torino,0.4254,0.0,0.0,0.0862,0.0,-,0.5116
9018,M'Bala Nzola,Spezia,-,-,-,0.1072,0.2257,0.1692,0.5021
5360,Weston McKennie,Juventus,0.0133,0.0,-,-,0.4795,-,0.4928
1354,Gianmarco Ferrari,Sassuolo,0.0,0.423,0.0,0.0129,0.0,0.0472,0.4831
1569,Valerio Verre,Sampdoria,0.106,0.0,0.0,0.3724,0.0,0.0,0.4784
1221,Jacopo Sala,Spezia,0.4772,-,0.0,0.0,0.0,-,0.4772
8926,Milos Vulic,Crotone,-,0.0,0.1015,0.0,0.0538,0.3156,0.4709
6174,Nikola Milenkovic,Fiorentina,0.0,0.0,0.4703,0.0,0.0,0.0,0.4703
3291,Adrien Rabiot,Juventus,0.0,0.0,0.0,0.4671,0.0,-,0.4671
4907,Bartosz Bereszynski,Sampdoria,0.0926,0.0,0.0,0.3708,0.0,0.0,0.4634
5322,Victor Osimhen,Napoli,0.1496,0.119,0.1257,0.0,0.0689,-,0.4632
5509,Hernani,Parma Calcio 1913,0.0237,0.0182,0.0697,0.0,0.0528,0.297,0.4614
631,Ashley Young,Inter,0.1688,0.2464,0.0,-,-,0.043,0.4582
8911,Matteo Ricci,Spezia,0.3553,0.0771,0.0,0.0163,-,0.0,0.4487
1809,Joaquín Correa,Lazio,0.0,-,0.0,0.0264,0.4196,0.0,0.446
6691,Dejan Kulusevski,Juventus,0.1906,0.0477,0.1551,0.0512,0.0,-,0.4446
8963,Nahuel Molina,Udinese,-,-,0.3835,-,0.0512,-,0.4347
1943,Gervinho,Parma Calcio 1913,-,0.0,0.0983,0.2449,0.0442,0.0468,0.4342
1210,Keita,Sampdoria,-,-,-,0.0,0.4258,0.0,0.4258
222,Arturo Vidal,Inter,0.0274,0.0,0.0,0.3645,0.0277,0.0,0.4196
1509,Davide Santon,Roma,0.0,0.4183,0.0,0.0,-,-,0.4183
1445,Simone Verdi,Torino,0.0,0.0298,0.0,0.298,0.085,-,0.4128
6176,Adam Marusic,Lazio,0.3972,0.0,0.0,0.0,0.0,-,0.3972
7953,Nahitan Nández,Cagliari,0.0,0.0533,0.052,0.1829,0.0177,0.0815,0.3874
1099,Tomás Rincón,Torino,0.0,0.3159,0.0687,0.0,0.0,-,0.3846
1430,Milan Badelj,Genoa,0.3615,0.0,0.0215,0.0,0.0,-,0.383
6972,Federico Santander,Bologna,0.0,0.0,-,0.0,0.3799,-,0.3799
1089,Juan Cuadrado,Juventus,0.2396,0.0507,0.0,0.0888,0.0,-,0.3791
6211,Mehdi Leris,Sampdoria,0.0206,-,0.0274,0.329,0.0,0.0,0.377
6156,Andreas Cornelius,Parma Calcio 1913,0.0495,-,0.0,-,0.3255,0.0,0.375
1340,Roberto Inglese,Parma Calcio 1913,0.0,-,-,-,-,0.3739,0.3739
4943,Emanuel Vignato,Bologna,0.0,-,0.2905,-,0.0764,0.0,0.3669
1577,Marko Pjaca,Genoa,0.3236,0.0244,-,0.0129,0.0,-,0.3609
