id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
1804,Álvaro Morata,Juventus,-,1,4,4,2,0,2,4,-,1,3,3,0,-,-,0,1,1,0,0,3,1,-,30
687,Pedro,Roma,4,2,3,2,1,3,1,4,1,3,-,0,1,3,-,-,-,0,-,-,-,1,0,29
1491,Alejandro Gomez,Atalanta,4,4,1,4,9,2,1,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,29
1294,Paulo Dybala,Juventus,-,-,-,9,0,0,2,6,3,2,1,-,-,4,2,0,-,-,-,-,-,-,-,29
1122,Manuel Locatelli,Sassuolo,5,3,1,0,1,2,0,2,2,2,0,1,-,0,0,1,0,-,1,2,0,2,4,29
2547,Theo Hernández,AC Milan,2,0,3,1,1,1,2,0,1,0,4,-,2,2,-,1,1,-,2,1,3,1,1,29
6253,Gianluca Scamacca,Genoa,-,-,1,-,2,7,3,1,3,1,0,1,0,3,0,3,-,-,-,-,0,-,3,28
6208,Antonin Barak,Verona,0,3,1,-,0,3,2,1,0,1,0,2,-,-,2,1,5,0,3,1,0,2,1,28
1489,Franck Kessié,AC Milan,2,1,0,0,1,2,3,0,5,1,4,0,0,-,2,1,2,1,1,1,0,0,0,27
1433,Federico Chiesa,Juventus,-,-,0,-,2,-,0,1,2,0,1,0,1,5,5,1,1,-,2,0,4,2,-,27
1617,Roberto Insigne,Benevento,3,1,-,1,2,4,0,2,0,1,1,1,2,1,5,1,0,2,-,0,0,0,0,27
6986,Hamed Junior Traore,Sassuolo,-,0,0,1,0,0,0,1,1,0,-,2,4,2,1,0,0,3,1,2,3,2,3,26
2116,Felipe Caicedo,Lazio,0,4,-,1,-,2,1,2,1,0,2,0,3,-,0,1,7,0,0,-,-,2,0,26
1580,Mattia Destro,Genoa,6,0,-,-,-,0,2,0,0,1,0,3,0,3,3,0,2,-,2,3,0,1,0,26
1409,Nicolò Barella,Inter,1,2,1,2,1,1,2,0,1,0,3,0,0,2,1,0,0,2,1,1,3,0,1,25
