team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
FC Rostov,0.9719,0.3768,0.6988,0.536,0.7323,0.7835,0.7041,0.7837,0.5413,0.3051,0.1496,0.4633,0.0299,0.8138,0.1628,0.0589,0.132,0.8118,0.7923,0.4726,0.6798,0.2789,0.244,0.2998,0.1001,0.2505,0.0511,0.2344,0.9295,0.6292,14.0178
Dinamo Moscow,0.5786,0.6219,0.3274,0.8631,0.0489,0.8372,0.0639,0.7864,0.3407,0.3667,0.5146,0.7381,0.1418,0.505,0.3781,0.593,0.5691,0.3685,0.3288,0.2475,0.1644,0.5426,0.0285,0.8665,0.0126,0.7009,0.3951,0.8957,0.1769,0.1921,13.1946
FC Krasnodar,0.1257,0.2292,0.4682,0.7056,0.006,0.0945,0.5963,0.6568,0.6764,0.0637,0.1543,0.4246,0.0998,0.9132,0.3396,0.3699,0.626,0.3557,0.5171,0.0396,0.9198,0.326,0.5729,0.0534,0.3704,0.446,0.5957,0.4352,0.4729,0.6954,12.3499
Zenit St. Petersburg,0.7713,0.8713,0.6103,0.3061,0.5991,0.5637,0.5903,0.5484,0.2036,0.0856,0.1121,0.2636,0.6668,0.1463,0.5387,0.1246,0.0744,0.7768,0.4428,0.0628,0.3445,0.6357,0.6002,0.036,0.5951,0.1435,0.5915,0.4598,0.0666,0.4331,12.2646
CSKA Moscow,0.6897,0.5699,0.3893,0.7948,0.1935,0.1225,0.6196,0.3927,0.4443,0.2984,0.7672,0.1044,0.4537,0.5493,0.6204,0.5667,0.1147,0.1297,0.5893,0.6318,0.3581,0.2937,0.2134,0.2164,0.5628,0.1322,0.1688,0.1546,0.5886,0.4338,12.1643
FK Akhmat,0.3465,0.4083,0.3064,0.6259,0.3906,0.7557,0.4588,0.6681,0.1416,0.5502,0.528,0.7144,0.0843,0.374,0.2988,0.068,0.6353,0.2865,0.4886,0.5443,0.0774,0.3525,0.1432,0.684,0.1592,0.4283,0.1405,0.1573,0.1358,0.51,11.4625
Rubin Kazan,0.4312,0.4578,0.2042,0.2871,0.4465,0.0677,0.66,0.0737,0.1584,0.5155,0.3181,0.2068,0.0616,0.7753,0.4591,0.6591,0.1124,0.81,0.0304,0.2115,0.1881,0.6723,0.5646,0.3821,0.7498,0.2911,0.6238,0.0214,0.6736,0.1368,11.25
FC Ufa,0.2842,0.9351,0.4871,0.3665,0.0532,0.282,0.2157,0.6492,0.8064,0.1372,0.7787,0.3475,0.4093,0.6273,0.1571,0.0451,0.1532,0.1778,0.2213,0.2976,0.1023,0.5644,0.4465,0.2352,0.6439,0.321,0.5491,0.2953,0.2149,0.1167,10.9208
Lokomotiv Moscow,0.0622,0.1878,0.8299,0.609,0.2202,0.2313,0.1526,0.016,0.7754,0.537,0.3038,0.1976,0.2688,0.2173,0.1617,0.1671,0.1242,0.595,0.7083,0.6817,0.3338,0.2949,0.5212,0.4729,0.1336,0.0268,0.5467,0.1876,0.3819,0.831,10.7773
FC Orenburg,0.4382,0.0663,0.4927,0.2141,0.0603,0.297,0.3023,0.6617,0.0664,0.1747,0.2937,0.634,0.7787,0.2381,0.9482,0.0511,0.7595,0.0369,0.0681,0.0636,0.0255,0.2606,0.1203,0.7363,0.0992,0.3873,0.1179,0.2356,0.7353,0.3878,9.7514
Spartak Moscow,0.8178,0.5531,0.978,0.3248,0.6871,0.3872,0.0805,0.4269,0.0235,0.0771,0.0188,0.3556,0.0603,0.1829,0.5686,0.013,0.2799,0.3798,0.5571,0.3392,0.4865,0.046,0.3113,0.8364,0.0792,0.1857,0.0402,0.3426,0.2106,0.0131,9.6628
Arsenal Tula,0.6483,0.0996,0.4303,0.1002,0.1131,0.7986,0.64,0.0971,0.0756,0.8023,0.0664,0.2306,0.1251,0.4041,0.0863,0.2372,0.0274,0.6023,0.418,0.0839,0.3832,0.5409,0.0804,0.3075,0.4504,0.1004,0.4624,0.7992,0.0907,0.0048,9.3063
Krylya Sovetov Samara,0.21,0.1562,0.6973,0.0439,0.0051,0.6093,0.0039,0.4966,0.0135,0.4876,0.0909,0.5427,0.191,0.1447,0.0487,0.4668,0.2863,0.8101,0.7265,0.1764,0.1341,0.0608,0.5661,0.6064,0.0784,0.0034,0.6466,0.1696,0.1337,0.0021,8.6087
FC Yenisey Krasnoyarsk,0.2439,0.0795,0.1789,0.0208,0.6651,0.6936,0.237,0.6491,0.177,0.0802,0.3694,0.2708,0.0481,0.203,0.1018,0.8843,0.0809,0.4596,0.0016,0.5812,0.6991,0.007,0.0315,0.1863,0.4755,0.2141,0.2237,0.0064,0.0208,0.0147,7.9049
Ural,0.9458,0.3046,0.2551,0.0146,0.4346,0.0335,0.5891,0.179,0.1182,0.2972,0.3274,0.4126,0.2194,0.3605,0.0863,0.1208,0.1,0.1825,0.0662,0.3662,0.3431,0.0106,0.0571,0.0583,0.3222,0.0073,0.161,0.0779,0.1216,0.4756,7.0483
Anzhi Makhachkala,0.3177,0.2767,0.1362,0.1525,0.4582,0.3628,0.1299,0.0293,0.2821,0.3792,0.1129,0.2314,0.2838,0.2536,0.2767,0.5915,0.005,0.3016,0.0238,0.1031,0.0008,0.0366,0.0046,0.3851,0.1004,0.1823,0.1831,0.0865,0.3709,0.4316,6.4899
