team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
Bayern Munich,0.8536,0.1298,0.6472,0.8529,0.8104,0.8491,0.4189,0.2808,0.458,0.7834,0.7693,0.744,0.7995,0.797,0.0557,0.3095,0.7879,0.669,0.5997,0.7413,0.726,0.4896,0.49,0.4054,0.4525,0.9073,0.2886,0.887,0.2978,0.6383,0.6956,0.705,0.0647,0.1165,19.5213
Borussia Dortmund,0.8234,0.9494,0.4567,0.5228,0.287,0.242,0.5507,0.0004,0.1373,0.7369,0.2264,0.1426,0.1025,0.446,0.0796,0.8717,0.4324,0.3371,0.8625,0.3674,0.8036,0.4051,0.357,0.6222,0.292,0.869,0.2196,0.6332,0.1478,0.461,0.6003,0.4691,0.4393,0.1385,15.0325
Bayer Leverkusen,0.5766,0.9061,0.0049,0.7441,0.0035,0.5846,0.7136,0.8823,0.5715,0.0263,0.0212,0.0787,0.522,0.3402,0.3092,0.6754,0.6232,0.411,0.8348,0.2512,0.2073,0.185,0.0272,0.0671,0.1158,0.2925,0.515,0.5523,0.469,0.3597,0.0371,0.7019,0.2287,0.0138,12.8528
Wolfsburg,0.3558,0.179,0.4419,0.8331,0.7569,0.0067,0.2639,0.1649,0.2553,0.5117,0.1982,0.1837,0.4042,0.2308,0.0267,0.8021,0.0971,0.2314,0.4695,0.44,0.5667,0.4814,0.2578,0.6597,0.2951,0.1172,0.1743,0.4786,0.1309,0.0022,0.3126,0.0215,0.638,0.326,11.3149
Hertha Berlin,0.2999,0.2383,0.0026,0.3141,0.0259,0.4003,0.1829,0.7236,0.0392,0.506,0.1391,0.1609,0.7116,0.0049,0.2031,0.7658,0.7605,0.4738,0.0109,0.6663,0.232,0.4568,0.4407,0.7058,0.2869,0.2995,0.464,0.01,0.2323,0.2293,0.8211,0.0125,0.2013,0.0956,11.1175
FC Cologne,0.0178,0.0544,0.1747,0.0243,0.6587,0.2349,0.5164,0.2889,0.0251,0.0052,0.3426,0.6256,0.7223,0.5909,0.0795,0.1283,0.4549,0.0162,0.0629,0.8166,0.5317,0.388,0.3899,0.1391,0.0441,0.3315,0.7,0.3166,0.1861,0.0818,0.2985,0.397,0.5469,0.2213,10.4127
Mainz 05,0.5469,0.25,0.6817,0.0159,0.2985,0.1166,0.0063,0.0624,0.0044,0.0527,0.0179,0.8555,0.3913,0.5252,0.232,0.5334,0.0797,0.0517,0.0801,0.4808,0.3574,0.078,0.3426,0.5101,0.328,0.0063,0.162,0.4077,0.328,0.2366,0.5648,0.509,0.3312,0.3683,9.813
Borussia M.Gladbach,0.0406,0.0893,0.0076,0.3106,0.5719,0.0386,0.0313,0.4024,0.191,0.4318,0.0343,0.3627,0.0535,0.0667,0.057,0.0149,0.0696,0.0282,0.3975,0.0836,0.1713,0.5552,0.1359,0.7504,0.3759,0.9229,0.8991,0.7479,0.0453,0.1042,0.2518,0.7482,0.0712,0.6914,9.7538
Ingolstadt,0.5618,0.0058,0.3564,0.4679,0.2229,0.2213,0.1795,0.4424,0.1578,0.3806,0.3165,0.2163,0.5403,0.1535,0.2424,0.0302,0.4514,0.4606,0.0514,0.7884,0.1305,0.5418,0.2804,0.2223,0.031,0.0107,0.2317,0.3709,0.7261,0.1735,0.2067,0.0739,0.0376,0.0065,9.291
Schalke 04,0.3689,0.3827,0.0987,0.0051,0.0111,0.3624,0.5169,0.2096,0.3265,0.0408,0.7641,0.0673,0.0664,0.0721,0.7911,0.2441,0.4044,0.087,0.9093,0.5617,0.3088,0.0683,0.4306,0.3848,0.0303,0.2055,0.066,0.0618,0.1195,0.2386,0.1598,0.0342,0.4953,0.1802,9.0739
Eintracht Frankfurt,0.3845,0.2324,0.0041,0.3712,0.3214,0.0113,0.0499,0.2611,0.0045,0.6254,0.1825,0.4505,0.1234,0.0371,0.1658,0.0,0.3735,0.0257,0.5043,0.0094,0.0592,0.3992,0.795,0.2441,0.1011,0.0912,0.6753,0.3243,0.1341,0.2359,0.5961,0.1537,0.1556,0.0038,8.1066
Werder Bremen,0.1873,0.5946,0.3802,0.4355,0.1066,0.0504,0.2422,0.4812,0.059,0.1306,0.0048,0.085,0.0047,0.2743,0.1051,0.1688,0.1089,0.0942,0.1834,0.0095,0.5525,0.0103,0.159,0.3392,0.2001,0.0172,0.4873,0.0305,0.311,0.2509,0.0674,0.412,0.547,0.8201,7.9108
Hamburger SV,0.0158,0.0686,0.0736,0.6402,0.797,0.444,0.2024,0.0682,0.3654,0.5433,0.222,0.1106,0.0605,0.3526,0.2217,0.0861,0.039,0.0692,0.0402,0.2249,0.0448,0.6224,0.2988,0.0475,0.7853,0.1665,0.0308,0.2085,0.2455,0.0708,0.0271,0.3257,0.0313,0.2837,7.834
Augsburg,0.1483,0.3002,0.2483,0.002,0.5594,0.0272,0.096,0.0587,0.002,0.0002,0.0174,0.2174,0.3828,0.5639,0.0409,0.188,0.2493,0.5141,0.2314,0.0156,0.0739,0.6427,0.0502,0.1535,0.1177,0.1501,0.1465,0.0082,0.4744,0.6425,0.2014,0.7684,0.1939,0.0364,7.5229
Darmstadt,0.0648,0.3249,0.0926,0.2151,0.077,0.2176,0.0748,0.1684,0.212,0.3474,0.0293,0.1592,0.0173,0.3571,0.3111,0.0558,0.3,0.2153,0.1484,0.5462,0.0566,0.0252,0.0444,0.0079,0.2635,0.1413,0.2379,0.6048,0.4495,0.6969,0.0436,0.3877,0.2163,0.1001,7.21
