team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
Manchester City,0.6299,0.392,0.1742,0.4842,0.7017,0.9034,0.7878,0.6364,0.6763,0.5845,0.0704,0.1927,0.3839,0.3601,0.0327,0.5777,0.1252,0.1541,0.1543,0.794,0.1585,0.9039,0.3432,0.1882,0.3583,0.8925,0.3735,0.6116,1.0,0.6139,0.418,0.8702,0.7155,0.2301,0.5857,0.912,0.5506,0.4655,19.0067
Liverpool,0.6517,0.6825,0.5455,0.3009,0.4287,0.7263,0.126,0.1722,0.5161,0.3733,0.1342,0.5261,0.4547,0.1664,0.0973,0.7509,0.4117,0.4352,0.6118,0.1572,0.3184,0.6703,0.4822,0.2391,0.435,0.6693,0.5982,0.4677,0.7816,0.5404,0.241,0.2494,0.4099,0.3682,0.1993,0.8468,0.1602,0.3754,16.3211
Chelsea,0.646,0.0452,0.8064,0.2984,0.3257,0.2706,0.116,0.146,0.2421,0.7573,0.6227,0.8164,0.0145,0.7448,0.4189,0.4613,0.764,0.6187,0.2333,0.8148,0.851,0.6642,0.0763,0.0659,0.7627,0.0031,0.3869,0.3693,0.4059,0.0165,0.6295,0.6058,0.6123,0.1952,0.2957,0.259,0.2491,0.7013,16.3128
Wolverhampton Wanderers,0.3841,0.7959,0.1016,0.3706,0.8081,0.5257,0.494,0.2278,0.2981,0.2644,0.0651,0.2894,0.5214,0.2489,0.3032,0.6232,0.5802,0.0736,0.2145,0.7537,0.0583,0.01,0.2353,0.876,0.1852,0.6352,0.0289,0.1274,0.4491,0.3372,0.516,0.0765,0.0032,0.8896,0.3216,0.3374,0.5422,0.1289,13.7015
Tottenham,0.3394,0.1631,0.2244,0.6221,0.0036,0.3673,0.7053,0.2331,0.5726,0.0849,0.0216,0.4542,0.3437,0.0217,0.1109,0.6922,0.6042,0.2848,0.2537,0.2199,0.0693,0.3632,0.3565,0.6089,0.6527,0.014,0.2225,0.51,0.0024,0.0623,0.2993,0.5144,0.3161,0.0645,0.8643,0.3493,0.0721,0.0107,11.6752
Leicester,0.0981,0.2563,0.5687,0.2088,0.0404,0.4542,0.6511,0.2538,0.0112,0.026,0.3508,0.6828,0.4029,0.2406,0.2066,0.2391,0.6615,0.0475,0.166,0.6006,0.403,0.115,0.0613,0.5506,0.1484,0.2488,0.0914,0.2262,0.1584,0.8576,0.2534,0.3528,0.0744,0.342,0.1889,0.5104,0.2857,0.2079,11.2432
Everton,0.3657,0.0779,0.0248,0.4609,0.1339,0.3241,0.5434,0.2761,0.0866,0.0157,0.3937,0.2445,0.2832,0.0054,0.1372,0.1411,0.1,0.041,0.0246,0.1212,0.4835,0.1643,0.3153,0.4525,0.0627,0.0248,0.0929,0.7983,0.3864,0.0334,0.2522,0.9124,0.8145,0.1324,0.7286,0.7656,0.5867,0.3449,11.1524
Crystal Palace,0.5149,0.0163,0.2299,0.0117,0.3856,0.7897,0.0505,0.4172,0.1025,0.3487,0.0982,0.1259,0.2023,0.7199,0.1428,0.15,0.3612,0.2473,0.2812,0.4417,0.4625,0.1465,0.0038,0.2007,0.5224,0.0677,0.3757,0.1611,0.0937,0.8762,0.3726,0.0509,0.3753,0.0256,0.1489,0.3019,0.1911,0.0819,10.096
Arsenal,0.0644,0.153,0.2615,0.4476,0.6291,0.283,0.0326,0.2283,0.3402,0.0209,0.2559,0.0875,0.506,0.1703,0.1579,0.724,0.2074,0.2632,0.0779,0.0031,0.1082,0.494,0.4439,0.5408,0.0024,0.057,0.5086,0.3717,0.0647,0.035,0.9564,0.0311,0.2084,0.0343,0.3455,0.0073,0.0487,0.0817,9.2535
Newcastle United,0.0355,0.2555,0.1115,0.0526,0.3811,0.3744,0.1297,0.0533,0.4744,0.2787,0.044,0.0664,0.13,0.0314,0.0645,0.129,0.4985,0.7732,0.0079,0.3108,0.0242,0.2203,0.7707,0.2147,0.0168,0.0406,0.8688,0.0751,0.067,0.2132,0.0888,0.2975,0.205,0.3765,0.2437,0.2106,0.1799,0.5567,8.8725
Cardiff,0.0217,0.1005,0.8069,0.2045,0.0269,0.0231,0.8925,0.0306,0.3308,0.0371,0.0299,0.403,0.0383,0.3184,0.1685,0.5926,0.1537,0.0214,0.0662,0.1049,0.2025,0.6686,0.0228,0.0226,0.6971,0.0712,0.0144,0.2736,0.0108,0.739,0.0733,0.0096,0.0048,0.5456,0.0347,0.5805,0.1245,0.1251,8.5922
Manchester United,0.0226,0.0707,0.0879,0.2369,0.2617,0.2615,0.1669,0.1555,0.0356,0.083,0.0993,0.0669,0.2936,0.5262,0.0898,0.145,0.0439,0.1405,0.1527,0.4192,0.4859,0.1213,0.4946,0.3032,0.1883,0.0439,0.6709,0.1067,0.5363,0.1074,0.1962,0.1196,0.1729,0.1561,0.5746,0.1359,0.4369,0.0647,8.2748
Bournemouth,0.0215,0.1679,0.5691,0.3005,0.0731,0.0184,0.6732,0.3114,0.4953,0.6751,0.0061,0.0269,0.1065,0.0222,0.1822,0.0197,0.0506,0.3817,0.0097,0.0057,0.2871,0.1141,0.2288,0.4423,0.0236,0.0508,0.1512,0.0161,0.169,0.7054,0.2431,0.1151,0.1664,0.8105,0.0235,0.0239,0.4572,0.0185,8.1634
Brighton,0.195,0.0872,0.1288,0.1633,0.0206,0.0526,0.0198,0.1896,0.1485,0.216,0.0295,0.0415,0.164,0.5553,0.1075,0.0868,0.0949,0.3937,0.3953,0.5064,0.5146,0.0363,0.0246,0.0071,0.7481,0.0655,0.1113,0.8139,0.1179,0.3785,0.0147,0.0259,0.388,0.035,0.3529,0.6329,0.0368,0.0735,7.9738
Burnley,0.3325,0.0331,0.1083,0.0194,0.0162,0.3515,0.1615,0.3158,0.0029,0.0268,0.0466,0.1868,0.074,0.1073,0.0046,0.3472,0.1287,0.1479,0.0683,0.4786,0.505,0.3414,0.2854,0.011,0.4205,0.2191,0.408,0.1169,0.4746,0.0001,0.5286,0.6631,0.2236,0.3584,0.2536,0.0618,0.0915,0.0196,7.9402
