team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
Napoli,0.1179,0.5072,0.7795,0.804,0.7312,0.7619,0.8959,0.7123,0.6373,0.0669,0.7013,0.3981,0.7297,0.7175,0.2923,0.8107,0.4432,0.1986,0.9085,0.8617,0.6329,0.2212,0.2639,0.3099,0.9328,0.7259,0.1048,0.8425,0.3276,0.0285,0.8031,0.5202,0.0546,0.807,0.0394,0.717,0.6447,0.7909,20.8426
Juventus,0.1009,0.1491,0.3387,0.045,0.576,0.8087,0.152,0.0854,0.2107,0.2514,0.2105,0.8891,0.053,0.8664,0.4585,0.7455,0.7595,0.0812,0.9136,0.5588,0.9129,0.9481,0.785,0.388,0.7985,0.8261,0.8101,0.7075,0.9389,0.256,0.0282,0.4056,0.5809,0.3201,0.4918,0.1401,0.6657,0.7056,18.9631
AC Milan,0.7316,0.5625,0.0337,0.7952,0.8504,0.0967,0.235,0.0407,0.654,0.4267,0.6181,0.7289,0.1694,0.1984,0.2672,0.2476,0.1379,0.0118,0.1019,0.5877,0.4232,0.5857,0.4142,0.6029,0.4616,0.5293,0.3283,0.3008,0.4961,0.0601,0.7407,0.191,0.1163,0.5872,0.6541,0.7684,0.0759,0.4633,15.2945
Atalanta,0.6858,0.2581,0.2274,0.2317,0.7074,0.7007,0.0022,0.1441,0.7791,0.1062,0.1178,0.3437,0.2588,0.5824,0.393,0.2159,0.3055,0.3519,0.3354,0.2459,0.2874,0.3126,0.8133,0.2901,0.1863,0.6209,0.1541,0.7339,0.6552,0.2096,0.5178,0.3055,0.459,0.5389,0.235,0.1048,0.8472,0.3914,14.656
Fiorentina,0.0206,0.0441,0.3328,0.7246,0.3221,0.0257,0.2758,0.6891,0.8311,0.3495,0.3145,0.0556,0.116,0.1207,0.6414,0.3347,0.785,0.8009,0.268,0.1043,0.0514,0.0607,0.6606,0.5573,0.6608,0.7513,0.2558,0.565,0.7887,0.4929,0.1413,0.5713,0.155,0.4523,0.906,0.0335,0.0475,0.1226,14.4305
Roma,0.1197,0.0149,0.8177,0.4767,0.2277,0.4418,0.1862,0.5616,0.6023,0.5426,0.264,0.1534,0.1646,0.0594,0.2811,0.8926,0.0235,0.309,0.4281,0.173,0.0621,0.1422,0.696,0.4173,0.5646,0.0919,0.0563,0.3238,0.6082,0.7371,0.4341,0.4887,0.3839,0.7885,0.1117,0.3014,0.8152,0.3226,14.0855
Inter,0.6572,0.2339,0.6808,0.3091,0.3746,0.3885,0.1998,0.4131,0.2261,0.2412,0.1849,0.2242,0.6924,0.2665,0.5978,0.3289,0.0048,0.2436,0.2597,0.1103,0.5547,0.2027,0.3513,0.5812,0.2829,0.6629,0.4225,0.6108,0.6941,0.4884,0.1651,0.2251,1.0,0.1599,0.1884,0.3393,0.256,0.1728,13.9955
Lazio,0.5047,0.4316,0.2357,0.5301,0.0164,0.6892,0.0764,0.0292,0.5179,0.3208,0.5358,0.0998,0.1401,0.2593,0.3222,0.0265,0.5963,0.4298,0.0353,0.6891,0.4115,0.1826,0.3509,0.0778,0.8828,0.4791,0.2691,0.0509,0.3035,0.7669,0.4099,0.4596,0.133,0.7465,0.7087,0.0181,0.3328,0.0002,13.0701
Genoa,0.6295,0.0521,0.1498,0.0094,0.2295,0.5296,0.3367,0.1452,0.4679,0.2687,0.7075,0.1201,0.7459,0.2029,0.4977,0.2104,0.3556,0.3427,0.3333,0.3559,0.1549,0.7882,0.3788,0.75,0.361,0.0014,0.4715,0.1332,0.7572,0.1575,0.449,0.5384,0.1057,0.1013,0.1584,0.1315,0.0821,0.1479,12.3584
Sassuolo,0.3061,0.245,0.5045,0.3103,0.0653,0.0768,0.0024,0.574,0.61,0.3487,0.0051,0.2517,0.2208,0.0603,0.0517,0.3709,0.2585,0.127,0.1449,0.4408,0.2989,0.0509,0.0323,0.8199,0.2421,0.1127,0.5749,0.7586,0.0758,0.7144,0.0676,0.1563,0.6652,0.7367,0.039,0.9731,0.0995,0.284,11.6767
