id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,total
3288,Thiago Silva,Chelsea,-,-,0.948,0.2417,-,0.1158,0.0305,0.2329,-,0.4854,0.6895,-,2.7438
6521,Yerry Mina,Everton,0.2387,0.1833,0.6281,0.0762,0.4555,0.1885,0.091,-,0.1387,-,0.7386,-,2.7386
6434,Franck Zambo,Fulham,0.0,0.064,0.2315,0.0,0.2361,0.2835,0.575,0.1497,0.3592,0.8101,0.0,-,2.7091
782,Ben Chilwell,Chelsea,-,-,-,0.5224,0.0521,0.0828,0.0,0.371,0.5417,0.4629,0.6604,-,2.6933
500,Alex Iwobi,Everton,-,0.0,0.0,0.5629,0.0,0.0163,0.0,0.0366,0.7384,0.5307,0.8035,-,2.6884
5609,Yves Bissouma,Brighton,0.3764,0.0886,-,0.0201,0.1863,0.426,0.0,0.5717,0.1974,0.0,0.7883,-,2.6548
5956,Youri Tielemans,Leicester,0.0722,0.2277,0.4432,0.0,0.2845,0.6616,0.5101,0.1713,0.0567,0.1229,0.089,-,2.6392
5555,Dominic Calvert-Lewin,Everton,0.0764,0.0,0.0,1.0822,0.0,0.0,0.12,0.0,0.3164,0.5174,0.4971,-,2.6095
5556,Ademola Lookman,Fulham,-,-,-,0.5738,0.1332,0.4852,0.1012,0.6819,0.5469,0.0855,0.0,-,2.6077
453,Son Heung-Min,Tottenham,0.0917,0.0956,1.0227,0.0537,0.5704,0.1309,0.0,0.489,0.0,0.1287,0.0,-,2.5827
675,Jack Grealish,Aston Villa,0.2056,0.3805,0.664,0.0557,0.2317,0.0953,0.1913,0.0737,0.6795,-,-,-,2.5773
2335,Pablo Fornals,West Ham,0.1252,0.0,0.6594,0.0694,0.2153,0.0242,0.0,0.4146,0.7135,0.1985,0.0245,0.1123,2.5569
7706,George Baldock,Sheffield United,0.7485,0.0478,0.019,0.0079,0.3452,0.1285,0.0,0.0222,0.1272,1.0113,0.086,-,2.5436
532,Cheikhou Kouyaté,Crystal Palace,0.0,0.3102,0.0,0.0,0.0,0.3656,0.3555,0.4373,0.0,0.0947,0.9751,-,2.5384
5220,Kai Havertz,Chelsea,0.2051,0.0,0.7877,0.4966,0.3096,0.0556,0.0946,-,-,0.0,0.5266,-,2.4758
447,Kevin De Bruyne,Manchester City,0.5607,0.14,0.315,-,0.0,0.2637,0.0394,0.1181,0.5795,0.4541,-,-,2.4705
7723,John McGinn,Aston Villa,0.3055,0.1464,0.3971,0.287,0.3155,0.0334,0.2196,0.1114,0.6481,-,-,-,2.464
6122,Douglas Luiz,Aston Villa,0.0506,0.1085,0.1279,0.287,0.1593,0.0,0.9043,0.0527,0.7657,-,-,-,2.456
7768,Mason Mount,Chelsea,0.171,0.0125,0.6747,-,0.1392,0.0,0.0305,0.1029,0.6402,0.3586,0.3156,-,2.4452
492,Héctor Bellerín,Arsenal,0.3506,0.5282,0.3288,0.4609,0.0,0.2583,0.0581,0.0678,0.305,0.0569,0.0228,-,2.4374
6852,Matt Doherty,Tottenham,0.3339,0.6338,1.1102,-,-,0.2427,0.0152,0.0999,-,-,-,-,2.4357
8722,Ezgjan Alioski,Leeds,-,0.0783,0.0,0.0,-,0.2837,0.0119,0.0,1.0227,0.6952,0.2576,0.0705,2.4199
8940,Antonee Robinson,Fulham,-,-,-,0.067,0.1874,0.221,0.7636,0.6882,0.0609,0.4299,0.0,-,2.418
7699,Adam Webster,Brighton,0.6937,0.1402,0.3339,0.0754,0.2866,0.0193,0.0,0.1542,0.5089,0.0751,0.1224,-,2.4097
6026,Richarlison,Everton,0.2191,0.0139,0.5677,0.0762,0.0,-,-,-,0.3024,0.0602,1.1114,-,2.3509
8719,Kalvin Phillips,Leeds,0.0732,0.0,0.4231,0.1593,0.1447,-,-,-,0.5897,0.5918,0.2576,0.1076,2.347
669,Ashley Westwood,Burnley,0.7555,0.1233,0.0397,0.0675,0.0,0.3466,0.0372,0.8064,0.076,0.066,-,-,2.3182
585,Seamus Coleman,Everton,0.261,1.1464,0.6452,0.0538,0.0864,-,-,0.1036,-,-,-,-,2.2964
8089,Kieran Tierney,Arsenal,0.2526,-,0.0462,0.4609,0.435,0.1769,0.0,0.1066,0.1825,0.434,0.2003,-,2.295
65,Timo Werner,Chelsea,0.0373,0.0125,0.1666,0.1518,0.5394,0.0,0.0398,0.0,0.1587,0.0,1.1722,-,2.2783
8715,Illan Meslier,Leeds,0.0582,0.1278,0.3333,0.233,0.0138,0.4042,1.0252,0.0,0.0178,0.0,0.0,0.063,2.2763
6163,Nélson Semedo,Wolverhampton Wanderers,-,-,0.0179,0.0477,0.0328,0.3468,0.6334,0.0252,0.1798,0.8385,0.132,-,2.2541
528,Angelo Ogbonna,West Ham,0.0,0.0483,0.3956,0.3196,0.1082,0.0,0.0,0.0722,0.8252,0.0,0.3708,0.0997,2.2396
757,Jeffrey Schlupp,Crystal Palace,0.0,0.0964,-,-,0.0,1.0863,0.1637,0.3824,0.023,0.2038,0.2747,-,2.2303
885,Kyle Walker-Peters,Southampton,0.0721,0.176,0.4878,0.2443,0.0,0.2882,0.0868,0.3038,0.473,0.04,0.0396,-,2.2116
6042,Jan Bednarek,Southampton,0.0,0.2278,0.5614,0.2237,0.0802,0.3204,0.0,0.1278,0.1727,0.0493,0.4409,-,2.2042
5613,Gabriel,Arsenal,0.3469,0.5282,-,0.1484,0.0469,0.2745,0.0,0.2396,0.0,0.434,0.1527,-,2.1712
1776,Jarrod Bowen,West Ham,0.0496,0.5797,0.0,0.1535,0.0607,0.1202,0.0,0.3424,0.7072,0.0,0.1565,0.0,2.1698
5962,Tanguy NDombele Alvaro,Tottenham,0.0,0.094,0.0561,0.9024,0.7102,0.1395,0.0644,0.0327,0.0,0.1287,-,-,2.128
3422,João Moutinho,Wolverhampton Wanderers,0.4407,0.1569,0.0757,0.0,0.0,0.0,0.0,-,0.3596,0.9895,0.1015,-,2.1239
7704,Chris Basham,Sheffield United,0.0,0.0,0.1233,0.0,0.3873,0.0211,0.1747,0.0559,0.1505,1.2067,0.0,-,2.1195
6080,Victor Lindelöf,Manchester United,0.3227,0.0,-,0.1653,0.2682,0.0,0.2218,0.1597,0.0,0.9686,-,-,2.1063
643,Eric Dier,Tottenham,0.4814,0.094,0.1232,0.3985,-,0.2043,0.0644,0.598,0.0,0.0287,0.0705,-,2.063
725,Ola Aina,Fulham,-,-,-,0.1242,0.0888,0.2674,0.0,0.6882,0.4539,0.4299,0.0,-,2.0524
7708,John Lundstram,Sheffield United,0.6784,0.0478,0.0986,0.0094,0.3658,0.2289,0.0,0.0559,0.0,0.5645,0.0,-,2.0493
843,James Ward-Prowse,Southampton,0.0721,0.1011,0.2078,0.1588,0.2397,0.2943,0.0868,0.3109,0.4888,0.0493,0.0314,-,2.041
5247,Naby Keita,Liverpool,0.2884,0.4056,0.3549,0.6431,-,-,-,-,0.2716,-,0.0573,-,2.0209
987,Joseph Gomez,Liverpool,0.2254,-,0.3459,0.0,0.3685,0.6177,0.4625,0.0,-,-,-,-,2.02
6048,Lewis Dunk,Brighton,0.4491,0.1402,0.5009,0.0201,0.2651,-,-,-,0.5089,0.0,0.1224,-,2.0067
6382,Pedro Neto,Wolverhampton Wanderers,0.3965,0.1747,0.0979,0.0685,0.0,0.1254,0.4445,0.0,0.0,0.692,0.0,-,1.9995
1740,Paul Pogba,Manchester United,0.3343,0.0,0.0224,0.1892,0.1829,0.0269,0.0,-,-,1.2235,-,-,1.9792
3428,Hélder Costa,Leeds,0.0314,0.0,0.0,0.7489,0.0,0.1599,1.038,0.0,-,0.0,-,0.0,1.9782
1228,Bruno Fernandes,Manchester United,0.0663,0.0166,0.0,0.211,0.1731,0.1153,0.2731,0.1111,0.0,1.0078,-,-,1.9743
332,Joel Matip,Liverpool,0.0,-,-,-,0.9309,-,-,0.0,0.8363,-,0.1895,-,1.9567
7753,James Justin,Leicester,0.7254,0.5041,0.0623,0.0,0.1897,0.0,0.0842,0.0267,0.0346,0.2476,0.0704,-,1.945
935,Kurt Zouma,Chelsea,0.1096,0.0125,-,0.1101,0.2027,0.1158,0.0,0.2329,0.2518,0.2821,0.6152,-,1.9327
5560,Scott McTominay,Manchester United,0.3454,-,0.0,0.5384,0.0589,0.0,0.2506,0.0,-,0.7155,-,-,1.9088
6049,Solly March,Brighton,0.4318,0.0166,0.3907,0.0201,0.0953,0.0193,0.0811,-,0.6552,0.1005,0.0928,-,1.9034
3635,Bernardo Silva,Manchester City,-,-,0.1115,0.561,0.1027,0.9235,0.0291,0.174,-,-,-,-,1.9018
6892,Fabián Balbuena,West Ham,-,-,0.0,0.0841,0.2105,0.0,0.0,0.0,0.8869,0.0,0.6163,0.0997,1.8975
2498,Aymeric Laporte,Manchester City,-,-,0.1717,-,-,1.1642,0.4545,0.1021,-,-,-,-,1.8925
838,Sadio Mané,Liverpool,0.1815,0.061,0.3332,-,0.2397,0.0,0.4726,0.0715,0.3465,0.0,0.1862,-,1.8922
8291,Daniel Podence,Wolverhampton Wanderers,0.0849,0.1249,-,0.0173,0.0,0.1221,0.5143,0.0,0.1423,0.8786,0.0,-,1.8844
910,Harrison Reed,Fulham,0.066,0.0164,-,-,-,0.0798,0.0,0.6882,0.6478,0.3802,0.0,-,1.8784
1736,Oliver McBurnie,Sheffield United,0.0,0.0,0.0,0.0,0.085,0.0782,0.6387,0.0559,0.0,0.989,0.0,-,1.8468
556,Marcus Rashford,Manchester United,0.0586,0.0,0.0,0.2053,0.2672,0.1153,0.2674,0.4767,0.0738,0.3788,-,-,1.8431
