id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,total
3277,Alexandre Lacazette,Arsenal,2,1,3,-,0,2,0,1,-,0,4,1,-,1,2,1,5,0,2,2,2,0,29
606,Christian Benteke,Crystal Palace,-,-,0,-,0,-,0,0,2,3,5,4,5,-,2,1,1,6,-,0,-,0,29
314,Ilkay Gündogan,Manchester City,-,-,-,0,2,0,0,-,1,1,-,4,2,1,3,2,4,6,2,0,-,-,28
8720,Jack Harrison,Leeds,1,2,0,-,1,2,1,1,1,4,1,0,1,2,1,3,1,2,2,2,-,-,28
2335,Pablo Fornals,West Ham,1,0,2,2,2,2,3,1,1,0,3,1,1,1,-,1,2,2,0,2,1,-,28
1791,Trent Alexander-Arnold,Liverpool,0,3,2,2,2,1,1,2,-,-,0,0,1,1,3,1,1,1,5,1,0,-,27
7153,Matheus Pereira,West Bromwich Albion,3,1,0,1,3,3,1,-,1,3,1,-,-,-,0,0,0,3,3,0,2,2,27
5956,Youri Tielemans,Leicester,1,1,1,0,2,0,2,2,1,3,1,1,2,1,2,1,2,0,1,2,1,-,27
7490,Mason Greenwood,Manchester United,3,1,3,-,0,1,-,-,2,5,2,2,-,-,0,-,0,0,1,4,0,3,27
5612,Anwar El Ghazi,Aston Villa,-,-,-,-,-,-,0,0,0,1,8,8,5,2,3,0,0,0,-,-,-,-,27
6055,Phil Foden,Manchester City,2,0,3,4,2,0,-,0,1,-,-,2,-,0,3,2,0,5,2,0,-,-,26
4105,Raúl Jiménez,Wolverhampton Wanderers,5,3,2,3,2,6,1,0,4,0,-,-,-,-,-,-,-,-,-,-,-,-,26
1687,Harry Maguire,Manchester United,1,1,0,3,1,4,1,2,1,1,1,0,3,1,0,1,0,0,2,2,1,0,26
1736,Oliver McBurnie,Sheffield United,3,0,0,1,4,1,0,0,4,6,3,0,-,-,2,-,-,-,-,-,0,1,25
8291,Daniel Podence,Wolverhampton Wanderers,0,2,-,0,2,3,3,0,4,2,1,4,1,1,2,0,-,-,-,0,0,0,25
2249,James Rodríguez,Everton,3,1,2,4,2,2,-,0,2,3,3,-,-,-,-,0,0,2,1,-,-,-,25
592,Ross Barkley,Aston Villa,-,-,6,2,3,2,4,0,-,-,-,-,-,-,-,3,2,1,2,-,-,-,25
6144,Sébastien Haller,West Ham,2,0,1,0,-,0,0,3,4,0,3,5,3,1,1,1,1,-,-,-,-,-,25
7236,Leander Dendoncker,Wolverhampton Wanderers,0,0,-,2,0,0,3,1,1,2,4,2,0,-,-,-,-,4,3,1,1,0,24
4422,Ashley Barnes,Burnley,-,-,1,3,2,2,0,-,3,0,1,0,4,3,1,1,0,3,-,-,-,-,24
7722,Trézéguet,Aston Villa,2,1,1,1,1,4,2,7,3,-,-,-,-,-,-,-,1,0,-,-,-,-,23
769,Jonjo Shelvey,Newcastle United,3,2,1,0,2,-,-,-,-,2,1,-,2,-,-,0,-,0,0,4,3,3,23
8778,Fabio Silva,Wolverhampton Wanderers,-,0,2,-,-,-,0,1,-,3,0,4,0,2,3,0,1,2,5,-,0,0,23
503,Theo Walcott,Southampton,-,-,-,-,2,-,2,3,3,2,2,0,2,1,0,2,1,1,2,0,-,-,23
6893,Stuart Armstrong,Southampton,-,1,1,2,-,2,1,2,1,1,0,2,2,-,0,0,1,2,2,3,0,-,23
4381,Mateusz Klich,Leeds,1,1,1,0,0,2,1,0,2,4,0,2,3,0,2,0,1,2,1,0,-,-,23
5656,Nicolas Pepe,Arsenal,0,1,0,1,3,0,-,2,1,-,-,-,3,2,0,-,-,1,-,2,4,2,22
2662,Christian Pulisic,Chelsea,-,-,-,0,2,3,-,-,-,0,4,-,0,1,3,4,1,1,1,0,2,-,22
8718,Stuart Dallas,Leeds,0,0,3,1,0,2,1,0,4,0,1,0,4,2,1,0,1,0,1,1,-,-,22
