id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,total
2379,João Cancelo,Manchester City,-,-,-,0.1889,0.1662,0.3758,0.3165,0.1955,-,0.1016,0.0144,0.0555,0.0965,0.7836,0.4066,0.2975,0.0,0.1368,0.0935,-,0.0,-,3.2289
7322,Bukayo Saka,Arsenal,-,0.1317,-,0.0,0.0101,0.0822,0.0,0.0,0.1825,0.2174,0.0592,0.0785,0.0245,0.0282,0.0,0.7968,0.0463,0.0741,0.4527,0.9808,-,0.0,3.165
534,Aaron Cresswell,West Ham,0.0,0.0113,0.2732,0.717,0.127,0.0561,0.0,0.2684,0.0546,0.0,0.0989,0.4494,0.0,0.0405,0.0609,0.1053,0.0,0.0,0.1338,0.4577,0.0,0.2581,3.1122
8026,Raphinha,Leeds,-,-,-,-,0.0,0.0,-,0.0,0.1323,0.7162,0.2238,0.1481,0.1557,0.24,0.503,0.0,0.4929,0.0129,0.2047,0.2298,0.0301,-,3.0895
8992,Hakim Ziyech,Chelsea,-,-,-,-,0.1072,0.0,0.3531,1.7907,0.2144,0.2317,0.0,-,-,-,-,-,0.0478,0.0626,0.0,0.2386,-,-,3.0461
482,Roberto Firmino,Liverpool,0.0,0.4714,0.1197,0.3509,0.0954,0.0,0.0,0.0,0.0749,0.0,0.0,0.4533,0.0602,0.112,0.0,0.3383,0.0461,0.0921,0.0,0.2689,0.5219,0.0,3.0051
1823,Lucas Digne,Everton,0.058,0.44,0.0763,0.0538,0.4291,0.0,-,0.0,1.1859,-,-,-,-,-,-,-,0.085,0.1202,0.0511,0.4324,-,-,2.9318
700,Willian,Arsenal,0.6346,0.0988,0.2933,0.0,0.0606,-,0.0,0.0267,0.0,0.0668,0.0626,0.6915,-,0.0279,-,-,0.7866,-,0.0529,0.0,0.0748,-,2.8771
239,Pascal Groß,Brighton,0.0,-,0.0,0.0,0.0524,0.011,0.2277,0.1046,0.6424,0.0735,0.2399,0.0629,0.0,-,0.0514,0.1514,-,-,0.0237,0.078,0.9739,0.1748,2.8676
5556,Ademola Lookman,Fulham,-,-,-,0.067,0.0639,0.1264,0.1017,0.0192,0.3703,0.1173,0.0,0.5488,0.0292,0.0,0.2256,0.4663,0.0,0.0,0.2809,0.0594,0.3817,-,2.8577
8865,Ollie Watkins,Aston Villa,0.1884,0.0202,0.1115,0.0,0.1511,0.1135,0.0,0.0791,0.6305,0.0,0.0151,0.0,0.4669,0.1118,0.1452,0.0976,0.5572,0.1641,0.0,0.0,-,-,2.8522
