id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,total
5555,Dominic Calvert-Lewin,Everton,0.1497,2.6107,1.1624,0.4896,0.6323,0.0,0.7298,0.0436,1.2041,0.2155,1.5808,-,8.8185
755,Jamie Vardy,Leicester,1.5223,0.0892,1.9656,0.3022,-,0.6616,1.1701,1.5487,0.7764,0.2778,0.42,-,8.7339
822,Patrick Bamford,Leeds,0.0711,0.091,0.6921,0.532,0.1886,1.0026,1.5984,0.4572,1.0268,0.8107,0.6894,0.2467,7.4066
647,Harry Kane,Tottenham,0.1584,0.6855,1.5078,1.4817,0.737,0.2189,1.3494,0.6684,0.0,0.0446,0.3019,-,7.1536
468,Callum Wilson,Newcastle United,0.9158,0.4212,0.7612,1.6616,0.6542,0.0557,1.7963,0.0,-,0.5163,-,-,6.7823
1250,Mohamed Salah,Liverpool,1.9398,0.2213,0.2181,0.5826,0.3813,0.8926,0.9047,0.799,-,0.0774,0.5458,-,6.5626
3621,Neal Maupay,Brighton,0.3265,1.4172,0.8947,0.8818,0.4235,0.4067,-,0.173,0.8932,0.7612,0.0887,-,6.2665
8865,Ollie Watkins,Aston Villa,0.1116,0.5731,1.8282,0.063,0.344,0.8571,1.0726,0.0,1.2591,-,-,-,6.1087
65,Timo Werner,Chelsea,0.4197,0.0336,0.5845,0.1036,1.0501,0.0556,0.4598,0.7559,0.4575,0.0742,1.5061,-,5.5006
522,Wilfried Zaha,Crystal Palace,0.9196,0.9544,0.1253,0.0643,0.7612,1.2365,0.0925,0.071,-,-,0.9059,-,5.1307
838,Sadio Mané,Liverpool,0.3237,0.8314,1.2821,-,1.1268,0.3662,0.0808,0.0,0.5632,0.0,0.3475,-,4.9217
1228,Bruno Fernandes,Manchester United,0.1288,0.7612,0.7612,0.9601,0.0944,0.0098,0.3699,0.874,0.9385,0.0,-,-,4.8979
447,Kevin De Bruyne,Manchester City,1.0782,0.0671,0.2739,-,0.0538,0.2016,0.8327,0.303,0.18,1.3824,-,-,4.3727
482,Roberto Firmino,Liverpool,0.1302,0.1402,0.0877,0.3965,0.1776,0.8676,0.0,0.0488,2.3536,0.0646,0.0,-,4.2668
453,Son Heung-Min,Tottenham,0.0525,1.3486,0.0702,0.4372,0.6597,0.4908,0.0319,0.4124,0.3571,0.0,0.0192,-,3.8796
773,Aleksandar Mitrovic,Fulham,0.0342,1.0272,0.2751,0.1256,0.9971,0.6031,0.0,0.7178,0.0664,0.0,-,-,3.8465
556,Marcus Rashford,Manchester United,0.0368,0.6311,0.0,0.6152,0.1318,0.0301,0.3668,0.5821,0.4046,1.0256,-,-,3.8241
4456,Chris Wood,Burnley,0.7211,0.0444,0.1009,0.78,0.1446,0.0,0.105,1.2205,0.0,0.4849,-,-,3.6014
7700,Che Adams,Southampton,0.5064,1.1913,0.1407,0.4238,0.6972,0.1518,0.0,0.2784,0.1171,0.065,0.0,-,3.5717
1776,Jarrod Bowen,West Ham,0.0756,0.2054,1.2609,0.7067,0.0422,0.0,0.0,0.1172,0.3537,0.1715,0.4694,0.1497,3.5523
8288,Tomas Soucek,West Ham,0.2834,0.0601,0.9592,0.1507,0.1737,0.0324,0.0378,0.4042,0.5453,0.0878,0.6501,0.0594,3.4441
702,Tammy Abraham,Chelsea,-,0.0603,1.1905,0.4979,0.0,0.0,0.0928,0.34,0.6918,0.5017,0.067,-,3.442
6026,Richarlison,Everton,0.8302,0.5278,0.7612,0.0196,0.529,-,-,-,0.2827,0.2778,0.055,-,3.2833
986,Danny Ings,Southampton,0.4428,0.818,0.4207,0.043,0.5736,0.0448,0.1408,-,-,-,0.7844,-,3.2681
675,Jack Grealish,Aston Villa,0.2748,0.4663,0.3812,0.0,0.7561,0.7219,0.4294,0.0232,0.0839,-,-,-,3.1368
1389,Jorginho,Chelsea,0.7612,0.7612,-,1.5814,0.0,0.0147,0.0,0.0,-,-,-,-,3.1185
2335,Pablo Fornals,West Ham,0.093,0.0,0.4409,0.453,0.7954,0.0873,0.2313,0.0223,0.0633,0.0,0.7608,0.0997,3.047
6681,Harvey Barnes,Leicester,0.6487,0.3692,0.1135,0.0556,0.1131,0.0,0.5387,0.1446,0.953,0.0508,-,-,2.9872
531,Michail Antonio,West Ham,0.1882,1.6982,0.2323,0.48,0.2548,0.1098,-,-,-,0.0,-,-,2.9633
3277,Alexandre Lacazette,Arsenal,0.8283,0.3599,1.132,-,0.0,0.1426,0.0,0.2396,-,0.0,0.2338,-,2.9362
618,Raheem Sterling,Manchester City,0.0685,0.3383,0.3646,0.3683,0.3298,0.0786,0.0394,0.0909,-,1.1476,-,-,2.826
1736,Oliver McBurnie,Sheffield United,0.111,0.0,0.0,0.0094,0.7258,0.1073,0.0,0.0,0.4834,1.1012,0.2803,-,2.8184
6854,Diogo Jota,Liverpool,-,-,0.4636,0.1139,0.1011,0.3194,0.3893,0.1813,0.9565,0.1053,0.0,-,2.6304
7722,Trézéguet,Aston Villa,0.1304,0.0411,0.0258,0.0952,0.1371,0.2678,0.1074,1.0097,0.714,-,-,-,2.5285
5956,Youri Tielemans,Leicester,0.0407,0.0392,0.7612,0.0,0.0716,0.0,1.3536,0.0882,0.013,0.0966,0.0456,-,2.5097
5556,Ademola Lookman,Fulham,-,-,-,0.0,0.2147,0.238,0.1341,0.8484,0.0385,0.8647,0.0576,-,2.396
4105,Raúl Jiménez,Wolverhampton Wanderers,1.0222,0.3573,0.1228,0.1654,0.0843,0.2977,0.0769,0.0,0.2341,0.0,-,-,2.3607
750,Riyad Mahrez,Manchester City,-,0.0979,0.1154,0.3765,0.2156,0.0977,-,0.0114,1.2643,0.0756,-,-,2.2544
2249,James Rodríguez,Everton,0.1825,0.0304,0.1806,1.2048,0.0547,0.1921,-,0.0,0.1855,0.06,0.1178,-,2.2084
7322,Bukayo Saka,Arsenal,-,0.1683,-,0.4477,0.435,0.1909,0.0675,0.0,0.2911,0.434,0.0854,-,2.1199
6827,Bobby Reid,Fulham,0.0055,0.2815,0.0471,0.0,-,0.0,1.1352,0.108,0.5175,0.0,0.0,-,2.0948
2381,Rodrigo,Leeds,0.0,0.0,0.1185,0.7105,0.1637,0.2289,-,-,0.1322,0.5178,0.0,0.2053,2.0769
4381,Mateusz Klich,Leeds,0.0732,0.7612,0.0192,0.0,0.0,0.051,0.0128,0.0,0.1629,0.2082,0.0,0.7798,2.0683
318,Pierre-Emerick Aubameyang,Arsenal,0.2826,0.0473,0.0,0.071,0.0,0.125,0.8254,0.0,0.2391,0.2628,0.1874,-,2.0406
7236,Leander Dendoncker,Wolverhampton Wanderers,0.0,0.0,-,0.0816,0.0,0.0,0.4518,0.2737,0.3181,0.6938,0.1701,-,1.9891
8291,Daniel Podence,Wolverhampton Wanderers,0.0,0.1892,-,0.0,0.3715,0.1458,0.4884,0.0,0.2069,0.5107,0.0642,-,1.9767
6144,Sébastien Haller,West Ham,0.1435,0.0,0.1303,0.0,-,0.0,0.0,0.1778,0.9587,0.0,0.1503,0.4119,1.9725
239,Pascal Groß,Brighton,0.0,-,0.039,0.0,0.0,0.0,0.0,0.2047,0.0,0.7612,0.9515,-,1.9564
6441,Ferrán Torres,Manchester City,0.0,0.0156,0.1713,-,-,1.2533,0.0,0.1751,0.2153,-,-,-,1.8306
3683,Ivan Cavaleiro,Fulham,0.0,0.0,0.0883,0.0,0.0,-,0.0,0.0203,0.8602,0.8005,0.0418,-,1.8111
6382,Pedro Neto,Wolverhampton Wanderers,0.0,0.0854,0.03,0.1198,0.0385,0.2297,0.0,0.0724,0.571,0.5667,0.0,-,1.7135
8720,Jack Harrison,Leeds,0.0582,0.1032,0.0,-,0.0456,0.1331,0.0496,0.0224,0.0153,1.1006,0.1491,0.0,1.6771
6055,Phil Foden,Manchester City,0.5035,0.0,0.2106,0.7508,0.0961,0.0,-,0.0,0.0902,-,-,-,1.6512
502,Olivier Giroud,Chelsea,-,-,0.0,-,-,-,0.0,0.0,0.0,0.051,1.5674,-,1.6184
964,Kyle Bartley,West Bromwich Albion,0.0,0.0,0.5151,0.0,-,-,-,0.0,0.1167,0.8194,0.1253,-,1.5765
5543,Gabriel Jesus,Manchester City,0.2359,-,-,-,-,-,0.7127,0.4084,0.2149,0.0,-,-,1.5719
7991,Aaron Connolly,Brighton,0.3928,0.1615,0.0327,0.0,0.0,-,-,0.0,-,0.389,0.5772,-,1.5532
7708,John Lundstram,Sheffield United,0.0,0.7612,0.5129,0.0119,0.0215,0.0,0.067,0.0222,0.0712,0.0717,0.0,-,1.5396
7490,Mason Greenwood,Manchester United,0.3206,0.0652,0.0913,-,0.0,0.1153,-,-,0.3683,0.5661,-,-,1.5268
592,Ross Barkley,Aston Villa,-,-,0.797,0.211,0.0838,0.0814,0.3425,0.0,-,-,-,-,1.5157
3294,Edinson Cavani,Manchester United,-,-,-,-,0.1662,0.0,0.4181,0.1544,0.7482,0.0,-,-,1.4869
7712,Billy Sharp,Sheffield United,0.6307,-,0.0536,0.0,0.7612,-,-,-,-,-,-,-,1.4455
1726,Abdoulaye Doucouré,Everton,0.0,0.0,0.1367,0.0,0.014,0.0142,0.14,0.1966,0.5785,0.3489,0.0,-,1.4289
771,Georginio Wijnaldum,Liverpool,0.2245,0.8988,0.0588,0.0,0.0,0.1171,0.0,0.0,0.0,0.0,0.1248,-,1.424
7768,Mason Mount,Chelsea,0.0102,0.0125,0.31,-,0.1368,0.0,0.101,0.2088,0.391,0.0674,0.1733,-,1.411
7698,Leandro Trossard,Brighton,0.0165,0.0656,0.8915,0.2047,0.0263,0.0739,0.0516,-,-,0.0228,0.0296,-,1.3825
1024,Tyrone Mings,Aston Villa,0.0147,0.4672,0.0,0.0,0.0,0.455,0.0,0.4255,0.0,-,-,-,1.3624
503,Theo Walcott,Southampton,-,-,-,-,0.0552,-,0.053,0.2276,0.8385,0.071,0.0844,-,1.3297
5681,Giovani Lo Celso,Tottenham,-,0.0935,0.2946,-,-,0.0234,0.0501,0.4855,0.3569,0.0,0.0,-,1.304
5220,Kai Havertz,Chelsea,0.0,0.0,0.1004,0.0203,0.5571,0.0,0.0371,-,-,0.0,0.5666,-,1.2815
