team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
Zenit St. Petersburg,0.4649,0.5377,0.6167,0.1174,0.3954,0.6706,0.4911,0.775,0.298,0.8599,0.4843,0.3137,0.6164,0.5197,0.1052,0.6776,0.7423,0.246,0.6872,0.3686,0.8891,0.5303,0.2672,0.6717,0.7544,0.6833,0.0851,0.5833,0.3177,0.8038,15.5736
Lokomotiv Moscow,0.1785,0.3052,0.6077,0.819,0.1541,0.4012,0.2457,0.502,0.5219,0.7951,0.5425,0.474,0.4007,0.6779,0.1535,0.4385,0.8433,0.7923,0.3775,0.2082,0.4975,0.6126,0.0681,0.883,0.6666,0.7292,0.7937,0.0279,0.8476,0.1996,14.7646
CSKA Moscow,0.3335,0.0499,0.8852,0.1809,0.6466,0.5787,0.7528,0.1277,0.601,0.6003,0.793,0.6269,0.4288,0.3755,0.4227,0.0706,0.1648,0.8013,0.9184,0.0438,0.656,0.0472,0.6855,0.0257,0.2138,0.8238,0.3429,0.1138,0.8724,0.7086,13.8921
FK Akhmat,0.8468,0.5232,0.4363,0.5885,0.2435,0.0173,0.7536,0.2161,0.6671,0.15,0.6946,0.5364,0.1438,0.2295,0.7741,0.8528,0.2868,0.7779,0.0411,0.0139,0.442,0.0313,0.8526,0.0054,0.8732,0.3888,0.0998,0.6079,0.5566,0.5389,13.1898
Rubin Kazan,0.2159,0.1522,0.3597,0.3407,0.4536,0.7606,0.9191,0.4208,0.3054,0.7519,0.117,0.8488,0.0813,0.9327,0.2158,0.3015,0.8317,0.1052,0.4509,0.8406,0.4295,0.3294,0.0959,0.1924,0.2083,0.4386,0.51,0.6488,0.571,0.1677,12.997
Spartak Moscow,0.0476,0.4763,0.3275,0.0883,0.7895,0.0929,0.0914,0.8935,0.6509,0.362,0.416,0.6771,0.1628,0.5286,0.4007,0.7845,0.3433,0.5314,0.2179,0.6346,0.5869,0.9164,0.3654,0.1818,0.387,0.0837,0.3615,0.6389,0.6418,0.0602,12.7404
FC Rostov,0.1917,0.7031,0.7887,0.5097,0.619,0.8046,0.2984,0.5438,0.2355,0.1377,0.3247,0.2309,0.3827,0.2949,0.4205,0.0932,0.1506,0.4082,0.1158,0.126,0.056,0.7387,0.3908,0.0955,0.4338,0.8507,0.49,0.8821,0.0676,0.6445,12.0294
FC Krasnodar,0.5241,0.6867,0.0401,0.4817,0.4114,0.2026,0.315,0.7414,0.6871,0.3945,0.3857,0.2063,0.1562,0.2538,0.144,0.2458,0.0534,0.6445,0.4806,0.288,0.1824,0.7114,0.698,0.596,0.3159,0.5586,0.2949,0.4952,0.0674,0.1745,11.4372
Dinamo Moscow,0.1447,0.4326,0.1214,0.4998,0.1062,0.2756,0.1382,0.4023,0.6183,0.359,0.6555,0.0697,0.6186,0.0678,0.5583,0.4261,0.2025,0.1943,0.7597,0.4238,0.2436,0.7635,0.4759,0.1853,0.0344,0.0824,0.592,0.8212,0.5492,0.3969,11.2188
Amkar,0.018,0.189,0.3186,0.4957,0.8456,0.4702,0.2358,0.3309,0.3218,0.5117,0.7463,0.5142,0.6995,0.1495,0.4646,0.2396,0.1295,0.1787,0.1202,0.2905,0.512,0.0053,0.15,0.2731,0.0496,0.1653,0.7411,0.104,0.1021,0.7979,10.1703
Tosno,0.3959,0.2414,0.2078,0.1446,0.0147,0.519,0.8684,0.8027,0.4508,0.3564,0.0284,0.7995,0.4217,0.1661,0.0989,0.1955,0.0476,0.1682,0.006,0.0877,0.6924,0.5803,0.6336,0.1284,0.4198,0.2323,0.0377,0.2718,0.5349,0.0003,9.5528
FC Ufa,0.3514,0.1972,0.2785,0.3387,0.0882,0.0718,0.1131,0.3562,0.1068,0.0063,0.5368,0.1664,0.712,0.1716,0.4421,0.125,0.1813,0.151,0.7617,0.3793,0.2065,0.1042,0.217,0.2697,0.3332,0.2045,0.4207,0.7172,0.2774,0.7525,9.0383
Ural,0.5835,0.5544,0.0988,0.1072,0.1402,0.0989,0.7166,0.2613,0.3493,0.3024,0.4393,0.1599,0.2561,0.0308,0.1629,0.4842,0.139,0.2197,0.0464,0.1777,0.372,0.0369,0.5396,0.3739,0.0625,0.2555,0.5318,0.5261,0.5344,0.2429,8.8042
Anzhi Makhachkala,0.0659,0.6446,0.0554,0.2581,0.2329,0.0987,0.4953,0.3323,0.3847,0.0036,0.0809,0.1034,0.2276,0.2376,0.4071,0.4554,0.397,0.0919,0.7434,0.0703,0.5352,0.3918,0.7138,0.5824,0.0093,0.0392,0.3378,0.1023,0.602,0.0509,8.7508
Arsenal Tula,0.4187,0.7777,0.0831,0.1594,0.0717,0.2702,0.1209,0.742,0.1594,0.0797,0.1818,0.4561,0.4958,0.0878,0.8049,0.1454,0.2803,0.0432,0.1236,0.4704,0.3795,0.314,0.0736,0.0126,0.305,0.3024,0.0936,0.2724,0.0187,0.8995,8.6434
SKA-Khabarovsk,0.147,0.1854,0.0149,0.0773,0.1992,0.4156,0.4281,0.1074,0.0583,0.2174,0.2476,0.2637,0.2614,0.2765,0.0077,0.1562,0.0022,0.0105,0.009,0.0873,0.5889,0.0172,0.106,0.2224,0.0508,0.4334,0.2488,0.212,0.2887,0.0004,5.3413
