id,name,team,1,2,3,4,5,total
3461,Majeed Waris,Strasbourg,0.057,0.0383,0.4662,0.0,0.0095,0.571
2549,Gaël Kakuta,Lens,0.0436,0.0,0.0635,0.3456,0.1163,0.569
6401,Amine Gouiri,Nice,0.1596,0.0,0.0409,0.1746,0.1769,0.552
7773,Zinedine Ferhat,Nimes,0.0285,0.0768,0.1665,0.0931,0.1625,0.5274
4773,Benjamin Bourigeaud,Rennes,0.0,0.0552,0.3309,0.1412,0.0,0.5273
7913,Lamine Fomba,Nimes,0.0,-,0.0916,0.4251,0.0,0.5167
8685,Mohamed Ali-Cho,Angers,-,0.0,-,0.0,0.515,0.515
6863,Téji Savanier,Montpellier,0.048,0.1309,0.1575,0.0569,0.1182,0.5115
3309,Valère Germain,Marseille,0.0,0.0,0.0,0.5027,0.0,0.5027
3463,Romain Philippoteaux,Nimes,0.4123,0.0889,0.0,-,-,0.5012
152,Julian Draxler,Paris Saint Germain,-,0.0,0.5008,0.0,-,0.5008
3244,Nicolas de Preville,Bordeaux,0.0,0.3271,0.0283,0.0276,0.1138,0.4968
5684,Arnaud Nordin,Saint-Etienne,0.3007,0.038,0.0413,0.0365,0.0707,0.4872
1524,Stevan Jovetic,Monaco,-,0.0,0.0266,0.0,0.4578,0.4844
6314,Joachim Andersen,Lyon,0.0,0.2022,0.2789,-,-,0.4811
5762,Pierre-Yves Hamel,Lorient,0.3909,0.0,-,0.0,0.0831,0.474
3561,Romain Hamouma,Saint-Etienne,0.367,0.0,0.0843,0.0,0.0,0.4513
6864,Renaud Ripart,Nimes,0.0,0.2458,0.0318,0.0762,0.0973,0.4511
5769,Habib Diallo,Metz,0.0916,0.0,0.3549,-,0.0,0.4465
5743,Randal Kolo Muani,Nantes,-,0.1239,0.075,0.1049,0.1343,0.4381
3423,Kylian Mbappe-Lottin,Paris Saint Germain,-,-,-,0.432,-,0.432
5725,Jordan Marié,Dijon,0.4267,0.0,0.0,0.0,0.0,0.4267
8657,Jeremy Le Douaron,Brest,0.0597,0.0,0.0,0.0,0.3629,0.4226
4242,Stefan Mitrovic,Strasbourg,0.0,-,0.0305,0.3862,0.0,0.4167
3463,Romain Philippoteaux,Brest,0.4123,-,-,-,0.0,0.4123
4932,Pietro Pellegri,Monaco,-,-,0.3947,-,-,0.3947
8023,Mounir Chouiar,Dijon,0.0,0.0691,-,0.0,0.3114,0.3805
552,Ander Herrera,Paris Saint Germain,0.129,0.0719,0.0909,0.087,-,0.3788
7749,Rayan Philippe,Dijon,0.0,0.0,0.0586,0.3181,-,0.3767
5611,Martin Terrier,Rennes,0.0984,0.0266,-,0.2511,0.0,0.3761
3549,Adrien Thomasson,Strasbourg,0.0073,0.0,0.2766,0.0888,0.0,0.3727
3475,Ludovic Blas,Nantes,0.0,0.0,0.3039,0.0,0.0628,0.3667
7178,Valon Berisha,Reims,0.2705,0.0,0.0475,0.0463,-,0.3643
8294,El Bilal Touré,Reims,0.3623,0.0,0.0,0.0,-,0.3623
6869,Antonin Bobichon,Angers,-,0.0193,0.2345,0.1062,0.0,0.36
6332,Willem Geubbels,Monaco,0.0,0.0,0.3417,0.0159,-,0.3576
2413,Steven N'Zonzi,Rennes,0.0175,0.0,0.0495,0.2867,0.0,0.3537
5661,Jonathan Ikone,Lille,0.0326,0.0379,0.18,0.0,0.0968,0.3473
4849,Sada Thioub,Angers,0.22,0.0248,0.0,0.0541,0.0477,0.3466
1064,Sylvain Marveaux,Lorient,0.311,0.0,0.0282,-,-,0.3392
7850,Henry Onyekuru,Monaco,0.1123,0.0,0.2265,0.0,-,0.3388
8094,Mathis Cherki,Lyon,0.164,0.0,0.0,0.0612,0.1012,0.3264
8702,Tinotenda Kadewere,Lyon,-,0.1973,0.0646,0.0622,0.0,0.3241
8629,Aurelien Scheidler,Dijon,0.1882,0.119,-,0.0,-,0.3072
6112,Andrei Girotto,Nantes,0.0136,0.244,0.0,0.0462,0.0,0.3038
5963,Thomas Monconduit,Lorient,-,-,-,0.2977,0.0,0.2977
8658,Heriberto Tavares,Brest,0.0,0.296,-,-,-,0.296
6251,Wilfried Kanga,Angers,0.29,0.0,-,-,-,0.29
3118,Damien Le Tallec,Montpellier,0.1416,0.0,0.061,0.0,0.0859,0.2885
6884,Remi Oudin,Bordeaux,0.0,0.0,0.0609,0.0924,0.1261,0.2794
7397,Arbër Zeneli,Reims,0.0905,0.0,0.0,0.185,-,0.2755
8026,Raphinha,Rennes,0.0404,0.1858,0.0,0.0183,0.0216,0.2661
5619,Pierre Lees-Melou,Nice,0.0208,0.0,0.0345,0.0401,0.1694,0.2648
7012,Gelson Martins,Monaco,0.2482,0.0,0.0,0.0,-,0.2482
6239,Junior Sambia,Montpellier,0.0,0.0,0.0,0.2448,0.0,0.2448
6881,Thomas Fontaine,Lorient,-,-,-,0.2439,0.0,0.2439
6128,Kévin Zohi,Strasbourg,0.0548,0.0,0.1599,-,0.0284,0.2431
8665,Loic Bade,Lens,0.1234,0.0,0.1169,-,0.0,0.2403
3314,Franck Honorat,Brest,0.0427,0.0,-,0.1953,0.0,0.238
3507,Vincent Pajot,Metz,0.2327,0.0,0.0,0.0,-,0.2327
686,Cesc Fàbregas,Monaco,-,-,0.1846,0.0,0.048,0.2326
6846,Sofiane Diop,Monaco,0.0797,0.0,0.088,0.0142,0.0496,0.2315
5686,Digbo Maiga,Metz,0.0,0.0402,0.0,0.0,0.1905,0.2307
6500,Romain Perraud,Brest,-,0.0494,0.0907,0.0812,0.0,0.2213
536,Dimitri Payet,Marseille,-,0.0,0.0,0.0552,0.1654,0.2206
7762,Jean-Ricner Bellegarde,Strasbourg,0.0224,0.0169,0.0865,0.0947,0.0,0.2205
8327,Bruno Guimarães,Lyon,0.1027,0.0297,0.0,0.0536,0.0333,0.2193
3223,Benjamin André,Lille,0.0,0.1645,0.0,0.0482,0.0,0.2127
148,Dante,Nice,0.0,0.0,0.0873,0.1202,0.0,0.2075
3495,Pierrick Capelle,Angers,0.0,0.0,0.1355,0.0507,0.0201,0.2063
5635,Faitout Maouassa,Rennes,0.1291,0.0648,0.0115,0.0,-,0.2054
93,Marcelo,Lyon,0.0,0.0,0.2016,0.0,0.0,0.2016
8648,Fraser Hornby,Reims,-,0.1597,0.0397,-,-,0.1994
8664,Facundo Medina,Lens,0.0797,0.0,0.0873,0.0323,0.0,0.1993
7484,Stephy Mavididi,Montpellier,-,0.0835,0.0,0.1138,0.0,0.1973
8049,Jean-Kevin Duverne,Brest,0.0,0.0863,0.0,0.0322,0.071,0.1895
2430,Álvaro González,Marseille,-,0.0,0.047,0.0119,0.1284,0.1873
2291,Pape Cheikh,Dijon,0.0,-,0.105,-,0.0771,0.1821
5975,Kenny Lala,Strasbourg,0.0,0.0604,0.0562,0.0625,0.0,0.1791
1752,Fabio,Nantes,0.0,0.0,-,0.0882,0.0853,0.1735
8656,Birger Meling,Nimes,0.088,0.0,0.0625,-,0.0217,0.1722
3542,Damien Da Silva,Rennes,0.1502,0.0121,0.0091,0.0,0.0,0.1714
6945,Youssouf Fofana,Monaco,0.0402,0.0,-,0.0889,0.0409,0.17
7736,Brendan Chardonnet,Brest,0.1674,-,0.0,0.0,-,0.1674
6905,Ludovic Ajorque,Strasbourg,0.0432,0.0705,0.0,0.0,0.0416,0.1553
3477,Jimmy Briand,Bordeaux,0.0,0.0,0.0,0.0,0.1542,0.1542
6061,Quentin Boisgard,Lorient,0.09,0.0277,0.0331,0.0,-,0.1508
3370,Issiaga Sylla,Lens,0.0,0.0,0.0,0.1479,0.0,0.1479
8668,Tony Mauricio,Lens,0.0546,0.0,0.0903,0.0,-,0.1449
2897,Aleksandr Golovin,Monaco,0.1416,0.0,-,-,-,0.1416
494,Laurent Koscielny,Bordeaux,0.0,0.0,0.0,0.1396,0.0,0.1396
8703,Sinaly Diomande,Lyon,-,-,-,0.0099,0.1296,0.1395
8318,Moussa Koné,Nimes,0.1376,0.0,0.0,-,-,0.1376
4883,Bruno Ecuele Manga,Dijon,0.0,0.0,0.094,0.0,0.0435,0.1375
7557,Yassin Benrahou,Nimes,0.1083,0.0,0.0284,-,0.0,0.1367
3325,Yannick Cahuzac,Lens,0.0936,0.0,0.0,0.0,0.0408,0.1344
4904,Adrián Cubas,Nimes,0.0,0.068,0.0378,0.0,0.0282,0.134
3740,Lucas Deaux,Nimes,0.0,0.0369,0.0902,-,-,0.1271
5978,Dmitri Lienard,Strasbourg,-,0.0,0.1017,0.0,0.0231,0.1248
8639,Brandon Soppy,Rennes,0.0182,0.0138,0.0,-,0.0877,0.1197
8004,Dereck Kutesa,Reims,0.0,0.0,0.0917,0.0275,-,0.1192
83,Kevin Volland,Monaco,-,-,0.1185,0.0,0.0,0.1185
7316,Charles Nathan Abi,Saint-Etienne,-,0.0,0.1175,-,-,0.1175
8056,Arnaud Kalimuendo Muinga,Paris Saint Germain,0.1166,-,-,-,-,0.1166
8697,Jonathan Clauss,Lens,-,-,0.0,0.0212,0.0914,0.1126
3412,Léo Dubois,Lyon,0.0431,0.0,0.0,0.0,0.0692,0.1123
7774,Haris Duljevic,Nimes,-,0.0569,-,0.0524,-,0.1093
668,Idrissa Gueye,Paris Saint Germain,0.0,0.0702,0.039,0.0,-,0.1092
6489,Steven Fortes,Lens,-,-,-,0.1084,0.0,0.1084
5731,Mateo Pavlovic,Angers,-,-,0.0,0.1064,0.0,0.1064
3490,Thomas Mangani,Angers,0.0,0.0115,0.02,0.0152,0.0596,0.1063
3673,Valentin Rongier,Marseille,0.0,0.0134,0.0622,0.0277,0.0,0.1033
3305,Paul Baysse,Bordeaux,0.0,0.0,0.1014,0.0,-,0.1014
7687,Jean Lucas,Lyon,-,-,0.0171,0.0456,0.0386,0.1013
4811,Jean Eudes Aholou,Monaco,0.0989,0.0,-,-,-,0.0989
6006,Ruben Aguilar,Monaco,0.0,0.0,0.0,0.0,0.0976,0.0976
3239,Hamari Traore,Rennes,-,-,0.0,0.0,0.0958,0.0958
834,José Fonte,Lille,0.0,0.0597,0.0225,0.0122,0.0,0.0944
8316,Roger Assalé,Dijon,-,-,0.0,-,0.0929,0.0929
7760,Abdoul Kader Bamba,Nantes,0.0925,0.0,0.0,0.0,0.0,0.0925
5773,Zaydou Youssef,Saint-Etienne,-,0.0536,0.0,0.0388,0.0,0.0924
8646,Wout Faes,Reims,0.0913,0.0,0.0,-,-,0.0913
5647,Arnaud Souquet,Montpellier,0.0522,0.0,0.0,0.0382,-,0.0904
8278,Papa Ndiaga Yade,Metz,0.0492,0.0,-,0.0,0.0383,0.0875
7278,Imran Louza,Nantes,0.0,0.0,-,-,0.0867,0.0867
3786,Mathieu Cafaro,Reims,0.0,0.0181,0.0431,0.0203,-,0.0815
1056,Jeff Reine-Adelaide,Lyon,0.0808,-,-,-,-,0.0808
7756,Yusuf Yazici,Lille,0.0,0.0795,0.0,-,0.0,0.0795
4403,Mehdi Abeid,Nantes,-,0.0,-,0.0793,0.0,0.0793
5228,Renato Sanches,Lille,0.0345,-,-,0.0,0.0417,0.0762
5761,Youssef Maziz,Metz,-,-,0.0699,-,-,0.0699
3512,Nolan Roux,Nimes,-,-,0.0251,0.0083,0.0355,0.0689
3729,Hassane Kamara,Nice,0.0,0.026,0.0136,0.0,0.0289,0.0685
6907,Colin Dagba,Paris Saint Germain,0.0,0.0,0.0682,0.0,-,0.0682
3479,Marcus Coco,Nantes,0.0,0.0,-,0.0399,0.0281,0.068
5947,Mihailo Ristic,Montpellier,0.0,0.0198,0.0,0.0,0.0473,0.0671
7551,Mohamed Simakan,Strasbourg,0.0,0.0,0.0,0.0668,0.0,0.0668
6674,Rayan Ait Nouri,Angers,-,-,-,0.0665,0.0,0.0665
6861,Anthony Briancon,Nimes,-,-,0.0656,0.0,0.0,0.0656
5655,Flavien Tait,Rennes,0.065,-,0.0,0.0,0.0,0.065
1022,Pedro Chirivella,Nantes,0.0165,0.0477,0.0,0.0,0.0,0.0642
8151,Hianga'a M'Bock,Brest,0.0,0.0494,0.014,0.0,-,0.0634
3298,Layvin Kurzawa,Paris Saint Germain,0.0613,0.0,-,-,-,0.0613
8652,Stéphane Diarra,Lorient,0.0,0.0607,0.0,0.0,-,0.0607
4501,Thierry Ambrose,Metz,0.0,-,0.0,0.0606,-,0.0606
6878,Youcef Atal,Nice,-,-,0.0,0.0601,-,0.0601
1126,M'Baye Niang,Rennes,0.0594,-,-,-,-,0.0594
6947,Samuel Kalu,Bordeaux,0.0,0.0,0.0,0.0347,0.0245,0.0592
5732,Abdoulaye Bamba,Angers,0.0,0.0,0.0,0.0559,0.0,0.0559
5654,Baptiste Santamaria,Angers,0.0136,0.0,0.0416,-,-,0.0552
3275,Jordan Ferri,Montpellier,0.0,0.032,0.0,0.0,0.0213,0.0533
3677,Wesley Lautoa,Dijon,0.0,0.0,0.0,0.0524,0.0,0.0524
6060,Otávio,Bordeaux,0.0199,0.0,0.0,0.0313,0.0,0.0512
8671,Manuel Perez,Lens,-,0.0,0.0511,-,0.0,0.0511
6018,Samuel Moutoussamy,Nantes,0.0506,-,-,-,-,0.0506
5752,Alexis Claude Maurice,Nice,0.0,-,0.0502,-,0.0,0.0502
6862,Florian Miguel,Nimes,0.0,-,-,0.0495,0.0,0.0495
1932,Sanjin Prcic,Strasbourg,0.0,-,-,0.0289,0.0171,0.046
3357,Djibril Sidibe,Monaco,-,0.0,-,0.0459,-,0.0459
3488,Romain Thomas,Angers,0.0,0.0455,0.0,-,-,0.0455
3599,Presnel Kimpembe,Paris Saint Germain,0.0,0.0,0.0,0.0423,-,0.0423
8689,Yvan Neyou,Saint-Etienne,0.0288,0.0133,0.0,0.0,0.0,0.0421
7739,Joris Chotard,Montpellier,0.0416,0.0,0.0,0.0,-,0.0416
8640,Adrien Truffert,Rennes,-,-,-,0.0415,-,0.0415
1720,Didier Ndong,Dijon,0.0,0.0,0.0414,0.0,0.0,0.0414
8690,Jean-Phillipe Krasso,Saint-Etienne,0.0,-,-,-,0.0409,0.0409
6762,Yacine Adli,Bordeaux,-,-,0.0405,0.0,0.0,0.0405
7358,Souleyman Doumbia,Angers,0.0,0.0235,0.0166,-,-,0.0401
4804,Abdou Diallo,Paris Saint Germain,0.0,-,0.04,-,-,0.04
8314,Yvann Maçon,Saint-Etienne,0.0,0.0,0.0,0.0194,0.0177,0.0371
5745,Matthieu Udol,Metz,0.0,0.0,-,0.0368,0.0,0.0368
6883,Xavier Chavalerin,Reims,0.0,0.0,0.0366,0.0,-,0.0366
8006,Evann Guessand,Nice,0.0,-,-,0.0358,0.0,0.0358
5789,Boubacar Kamara,Marseille,0.0,0.0,0.0,0.0203,0.015,0.0353
3464,Vincent Le Goff,Lorient,0.0,0.0,0.0,0.0,0.0335,0.0335
8190,Melvin Bard,Lyon,0.0,-,0.0,0.0,0.0322,0.0322
7734,Cristian Battocchio,Brest,0.0,-,0.031,0.0,0.0,0.031
3271,Jérémy Morel,Lorient,0.0,0.0,0.0,0.0309,0.0,0.0309
2063,Timothée Kolodziejczak,Saint-Etienne,0.0,0.0189,0.0,0.0,0.0118,0.0307
5774,Clement Michelin,Lens,0.0303,0.0,0.0,-,-,0.0303
