id,name,team,1,2,3,4,5,6,7,8,9,total
5963,Thomas Monconduit,Lorient,-,-,-,0.0,0.0831,0.1159,0.0,0.0,0.0,0.199
7739,Joris Chotard,Montpellier,0.0168,0.0,0.0,0.1138,-,0.0,0.0,0.0,0.0684,0.199
7760,Abdoul Kader Bamba,Nantes,0.0296,0.0,0.0,0.0817,0.0867,0.0,0.0,0.0,-,0.198
3275,Jordan Ferri,Montpellier,0.0359,0.054,0.0,0.0119,0.0729,0.0,0.0,0.0092,0.0129,0.1968
3325,Yannick Cahuzac,Lens,0.0392,0.0,0.0,0.117,0.0,0.0365,0.0,-,-,0.1927
3223,Benjamin André,Lille,0.0443,0.0,0.016,0.0731,0.0,0.0345,0.0,0.0,0.0233,0.1912
8657,Jeremy Le Douaron,Brest,0.0165,0.0,0.0573,0.0,0.0796,0.0329,0.0,0.0,0.0,0.1863
5786,Yoane Wissa,Lorient,0.0,0.0,0.0772,0.0114,0.0,0.0272,0.0682,0.0,0.0,0.184
6011,Thiago Mendes,Lyon,-,0.0457,-,-,0.021,0.0721,0.0,0.0,0.0451,0.1839
5654,Baptiste Santamaria,Angers,0.0,0.0244,0.1536,-,-,-,-,-,-,0.178
3512,Nolan Roux,Nimes,-,-,0.0916,0.0,0.0858,0.0,0.0,-,0.0,0.1774
8667,Ismael Boura,Lens,0.0419,0.0,0.0,0.0658,0.0,-,0.0654,-,-,0.1731
3475,Ludovic Blas,Nantes,0.0,0.0,0.0,0.0,0.0281,0.0767,0.0651,0.0,-,0.1699
8676,Aníbal Chalá,Dijon,-,0.0,0.1057,0.0,0.0601,0.0,0.0,-,-,0.1658
8746,Aïmen Moueffek,Saint-Etienne,-,-,0.0,0.0211,0.0,-,-,0.0983,0.0409,0.1603
834,José Fonte,Lille,0.0,0.0,0.0,0.0482,0.0481,0.0245,0.0,0.0392,0.0,0.16
8166,Mehdi Zerkane,Bordeaux,0.0,-,-,-,-,0.1587,0.0,0.0,0.0,0.1587
668,Idrissa Gueye,Paris Saint Germain,0.0162,0.0,0.0,0.0,-,0.0,0.0498,-,0.0906,0.1566
8666,Cheick Oumar Doucoure,Lens,0.0,0.0,0.1203,0.0,0.0,0.0,0.0348,-,-,0.1551
6148,Michaël Cuisance,Marseille,-,-,-,-,-,-,0.0833,0.0707,-,0.154
8316,Roger Assalé,Dijon,-,-,0.0,-,0.1511,0.0,-,-,0.0,0.1511
8969,Florentino Luís,Monaco,-,-,-,-,-,0.062,0.0786,0.0,-,0.1406
6885,Axel Disasi,Monaco,0.0163,0.0,0.1236,0.0,0.0,-,-,0.0,0.0,0.1399
7755,Domagoj Bradaric,Lille,0.0,0.0,0.1399,0.0,0.0,0.0,0.0,0.0,-,0.1399
3464,Vincent Le Goff,Lorient,0.0,0.0,0.0138,0.0,0.1234,0.0,-,-,-,0.1372
943,Massadio Haidara,Lens,-,-,-,-,-,0.1363,0.0,-,-,0.1363
5803,Fode Toure,Monaco,0.0385,-,0.0,-,0.0976,-,-,-,-,0.1361
7774,Haris Duljevic,Nimes,-,0.0781,-,0.0579,-,-,-,-,-,0.136
5623,Lois Diony,Angers,-,-,0.0,0.0397,0.0958,0.0,0.0,0.0,0.0,0.1355
8025,Kasper Dolberg,Nice,0.0,0.0,0.0136,-,0.0,0.0892,-,0.0,0.0322,0.135
7511,Sacha Boey,Rennes,0.0,-,-,-,-,0.1333,-,-,-,0.1333
7732,Haris Belkebla,Brest,0.0,0.0,0.0,0.0,0.0,0.1088,0.022,0.0,0.0,0.1308
7511,Sacha Boey,Dijon,-,-,-,-,-,-,-,0.0806,0.0496,0.1302
7998,Ngonda Muzinga,Dijon,0.0,-,-,-,0.0699,-,0.0,0.059,0.0,0.1289
3265,Pablo,Bordeaux,-,-,-,0.0,0.0,0.0,0.1275,0.0,0.0,0.1275
5621,Frederic Sammaritano,Dijon,0.0,0.0117,0.0,0.0192,0.0,0.0,0.091,-,-,0.1219
5587,Josh Maja,Bordeaux,0.0,0.0,0.0165,0.0,0.0361,0.0,0.0668,0.0,-,0.1194
1752,Fabio,Nantes,0.0136,0.0,-,0.0389,0.066,0.0,0.0,-,-,0.1185
4501,Thierry Ambrose,Metz,0.0,-,0.0,0.0,-,0.1176,-,-,-,0.1176
5650,Patrick Burner,Nimes,-,-,-,-,0.0,0.0134,0.0108,0.0,0.0933,0.1175
5677,Florent Mollet,Montpellier,0.1008,-,0.0,0.0,0.0,0.0,0.0,0.0109,0.0,0.1117
8997,Terem Igobor Moffi,Lorient,-,-,-,-,-,-,0.0,0.088,0.0209,0.1089
6318,Lionel Carole,Strasbourg,0.0,0.0,-,0.0289,0.0,0.0,0.0,0.0,0.0779,0.1068
8652,Stéphane Diarra,Lorient,0.0,0.0101,0.0282,0.0,-,0.0203,-,0.0454,0.0,0.104
3638,Hatem Ben Arfa,Bordeaux,-,-,-,-,-,-,0.0,0.1032,0.0,0.1032
2291,Pape Cheikh,Dijon,0.009,-,0.0155,-,0.0,0.0421,0.0,0.0,0.0362,0.1028
3322,Alexander Djiku,Strasbourg,0.0,0.0,0.0,0.0,0.0,0.1023,-,0.0,-,0.1023
5988,Ibrahima Niane,Metz,0.0,0.0,0.0,0.0,0.0,0.1007,-,-,-,0.1007
8049,Jean-Kevin Duverne,Brest,0.0,0.0,0.0,0.0,0.0828,0.0,0.0178,0.0,0.0,0.1006
3346,Jonas Martin,Rennes,0.0182,0.0,0.0819,0.0,0.0,0.0,0.0,-,-,0.1001
2387,Danilo,Nice,-,-,-,-,-,-,0.0992,-,-,0.0992
3487,Ismael Traoré,Angers,0.0,0.0134,0.0164,0.0,0.0,0.0,0.0,0.0693,0.0,0.0991
8635,Sven Botman,Lille,0.0,0.0,0.0,0.0,0.0968,0.0,0.0,0.0,0.0,0.0968
7365,Lucas Paquetá,Lyon,-,-,-,-,-,-,0.0,0.0955,0.0,0.0955
3507,Vincent Pajot,Metz,0.0173,0.0544,0.0,0.023,-,0.0,0.0,0.0,-,0.0947
8151,Hianga'a M'Bock,Brest,0.0,0.0,0.0,0.0941,-,-,-,-,0.0,0.0941
8995,Hugo Ekitike,Reims,-,-,-,-,-,-,0.0658,0.0273,-,0.0931
93,Marcelo,Lyon,0.0414,0.0,0.0296,0.0,0.0199,0.0,0.0,0.0,0.0,0.0909
414,Juan Bernat,Paris Saint Germain,0.0,0.0887,0.0,-,-,-,-,-,-,0.0887
4670,Moussa Konate,Dijon,-,-,-,-,-,-,-,0.0886,0.0,0.0886
3673,Valentin Rongier,Marseille,0.0,0.0,0.0165,0.0168,0.0186,0.0,0.0,0.0357,-,0.0876
8094,Mathis Cherki,Lyon,0.0,0.0,0.0,0.087,0.0,0.0,-,-,-,0.087
6947,Samuel Kalu,Bordeaux,0.0,0.0,0.0609,0.0,0.0248,0.0,-,-,-,0.0857
3221,Pedro Mendes,Montpellier,0.0,0.0853,0.0,0.0,0.0,0.0,-,-,0.0,0.0853
8314,Yvann Maçon,Saint-Etienne,0.0,0.0,0.0843,0.0,0.0,0.0,-,-,-,0.0843
5663,Keagan Dolly,Montpellier,0.0,0.0,-,-,-,-,0.0273,0.0561,0.0,0.0834
8647,Thibault De Smet,Reims,-,-,-,-,-,-,0.0516,0.0315,-,0.0831
8186,Nelson Sissoko,Saint-Etienne,-,-,0.0,-,-,0.0583,0.0,0.0238,-,0.0821
3741,Paul Lasne,Brest,-,-,-,-,0.0,0.0821,-,0.0,-,0.0821
8655,Mehdi Chahiri,Strasbourg,0.0432,0.0383,0.0,0.0,0.0,0.0,-,-,-,0.0815
8639,Brandon Soppy,Rennes,0.0,0.0,0.0,-,0.0812,-,-,-,-,0.0812
7151,Thomas Foket,Reims,0.0,-,0.0397,0.0,0.0,0.0,0.0396,0.0,0.0,0.0793
8056,Arnaud Kalimuendo Muinga,Lens,-,0.0609,-,-,-,-,0.0177,-,-,0.0786
