id,name,team,1,2,3,4,5,total
7359,Eduardo Camavinga,Rennes,0.7577,0.4354,0.0,0.1789,0.2031,1.5751
3487,Ismael Traoré,Angers,0.348,0.201,0.6832,0.293,0.0477,1.5729
8639,Brandon Soppy,Rennes,0.6858,0.2837,0.0,-,0.5871,1.5566
8151,Hianga'a M'Bock,Brest,0.0,0.7055,0.5663,0.2794,-,1.5512
6872,Mehmet Zeki Çelik,Lille,0.3338,0.0427,0.1146,0.2213,0.8354,1.5478
5803,Fode Toure,Monaco,0.2694,-,0.6375,-,0.5885,1.4954
3244,Nicolas de Preville,Bordeaux,0.0443,0.9905,0.0,0.0669,0.3936,1.4953
83,Kevin Volland,Monaco,-,-,0.1185,0.0796,1.2885,1.4866
3325,Yannick Cahuzac,Lens,1.0555,0.0,0.0,0.2952,0.129,1.4797
536,Dimitri Payet,Marseille,-,0.0,1.0131,0.1322,0.3281,1.4734
8689,Yvan Neyou,Saint-Etienne,0.2787,0.0,0.2589,0.9215,0.0,1.4591
5745,Matthieu Udol,Metz,0.2451,0.1636,-,0.6675,0.3608,1.437
6012,Luiz Araujo,Lille,0.0152,0.024,0.3124,0.8376,0.244,1.4332
1254,Alessandro Florenzi,Paris Saint Germain,-,1.3392,-,0.0868,-,1.426
7980,Adil Aouchiche,Saint-Etienne,0.1269,0.038,0.2176,0.9797,0.0594,1.4216
6006,Ruben Aguilar,Monaco,0.4615,0.0,0.3022,0.096,0.5561,1.4158
8746,Aïmen Moueffek,Saint-Etienne,-,-,0.4193,0.9814,0.0,1.4007
6560,Aurelien Tchouameni,Monaco,0.2487,0.0351,0.8113,0.11,0.1891,1.3942
6061,Quentin Boisgard,Lorient,1.2513,0.0595,0.0772,0.0,-,1.388
5655,Flavien Tait,Rennes,0.6308,-,0.5847,0.0521,0.1174,1.385
1039,Jason Denayer,Lyon,0.1143,0.1377,0.0187,0.9965,0.1064,1.3736
8310,Mitchel Bakker,Paris Saint Germain,0.0,-,1.0265,0.3418,-,1.3683
7240,Benoit Badiashile Mukinayi,Monaco,0.171,0.0,0.536,0.096,0.5561,1.3591
5980,Stéphane Bahoken,Angers,-,0.1832,0.7768,0.1975,0.1963,1.3538
5611,Martin Terrier,Rennes,0.7184,0.2771,-,0.2755,0.0812,1.3522
152,Julian Draxler,Paris Saint Germain,-,0.0485,1.0425,0.214,-,1.305
5786,Yoane Wissa,Lorient,0.5902,0.0435,0.1053,0.3744,0.1832,1.2966
5979,Idriss Saadi,Strasbourg,0.0548,0.0,0.0,1.1789,0.0563,1.29
6935,Naif Aguerd,Rennes,0.0947,0.2772,0.4955,0.3229,0.0958,1.2861
7551,Mohamed Simakan,Strasbourg,0.0,0.1021,0.4662,0.6662,0.0416,1.2761
7850,Henry Onyekuru,Monaco,0.1399,0.0743,1.0605,0.0,-,1.2747
7746,Hwang Ui-Jo,Bordeaux,0.0168,1.0226,0.0,0.0,0.2287,1.2681
8667,Ismael Boura,Lens,0.8885,0.0,0.3134,0.0658,0.0,1.2677
7760,Abdoul Kader Bamba,Nantes,0.0442,0.0,0.6826,0.3871,0.1475,1.2614
8629,Aurelien Scheidler,Dijon,0.6149,0.188,-,0.4573,-,1.2602
4242,Stefan Mitrovic,Strasbourg,0.0548,-,0.0,1.0903,0.115,1.2601
7328,Maxence Caqueret,Lyon,0.4401,0.6378,0.1047,0.0735,-,1.2561
3521,Dennis Appiah,Nantes,0.0,0.3074,0.3789,0.3646,0.178,1.2289
1513,Mauro Icardi,Paris Saint Germain,-,-,0.739,0.4861,-,1.2251
8656,Birger Meling,Nimes,0.4848,0.1464,0.4968,-,0.0951,1.2231
8094,Mathis Cherki,Lyon,0.164,0.0,0.0727,0.9517,0.0249,1.2133
3221,Pedro Mendes,Montpellier,0.0,0.2206,0.1063,0.2425,0.6425,1.2119
6863,Téji Savanier,Montpellier,0.048,0.4867,0.2236,0.2505,0.1887,1.1975
6902,Toma Basic,Bordeaux,0.0158,0.6073,0.024,0.0,0.5354,1.1825
4849,Sada Thioub,Angers,0.5957,0.1585,0.0169,0.2047,0.2054,1.1812
3463,Romain Philippoteaux,Nimes,0.9408,0.1917,0.0176,-,-,1.1501
93,Marcelo,Lyon,0.07,0.2263,0.0852,0.6906,0.0658,1.1379
5732,Abdoulaye Bamba,Angers,0.348,0.0,0.4766,0.293,0.0174,1.135
3517,Ronael Pierre Gabriel,Brest,0.0427,0.4781,0.0,-,0.6136,1.1344
4904,Adrián Cubas,Nimes,0.4848,0.1048,0.4526,0.0,0.0914,1.1336
6885,Axel Disasi,Monaco,0.171,0.0,0.3283,0.11,0.5226,1.1319
3729,Hassane Kamara,Nice,0.0679,0.026,0.1532,0.6919,0.189,1.128
5619,Pierre Lees-Melou,Nice,0.1411,0.026,0.0546,0.7057,0.2005,1.1279
6060,Otávio,Bordeaux,0.0367,0.5649,0.024,0.0313,0.4476,1.1045
3314,Franck Honorat,Brest,0.0912,0.2113,-,0.748,0.0524,1.1029
