id,name,team,1,2,3,4,5,6,total
3517,Ronael Pierre Gabriel,Brest,0,0,0,-,0,0,0
3741,Paul Lasne,Brest,-,-,-,-,0,0,0
3464,Vincent Le Goff,Lorient,0,0,0,0,0,0,0
8702,Tinotenda Kadewere,Lyon,-,0,0,0,0,0,0
5742,Hugo Magnetti,Brest,-,0,-,-,-,0,0
8190,Melvin Bard,Lyon,0,-,0,0,0,0,0
8094,Mathis Cherki,Lyon,0,0,0,0,0,0,0
8703,Sinaly Diomande,Lyon,-,-,-,0,0,0,0
4882,Laurent Abergel,Lorient,0,0,0,0,0,0,0
3509,Fabien Lemoine,Lorient,0,0,0,0,0,0,0
8652,Stéphane Diarra,Lorient,0,0,0,0,-,0,0
3800,Steve Mounie,Brest,-,-,0,0,0,0,0
5676,Opa Nguette,Metz,0,0,0,0,0,0,0
6420,Romain Faivre,Brest,0,0,0,0,0,0,0
4501,Thierry Ambrose,Metz,0,-,0,0,-,0,0
3507,Vincent Pajot,Metz,0,0,0,0,-,0,0
5988,Ibrahima Niane,Metz,0,0,0,0,0,0,0
8654,Franklin Wadja,Lorient,0,-,-,0,0,-,0
8651,Enzo Le Fée,Lorient,0,0,0,0,0,0,0
3668,Jonathan Delaplace,Lorient,-,-,-,-,0,-,0
8650,Julien Laporte,Lorient,0,0,0,-,0,0,0
8649,Houboulang Mendes,Lorient,0,0,0,0,0,0,0
6881,Thomas Fontaine,Lorient,-,-,-,0,0,0,0
6865,Umut Bozok,Lorient,-,0,0,0,-,0,0
6615,Trevoh Chalobah,Lorient,-,-,0,-,-,-,0
3314,Franck Honorat,Brest,0,0,-,0,0,0,0
7328,Maxence Caqueret,Lyon,0,0,0,0,-,0,0
7687,Jean Lucas,Lyon,-,-,0,0,0,-,0
5998,Christophe Herelle,Brest,-,-,0,0,0,-,0
7142,Moussa Dembele,Lyon,0,0,0,0,0,0,0
6882,Ghislain Konan,Reims,0,0,0,0,0,0,0
7719,Nathanael Mbuku,Reims,-,-,-,-,0,0,0
7718,Predrag Rajkovic,Reims,0,0,0,0,0,0,0
7570,Moreto Cassamã,Reims,0,0,0,0,0,-,0
7734,Cristian Battocchio,Brest,0,-,0,0,0,-,0
7178,Valon Berisha,Reims,0,0,0,0,0,0,0
7151,Thomas Foket,Reims,0,-,0,0,0,0,0
7736,Brendan Chardonnet,Brest,0,-,0,0,-,0,0
6883,Xavier Chavalerin,Reims,0,0,0,0,0,0,0
8049,Jean-Kevin Duverne,Brest,0,0,0,0,0,0,0
6314,Joachim Andersen,Lyon,0,0,0,-,-,-,0
6709,Yehvann Diouf,Reims,-,-,-,-,-,0,0
6000,Tristan Dingome,Reims,-,-,0,-,-,-,0
3962,Anastasios Donis,Reims,-,0,-,-,0,-,0
3786,Mathieu Cafaro,Reims,0,0,0,0,-,0,0
8151,Hianga'a M'Bock,Brest,0,0,0,0,-,-,0
5624,Yunis Abdelhamid,Reims,0,0,-,0,0,0,0
7224,Boulaye Dia,Reims,0,-,0,0,0,0,0
8920,Dilane Bakwa,Bordeaux,-,-,-,-,0,0,0
7908,Marshall Munetsi,Reims,0,0,0,0,-,0,0
8003,Dario Maresic,Reims,-,0,0,0,0,-,0
7732,Haris Belkebla,Brest,0,0,0,0,0,0,0
8312,Kaj Sierhuis,Reims,0,0,-,0,-,0,0
6011,Thiago Mendes,Lyon,-,0,-,-,0,0,0
7913,Lamine Fomba,Nimes,0,-,0,0,0,0,0
6736,Ibrahima Diallo,Brest,0,0,0,0,0,-,0
5973,Kenny Tete,Lyon,0,-,-,-,-,-,0
5708,Fernando Marçal,Lyon,0,-,-,-,-,-,0
5657,Karl Toko Ekambi,Lyon,0,0,0,0,-,0,0
3278,Maxwel Cornet,Lyon,0,0,0,0,0,0,0
3269,Anthony Lopes,Lyon,0,0,0,0,0,0,0
1056,Jeff Reine-Adelaide,Lyon,0,-,-,-,-,-,0
1039,Jason Denayer,Lyon,0,0,0,0,0,0,0
7728,Gautier Larsonneur,Brest,0,0,0,0,0,0,0
93,Marcelo,Lyon,0,0,0,0,0,0,0
5733,Houssem Aouar,Lyon,-,0,0,-,0,0,0
3412,Léo Dubois,Lyon,0,0,0,0,0,0,0
555,Memphis Depay,Lyon,0,0,0,0,0,0,0
8648,Fraser Hornby,Reims,-,0,0,-,0,-,0
8646,Wout Faes,Reims,0,0,0,-,-,0,0
8783,Marco Ludivin Majouga,Nimes,-,-,-,-,0,-,0
7764,Mamadou Fofana,Metz,-,0,0,-,0,-,0
5761,Youssef Maziz,Metz,-,-,0,-,-,0,0
6489,Steven Fortes,Lens,-,-,-,0,0,-,0
3512,Nolan Roux,Nimes,-,-,0,0,0,0,0
8671,Manuel Perez,Lens,-,0,0,-,0,0,0
8669,Simon Banza,Lens,0,0,-,0,0,0,0
3740,Lucas Deaux,Nimes,0,0,0,-,-,0,0
8667,Ismael Boura,Lens,0,0,0,0,0,-,0
8666,Cheick Oumar Doucoure,Lens,0,0,0,0,0,0,0
8665,Loic Bade,Lens,0,0,0,-,0,0,0
7206,Jonathan Gradit,Lens,0,0,0,0,0,0,0
5774,Clement Michelin,Lens,0,0,0,-,-,-,0
8759,David Pereira Da Costa,Lens,-,-,-,-,-,0,0
4765,Loïck Landre,Nimes,0,0,0,0,0,0,0
5614,Baptiste Reynet,Nimes,0,0,0,0,0,0,0
3445,Corentin Jean,Lens,0,0,0,0,0,0,0
3370,Issiaga Sylla,Lens,0,0,0,0,0,-,0
3325,Yannick Cahuzac,Lens,0,0,0,0,0,0,0
