id,name,team,1,2,3,4,5,6,7,8,total
7755,Domagoj Bradaric,Lille,0.0,0.0438,0.1262,0.0,0.0,0.2997,1.1666,0.0522,1.6885
8660,Jordan Lotomba,Nice,0.0887,0.026,-,0.6432,0.0637,0.4629,0.0,0.3991,1.6836
5105,Victorien Angban,Metz,0.0,0.6823,0.0,0.66,0.2749,0.0491,0.0,0.0,1.6663
6736,Ibrahima Diallo,Brest,0.0,0.2004,0.7839,0.3774,0.3036,-,-,-,1.6653
2674,Thilo Kehrer,Paris Saint Germain,0.1385,1.5112,-,-,-,-,-,-,1.6497
3244,Nicolas de Preville,Bordeaux,0.0325,0.6635,0.0,0.0669,0.2632,0.5853,0.0336,0.0,1.645
5947,Mihailo Ristic,Montpellier,0.0359,0.111,0.0661,0.7332,0.6704,0.0205,-,-,1.6371
2549,Gaël Kakuta,Lens,0.8885,0.0,0.0,0.2933,0.3056,0.1451,0.0,-,1.6325
6401,Amine Gouiri,Nice,0.0,0.4228,0.0,0.5367,0.0311,0.6279,0.0,0.0,1.6185
414,Juan Bernat,Paris Saint Germain,0.1206,1.4037,0.079,-,-,-,-,-,1.6033
6846,Sofiane Diop,Monaco,0.0875,0.0351,1.2057,0.11,0.0,0.1371,0.0272,0.0,1.6026
3507,Vincent Pajot,Metz,0.0,0.0712,0.3549,0.0375,-,0.1194,0.9891,0.0273,1.5994
7178,Valon Berisha,Reims,0.0,0.1978,0.0661,0.0275,0.0985,0.0,-,1.2041,1.594
4773,Benjamin Bourigeaud,Rennes,0.0076,0.1931,0.2119,0.2444,0.4994,0.1333,0.2092,0.0607,1.5596
2072,Sergio Rico,Paris Saint Germain,-,0.718,-,-,-,-,-,0.8314,1.5494
4904,Adrián Cubas,Nimes,0.4848,0.1048,0.4526,0.0,0.082,0.3989,0.0185,-,1.5416
6762,Yacine Adli,Bordeaux,-,-,0.0,0.0669,0.2838,0.8359,0.0,0.3362,1.5228
2100,Rafinha,Paris Saint Germain,-,-,-,-,-,-,0.3969,1.1191,1.516
5757,Farid Boulaya,Metz,0.0464,-,0.3549,0.6151,0.3797,-,0.0936,0.0,1.4897
6885,Axel Disasi,Monaco,0.1547,0.0,0.3283,0.11,0.5226,-,-,0.3647,1.4803
8151,Hianga'a M'Bock,Brest,0.0,0.7055,0.5663,0.1853,-,-,-,-,1.4571
3553,Ángel Di María,Paris Saint Germain,-,0.1342,0.5625,0.1235,0.6155,-,-,-,1.4357
834,José Fonte,Lille,0.3338,0.0199,0.1736,0.0714,0.0,0.0782,0.4595,0.2809,1.4173
7719,Nathanael Mbuku,Reims,-,-,-,-,0.0,0.0,0.0,1.4104,1.4104
7773,Zinedine Ferhat,Nimes,0.7031,0.0632,0.0,0.1103,0.0858,0.4426,-,-,1.405
3325,Yannick Cahuzac,Lens,0.9226,0.0,0.0,0.1943,0.0882,0.1966,0.0,-,1.4017
4765,Loïck Landre,Nimes,0.8091,0.0742,0.0176,0.0,0.0858,0.4123,0.0,-,1.399
3348,Florian Sotoca,Lens,0.0,0.0,0.4476,0.5188,0.1766,0.2534,0.0,-,1.3964
3786,Mathieu Cafaro,Reims,0.0,0.0,0.0,0.0,-,0.0,0.0658,1.314,1.3798
8746,Aïmen Moueffek,Saint-Etienne,-,-,0.4193,0.9603,0.0,-,-,0.0,1.3796
8639,Brandon Soppy,Rennes,0.6858,0.27,0.0,-,0.4182,-,-,-,1.374
5803,Fode Toure,Monaco,0.2422,-,0.6375,-,0.4909,-,-,-,1.3706
6452,Mahdi Camara,Saint-Etienne,0.0502,0.038,0.1614,0.9409,0.0707,0.0,0.0,0.0983,1.3595
5789,Boubacar Kamara,Marseille,0.1366,0.022,0.5726,0.0938,0.2093,0.0,0.0766,0.2434,1.3543
7763,Fabien Centonze,Metz,0.0124,0.0,0.3549,0.6316,0.2586,0.0814,0.0,0.0,1.3389
4242,Stefan Mitrovic,Strasbourg,0.0548,-,0.0,0.7041,0.0979,0.1613,0.0,0.3151,1.3332
