id,name,team,1,2,3,4,5,6,7,total
6881,Thomas Fontaine,Lorient,-,-,-,0.2439,0.0,0.0,-,0.2439
7484,Stephy Mavididi,Montpellier,-,0.0835,0.0,0.1138,0.0,0.0,0.0451,0.2424
8665,Loic Bade,Lens,0.1234,0.0,0.1169,-,0.0,0.0,0.0,0.2403
8327,Bruno Guimarães,Lyon,0.1027,0.0297,0.0,0.0536,0.0333,0.0188,-,0.2381
3314,Franck Honorat,Brest,0.0427,0.0,-,0.1953,0.0,0.0,0.0,0.238
6006,Ruben Aguilar,Monaco,0.0,0.0,0.0,0.0,0.0976,0.07,0.0537,0.2213
7760,Abdoul Kader Bamba,Nantes,0.0925,0.0,0.0,0.0,0.0,0.0226,0.104,0.2191
5978,Dmitri Lienard,Strasbourg,-,0.0,0.1017,0.0,0.0231,0.0128,0.0808,0.2184
6947,Samuel Kalu,Bordeaux,0.0,0.0,0.0,0.0347,0.0245,0.1589,-,0.2181
6061,Quentin Boisgard,Lorient,0.09,0.0277,0.0331,0.0,-,-,0.0616,0.2124
5635,Faitout Maouassa,Rennes,0.1291,0.0648,0.0115,0.0,-,-,-,0.2054
8648,Fraser Hornby,Reims,-,0.1597,0.0397,-,0.0,-,-,0.1994
8664,Facundo Medina,Lens,0.0797,0.0,0.0873,0.0323,0.0,0.0,-,0.1993
2430,Álvaro González,Marseille,-,0.0,0.047,0.0119,0.1284,0.0,0.0,0.1873
2291,Pape Cheikh,Dijon,0.0,-,0.105,-,0.0771,0.0,0.0,0.1821
5655,Flavien Tait,Rennes,0.065,-,0.0,0.0,0.0,0.0136,0.1001,0.1787
8004,Dereck Kutesa,Reims,0.0,0.0,0.0917,0.0275,0.057,0.0,0.0,0.1762
8656,Birger Meling,Nimes,0.088,0.0,0.0625,-,0.0217,0.0,-,0.1722
7719,Nathanael Mbuku,Reims,-,-,-,-,0.0549,0.077,0.0396,0.1715
3477,Jimmy Briand,Bordeaux,0.0,0.0,0.0,0.0,0.1542,0.0162,0.0,0.1704
6945,Youssouf Fofana,Monaco,0.0402,0.0,-,0.0889,0.0409,0.0,-,0.17
7736,Brendan Chardonnet,Brest,0.1674,-,0.0,0.0,-,0.0,-,0.1674
3740,Lucas Deaux,Nimes,0.0,0.0369,0.0902,-,-,0.0303,0.0,0.1574
5731,Mateo Pavlovic,Angers,-,-,0.0,0.1064,0.0,0.0498,-,0.1562
8697,Jonathan Clauss,Lens,-,-,0.0,0.0212,0.0914,0.0365,0.0,0.1491
8666,Cheick Oumar Doucoure,Lens,0.0,0.0,0.0,0.029,0.0,0.0828,0.0369,0.1487
3370,Issiaga Sylla,Lens,0.0,0.0,0.0,0.1479,0.0,-,-,0.1479
728,Lamine Koné,Strasbourg,0.0,0.0,-,-,-,-,0.1461,0.1461
8920,Dilane Bakwa,Bordeaux,-,-,-,-,0.021,0.1249,-,0.1459
834,José Fonte,Lille,0.0,0.0597,0.0225,0.0122,0.0,0.0,0.0474,0.1418
2897,Aleksandr Golovin,Monaco,0.1416,0.0,-,-,-,-,-,0.1416
961,Jordan Amavi,Marseille,0.0,0.0,-,-,-,0.0,0.141,0.141
5773,Zaydou Youssef,Saint-Etienne,-,0.0536,0.0,0.0388,0.0,0.0,0.048,0.1404
494,Laurent Koscielny,Bordeaux,0.0,0.0,0.0,0.1396,0.0,0.0,-,0.1396
8703,Sinaly Diomande,Lyon,-,-,-,0.0099,0.1296,0.0,0.0,0.1395
3673,Valentin Rongier,Marseille,0.0,0.0134,0.0622,0.0277,0.0,0.0352,0.0,0.1385
4403,Mehdi Abeid,Nantes,-,0.0,-,0.0793,0.0,0.0301,0.0287,0.1381
8318,Moussa Koné,Nimes,0.1376,0.0,0.0,-,-,-,0.0,0.1376
4883,Bruno Ecuele Manga,Dijon,0.0,0.0,0.094,0.0,0.0435,0.0,0.0,0.1375
7557,Yassin Benrahou,Nimes,0.1083,0.0,0.0284,-,0.0,-,-,0.1367
3325,Yannick Cahuzac,Lens,0.0936,0.0,0.0,0.0,0.0408,0.0,0.0,0.1344
4904,Adrián Cubas,Nimes,0.0,0.068,0.0378,0.0,0.0282,0.0,0.0,0.134
8646,Wout Faes,Reims,0.0913,0.0,0.0,-,-,0.0391,0.0,0.1304
1039,Jason Denayer,Lyon,0.0,0.0,0.0,0.0,0.0,0.1221,0.0,0.1221
7328,Maxence Caqueret,Lyon,0.0,0.0,0.0169,0.0,-,0.1031,-,0.12
