id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
686,Cesc Fàbregas,Monaco,0.0272,-,-,-,0.0,0.0,0.7079,0.9094,0.2166,0.4298,0.0,-,-,-,0.4793,1.1181,0.0772,-,0.4881,0.0281,0.0179,-,0.0,0.0,-,0.0,-,0.6177,5.1173
834,José Fonte,Lille,0.3355,0.0,1.3469,0.1107,0.123,0.0165,-,0.0774,0.3804,0.0241,0.0,-,0.1467,0.0429,0.3533,0.0,0.4891,0.0913,0.3518,-,0.0,0.0552,0.4906,0.2788,0.1217,0.1706,0.1087,0.0,5.1152
5228,Renato Sanches,Lille,-,-,-,0.1404,0.0,0.0165,0.4758,-,-,-,-,-,-,0.0127,0.3341,0.426,0.6023,0.0652,0.4009,0.0,0.0853,0.029,0.6484,0.4221,0.4662,0.2267,0.1924,0.5265,5.0705
5613,Gabriel,Lille,-,-,1.3948,0.1107,0.2107,0.1491,0.4758,0.0774,-,0.0241,0.0,0.0,0.2019,0.0127,0.2439,0.1321,0.0963,0.1109,0.4009,0.0429,0.0587,0.0552,0.4186,0.3444,-,0.2224,0.1968,0.0564,5.0367
7359,Eduardo Camavinga,Rennes,0.051,0.2035,0.0,0.0182,0.1113,0.0,0.0,0.1868,0.0178,0.2296,0.0,0.147,-,0.3737,0.0,0.595,0.4415,0.1416,0.111,0.1036,0.8727,0.3196,0.1394,-,-,0.2528,0.5051,0.1305,4.9517
3542,Damien Da Silva,Rennes,0.2259,0.1165,0.0183,0.0182,0.0672,-,0.0,0.1074,-,0.275,0.2339,0.7102,0.0507,0.0918,0.0449,0.074,0.087,0.2139,0.0,0.0402,-,0.026,0.1271,0.2702,0.0,1.357,0.0873,0.6743,4.917
1039,Jason Denayer,Lyon,0.0331,0.6396,0.1329,0.0,-,0.0157,0.1172,0.2328,-,0.534,0.1871,0.1282,0.2128,0.05,0.4528,0.1811,0.4476,0.0921,0.1995,0.0,0.0,0.3342,0.2322,0.0,-,0.0856,0.0494,0.555,4.9129
3239,Hamari Traore,Rennes,0.1749,0.689,0.1261,0.0,0.1296,0.0812,0.021,0.1441,0.2206,0.065,0.1336,0.8763,0.0596,0.534,0.195,0.0437,0.1693,0.2194,0.1033,0.0,-,0.026,0.1928,0.1618,0.0,0.2047,0.114,0.167,4.852
7760,Abdoul Kader Bamba,Nantes,0.0,0.0,0.1081,0.1017,0.0152,0.0,0.044,0.0,0.5379,0.0162,0.6782,0.0,0.0,0.0,0.6548,0.0865,0.0567,0.0421,-,0.8936,0.0,0.0276,1.0038,0.1486,0.0223,0.0241,0.0,0.2729,4.7343
6073,Guillermo Maripán,Monaco,-,-,-,0.0299,0.1495,0.0,0.6195,-,0.0,-,-,-,0.7657,0.4039,0.0873,0.2469,0.0924,1.5194,0.0216,0.1601,0.0,0.2821,0.0371,0.0144,0.1891,0.0265,-,0.0492,4.6946
1682,Islam Slimani,Monaco,-,-,0.7942,0.5853,0.0,-,0.4149,0.3244,0.0,0.1495,0.7071,-,0.0807,0.0,-,-,0.0,0.0,0.0,-,-,-,-,0.0,0.9389,0.0,0.3484,0.2625,4.6059
7240,Benoit Badiashile Mukinayi,Monaco,-,0.0766,0.0,0.6588,-,0.0698,0.1527,1.3869,0.072,0.1382,0.0516,0.2941,0.5646,0.2996,-,-,-,-,-,-,-,0.6001,-,0.0,-,0.0502,0.1302,-,4.5454
5722,Ibrahim Sangare,Toulouse,0.1394,0.6241,0.0654,-,0.5817,0.0,0.0,0.1437,0.0932,0.1845,0.2303,-,0.051,0.0793,0.0,0.0344,0.3308,0.0859,0.0,0.1089,0.0948,0.1371,0.0683,1.0645,0.1623,0.0919,0.1714,-,4.5429
1256,Kevin Strootman,Marseille,0.0,0.1058,0.0524,0.5984,0.3031,0.0,0.0318,0.0497,-,0.057,0.207,0.1063,0.0,1.2128,0.9693,0.4857,0.0,0.0444,-,0.0,0.1376,0.0,0.0,0.0,0.0,0.0,-,0.1539,4.5152
6060,Otávio,Bordeaux,-,0.1455,0.0947,0.244,0.8551,0.1024,0.1326,0.0,0.0759,0.0772,0.1313,0.125,0.3904,-,0.0,0.9298,0.027,0.307,0.1283,0.0,0.0445,0.0,-,0.4132,0.0436,0.0536,0.0756,0.1169,4.5136
5652,Walter Benítez,Nice,-,-,0.5549,0.0,0.398,0.0274,0.1294,0.0,0.0,0.0887,0.0,0.0,0.0256,0.0104,0.2559,0.0354,0.0178,0.0484,0.1431,0.0986,0.6218,0.6202,0.1134,0.4495,0.2118,0.5734,0.0,0.0,4.4237
92,Hiroki Sakai,Marseille,0.5233,0.1827,0.0289,0.4283,-,-,0.7749,0.16,0.106,0.057,0.2384,0.0,-,0.0599,0.4292,0.0,0.1113,0.7794,0.4404,-,0.0,0.0231,-,0.0,0.0809,-,-,0.0,4.4237
6436,Stanley N&#039;Soki,Nice,-,-,-,0.0,-,0.2033,0.1294,0.0217,-,-,-,-,0.9311,0.0217,0.7752,-,0.3252,0.1989,0.2153,0.116,0.0267,0.7385,-,0.0259,0.6412,0.0523,0.0,-,4.4224
6464,Adrien Silva,Monaco,-,-,0.0,0.0197,0.2244,0.0,0.0,0.3715,0.0,0.1763,0.1994,0.3995,1.0892,-,0.6759,0.1834,0.0,0.568,0.0,0.0,0.0,0.3179,0.1454,0.0,-,0.0416,-,-,4.4122
3673,Valentin Rongier,Marseille,-,0.0469,-,-,0.0,0.0,0.0738,0.1693,0.0512,0.057,0.1403,0.0419,0.1155,0.2945,1.1944,0.4857,0.4236,0.0677,0.2328,0.0229,0.1376,0.1041,0.2898,-,0.0809,0.023,0.0755,0.2028,4.3312
961,Jordan Amavi,Marseille,0.0,0.2106,0.1252,0.0438,0.3175,0.0891,0.0512,0.0184,-,0.0,0.0162,0.0668,0.0488,-,1.4071,0.6726,0.1251,0.2818,0.445,0.0,0.1778,0.0,0.0,0.0585,0.0809,0.0112,0.0,0.0,4.2476
4773,Benjamin Bourigeaud,Rennes,-,0.7417,0.1078,0.0,0.1113,0.2972,0.0,0.0,0.1762,0.0846,0.2339,0.1825,-,0.3249,0.195,0.1935,0.304,0.0514,0.0899,0.0655,-,0.0,0.1052,0.0671,0.0667,0.1768,0.3697,0.2762,4.2211
5998,Christophe Herelle,Nice,0.2724,0.0,0.5549,-,-,-,-,-,-,0.0,-,0.0,0.0993,0.0,-,-,-,-,-,0.0986,0.8242,0.6447,0.7254,0.0259,0.2874,0.6257,-,0.0456,4.2041
4883,Bruno Ecuele Manga,Dijon,0.0423,0.5079,0.1206,0.5585,0.0,0.4616,0.0416,0.6368,0.0,0.0,0.4791,0.0,0.0,0.0162,0.0,0.1529,0.0445,0.0328,0.3466,0.0847,0.0151,0.0,0.0434,0.3264,0.0,0.0692,0.0,0.1674,4.1476
3210,Wissam Ben Yedder,Monaco,-,0.0201,0.1384,0.5629,0.0,-,0.0,1.0654,0.0316,0.1086,0.0637,0.0784,0.5329,0.0,0.6057,0.2505,0.0,0.0,0.0,0.0404,0.0,0.0,0.0,0.2884,0.1687,0.1209,0.0,0.0442,4.1208
3521,Dennis Appiah,Nantes,-,-,-,-,-,0.0,0.044,0.1741,0.1126,0.0524,0.7329,-,-,0.072,0.6968,0.0671,0.2117,0.0421,0.1185,0.5176,0.0905,0.03,-,-,0.3917,0.0241,0.0135,0.7288,4.1204
3677,Wesley Lautoa,Dijon,-,0.0,0.024,0.5585,-,0.5027,0.0,0.6466,0.0134,0.0,0.4042,0.0,0.1185,0.0257,0.1221,0.0,-,-,0.3885,0.0622,0.0151,0.0975,0.1647,0.0,0.7644,-,0.0323,0.1427,4.0831
5619,Pierre Lees-Melou,Nice,-,0.0,0.0302,0.0548,0.0207,0.0418,0.0465,0.0212,0.0,0.0489,-,0.0198,0.4437,0.0457,0.751,0.0797,0.1649,0.101,0.1275,0.116,0.0223,0.6762,0.3626,0.1369,0.2568,0.1626,0.0945,0.2531,4.0784
5648,Malang Sarr,Nice,0.1722,-,-,-,-,0.0,0.1294,-,0.0655,0.0117,0.0,0.0186,-,0.0217,0.6468,0.2161,0.0785,0.0992,0.1431,-,0.7421,0.0666,0.8388,-,0.6632,-,0.1371,0.0276,4.0782
