id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
3210,Wissam Ben Yedder,Monaco,-,0.0766,1.29,0.9133,1.2529,-,0.8248,1.7109,0.1036,0.5542,0.7476,0.3103,0.6757,0.8576,1.6237,1.4157,0.0152,2.4832,0.9128,0.2005,0.0946,0.6173,0.0,0.9525,1.2943,0.7773,0.3126,0.981,20.9982
1682,Islam Slimani,Monaco,-,-,1.1714,2.5732,0.3088,-,1.3937,2.6281,0.2672,1.3992,0.7071,-,0.965,0.4302,-,-,0.0767,0.0,0.5537,-,-,-,-,0.0,1.2099,1.1463,0.4481,0.2625,15.5411
5322,Victor Osimhen,Lille,0.3396,0.0,0.9578,0.5855,1.0463,0.7688,2.8619,0.623,0.2095,0.0241,0.0,0.1573,0.1589,-,0.3406,0.9246,0.6045,0.075,0.4498,0.1463,0.1455,0.4515,0.5668,0.7425,0.4868,0.7878,0.5502,0.6405,14.6451
3530,Andy Delort,Montpellier,0.6412,0.3988,0.8009,0.087,0.6497,0.1043,0.1997,0.1766,0.7958,-,0.3424,0.3722,0.9143,0.5285,0.8135,0.8595,0.0222,0.976,0.593,0.2551,0.5486,0.0175,0.2173,0.235,-,0.4774,0.6594,0.8106,12.4965
3746,Gaetan Laborde,Montpellier,0.6978,0.413,0.6419,0.0903,0.5617,0.0,0.0886,0.0594,1.2815,0.0145,0.4121,0.1407,0.9143,0.8196,0.6987,0.109,0.0395,0.0,0.6977,0.3149,0.7664,0.0,0.2296,0.2502,0.2637,0.1229,1.5774,0.6806,11.886
2897,Aleksandr Golovin,Monaco,-,0.3805,0.5566,1.3487,0.0438,0.0832,1.3974,0.0557,0.4361,-,0.1994,0.9567,0.5667,0.8456,0.2286,0.5635,0.0434,1.2035,0.5963,0.2692,0.0279,0.4165,0.1302,0.0,0.702,-,0.4262,0.353,11.8307
7012,Gelson Martins,Monaco,0.3787,0.1076,0.6419,0.7491,0.1057,0.0698,0.8969,1.6503,0.1952,-,0.2019,0.0,1.3419,0.0,1.9916,0.4797,0.017,1.3505,1.0183,0.3478,0.0619,0.0872,-,-,-,-,-,-,11.693
7169,Moses Simon,Nantes,-,-,0.9804,0.6543,0.0,0.0225,0.4506,0.0388,0.847,0.1622,0.7794,0.0778,0.0418,0.6359,0.8983,0.1627,0.5929,0.4657,0.033,0.9456,0.108,0.1612,1.7976,0.3365,0.2366,0.0899,0.0214,0.4686,11.0087
536,Dimitri Payet,Marseille,0.0969,0.2257,0.5351,0.3335,0.4622,0.3031,-,-,-,-,0.3717,0.4056,0.2611,1.1605,1.5879,0.3058,0.4061,0.8875,0.7204,0.0753,-,0.1304,0.3848,0.5466,-,0.0442,1.2286,0.5341,11.0071
7716,Darío Benedetto,Marseille,0.1967,0.0,0.3776,0.5854,0.9693,0.2211,0.1569,0.3692,0.1394,0.1071,0.076,0.1951,0.0919,1.0343,2.1861,0.1965,-,0.2631,1.236,0.0384,0.211,0.0423,0.0343,-,0.5901,0.0,1.2606,0.3458,10.9242
