id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
7169,Moses Simon,Nantes,-,-,0.916,0.1074,0.036,0.0,0.0,0.0388,0.7139,0.0279,0.6813,0.1546,0.0418,0.0429,0.1623,0.0263,0.551,0.1196,0.0,0.4287,0.0376,0.1612,1.3504,0.2773,0.0933,0.0659,0.0534,0.2729,6.3605
4768,Wylan Cyprien,Nice,0.1904,0.8,0.9846,0.8267,0.0684,0.1624,0.0951,0.1593,0.0711,0.0429,-,0.1047,0.0,0.1267,0.063,0.2768,1.0001,0.1065,0.1609,0.7601,0.0988,-,-,-,-,-,-,-,6.0985
536,Dimitri Payet,Marseille,0.0259,0.0735,0.8415,0.0637,0.0888,0.3697,-,-,-,-,0.0599,0.0269,1.0212,0.0713,0.4591,0.7798,0.2692,0.1077,0.247,0.1346,-,0.0331,0.0607,0.3717,-,0.0713,0.0424,0.6445,5.8635
7224,Boulaye Dia,Reims,0.5877,0.109,0.2033,0.0717,0.2961,0.3784,0.0877,0.0,0.6898,0.056,0.0338,0.0966,-,0.125,0.646,0.3147,0.0,-,0.3627,0.172,-,0.1701,0.1208,0.0,0.0,0.8013,0.3145,-,5.6372
5800,Lebo Mothiba,Strasbourg,-,0.0,0.1958,0.0,0.0,0.4473,0.0168,0.0,0.0,0.0,0.4659,0.9222,1.535,0.9737,0.042,0.0473,0.7408,-,0.0444,-,-,-,-,0.0,0.0,0.0,0.1616,-,5.5928
3477,Jimmy Briand,Bordeaux,0.0896,0.0,0.0,0.4292,0.1925,0.3345,0.1362,0.0,0.0208,0.0782,0.0,0.125,1.2796,-,-,-,0.0,0.629,0.1083,0.5701,0.0708,0.0,0.0125,0.6182,0.8032,-,-,-,5.4977
6232,Kalifa Coulibaly,Nantes,0.0327,0.0821,0.6027,0.335,0.0998,0.2437,0.1158,0.0418,0.3708,0.2569,0.5269,0.0226,0.0,1.2215,0.7735,-,0.1382,0.3533,0.058,-,-,-,-,-,0.0753,-,0.0,0.0589,5.4095
6864,Renaud Ripart,Nimes,0.2778,0.8127,0.0445,0.1405,0.0337,0.3485,0.3902,0.4789,0.8001,0.0329,0.1483,0.2228,0.02,0.2034,0.0255,0.0,0.1047,0.0867,0.643,0.0,-,-,-,-,0.0,0.0,0.5886,0.0,5.4028
8026,Raphinha,Rennes,-,-,-,-,0.0508,0.1246,0.1035,0.0742,0.0823,-,0.0541,1.0178,0.302,0.5376,0.1887,0.0437,0.0,0.0,0.1656,0.1279,0.565,1.2652,0.0176,-,0.0231,0.1566,0.3864,0.0638,5.3505
3749,Jonathan Bamba,Lille,0.1925,0.026,0.9509,0.8298,0.1914,0.1381,-,0.0445,0.475,0.0163,0.0,0.0,0.0808,-,0.1283,0.0295,0.912,0.1216,0.0133,0.032,0.0737,0.0487,0.1817,0.2984,0.0399,0.0722,0.3218,0.0157,5.2341
