team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
Bayern Munich,0.0937,0.7808,0.4874,0.4503,0.246,0.6106,0.0923,0.699,0.8472,0.7172,0.0847,0.7476,0.0339,0.0834,0.6039,0.7307,0.1711,0.5281,0.3581,0.0876,0.2932,0.3582,0.5659,0.9056,0.577,0.9933,0.0238,0.6042,0.3563,0.815,0.7768,0.1967,0.1018,0.023,15.0444
Bayer Leverkusen,0.0194,0.4572,0.1993,0.6081,0.5638,0.6339,0.5279,0.3553,0.0354,0.3193,0.143,0.0346,0.4584,0.2482,0.6596,0.7715,0.0476,0.1895,0.4972,0.8634,0.4715,0.3387,0.4259,0.055,0.8175,0.4493,0.0119,0.7332,0.1399,0.314,0.0076,0.4315,0.829,0.1211,12.7787
VfB Stuttgart,0.6362,0.674,0.0581,0.623,0.1618,0.6814,0.2659,0.1404,0.4046,0.8034,0.0932,0.0768,0.0563,0.4784,0.0983,0.056,0.1083,0.2714,0.0297,0.0254,0.4318,0.6174,0.7189,0.7635,0.2609,0.4911,0.7362,0.2778,0.1552,0.6705,0.6649,0.0323,0.2916,0.096,11.9507
Borussia Dortmund,0.5834,0.6556,0.5737,0.6058,0.8263,0.2705,0.2919,0.0124,0.0214,0.039,0.2313,0.2345,0.2538,0.0387,0.3325,0.5946,0.1848,0.4691,0.4029,0.3473,0.0513,0.5938,0.1251,0.2247,0.3055,0.2213,0.4744,0.0007,0.5061,0.387,0.6567,0.2494,0.2124,0.2851,11.263
Augsburg,0.5625,0.2183,0.6251,0.2428,0.3095,0.6362,0.066,0.1156,0.4103,0.2972,0.2494,0.1001,0.8029,0.5448,0.486,0.0091,0.0833,0.6867,0.1574,0.3384,0.694,0.1017,0.1751,0.1811,0.0967,0.4615,0.0705,0.3999,0.0592,0.4192,0.7399,0.1048,0.0754,0.4614,10.982
Schalke 04,0.4031,0.3843,0.2243,0.356,0.0338,0.2225,0.2579,0.9747,0.4771,0.1929,0.3584,0.412,0.0239,0.0535,0.1248,0.1225,0.0991,0.0169,0.3188,0.5922,0.0319,0.1951,0.6015,0.6506,0.2712,0.6034,0.0943,0.7947,0.0473,0.3522,0.4433,0.0945,0.3234,0.7465,10.8986
Eintracht Frankfurt,0.7894,0.2617,0.5194,0.4663,0.0431,0.1525,0.3671,0.5051,0.0771,0.7461,0.3014,0.1894,0.3571,0.2568,0.6811,0.1281,0.0882,0.6979,0.4711,0.1216,0.0117,0.1316,0.4693,0.0159,0.3675,0.2336,0.5805,0.2909,0.5168,0.0106,0.0802,0.0968,0.3814,0.1325,10.5398
Mainz 05,0.5074,0.0532,0.3395,0.0028,0.3694,0.5059,0.4297,0.0556,0.0785,0.6239,0.4299,0.5297,0.1185,0.0297,0.1454,0.0739,0.2338,0.0817,0.4484,0.1105,0.1556,0.0048,0.6591,0.312,0.0834,0.8042,0.0642,0.4972,0.2122,0.6864,0.1525,0.2709,0.5654,0.3074,9.9427
Freiburg,0.1408,0.0414,0.185,0.046,0.2943,0.183,0.5238,0.1783,0.0423,0.1893,0.4081,0.0998,0.4757,0.6215,0.1069,0.7945,0.0179,0.117,0.4526,0.4909,0.4498,0.3342,0.6916,0.5567,0.0259,0.2797,0.0077,0.057,0.4909,0.0514,0.1151,0.1828,0.0303,0.7815,9.4637
Hertha Berlin,0.3684,0.0826,0.5539,0.5465,0.6447,0.156,0.1753,0.0562,0.0161,0.3207,0.039,0.0462,0.4626,0.6472,0.1534,0.0133,0.0392,0.7464,0.1118,0.1507,0.0598,0.0888,0.2358,0.1627,0.7073,0.7277,0.428,0.2287,0.1133,0.2049,0.2458,0.498,0.1239,0.2726,9.4275
