id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
26,Salomon Kalou,Hertha Berlin,0.8669,0.0,0.386,0.8063,-,0.2555,0.0631,0.098,0.2818,0.0537,0.394,1.2267,0.1003,0.0764,0.0302,0.626,0.1523,0.0621,0.8899,0.131,-,0.1855,0.0823,0.6291,0.0,0.0727,0.8365,0.0246,0.6297,0.0607,0.0,0.0,0.113,0.5959,9.7302
208,Lars Stindl,Borussia M.Gladbach,0.0,0.013,0.0628,0.1111,-,0.1482,0.0967,0.3851,0.8132,1.5494,0.1537,0.5544,0.4394,0.1734,0.6587,0.0,0.116,0.1331,0.9111,0.601,0.1025,0.1217,-,0.8064,0.1327,0.8595,0.5225,0.0,0.0,0.0747,-,0.0094,0.1588,-,9.7085
190,Stefan Kießling,Bayer Leverkusen,1.7364,0.0,0.136,0.0946,0.0,0.9186,0.1226,0.0,0.0,0.3338,0.0,0.0,0.1548,0.0,-,0.8193,0.0769,0.386,0.5378,0.0,0.7241,0.0,-,-,-,0.4632,0.6817,0.0,0.1405,0.0,0.0,0.325,0.7339,0.6184,9.0036
47,Yoshinori Muto,Mainz 05,0.0,0.7106,1.4531,0.3409,0.1184,0.0,0.4903,0.6578,1.0762,0.7303,1.5017,0.0575,0.022,1.3456,0.1553,0.2885,0.0,0.0,0.0,0.0275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.9757
324,Adrián Ramos,Borussia Dortmund,0.0,0.0,0.9574,-,0.0332,0.5376,0.0,-,0.0,0.0549,-,0.0,-,0.0,-,0.5981,0.0,0.0,0.5368,0.0883,-,-,0.3528,1.3995,0.0285,0.0,0.7669,0.2653,0.0,1.499,1.124,0.41,0.0,0.0929,8.7452
155,Max Kruse,Wolfsburg,0.0,0.1831,0.0,0.0192,0.0625,0.0,0.1065,0.0503,1.8649,0.0341,-,-,1.0652,0.1324,0.0,0.5224,0.433,0.7312,0.5604,0.015,0.1404,0.15,0.2399,0.1438,0.1586,0.1754,0.0,0.1358,0.0,0.0558,0.8277,0.0,0.1238,0.5136,8.445
158,Bas Dost,Wolfsburg,0.5141,0.3398,0.5663,0.201,1.4339,0.0,0.7179,0.0,0.6125,0.4989,0.0,-,1.1195,0.0882,0.3315,0.3143,0.0706,-,-,-,-,-,-,-,-,-,-,-,0.0,0.6017,0.04,0.0,0.0,0.5689,8.0191
356,Alexander Meier,Eintracht Frankfurt,-,-,-,1.0542,0.1088,0.4392,0.2689,0.4787,0.8136,0.0,0.0,0.1736,0.0482,0.1701,-,0.0326,0.5332,0.7113,0.5644,1.8603,0.1418,0.1066,0.2787,-,-,-,-,-,-,-,-,-,-,-,7.7842
83,Kevin Volland,Hoffenheim,0.0431,0.3722,0.0281,0.0422,0.1889,0.1011,0.8881,0.8691,0.0691,0.0319,-,0.3737,0.125,0.1126,0.3246,0.5104,0.0242,0.0,0.0415,0.0503,0.0607,0.0517,0.2839,0.6826,0.056,0.8188,0.2078,0.5053,0.0,0.1286,0.2916,0.1873,0.1614,0.096,7.7278
154,André Schürrle,Wolfsburg,-,-,0.0,0.064,0.0,0.0,0.0,0.1029,0.0,0.2049,0.424,0.0,0.6766,0.0765,0.1553,0.1869,0.0,0.4975,0.1829,-,0.0,-,0.0,1.6939,0.0795,0.1331,0.5742,0.2557,0.6455,0.0,-,0.422,0.5537,0.4879,7.417
173,Pierre-Michel Lasogga,Hamburger SV,0.0,0.3476,0.0191,0.5921,0.1436,0.7354,0.3355,0.1103,0.0139,0.8068,0.1418,0.9199,0.7576,0.0,-,0.1443,0.0638,0.028,0.2754,0.0642,-,0.0,0.0,0.0,-,0.0,0.3125,0.0,0.0,0.0,1.3767,-,0.1441,0.0505,7.3831
48,Jhon Córdoba,Mainz 05,-,-,-,-,-,0.0,-,-,-,-,-,0.0372,0.0,-,-,0.0,0.0,0.0,0.0961,0.1304,0.3344,0.6279,0.6483,0.0691,0.3504,0.0,0.3084,0.9768,0.174,0.781,0.1554,0.4959,0.6797,1.2224,7.0874
186,Karim Bellarabi,Bayer Leverkusen,0.0,0.0,0.1774,0.1256,0.059,0.0394,0.0399,0.478,0.0531,0.3606,0.13,0.1036,0.0472,1.0238,0.0,0.2921,0.0143,0.0,0.0883,0.0,0.1954,0.1378,0.1121,0.0,0.1305,0.0,0.4455,0.1936,0.0639,0.2776,0.1584,0.9284,-,1.3809,7.0564
115,Fin Bartels,Werder Bremen,0.0987,0.0,0.5352,0.0,0.4735,0.0,-,0.4468,0.0167,0.5356,0.0209,0.3904,0.4507,0.3862,0.0,0.0,0.0,0.0,0.1876,0.0687,0.0863,0.073,0.0809,0.0751,0.7265,-,0.0285,-,0.0182,1.0251,0.1416,0.7996,0.0435,-,6.7093
321,Shinji Kagawa,Borussia Dortmund,0.3909,0.1992,0.2982,0.0605,1.0739,0.1161,0.0,0.0,0.3913,0.2703,0.1101,0.0437,0.0,0.0,0.6112,0.0708,0.0518,-,0.0,-,0.0,-,0.0,-,-,1.0411,0.0,0.4936,0.5958,0.0457,0.5193,0.3015,0.0,0.0,6.685
337,Leroy Sané,Schalke 04,0.0,0.0569,0.1508,0.0,0.2865,0.9361,0.5202,0.0891,0.0913,0.0872,0.3591,0.0997,0.0277,0.0,0.7232,0.168,0.177,0.6144,0.3534,0.0558,0.0223,0.0163,0.0645,-,0.1544,0.0,0.0,0.0692,0.1057,0.1108,0.5343,0.0224,0.2511,0.446,6.5934
213,Thorgan Hazard,Borussia M.Gladbach,0.0,0.5382,0.0,0.0282,0.0,-,0.0,0.0,-,0.0,0.0,0.1798,-,0.0177,0.0,-,0.0408,-,0.0105,0.0974,0.5013,0.0989,1.4675,1.2272,0.0764,0.2215,0.1423,0.9203,0.0908,0.0412,0.1375,0.0,0.0,0.6094,6.4469
2655,Alfred Finnbogason,Augsburg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,0.3665,0.8293,0.4618,0.4975,0.8835,0.8027,0.0152,0.3918,0.2926,0.4489,0.2474,0.4445,0.6518,6.3335
88,Mark Uth,Hoffenheim,0.0,0.0221,0.0956,0.0,0.0,-,-,-,0.0,0.035,0.1012,-,0.0,-,0.5101,-,0.0188,0.0,-,-,-,1.1602,0.0829,0.3929,0.0766,0.1219,0.8263,0.0609,0.731,0.5691,0.1165,0.5946,0.1157,0.6012,6.2326
956,Andrej Kramaric,Hoffenheim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.3271,0.1289,0.1896,-,-,0.0883,0.2544,0.3863,0.9139,0.2574,0.5782,0.1368,0.5195,0.8628,0.9742,0.4406,6.058
407,Martin Harnik,VfB Stuttgart,0.9209,0.1731,1.0249,0.0725,0.62,0.0179,0.0,0.155,0.0398,0.5477,0.0,-,-,-,-,-,-,-,-,-,0.3383,0.8928,0.0496,0.031,-,-,-,0.0,-,-,0.0302,0.438,-,0.4963,5.848
291,Haris Seferovic,Eintracht Frankfurt,0.102,0.0786,0.8715,0.7871,0.0713,0.0,-,-,0.04,0.4494,0.0435,0.6301,-,0.1304,0.0456,0.0,1.1572,0.0,0.0,-,0.0,0.029,0.1074,0.0,0.3691,0.0603,0.3562,0.0,0.0,0.0644,0.2445,0.1733,-,0.0,5.8109
170,Nicolai Müller,Hamburger SV,-,0.0,-,0.1907,0.0,0.3398,0.0,0.017,0.0534,0.0927,0.8982,0.0325,0.0345,0.4238,0.1986,0.0442,0.3963,0.0,0.0316,0.0411,0.0,0.3732,0.0,0.3207,0.4591,0.0658,-,0.7041,0.0,0.075,0.1828,-,-,0.8301,5.8052
189,Hakan Calhanoglu,Bayer Leverkusen,0.5591,0.1319,0.0762,0.1954,0.0666,0.2036,0.0614,0.9603,0.0349,0.1609,0.0632,0.0904,0.207,0.1132,0.0,0.1485,0.0978,0.1041,0.2084,0.1062,0.0406,-,0.0602,0.283,0.8388,0.1177,-,0.0953,0.1879,0.0,-,0.226,0.3077,0.032,5.7783
392,Arjen Robben,Bayern Munich,0.0353,0.0709,0.8406,-,-,-,-,-,-,0.7481,0.0397,1.5384,0.549,-,-,-,-,0.0,0.1877,0.0269,0.3922,0.8156,0.0,0.099,0.2797,-,-,-,-,-,-,-,-,-,5.6231
273,Raúl Bobadilla,Augsburg,0.0156,-,0.0,0.0,-,-,0.3576,0.0,0.4257,0.2207,0.6681,0.4502,0.7762,0.0481,0.6792,0.1034,0.2883,0.3818,0.1545,0.0492,0.1705,-,0.2899,0.2331,-,-,0.0,0.0778,0.0,0.0,-,0.1682,0.049,0.0,5.6071
171,Michael Gregoritsch,Hamburger SV,0.0081,0.0732,0.1296,0.0,0.05,0.0434,0.0119,-,0.0,0.8255,0.865,0.0,0.0,0.3703,0.7099,0.0,0.034,0.2554,0.0,-,-,-,-,-,-,-,0.6715,0.0,0.1543,0.0,0.2233,-,0.105,0.9005,5.4309
242,Lukas Hinterseer,Ingolstadt,0.0674,0.0,0.2268,0.0,0.0173,0.1143,0.0,0.1618,0.2189,0.0,0.052,0.0855,0.2678,0.0,0.0253,0.0304,0.0,-,-,0.0,-,0.7578,0.5881,0.7169,-,-,0.4606,0.3648,0.8834,0.0,0.0491,-,0.1031,0.0,5.1913
349,Artur Sobiech,Hannover 96,0.0,0.0,0.0,0.4161,0.1289,0.0,0.4846,0.077,0.1606,0.0735,0.0,0.1109,1.2275,0.0453,0.0,-,-,0.0,-,0.085,0.0,0.0,0.0,-,-,-,-,-,0.4857,0.5991,-,0.9358,0.0,0.3032,5.1332
264,Paul Verhaegh,Augsburg,0.0,0.0,0.0,0.0,0.7931,1.5156,0.0,0.0,0.0,-,0.7737,0.7578,0.0,0.3778,0.0,-,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.7578,0.0,-,0.0,-,-,-,0.0,-,-,-,5.0138
