id,name,team,1,2,3,4,5,6,7,8,9,total
2260,Daniel Carvajal,Real Madrid,0.1001,2.0768,0.1217,-,-,-,-,-,-,2.2986
6227,Brais Méndez,Celta Vigo,0.2777,0.2885,0.0,-,-,-,0.0356,0.139,1.5517,2.2925
8267,Guido Rodríguez,Real Betis,0.0151,0.3415,0.1465,0.07,0.253,0.0276,0.7734,0.551,0.0929,2.271
7430,Emerson,Real Betis,0.2242,0.307,0.1442,-,0.6195,-,-,0.8969,0.0667,2.2585
5712,Diego Carlos,Sevilla,0.9163,0.3222,0.7542,0.0526,0.097,0.0,0.1055,-,-,2.2478
5212,Sergi Guardiola,Real Valladolid,0.6737,0.0667,0.5317,0.0,0.1237,0.0262,0.0528,-,0.7671,2.2419
2110,Rubén Duarte,Alaves,0.0,0.5713,0.6514,0.1085,0.1221,-,0.6025,0.1008,0.0843,2.2409
2399,Iñaki Williams,Athletic Club,0.1468,0.1149,0.0,0.3064,1.1133,0.1134,0.223,0.2184,-,2.2362
2117,Marco Asensio,Real Madrid,-,-,0.2731,0.7515,0.1622,0.1112,0.5462,0.3789,-,2.2231
1297,Neto,Barcelona,1.0248,0.0814,0.2455,0.0,0.3955,0.4574,-,-,-,2.2046
2106,Munir,Sevilla,0.9233,0.3888,0.1125,0.1577,0.5831,0.0,-,-,-,2.1654
8736,Jorge Pombo,Cadiz,0.2974,0.9071,0.861,-,0.062,-,-,-,0.0,2.1275
1700,Lucas Pérez,Alaves,0.0,-,0.0,0.1128,0.3837,0.6311,0.5299,-,0.4578,2.1153
2185,Deyverson,Alaves,0.0,0.0352,0.7741,0.4068,0.055,-,0.7187,0.0641,0.0553,2.1092
4136,Ángel,Getafe,0.0,0.2434,0.7065,0.0505,-,0.123,0.9139,0.0664,-,2.1037
5169,Youssef En-Nesyri,Sevilla,0.5727,0.1249,0.1312,0.0,0.4215,0.7697,0.0804,-,-,2.1004
4070,Borja,SD Huesca,-,0.0,0.2537,0.1806,0.898,0.0343,0.1059,0.0376,0.5892,2.0993
6124,Maxi Gómez,Valencia,0.6009,0.0963,0.0,0.5855,0.4572,0.0551,-,0.2665,0.0176,2.0791
8934,Trincão,Barcelona,0.2572,0.0,0.2633,0.0545,0.0,0.2326,1.2616,-,-,2.0692
2088,Edgar Méndez,Alaves,0.0,0.5713,0.5067,0.358,0.0528,0.1451,0.0782,0.0641,0.2888,2.065
