id,name,team,1,2,3,total
2186,Morales,Levante,2,1,-,3
7195,Roberto López,Real Sociedad,1,-,1,2
2120,Gerard Moreno,Villarreal,1,1,-,2
6124,Maxi Gómez,Valencia,1,1,0,2
7834,Manu Vallejo,Valencia,2,0,0,2
4091,Unai López,Athletic Club,0,2,-,2
6926,William Carvalho,Real Betis,0,1,1,2
5074,Kike García,Eibar,0,1,1,2
2290,Iago Aspas,Celta Vigo,0,2,-,2
2098,Luis Suárez,Atletico Madrid,2,-,-,2
3667,Nabil Fekir,Real Betis,0,1,0,1
2275,Ángel Correa,Atletico Madrid,1,-,-,1
2518,Marcos Llorente,Atletico Madrid,1,-,-,1
7892,João Félix,Atletico Madrid,1,-,-,1
5064,Dimitrios Siovas,SD Huesca,-,0,1,1
1003,Pablo Maffeo,SD Huesca,1,0,-,1
2311,Roberto Soldado,Granada,0,1,-,1
4226,Darwin Machís,Granada,0,1,0,1
493,Gabriel,Valencia,1,0,-,1
2284,Daniel Wass,Valencia,0,0,1,1
4208,Míchel,Real Valladolid,1,0,-,1
7350,Yangel Herrera,Granada,1,0,0,1
2380,Paco Alcácer,Villarreal,0,1,-,1
8725,Luis Milla,Granada,1,0,0,1
2566,Roger,Levante,-,1,-,1
6953,Gonzalo Melero,Levante,0,1,-,1
866,Joselu,Alaves,0,1,0,1
802,Diego Costa,Atletico Madrid,1,-,-,1
5093,Roberto Torres,Osasuna,0,0,1,1
2305,Adrián,Osasuna,1,0,0,1
2183,Rubén García,Osasuna,1,0,0,1
323,Adnan Januzaj,Real Sociedad,0,0,1,1
1421,Cristian Tello,Real Betis,1,0,0,1
3237,Aissa Mandi,Real Betis,0,0,1,1
6241,Federico Valverde,Real Madrid,0,1,-,1
2246,Sergio Ramos,Real Madrid,0,1,-,1
1715,Álvaro Negredo,Cadiz,0,1,-,1
8736,Jorge Pombo,Cadiz,0,1,-,1
6118,Portu,Real Sociedad,0,0,1,1
7009,Jaime Mata,Getafe,1,0,-,1
2155,Jorge Molina,Granada,-,0,1,1
2500,Luisinho,SD Huesca,0,-,0,0
6225,Paulo Oliveira,Eibar,0,0,0,0
2391,José Mari,Cadiz,0,0,-,0
3206,Yann Bodiger,Cadiz,0,0,-,0
4177,Álex Fernández,Cadiz,0,0,-,0
8707,Damian Kadzior,Eibar,0,0,0,0
8390,Rafa Soares,Eibar,0,0,-,0
8209,Miguel Ángel Atienza,Eibar,-,0,-,0
6224,Marko Dmitrovic,Eibar,0,0,0,0
6533,Anthony Lozano,Cadiz,0,-,-,0
5153,Kévin Rodrigues,Eibar,-,0,0,0
5081,Edu Expósito,Eibar,0,0,0,0
4188,Quique González,Eibar,-,0,0,0
2586,Anaitz Arbilla,Eibar,-,-,0,0
2519,Tejero,Eibar,-,-,0,0
2353,Pedro Bigas,Eibar,0,0,0,0
1672,Jonathan Calleri,Osasuna,-,0,0,0
1884,Facundo Roncaglia,Osasuna,-,0,-,0
2267,Augusto Fernández,Cadiz,-,0,-,0
2216,Jony,Osasuna,-,-,0,0
4130,Raúl Navas,Osasuna,-,-,0,0
5090,David García,Osasuna,0,0,0,0
