id,name,team,1,2,3,4,5,6,7,8,9,10,total
2094,Ivan Rakitic,Sevilla,1.0678,0.0518,0.0309,0.0114,0.0643,0.052,0.0239,0.0,-,-,1.3021
2088,Edgar Méndez,Alaves,0.0,0.5713,0.2187,0.358,0.0243,0.0066,0.0466,0.0641,0.0,-,1.2896
2272,Yannick Carrasco,Atletico Madrid,0.0653,0.0141,0.0,0.4713,0.3565,-,-,0.3741,-,-,1.2813
2400,Raúl García,Athletic Club,0.1074,0.0707,0.1263,0.3987,0.1237,0.2858,0.1057,0.0,0.0454,-,1.2637
8736,Jorge Pombo,Cadiz,0.1528,0.9155,0.0999,-,0.0406,-,-,-,0.0489,-,1.2577
8895,Tete Morente,Elche,0.0141,0.065,0.0,0.5666,0.0,-,0.0733,0.4277,-,-,1.1467
6368,Mathías Olivera,Getafe,0.0,0.0,0.0696,0.0,0.1123,0.0,0.9641,-,0.0,-,1.146
7350,Yangel Herrera,Granada,0.4413,0.3733,0.0313,0.1449,0.0577,0.0,0.0663,-,0.0235,-,1.1383
6241,Federico Valverde,Real Madrid,0.0,0.4521,0.1074,0.0633,0.0,0.3593,0.1049,0.0347,-,-,1.1217
8001,Takefusa Kubo,Villarreal,0.0523,0.1103,0.0538,0.0743,0.0,0.0,0.0,0.585,0.0,0.2228,1.0985
2518,Marcos Llorente,Atletico Madrid,0.4032,0.0189,0.0794,0.0719,0.0717,0.0,0.1671,0.2609,-,-,1.0731
6219,Enes Ünal,Getafe,0.0,0.202,-,0.0,0.0,0.5988,0.1068,0.1325,-,-,1.0401
7870,Luis Rioja,Alaves,0.0,0.0,0.0,0.0,-,0.0,-,0.9595,0.0,0.0655,1.025
2305,Adrián,Osasuna,0.3491,0.0539,0.5419,0.0,0.0,0.0,0.0,0.0,0.0671,-,1.012
5173,Asier Villalibre,Athletic Club,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1479,0.8629,-,1.0108
2537,Sandro Ramírez,SD Huesca,-,-,-,-,-,0.3834,0.0,0.0,0.0278,0.5691,0.9803
7009,Jaime Mata,Getafe,0.4159,0.1395,0.0,0.0,0.0371,0.0,0.0,0.1414,0.2155,-,0.9494
2250,Luka Modric,Real Madrid,0.0,0.0,0.0681,0.0,0.0167,0.6585,0.0355,0.1469,0.0216,-,0.9473
1235,Ante Budimir,Osasuna,-,-,-,-,-,-,0.5901,0.2639,0.084,-,0.938
7861,Germán Sánchez,Granada,0.0,0.0,0.0,0.3302,0.0683,0.0,0.0,-,0.5207,-,0.9192
1672,Jonathan Calleri,Osasuna,-,0.0,0.0573,0.7836,0.0667,-,-,-,-,-,0.9076
5044,Víctor Laguardia,Alaves,0.9017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9017
1700,Lucas Pérez,Alaves,0.0,-,0.0,0.0829,0.3166,0.0836,0.0396,-,0.371,0.0,0.8937
3667,Nabil Fekir,Real Betis,0.0213,0.1048,0.1442,0.0258,0.238,0.0,0.128,0.2107,-,-,0.8728
6228,Luka Jovic,Real Madrid,-,0.0,0.5604,-,0.1666,-,-,0.1393,-,-,0.8663
7871,Borja Sainz,Alaves,-,0.0604,0.0,0.0279,-,0.0777,0.6823,-,0.0,0.0,0.8483
6433,Jules Koundé,Sevilla,-,0.0692,0.1734,-,-,0.0,0.0,0.6057,-,-,0.8483
2248,Casemiro,Real Madrid,0.0,0.0,0.8311,0.0,0.0,0.0151,0.0,-,-,-,0.8462
