id,name,team,1,2,3,4,5,6,7,8,total
7350,Yangel Herrera,Granada,0.4413,0.3733,0.0313,0.1449,0.0577,0.0,0.0663,-,1.1148
6241,Federico Valverde,Real Madrid,0.0,0.4521,0.1074,0.0633,0.0,0.3593,0.1049,-,1.087
7834,Manu Vallejo,Valencia,0.9936,0.0,0.0,0.0,0.0,0.0,0.0723,-,1.0659
2183,Rubén García,Osasuna,0.1103,0.0156,0.0,0.0,0.0,0.788,0.1308,-,1.0447
2270,Antoine Griezmann,Barcelona,0.1187,0.0441,0.0957,0.3177,0.0,0.4572,-,-,1.0334
7525,Waldo Rubio,Real Valladolid,0.0777,0.0,-,0.0942,0.0,0.7696,-,0.0762,1.0177
2368,Montoro,Granada,0.0,0.0723,-,-,0.149,0.7648,0.0,-,0.9861
323,Adnan Januzaj,Real Sociedad,0.0,0.0,0.8101,0.0766,-,0.0863,-,-,0.973
5081,Edu Expósito,Eibar,0.0737,0.0575,0.0459,0.7433,0.0,-,0.0,0.0469,0.9673
7870,Luis Rioja,Alaves,0.0,0.0,0.0,0.0,-,0.0,-,0.9595,0.9595
2305,Adrián,Osasuna,0.3491,0.0539,0.5419,0.0,0.0,0.0,0.0,-,0.9449
2384,Santi Mina,Celta Vigo,0.0,-,0.0,0.0,0.0,0.9131,0.0,0.0,0.9131
6219,Enes Ünal,Getafe,0.0,0.202,-,0.0,0.0,0.5988,0.1068,-,0.9076
1672,Jonathan Calleri,Osasuna,-,0.0,0.0573,0.7836,0.0667,-,-,-,0.9076
2272,Yannick Carrasco,Atletico Madrid,0.0653,0.0141,0.0,0.4713,0.3565,-,-,-,0.9072
866,Joselu,Alaves,0.0439,0.1285,0.3278,-,0.0767,0.222,0.07,0.0367,0.9056
5044,Víctor Laguardia,Alaves,0.9017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9017
8001,Takefusa Kubo,Villarreal,0.0523,0.1103,0.0538,0.0743,0.0,0.0,0.0,0.585,0.8757
2106,Munir,Sevilla,0.3275,0.1574,0.0,0.0729,0.3163,0.0,-,-,0.8741
7871,Borja Sainz,Alaves,-,0.0604,0.0,0.0279,-,0.0777,0.6823,-,0.8483
2248,Casemiro,Real Madrid,0.0,0.0,0.8311,0.0,0.0,0.0151,0.0,-,0.8462
2478,Carlos Soler,Valencia,-,-,-,-,0.0,0.0235,0.0787,0.7431,0.8453
2479,Toni Lato,Valencia,-,-,-,0.0,-,-,0.6461,0.1484,0.7945
2250,Luka Modric,Real Madrid,0.0,0.0,0.0681,0.0,0.0167,0.6585,0.0355,-,0.7788
8122,Sergio Carreira,Celta Vigo,-,-,-,-,-,0.3545,0.4136,0.0,0.7681
2406,Mikel Rico,SD Huesca,0.0,-,-,0.1806,0.5753,-,-,-,0.7559
802,Diego Costa,Atletico Madrid,0.5143,0.0,0.1366,0.1019,-,-,-,-,0.7528
8771,Yunus Musah,Valencia,0.254,0.0,0.0,0.0,-,0.0,0.0,0.4918,0.7458
8135,Esteban Burgos,Eibar,-,-,-,0.0,0.7433,0.0,0.0,0.0,0.7433
6228,Luka Jovic,Real Madrid,-,0.0,0.5604,-,0.1666,-,-,-,0.727
6221,Pau Torres,Villarreal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6978,0.6978
615,Fernando,Sevilla,-,0.0,0.6339,0.0534,-,0.0,-,-,0.6873
452,Takashi Inui,Eibar,0.0124,0.2827,0.0108,0.0196,0.01,0.1314,0.0,0.2065,0.6734
2155,Jorge Molina,Granada,-,0.0,0.6504,0.0,-,0.0,0.0,-,0.6504
8895,Tete Morente,Elche,0.0141,0.065,0.0,0.5666,0.0,-,-,-,0.6457
2518,Marcos Llorente,Atletico Madrid,0.4032,0.0189,0.0794,0.0719,0.0717,0.0,-,-,0.6451
7921,Felipe,Atletico Madrid,0.0,0.5324,0.0864,0.022,0.0,0.0,-,-,0.6408
4034,José Campaña,Levante,0.2577,0.2794,0.0,0.0209,0.0,0.0758,-,-,0.6338
2369,Toni Kroos,Real Madrid,0.0727,0.0,-,-,0.0344,0.5053,0.0,-,0.6124
6926,William Carvalho,Real Betis,0.0,0.0821,0.0773,0.0352,0.0,0.0,0.414,0.0,0.6086
6956,David Ferreiro,SD Huesca,0.0,0.0,0.0264,0.0579,0.089,0.0343,0.0296,0.3659,0.6031
2255,Isco,Real Madrid,-,0.4738,0.0,0.0,0.0688,-,0.0537,-,0.5963
2571,Sergio Canales,Real Betis,0.0724,0.1417,0.0606,0.1102,0.1909,0.0,0.0185,0.0,0.5943
2269,Koke,Atletico Madrid,0.0125,0.5178,0.0,0.0,0.0,0.061,-,-,0.5913
1235,Ante Budimir,Osasuna,-,-,-,-,-,-,0.5901,-,0.5901
6227,Brais Méndez,Celta Vigo,0.2777,0.1799,0.0566,-,-,-,0.0356,0.0345,0.5843
7208,Samuel Chukwueze,Villarreal,0.2398,0.1542,0.0,0.0,0.0,0.1074,0.0,0.0827,0.5841
2122,Joan Jordán,Sevilla,0.0,0.0,0.1153,0.4687,-,0.0,-,-,0.584
5064,Dimitrios Siovas,SD Huesca,-,0.0,0.117,0.2332,0.0,0.2323,0.0,0.0,0.5825
5153,Kévin Rodrigues,Eibar,-,0.0,0.0207,0.0213,0.4743,0.0502,0.0,0.0,0.5665
6950,Jorge Pulido,SD Huesca,0.0,0.1264,0.3812,0.0,0.0521,0.0,0.0,0.0,0.5597
3237,Aissa Mandi,Real Betis,0.0,0.0,0.4788,0.0,-,-,0.0,0.0787,0.5575
1588,Raúl Albiol,Villarreal,0.0,0.5567,0.0,0.0,0.0,0.0,0.0,0.0,0.5567
4208,Míchel,Real Valladolid,0.535,0.0,-,0.0,-,-,-,0.0,0.535
2185,Deyverson,Alaves,0.0,0.0,0.288,0.0786,0.055,-,0.1065,0.0,0.5281
2308,Denis Suárez,Celta Vigo,-,0.0232,0.4307,0.0,0.0233,0.0,0.0453,0.0,0.5225
6931,Fran Beltrán,Celta Vigo,-,0.057,0.0334,0.0,-,0.0458,0.0,0.3825,0.5187
8710,Renato Tapia,Celta Vigo,0.0,0.0342,0.0,0.0,0.0,0.0,0.0778,0.4012,0.5132
7134,Marc Cucurella,Getafe,0.0416,0.0,0.1211,0.0,0.1584,0.192,0.0,-,0.5131
4219,Juan Carlos,SD Huesca,0.0825,0.0,0.0094,0.0,0.4115,-,-,-,0.5034
8893,Josan,Elche,0.3275,0.0,0.0,0.0689,0.0143,0.0752,-,-,0.4859
8933,Marcos de Sousa,Real Valladolid,-,-,0.0,0.0665,0.0507,0.0579,0.066,0.2251,0.4662
2311,Roberto Soldado,Granada,0.0,0.3806,-,0.04,0.009,-,-,-,0.4296
5091,Alex Berenguer,Athletic Club,-,-,-,0.0,0.3257,0.0269,0.0769,-,0.4295
7826,Joseph Aidoo,Celta Vigo,0.3457,0.0696,0.0,0.0,0.0131,-,-,0.0,0.4284
5117,Víctor Díaz,Granada,0.0,0.0,0.4091,-,-,-,-,-,0.4091
8761,Shon Weissman,Real Valladolid,0.0,0.0,-,0.1892,0.0,0.0,0.0655,0.1485,0.4032
2511,Vitolo,Atletico Madrid,0.0,0.0,-,-,0.0,0.4031,-,-,0.4031
7861,Germán Sánchez,Granada,0.0,0.0,0.0,0.3302,0.0683,0.0,0.0,-,0.3985
617,David Silva,Real Sociedad,-,0.055,0.1236,0.0648,0.0,0.0,0.0615,0.0936,0.3985
701,Eden Hazard,Real Madrid,-,-,-,-,-,-,0.3962,-,0.3962
8711,Miguel Baeza,Celta Vigo,0.0,0.1817,0.0,0.1921,0.0188,-,-,0.0,0.3926
689,Kenedy,Granada,0.0,0.101,0.0597,0.0193,0.0203,0.185,-,-,0.3853
2537,Sandro Ramírez,SD Huesca,-,-,-,-,-,0.3834,0.0,0.0,0.3834
2482,Tomás Pina,Alaves,0.0,-,-,-,0.0,0.0218,0.3547,0.0,0.3765
4799,Abdoulaye Diaby,Getafe,-,-,-,-,-,-,0.3757,-,0.3757
1189,Lucas Boyé,Elche,0.0,0.186,0.1889,-,-,0.0,-,-,0.3749
7308,Ander Barrenetxea,Real Sociedad,0.03,0.2805,0.0533,0.0,0.0,-,-,0.0,0.3638
565,Nyom,Getafe,0.1245,0.2019,0.0,0.0,0.0,0.0,0.0366,-,0.363
8934,Trincão,Barcelona,0.1818,0.0,0.1367,0.0,0.0,0.0436,-,-,0.3621
1131,Rodrigo Ely,Alaves,0.1093,0.0,-,0.0,0.0183,0.2303,-,-,0.3579
5666,Mouctar Diakhaby,Valencia,0.0,0.0712,0.0,0.0,0.0,0.2823,0.0,-,0.3535
2505,José Gayá,Valencia,0.0,0.0565,0.1357,0.0,0.0,0.0,0.1528,0.0,0.345
8727,Jon Morcillo,Athletic Club,0.1567,0.0838,0.0,0.0255,0.0,0.0189,0.0525,-,0.3374
8896,Nino,Elche,0.0,0.0,-,-,-,0.336,-,-,0.336
6656,Sergio Gómez,SD Huesca,-,0.0114,-,0.0,-,0.0,0.0143,0.3044,0.3301
7276,Robin Le Normand,Real Sociedad,-,0.0713,0.1282,0.0428,0.0,0.0,0.0566,0.0309,0.3298
1003,Pablo Maffeo,SD Huesca,0.282,0.0,-,-,-,0.0389,0.0,0.0,0.3209
4091,Unai López,Athletic Club,0.0,0.2096,0.0394,0.0,0.0,0.0718,0.0,-,0.3208
2245,Raphael Varane,Real Madrid,0.0342,0.0,0.0,0.0126,0.1174,0.1564,-,-,0.3206
2198,Moi Gómez,Villarreal,0.0454,0.0,0.0,0.0,0.0,0.1576,0.0,0.1064,0.3094
2104,Sergi Roberto,Barcelona,0.0902,0.1099,0.0991,0.0,-,0.0,-,-,0.2992
2285,Fabián Orellana,Real Valladolid,0.0578,0.0309,0.0,0.0228,0.0758,-,0.0,0.1094,0.2967
2378,Daniel Parejo,Villarreal,0.0347,0.0,0.0,0.0417,0.0,0.2197,-,-,0.2961
2424,Óliver Torres,Sevilla,0.2937,0.0,0.0,-,0.0,0.0,-,-,0.2937
5682,Gonçalo Guedes,Valencia,0.0161,0.0,0.0577,-,0.0,0.0841,0.1289,-,0.2868
2079,Rubén Rochina,Levante,-,-,-,-,0.0766,0.1292,0.0797,-,0.2855
6953,Gonzalo Melero,Levante,0.0,0.1174,0.0,0.0699,0.0,0.0,0.0922,-,0.2795
2148,Joaquín,Real Betis,0.0964,0.0777,0.0235,-,0.0,0.0,0.0,0.0815,0.2791
2284,Daniel Wass,Valencia,0.0,0.0,0.0266,0.0503,0.0701,0.0841,0.0227,0.0238,0.2776
8849,Alberto Perea,Cadiz,-,-,-,-,0.2762,-,0.0,-,0.2762
6949,Jorge Miramón,Levante,0.0555,0.0563,0.0,0.0823,0.0814,0.0,0.0,-,0.2755
8774,Dani Gómez,Levante,0.2126,0.0,-,0.0,0.0,0.0617,-,-,0.2743
8267,Guido Rodríguez,Real Betis,0.0151,0.0643,0.0739,0.0,0.0347,0.0464,0.0144,0.0254,0.2742
754,Shinji Okazaki,SD Huesca,0.0332,0.0,0.2076,0.0,0.0299,-,-,-,0.2707
8433,José Manuel Fontán,Celta Vigo,-,-,-,0.0328,-,0.2053,0.0,0.0315,0.2696
7313,Lee Kang-In,Valencia,0.0682,0.0,0.0,0.1071,0.0,-,0.066,0.0218,0.2631
5090,David García,Osasuna,0.0761,0.0,0.0,0.0,0.1821,0.0,0.0,-,0.2582
7195,Roberto López,Real Sociedad,0.0532,-,0.1454,0.0595,0.0,0.0,0.0,0.0,0.2581
5159,Marc Cardona,Osasuna,0.0,0.2578,0.0,-,-,-,-,-,0.2578
2092,Gerard Piqué,Barcelona,0.0,0.0,0.0,0.0644,0.0,0.1923,-,-,0.2567
7330,Uros Racic,Valencia,0.0198,-,0.0,-,-,0.0254,0.0166,0.1943,0.2561
7887,Luuk de Jong,Sevilla,0.065,0.032,0.0427,0.0,0.0,0.1125,-,-,0.2522
6226,Iván Alejo,Cadiz,0.0,0.0,-,0.1373,0.1107,-,-,0.0,0.248
5272,Emre Mor,Celta Vigo,0.041,0.1073,0.0595,0.0,0.0387,0.0,-,0.0,0.2465
6433,Jules Koundé,Sevilla,-,0.0692,0.1734,-,-,0.0,-,-,0.2426
2453,Marc Bartra,Real Betis,0.0124,0.0,0.0182,0.0827,0.0,0.1136,0.0123,0.0,0.2392
6076,Nemanja Maksimovic,Getafe,0.0689,0.0,0.0,0.0,0.1173,0.0,0.0413,-,0.2275
8725,Luis Milla,Granada,0.0715,0.0674,0.0157,0.0232,0.0469,-,0.0,-,0.2247
7155,Nikola Vukcevic,Levante,0.0,0.0857,0.0,0.133,-,-,-,-,0.2187
2193,Cala,Cadiz,0.0442,0.0,0.0,0.0,0.0,0.174,0.0,0.0,0.2182
2132,Jota,Alaves,-,-,-,-,-,0.0815,0.1356,0.0,0.2171
2216,Jony,Osasuna,-,-,0.0,0.0966,0.0,0.1202,0.0,-,0.2168
