id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,total
5091,Alex Berenguer,Athletic Club,-,-,-,0.0,0.0759,0.0208,0.3772,0.1153,0.4224,0.0809,0.0728,0.0467,-,1.212
1421,Cristian Tello,Real Betis,0.0,0.0,0.0163,0.0819,0.4601,0.0,0.0185,0.5595,0.0,0.0,0.0,-,0.04,1.1763
652,Kieran Trippier,Atletico Madrid,0.0251,0.0,0.1138,0.022,0.0,0.0772,0.0,0.0404,0.3252,0.5693,0.0,-,-,1.173
2253,Lucas Vázquez,Real Madrid,-,-,-,0.0,0.1022,0.2937,0.288,0.0405,0.0,0.2629,0.0982,0.0856,-,1.1711
1125,Carlos Bacca,Villarreal,-,-,0.0,0.0743,-,0.0537,0.0,0.585,0.4579,0.0,0.0,-,-,1.1709
8727,Jon Morcillo,Athletic Club,0.1192,0.0,0.0491,0.0347,0.6158,0.0,0.2228,0.0,0.1244,0.0,0.0,-,-,1.166
2399,Iñaki Williams,Athletic Club,0.0,0.0721,0.0,0.0,0.1142,0.1134,0.0704,0.0,0.4739,0.1253,0.1589,0.0319,-,1.1601
7781,Frenkie de Jong,Barcelona,0.1024,0.4463,0.0,0.0,0.0578,0.0239,0.0,0.0,0.0444,0.0,0.4661,-,-,1.1409
866,Joselu,Alaves,0.0,0.0604,0.103,-,0.0,0.1651,0.0,0.0,0.1664,0.1606,0.4556,0.0,0.026,1.1371
2566,Roger,Levante,-,0.5911,0.0,0.0,0.0,0.0,0.0543,-,0.0,0.0,0.0986,0.3912,-,1.1352
2505,José Gayá,Valencia,0.0,0.0355,0.1285,0.6698,0.0,0.2823,0.0,0.0,0.0176,0.0,-,-,-,1.1337
7313,Lee Kang-In,Valencia,0.1499,0.0189,0.1357,0.0,0.0527,-,0.6762,0.0238,0.0,0.0744,-,-,-,1.1316
2106,Munir,Sevilla,0.5958,0.0173,0.0309,0.0,0.3814,0.0,-,0.0,0.1028,0.0,-,-,-,1.1282
5212,Sergi Guardiola,Real Valladolid,0.535,0.0,0.0,0.0,0.0758,0.0,0.0,-,0.0,0.4604,0.0428,-,-,1.114
2518,Marcos Llorente,Atletico Madrid,0.0415,0.0205,0.1366,0.0,0.0,0.1367,0.3636,0.0,0.0212,0.0,0.3926,-,-,1.1127
2132,Jota,Alaves,-,-,-,-,-,0.2303,0.3943,0.0,-,0.0,0.4745,0.0,0.0,1.0991
5136,Estupiñán,Villarreal,-,0.0,0.0,0.0,0.047,-,-,0.0,0.0,0.3017,0.2417,0.0295,0.4599,1.0798
2229,Yuri,Athletic Club,-,0.0707,0.0997,0.0,-,0.0,0.0294,0.1361,0.1246,0.0,0.0,0.6137,-,1.0742
2378,Daniel Parejo,Villarreal,0.0257,0.6056,0.035,0.0,0.0,0.0,-,-,0.0,0.0523,0.0679,0.1054,0.1822,1.0741
2285,Fabián Orellana,Real Valladolid,0.0492,0.0839,0.0,0.1892,0.0669,-,0.0,0.1702,0.0653,0.0,0.3861,-,0.056,1.0668
2122,Joan Jordán,Sevilla,0.402,0.1511,0.1227,0.0,-,0.0,0.0252,0.1554,0.1498,0.0521,0.0,-,-,1.0583
323,Adnan Januzaj,Real Sociedad,0.0,0.0,0.0,0.0,-,0.0,-,-,0.1084,0.9302,0.0,-,-,1.0386
8738,Filip Malbasic,Cadiz,0.0,0.9071,0.0,0.057,0.0,0.0,0.0712,0.0,-,0.0,0.0,-,-,1.0353
2521,Alfonso,Villarreal,0.2017,0.0188,-,-,-,0.079,0.5498,0.0827,0.0,0.0314,0.0,-,0.0572,1.0206
2185,Deyverson,Alaves,0.0,0.0,0.0086,0.3281,0.0,-,0.6123,0.0,0.0,-,0.0,-,0.0634,1.0124
6954,Juan Camilo Hernández,Getafe,0.0,0.1,0.36,0.0,0.2645,0.0,0.0663,0.0242,0.0,0.0705,0.1219,0.0,-,1.0074
4175,Pere Milla,Elche,0.0141,0.0727,0.0721,0.0689,0.0865,0.0,0.5619,0.0604,0.0277,0.0,0.0418,-,-,1.0061
565,Nyom,Getafe,0.0218,0.3463,0.3486,0.0872,0.0,0.1207,0.0,0.0,0.0,0.0,0.0636,0.0,-,0.9882
6227,Brais Méndez,Celta Vigo,0.3457,0.1087,0.0,-,-,-,0.0,0.4012,0.0,0.1247,0.0,0.0,-,0.9803
6921,Óscar Plano,Real Valladolid,0.0,0.0667,0.0,0.0452,0.0,0.1122,0.1188,0.0,0.0,0.1271,0.1717,0.0348,0.2855,0.962
5066,David Timor,Getafe,0.0,0.0,0.0,0.0,0.0,0.8666,0.0,0.0,0.0,0.0775,-,0.0126,-,0.9567
6953,Gonzalo Melero,Levante,0.0754,0.0,0.0238,0.0209,0.0542,0.0,0.1628,0.0501,0.0303,0.0216,0.0,0.513,-,0.9521
8849,Alberto Perea,Cadiz,-,-,-,-,0.4974,-,0.0,-,0.0489,0.0,0.3984,0.0,-,0.9447
689,Kenedy,Granada,0.0,0.0,0.0,0.3302,0.0,0.0,-,0.0,-,-,0.5713,-,-,0.9015
8896,Nino,Elche,0.8704,0.0,-,-,-,0.0,0.0,-,-,-,-,-,-,0.8704
7208,Samuel Chukwueze,Villarreal,0.1202,0.4171,0.0,0.0,0.0,0.1247,0.0195,0.1176,-,0.0604,0.0,0.0,0.0,0.8595
8131,Iñigo Pérez,Osasuna,0.0,0.0348,0.0,0.0966,0.1821,0.0213,0.0,0.0,0.1071,0.363,0.0539,0.0,-,0.8588
5093,Roberto Torres,Osasuna,0.0,0.0,0.519,-,-,0.0,0.0,0.0,0.2219,0.0,0.0,0.0849,-,0.8258
2070,Carlos Fernández,Sevilla,-,-,0.0,0.0,0.7366,0.0,0.0804,-,-,-,-,-,-,0.817
5128,Oier,Osasuna,0.3491,0.0,0.0,0.2335,0.0,0.0,0.0,0.0212,0.0,0.0,0.0,0.2048,-,0.8086
2578,Javi Ontiveros,SD Huesca,-,-,0.1156,0.0,0.0,0.0346,0.0243,0.3044,0.0,-,0.0,0.3062,0.0195,0.8046
2095,Sergio Busquets,Barcelona,0.0,0.0,0.208,0.0,0.0,0.0,0.2096,-,0.0,0.3692,0.0,-,-,0.7868
6219,Enes Ünal,Getafe,0.0,0.0,-,0.0,0.1167,0.0,0.5306,0.0,-,0.0,0.0,0.1174,-,0.7647
