id,name,team,1,2,3,4,5,6,7,8,9,10,total
2064,Sergio Escudero,Sevilla,-,90,-,17,-,-,49,58,-,-,214
7888,Nemanja Gudelj,Sevilla,90,-,12,-,90,21,1,-,-,-,214
2578,Javi Ontiveros,SD Huesca,-,-,8,21,51,56,19,47,11,-,213
8711,Miguel Baeza,Celta Vigo,13,21,30,40,60,-,-,47,-,-,211
5077,Mikel Vesga,Athletic Club,59,1,-,-,-,-,22,38,90,-,210
2417,Igor Zubeldia,Real Sociedad,90,-,-,-,-,-,-,-,28,90,208
1672,Jonathan Calleri,Osasuna,-,13,74,90,31,-,-,-,-,-,208
2517,Martin Odegaard,Real Madrid,69,48,-,1,-,-,-,21,66,-,205
7862,Yan Eteki,Granada,-,-,16,-,-,90,9,90,-,-,205
4017,Juan Sánchez Miño,Elche,-,-,53,48,-,51,52,-,-,-,204
2282,Sergi Gómez,Sevilla,61,-,-,90,47,-,-,-,-,-,198
2328,Thomas Partey,Atletico Madrid,16,90,90,-,-,-,-,-,-,-,196
4076,Jason,Valencia,-,42,66,16,56,7,4,1,1,-,193
8390,Rafa Soares,Eibar,6,87,-,-,90,-,-,7,-,-,190
7834,Manu Vallejo,Valencia,16,42,66,1,9,1,22,-,-,32,189
1235,Ante Budimir,Osasuna,-,-,-,-,-,-,21,90,78,-,189
5140,Kike Barja,Osasuna,2,13,-,64,69,12,21,-,6,-,187
7050,Lucas Torró,Osasuna,16,6,29,90,-,-,30,15,-,-,186
2135,Sergi Enrich,Eibar,68,3,-,-,-,31,28,43,-,13,186
802,Diego Costa,Atletico Madrid,73,28,20,51,-,-,-,14,-,-,186
2337,Recio,Eibar,22,87,48,23,-,-,-,-,-,-,180
6970,Tomás Vaclik,Sevilla,-,-,-,-,90,-,-,90,-,-,180
8739,Alberto Cifuentes,Cadiz,-,90,90,-,-,-,-,-,-,-,180
2090,Marc-André ter Stegen,Barcelona,-,-,-,-,-,-,90,90,-,-,180
6216,Chema Rodríguez,Getafe,-,-,-,-,-,-,-,90,90,-,180
5179,Jon Guridi,Real Sociedad,-,-,-,-,-,-,63,66,43,4,176
2187,Toño,Levante,-,-,90,-,-,85,-,-,-,-,175
6226,Iván Alejo,Cadiz,10,9,-,29,64,-,-,28,-,31,171
2500,Luisinho,SD Huesca,1,-,8,-,-,77,-,84,-,-,170
1227,Lucas Torreira,Atletico Madrid,-,-,-,90,46,4,28,-,-,-,168
6427,Aitor Ruibal,Real Betis,20,-,-,27,-,90,-,-,24,5,166
8001,Takefusa Kubo,Villarreal,9,2,15,13,5,26,65,26,4,1,166
7402,Álex Blanco,Valencia,-,-,-,74,34,53,-,-,-,-,161
9008,Jairo Izquierdo,Cadiz,-,-,-,-,-,3,21,-,44,90,158
2071,Diego González,Elche,-,-,-,4,-,-,62,90,-,-,156
1290,Miralem Pjanic,Barcelona,11,-,15,-,-,42,1,86,-,-,155
2511,Vitolo,Atletico Madrid,10,46,-,-,7,90,-,-,-,-,153
7871,Borja Sainz,Alaves,-,17,1,68,-,26,3,-,20,18,153
2226,Zaldúa,Real Sociedad,-,-,-,-,-,-,-,-,62,90,152
8149,Vicente Esquerdo,Valencia,74,76,1,-,-,-,-,-,-,-,151
6656,Sergio Gómez,SD Huesca,-,37,-,8,-,13,34,47,7,4,150
3425,Thomas Lemar,Atletico Madrid,10,-,-,66,46,3,19,3,-,-,147
2070,Carlos Fernández,Sevilla,-,-,6,51,19,1,70,-,-,-,147
8015,Rodrygo,Real Madrid,70,-,-,20,-,7,28,21,-,-,146
6228,Luka Jovic,Real Madrid,-,74,58,-,11,-,-,2,-,-,145
5198,Martín Aguirregabiria,Alaves,1,-,-,-,-,-,3,50,90,-,144
7195,Roberto López,Real Sociedad,82,-,10,21,1,6,14,10,-,-,144
7779,Oihan Sancet,Athletic Club,14,3,28,59,-,-,4,15,19,-,142
8934,Trincão,Barcelona,11,14,29,10,7,42,21,4,-,-,138
8767,Kelechi Nwakali,SD Huesca,24,-,-,-,-,-,19,58,1,34,136
8091,Ronald Araújo,Barcelona,-,45,90,-,-,-,-,-,-,-,135
2298,Víctor Ruiz,Real Betis,-,-,-,-,-,-,10,10,24,90,134
7829,Eder Militão,Real Madrid,-,-,-,-,43,-,90,-,-,-,133
6528,Loren Morón,Real Betis,-,-,15,16,-,31,25,-,16,28,131
6282,Emiliano Rigoni,Elche,-,-,-,38,63,11,16,-,-,-,128
701,Eden Hazard,Real Madrid,-,-,-,-,-,-,61,-,66,-,127
2479,Toni Lato,Valencia,-,-,-,16,-,-,90,11,8,1,126
3206,Yann Bodiger,Cadiz,49,44,4,-,-,-,-,9,-,16,122
8103,Modibo Sagnan,Real Sociedad,-,-,-,-,17,-,14,90,-,-,121
5045,Manu García,Alaves,-,-,8,12,14,-,3,16,34,34,121
1125,Carlos Bacca,Villarreal,-,-,5,5,-,8,14,7,17,62,118
5095,Sergio León,Levante,62,-,-,-,-,-,29,16,8,-,115
5131,Eugeni,SD Huesca,24,53,-,-,-,-,-,32,-,-,109
8707,Damian Kadzior,Eibar,29,3,48,14,-,-,-,14,-,-,108
8209,Miguel Ángel Atienza,Eibar,-,18,-,-,-,90,-,-,-,-,108
8713,Gabriel Veiga,Celta Vigo,-,8,-,64,-,5,27,-,4,-,108
2519,Tejero,Eibar,-,-,17,90,-,-,-,-,-,-,107
4069,Fede Vico,Granada,24,-,16,-,10,-,-,-,56,-,106
5994,Saidy Janko,Real Valladolid,-,-,-,-,-,-,83,-,-,20,103
6914,Javi Moyano,Real Valladolid,90,13,-,-,-,-,-,-,-,-,103
8329,Unai Vencedor,Athletic Club,7,-,-,-,5,-,-,-,90,-,102
7516,Nehuén Pérez,Granada,-,-,-,-,-,12,-,90,-,-,102
6570,Óscar Rodríguez,Sevilla,20,2,-,-,71,-,-,6,-,-,99
7338,Bryan Gil Salvatierra,Sevilla,11,-,-,-,86,-,-,-,-,-,97
4051,Ramón Azeez,Granada,7,-,90,-,-,-,-,-,-,-,97
5110,Mariano,Real Madrid,-,-,-,-,-,-,-,9,86,-,95
1950,Martín Montoya,Real Betis,-,-,19,-,-,-,74,-,-,-,93
5117,Víctor Díaz,Granada,1,1,90,-,-,-,-,-,-,-,92
4142,Álvaro,Cadiz,-,-,-,-,42,8,-,-,-,42,92
6495,Koke,Levante,-,-,-,-,90,-,-,-,-,-,90
9110,Sergio Barcia,Granada,-,-,-,-,-,-,-,90,-,-,90
8734,Sergio González,Cadiz,90,-,-,-,-,-,-,-,-,-,90
9109,Ángel Jiménez,Granada,-,-,-,-,-,-,-,90,-,-,90
2452,De Marcos,Athletic Club,90,-,-,-,-,-,-,-,-,-,90
2326,Rober,Levante,90,-,-,-,-,-,-,-,-,-,90
8215,Pepe Sanchez,Granada,-,-,-,-,-,-,-,90,-,-,90
8730,David Gil,Cadiz,90,-,-,-,-,-,-,-,-,-,90
2163,Diego Llorente,Real Sociedad,90,-,-,-,-,-,-,-,-,-,90
8938,Jon Ander Garrido,Cadiz,-,-,-,2,-,13,-,9,18,48,90
8728,Oier Zarraga,Athletic Club,-,-,-,-,18,1,55,15,-,-,89
8849,Alberto Perea,Cadiz,-,-,-,-,42,-,1,-,29,16,88
8410,Rodrigo Sánchez,Real Betis,-,-,-,-,-,-,-,-,1,85,86
5075,Rubén Peña,Villarreal,81,-,-,-,-,-,1,-,-,1,83
8896,Nino,Elche,60,1,-,-,-,11,11,-,-,-,83
2483,Adrián Marín,Alaves,-,-,-,-,-,64,-,16,-,-,80
897,Juanmi,Real Betis,-,16,-,63,1,-,-,-,-,-,80
4130,Raúl Navas,Osasuna,-,-,79,-,-,-,-,-,-,-,79
8413,Javier López,Alaves,22,-,20,-,1,26,-,-,7,-,76
