team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
Zenit St. Petersburg,0.3616,0.2046,0.6003,0.6796,0.4399,0.4226,0.2152,0.0782,0.3241,0.3483,0.8297,0.2009,0.2401,0.7195,0.4866,0.8716,0.004,0.5969,0.4038,0.3479,0.5235,0.7357,0.4486,0.1112,0.302,0.8607,0.8332,0.6408,0.1825,0.6832,13.6968
CSKA Moscow,0.8832,0.6709,0.318,0.782,0.0319,0.4524,0.1495,0.1406,0.0067,0.1189,0.2797,0.4179,0.5699,0.8014,0.2838,0.072,0.5673,0.1171,0.744,0.0803,0.991,0.1292,0.6962,0.6451,0.5344,0.9451,0.873,0.4148,0.5343,0.2502,13.5008
FC Krasnodar,0.8745,0.2929,0.3049,0.5835,0.5587,0.7017,0.1823,0.2217,0.0262,0.3494,0.7139,0.0166,0.2935,0.7482,0.4585,0.0182,0.2765,0.2738,0.5336,0.0991,0.353,0.1276,0.3257,0.6616,0.8809,0.8079,0.461,0.6958,0.1778,0.8739,12.8929
FC Rostov,0.382,0.3534,0.2937,0.6771,0.1538,0.1659,0.8913,0.5232,0.2992,0.2933,0.1685,0.4926,0.2761,0.5372,0.4699,0.3533,0.0293,0.3144,0.1513,0.6927,0.2076,0.1558,0.6502,0.7779,0.3481,0.1328,0.5694,0.4382,0.9151,0.3672,12.0805
Lokomotiv Moscow,0.2898,0.2685,0.4028,0.4327,0.4851,0.831,0.6318,0.0504,0.647,0.1369,0.5148,0.2713,0.3726,0.1515,0.2011,0.4819,0.0503,0.3283,0.1976,0.8272,0.3669,0.4895,0.8541,0.1812,0.3455,0.2882,0.4978,0.2151,0.1334,0.3491,11.2934
FK Akhmat,0.4176,0.8743,0.0051,0.6483,0.5509,0.0606,0.1049,0.4285,0.1145,0.5174,0.108,0.4972,0.1203,0.2832,0.2995,0.4733,0.2738,0.6161,0.1445,0.8989,0.3519,0.56,0.8136,0.4206,0.1154,0.3354,0.0863,0.8402,0.1249,0.056,11.1412
Krylya Sovetov Samara,0.0786,0.0552,0.3497,0.3392,0.1368,0.5695,0.0763,0.6322,0.0276,0.6946,0.445,0.6529,0.0881,0.0174,0.1514,0.303,0.6798,0.0984,0.1118,0.083,0.1271,0.6717,0.6439,0.2585,0.6458,0.5936,0.801,0.1418,0.1603,0.3973,10.0315
Spartak Moscow,0.3306,0.5736,0.3513,0.4657,0.0836,0.5323,0.3359,0.521,0.0289,0.1159,0.5982,0.3476,0.0988,0.1685,0.5317,0.1242,0.1255,0.3824,0.0044,0.3836,0.7654,0.1941,0.0743,0.0033,0.0507,0.7496,0.3678,0.6702,0.5108,0.0595,9.5494
Ural,0.6393,0.0347,0.6709,0.0478,0.482,0.0651,0.1364,0.6419,0.3874,0.3599,0.2304,0.1159,0.2976,0.4797,0.5236,0.3199,0.3457,0.0038,0.181,0.4659,0.0522,0.755,0.0102,0.4735,0.3601,0.0182,0.489,0.3269,0.22,0.2993,9.4333
Amkar,0.4167,0.3371,0.6719,0.0967,0.141,0.0907,0.0986,0.2241,0.0453,0.2128,0.0012,0.1718,0.0433,0.612,0.2628,0.0205,0.6417,0.1052,0.7324,0.0201,0.6579,0.1346,0.0179,0.3653,0.5007,0.7691,0.4256,0.3015,0.8388,0.3765,9.3338
Anzhi Makhachkala,0.3897,0.2852,0.0984,0.1383,0.6499,0.4239,0.0283,0.0575,0.3586,0.8215,0.0334,0.1352,0.0002,0.0294,0.0955,0.5666,0.2783,0.347,0.189,0.2073,0.143,0.179,0.3257,0.2574,0.6212,0.1606,0.4713,0.2978,0.8078,0.8933,9.2903
Dinamo Moscow,0.0371,0.0738,0.234,0.0839,0.3368,0.6058,0.6089,0.1141,0.804,0.5556,0.0083,0.0784,0.1602,0.0148,0.4594,0.4913,0.2303,0.4497,0.4907,0.5328,0.8105,0.0674,0.0306,0.293,0.2889,0.7033,0.2032,0.1024,0.2567,0.0056,9.1315
Mordovya,0.1582,0.0681,0.1529,0.32,0.447,0.1914,0.5786,0.2999,0.1059,0.1722,0.2698,0.3066,0.3792,0.1346,0.3644,0.6872,0.0113,0.6828,0.0863,0.3962,0.5484,0.0344,0.0593,0.6724,0.0924,0.3416,0.5123,0.0114,0.3966,0.0212,8.5026
FC Ufa,0.0031,0.302,0.5018,0.0293,0.1546,0.1194,0.062,0.5994,0.0407,0.1084,0.1735,0.2878,0.0735,0.0131,0.4103,0.1747,0.0893,0.0055,0.0692,0.1117,0.7076,0.4198,0.8048,0.5832,0.1862,0.2578,0.2639,0.1253,0.6849,0.3012,7.664
Rubin Kazan,0.1177,0.0505,0.0232,0.0008,0.2852,0.1514,0.0117,0.7475,0.129,0.361,0.0818,0.356,0.0483,0.1242,0.5753,0.1975,0.0225,0.2447,0.6416,0.0281,0.2282,0.3532,0.1205,0.1832,0.134,0.3413,0.0573,0.2871,0.2333,0.3481,6.4842
Kuban Krasnodar,0.045,0.3127,0.3921,0.3455,0.043,0.0128,0.0836,0.4805,0.2784,0.0911,0.6864,0.1348,0.0424,0.0251,0.1437,0.0237,0.0231,0.0409,0.0793,0.1878,0.0041,0.0419,0.2031,0.1025,0.0926,0.037,0.6064,0.1326,0.5618,0.1153,5.3692
